filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,6,5,0.011406183242797852
agd,2,modularity,connectivity,false,11,14,1.3872950077056885
agd,2,connected_components,connectivity,true,34,33,0.012800931930541992
agd,2,modularity,connectivity,true,40,54,0.14830708503723145
agd,3,connected_components,connectivity,false,11,11,0.012598037719726562
agd,3,modularity,connectivity,false,17,22,0.251629114151001
agd,3,connected_components,connectivity,true,48,51,0.013129949569702148
agd,3,modularity,connectivity,true,61,120,0.1028900146484375
agd,4,connected_components,connectivity,false,9,9,0.012482166290283203
agd,4,modularity,connectivity,false,16,24,0.23840022087097168
agd,4,connected_components,connectivity,true,64,80,0.013514995574951172
agd,4,modularity,connectivity,true,76,160,0.08697891235351562
agd,5,connected_components,connectivity,false,13,14,0.012791872024536133
agd,5,modularity,connectivity,false,21,32,0.2342970371246338
agd,5,connected_components,connectivity,true,76,108,0.015063047409057617
agd,5,modularity,connectivity,true,92,220,0.07901573181152344
agd,6,connected_components,connectivity,false,16,20,0.022023916244506836
agd,6,modularity,connectivity,false,22,35,1.0572419166564941
agd,6,connected_components,connectivity,true,83,125,0.014488935470581055
agd,6,modularity,connectivity,true,101,267,0.07169198989868164
agd,7,connected_components,connectivity,false,21,24,0.013030767440795898
agd,7,modularity,connectivity,false,27,38,0.2546398639678955
agd,7,connected_components,connectivity,true,94,147,0.016120195388793945
agd,7,modularity,connectivity,true,110,294,0.06790900230407715
agd,8,connected_components,connectivity,false,23,28,0.013894796371459961
agd,8,modularity,connectivity,false,30,42,0.23369598388671875
agd,8,connected_components,connectivity,true,100,172,0.01563405990600586
agd,8,modularity,connectivity,true,115,357,0.06329703330993652
agd,9,connected_components,connectivity,false,24,31,0.013419628143310547
agd,9,modularity,connectivity,false,32,53,0.22017598152160645
agd,9,connected_components,connectivity,true,121,250,0.016698122024536133
agd,9,modularity,connectivity,true,137,452,0.060044050216674805
agd,10,connected_components,connectivity,false,31,36,0.03126096725463867
agd,10,modularity,connectivity,false,41,65,1.1271889209747314
agd,10,connected_components,connectivity,true,122,241,0.016732215881347656
agd,10,modularity,connectivity,true,137,444,0.05877399444580078
agd,11,connected_components,connectivity,false,40,49,0.014107942581176758
agd,11,modularity,connectivity,false,50,78,0.19904780387878418
agd,11,connected_components,connectivity,true,126,266,0.01709580421447754
agd,11,modularity,connectivity,true,141,436,0.05809807777404785
agd,12,connected_components,connectivity,false,40,52,0.014105081558227539
agd,12,modularity,connectivity,false,54,96,0.1782979965209961
agd,12,connected_components,connectivity,true,133,310,0.017379045486450195
agd,12,modularity,connectivity,true,150,597,0.05691695213317871
agd,13,connected_components,connectivity,false,47,55,0.014432907104492188
agd,13,modularity,connectivity,false,59,92,0.16752004623413086
agd,13,connected_components,connectivity,true,145,344,0.018340110778808594
agd,13,modularity,connectivity,true,157,512,0.05626797676086426
agd,14,connected_components,connectivity,false,62,80,0.028415918350219727
agd,14,modularity,connectivity,false,69,105,0.6088972091674805
agd,14,connected_components,connectivity,true,156,418,0.019155025482177734
agd,14,modularity,connectivity,true,168,595,0.055191993713378906
agd,15,connected_components,connectivity,false,65,80,0.015161991119384766
agd,15,modularity,connectivity,false,77,132,0.14090394973754883
agd,15,connected_components,connectivity,true,152,408,0.018332719802856445
agd,15,modularity,connectivity,true,166,625,0.053002119064331055
agd,16,connected_components,connectivity,false,60,74,0.014436960220336914
agd,16,modularity,connectivity,false,68,102,0.12576889991760254
agd,16,connected_components,connectivity,true,155,435,0.018793106079101562
agd,16,modularity,connectivity,true,170,709,0.05329608917236328
agd,17,connected_components,connectivity,false,62,82,0.015264034271240234
agd,17,modularity,connectivity,false,72,124,0.1208181381225586
agd,17,connected_components,connectivity,true,162,463,0.018907785415649414
agd,17,modularity,connectivity,true,178,691,0.05232691764831543
agd,18,connected_components,connectivity,false,64,83,0.015799999237060547
agd,18,modularity,connectivity,false,75,141,0.11621403694152832
agd,18,connected_components,connectivity,true,171,551,0.01969003677368164
agd,18,modularity,connectivity,true,185,780,0.05218911170959473
agd,19,connected_components,connectivity,false,73,95,0.015250205993652344
agd,19,modularity,connectivity,false,83,159,0.11770415306091309
agd,19,connected_components,connectivity,true,170,525,0.03951525688171387
agd,19,modularity,connectivity,true,182,739,0.0526120662689209
ecc,2,connected_components,connectivity,false,49,48,0.012497901916503906
