filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,41,40,0.0024919509887695312
agd,2,modularity,connectivity,false,41,40,0.0054628849029541016
agd,2,connected_components,connectivity,true,26,25,0.0022110939025878906
agd,2,modularity,connectivity,true,26,25,0.01038503646850586
agd,3,connected_components,connectivity,false,41,40,0.002546072006225586
agd,3,modularity,connectivity,false,41,40,0.004724979400634766
agd,3,connected_components,connectivity,true,34,33,0.002391815185546875
agd,3,modularity,connectivity,true,34,33,0.00771021842956543
agd,4,connected_components,connectivity,false,41,40,0.002498626708984375
agd,4,modularity,connectivity,false,41,40,0.005096912384033203
agd,4,connected_components,connectivity,true,38,37,0.002610921859741211
agd,4,modularity,connectivity,true,38,37,0.00605010986328125
agd,5,connected_components,connectivity,false,42,72,0.00269317626953125
agd,5,modularity,connectivity,false,42,72,0.004630088806152344
agd,5,connected_components,connectivity,true,41,40,0.002595186233520508
agd,5,modularity,connectivity,true,41,40,0.005112886428833008
agd,6,connected_components,connectivity,false,42,79,0.0027718544006347656
agd,6,modularity,connectivity,false,42,79,0.005143165588378906
agd,6,connected_components,connectivity,true,35,58,0.002541065216064453
agd,6,modularity,connectivity,true,35,58,0.005575895309448242
agd,7,connected_components,connectivity,false,42,80,0.002782106399536133
agd,7,modularity,connectivity,false,42,80,0.004642963409423828
agd,7,connected_components,connectivity,true,41,78,0.00286102294921875
agd,7,modularity,connectivity,true,41,78,0.005994081497192383
agd,8,connected_components,connectivity,false,42,80,0.0028281211853027344
agd,8,modularity,connectivity,false,42,80,0.0046842098236083984
agd,8,connected_components,connectivity,true,39,74,0.0027561187744140625
agd,8,modularity,connectivity,true,39,74,0.0053369998931884766
agd,9,connected_components,connectivity,false,42,81,0.0027670860290527344
agd,9,modularity,connectivity,false,42,81,0.0044689178466796875
agd,9,connected_components,connectivity,true,41,78,0.0028209686279296875
agd,9,modularity,connectivity,true,41,78,0.004964113235473633
