filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0004971027374267578
agd,2,modularity,connectivity,false,3,2,0.001123189926147461
agd,2,connected_components,connectivity,true,3,2,0.0006258487701416016
agd,2,modularity,connectivity,true,4,4,0.001959085464477539
agd,3,connected_components,connectivity,false,3,2,0.00036025047302246094
agd,3,modularity,connectivity,false,3,2,0.0011327266693115234
agd,3,connected_components,connectivity,true,4,4,0.0004298686981201172
agd,3,modularity,connectivity,true,5,6,0.001432657241821289
agd,4,connected_components,connectivity,false,3,2,0.00036835670471191406
agd,4,modularity,connectivity,false,3,2,0.0012180805206298828
agd,4,connected_components,connectivity,true,5,6,0.0008988380432128906
agd,4,modularity,connectivity,true,5,6,0.001283884048461914
agd,5,connected_components,connectivity,false,3,2,0.0004000663757324219
agd,5,modularity,connectivity,false,3,2,0.0011990070343017578
agd,5,connected_components,connectivity,true,5,6,0.00047779083251953125
agd,5,modularity,connectivity,true,5,6,0.001302957534790039
agd,6,connected_components,connectivity,false,3,2,0.0006608963012695312
agd,6,modularity,connectivity,false,3,2,0.0017209053039550781
agd,6,connected_components,connectivity,true,7,12,0.0006198883056640625
agd,6,modularity,connectivity,true,7,12,0.0014047622680664062
agd,7,connected_components,connectivity,false,3,2,0.0004220008850097656
agd,7,modularity,connectivity,false,3,2,0.0012269020080566406
agd,7,connected_components,connectivity,true,7,12,0.0006110668182373047
agd,7,modularity,connectivity,true,7,12,0.0015671253204345703
agd,8,connected_components,connectivity,false,3,2,0.0004489421844482422
agd,8,modularity,connectivity,false,3,2,0.0012760162353515625
agd,8,connected_components,connectivity,true,8,16,0.0006129741668701172
agd,8,modularity,connectivity,true,8,16,0.0009288787841796875
agd,9,connected_components,connectivity,false,3,2,0.0004761219024658203
agd,9,modularity,connectivity,false,3,2,0.0012340545654296875
agd,9,connected_components,connectivity,true,11,29,0.0008909702301025391
agd,9,modularity,connectivity,true,11,29,0.0027589797973632812
agd,10,connected_components,connectivity,false,3,2,0.0005068778991699219
agd,10,modularity,connectivity,false,3,2,0.0012600421905517578
agd,10,connected_components,connectivity,true,10,21,0.0006918907165527344
agd,10,modularity,connectivity,true,10,21,0.0006928443908691406
agd,11,connected_components,connectivity,false,3,2,0.0005209445953369141
agd,11,modularity,connectivity,false,3,2,0.0012612342834472656
agd,11,connected_components,connectivity,true,10,21,0.0007159709930419922
agd,11,modularity,connectivity,true,10,21,0.0011227130889892578
agd,12,connected_components,connectivity,false,3,2,0.0006659030914306641
agd,12,modularity,connectivity,false,3,2,0.0013060569763183594
agd,12,connected_components,connectivity,true,12,29,0.0008292198181152344
agd,12,modularity,connectivity,true,12,29,0.0008387565612792969
agd,13,connected_components,connectivity,false,3,2,0.0005099773406982422
agd,13,modularity,connectivity,false,3,2,0.0013058185577392578
agd,13,connected_components,connectivity,true,10,21,0.0012998580932617188
agd,13,modularity,connectivity,true,10,21,0.0007762908935546875
agd,14,connected_components,connectivity,false,3,2,0.0005257129669189453
agd,14,modularity,connectivity,false,3,2,0.0013277530670166016
agd,14,connected_components,connectivity,true,10,21,0.0007679462432861328
agd,14,modularity,connectivity,true,10,21,0.0007691383361816406
agd,15,connected_components,connectivity,false,3,2,0.0005462169647216797
agd,15,modularity,connectivity,false,3,2,0.001329183578491211
agd,15,connected_components,connectivity,true,12,29,0.0015399456024169922
agd,15,modularity,connectivity,true,12,29,0.001219034194946289
agd,16,connected_components,connectivity,false,3,2,0.0005671977996826172
agd,16,modularity,connectivity,false,3,2,0.0014009475708007812
agd,16,connected_components,connectivity,true,10,21,0.0007991790771484375
agd,16,modularity,connectivity,true,10,21,0.0008008480072021484
agd,17,connected_components,connectivity,false,3,2,0.0005750656127929688
agd,17,modularity,connectivity,false,3,2,0.002049684524536133
agd,17,connected_components,connectivity,true,10,21,0.0008249282836914062
agd,17,modularity,connectivity,true,10,21,0.00081634521484375
agd,18,connected_components,connectivity,false,3,2,0.0005998611450195312
agd,18,modularity,connectivity,false,3,2,0.0014319419860839844
agd,18,connected_components,connectivity,true,17,59,0.0012271404266357422
agd,18,modularity,connectivity,true,17,59,0.0012531280517578125
agd,19,connected_components,connectivity,false,3,2,0.001035928726196289
agd,19,modularity,connectivity,false,3,2,0.0014510154724121094
agd,19,connected_components,connectivity,true,10,21,0.0008571147918701172
agd,19,modularity,connectivity,true,10,21,0.00084686279296875
ecc,2,connected_components,connectivity,false,3,2,0.000324249267578125
ecc,2,modularity,connectivity,false,3,2,0.0011053085327148438
ecc,2,connected_components,connectivity,true,3,2,0.000354766845703125
ecc,2,modularity,connectivity,true,4,4,0.0012340545654296875
ecc,3,connected_components,connectivity,false,3,2,0.0006461143493652344
ecc,3,modularity,connectivity,false,3,2,0.0011897087097167969
ecc,3,connected_components,connectivity,true,4,4,0.0004341602325439453
ecc,3,modularity,connectivity,true,5,6,0.0013921260833740234
ecc,4,connected_components,connectivity,false,3,2,0.0003578662872314453
ecc,4,modularity,connectivity,false,3,2,0.0011420249938964844
ecc,4,connected_components,connectivity,true,5,6,0.0006232261657714844
ecc,4,modularity,connectivity,true,5,6,0.0016908645629882812
ecc,5,connected_components,connectivity,false,3,2,0.0005350112915039062
ecc,5,modularity,connectivity,false,3,2,0.0011980533599853516
ecc,5,connected_components,connectivity,true,5,6,0.0004711151123046875
ecc,5,modularity,connectivity,true,5,6,0.001219034194946289
ecc,6,connected_components,connectivity,false,3,2,0.00039315223693847656
ecc,6,modularity,connectivity,false,3,2,0.0011792182922363281
ecc,6,connected_components,connectivity,true,7,12,0.0005822181701660156
ecc,6,modularity,connectivity,true,7,12,0.0021278858184814453
ecc,7,connected_components,connectivity,false,3,2,0.0004239082336425781
ecc,7,modularity,connectivity,false,3,2,0.0012040138244628906
ecc,7,connected_components,connectivity,true,7,12,0.0005631446838378906
ecc,7,modularity,connectivity,true,7,12,0.0012290477752685547
ecc,8,connected_components,connectivity,false,3,2,0.00045490264892578125
ecc,8,modularity,connectivity,false,3,2,0.0012199878692626953
ecc,8,connected_components,connectivity,true,8,16,0.0006120204925537109
ecc,8,modularity,connectivity,true,8,16,0.0016720294952392578
ecc,9,connected_components,connectivity,false,3,2,0.0004630088806152344
ecc,9,modularity,connectivity,false,3,2,0.0012500286102294922
ecc,9,connected_components,connectivity,true,11,29,0.0008618831634521484
ecc,9,modularity,connectivity,true,11,29,0.001786947250366211
ecc,10,connected_components,connectivity,false,3,2,0.0004661083221435547
ecc,10,modularity,connectivity,false,3,2,0.001245260238647461
ecc,10,connected_components,connectivity,true,10,21,0.0013148784637451172
ecc,10,modularity,connectivity,true,10,21,0.0007269382476806641
ecc,11,connected_components,connectivity,false,3,2,0.0004780292510986328
ecc,11,modularity,connectivity,false,3,2,0.0012810230255126953
ecc,11,connected_components,connectivity,true,10,21,0.000713348388671875
ecc,11,modularity,connectivity,true,10,21,0.0007143020629882812
ecc,12,connected_components,connectivity,false,3,2,0.0004961490631103516
ecc,12,modularity,connectivity,false,3,2,0.0012760162353515625
ecc,12,connected_components,connectivity,true,12,29,0.001157999038696289
ecc,12,modularity,connectivity,true,12,29,0.0012409687042236328
ecc,13,connected_components,connectivity,false,3,2,0.0005841255187988281
ecc,13,modularity,connectivity,false,3,2,0.0014638900756835938
ecc,13,connected_components,connectivity,true,10,21,0.0007560253143310547
ecc,13,modularity,connectivity,true,10,21,0.0007500648498535156
ecc,14,connected_components,connectivity,false,3,2,0.0005278587341308594
ecc,14,modularity,connectivity,false,3,2,0.002017974853515625
ecc,14,connected_components,connectivity,true,10,21,0.0007772445678710938
ecc,14,modularity,connectivity,true,10,21,0.0007641315460205078
ecc,15,connected_components,connectivity,false,3,2,0.0005767345428466797
ecc,15,modularity,connectivity,false,3,2,0.00133514404296875
ecc,15,connected_components,connectivity,true,12,29,0.0008828639984130859
ecc,15,modularity,connectivity,true,12,29,0.0008859634399414062
ecc,16,connected_components,connectivity,false,3,2,0.0005550384521484375
ecc,16,modularity,connectivity,false,3,2,0.0022499561309814453
ecc,16,connected_components,connectivity,true,10,21,0.0008161067962646484
ecc,16,modularity,connectivity,true,10,21,0.0008111000061035156
ecc,17,connected_components,connectivity,false,3,2,0.0005738735198974609
ecc,17,modularity,connectivity,false,3,2,0.0013828277587890625
ecc,17,connected_components,connectivity,true,10,21,0.0008220672607421875
ecc,17,modularity,connectivity,true,10,21,0.0008230209350585938
ecc,18,connected_components,connectivity,false,3,2,0.0005939006805419922
ecc,18,modularity,connectivity,false,3,2,0.0021109580993652344
ecc,18,connected_components,connectivity,true,17,59,0.0015518665313720703
ecc,18,modularity,connectivity,true,17,59,0.0012311935424804688
ecc,19,connected_components,connectivity,false,3,2,0.0006082057952880859
ecc,19,modularity,connectivity,false,3,2,0.0014209747314453125
ecc,19,connected_components,connectivity,true,10,21,0.0008571147918701172
ecc,19,modularity,connectivity,true,10,21,0.0008487701416015625
pr_0_85,2,connected_components,connectivity,false,3,2,0.0006849765777587891
pr_0_85,2,modularity,connectivity,false,3,2,0.0011730194091796875
pr_0_85,2,connected_components,connectivity,true,3,2,0.0003571510314941406
pr_0_85,2,modularity,connectivity,true,4,3,0.0011398792266845703
pr_0_85,3,connected_components,connectivity,false,3,2,0.00037598609924316406
pr_0_85,3,modularity,connectivity,false,3,2,0.0012402534484863281
pr_0_85,3,connected_components,connectivity,true,5,6,0.0004558563232421875
pr_0_85,3,modularity,connectivity,true,6,7,0.002218008041381836
pr_0_85,4,connected_components,connectivity,false,3,2,0.0004119873046875
pr_0_85,4,modularity,connectivity,false,3,2,0.0012028217315673828
pr_0_85,4,connected_components,connectivity,true,6,9,0.00047779083251953125
pr_0_85,4,modularity,connectivity,true,6,9,0.0010480880737304688
pr_0_85,5,connected_components,connectivity,false,3,2,0.0004069805145263672
pr_0_85,5,modularity,connectivity,false,3,2,0.0012040138244628906
pr_0_85,5,connected_components,connectivity,true,7,12,0.0005490779876708984
pr_0_85,5,modularity,connectivity,true,7,12,0.0009899139404296875
pr_0_85,6,connected_components,connectivity,false,3,2,0.0007448196411132812
pr_0_85,6,modularity,connectivity,false,3,2,0.0013151168823242188
pr_0_85,6,connected_components,connectivity,true,9,19,0.0006477832794189453
pr_0_85,6,modularity,connectivity,true,9,19,0.0011169910430908203
pr_0_85,7,connected_components,connectivity,false,3,2,0.0004470348358154297
pr_0_85,7,modularity,connectivity,false,3,2,0.0012369155883789062
pr_0_85,7,connected_components,connectivity,true,7,12,0.0005631446838378906
pr_0_85,7,modularity,connectivity,true,7,12,0.001600027084350586
pr_0_85,8,connected_components,connectivity,false,3,2,0.0007748603820800781
pr_0_85,8,modularity,connectivity,false,3,2,0.0013768672943115234
pr_0_85,8,connected_components,connectivity,true,8,16,0.0007300376892089844
pr_0_85,8,modularity,connectivity,true,8,16,0.0009570121765136719
pr_0_85,9,connected_components,connectivity,false,3,2,0.0005269050598144531
pr_0_85,9,modularity,connectivity,false,3,2,0.0019330978393554688
pr_0_85,9,connected_components,connectivity,true,12,34,0.0009069442749023438
pr_0_85,9,modularity,connectivity,true,12,34,0.0016787052154541016
pr_0_85,10,connected_components,connectivity,false,3,2,0.000492095947265625
pr_0_85,10,modularity,connectivity,false,3,2,0.0012831687927246094
pr_0_85,10,connected_components,connectivity,true,10,21,0.0006966590881347656
pr_0_85,10,modularity,connectivity,true,10,21,0.0007078647613525391
pr_0_85,11,connected_components,connectivity,false,3,2,0.0010118484497070312
pr_0_85,11,modularity,connectivity,false,3,2,0.0013799667358398438
pr_0_85,11,connected_components,connectivity,true,10,21,0.0007169246673583984
pr_0_85,11,modularity,connectivity,true,10,21,0.0007140636444091797
pr_0_85,12,connected_components,connectivity,false,3,2,0.0005249977111816406
pr_0_85,12,modularity,connectivity,false,3,2,0.00133514404296875
pr_0_85,12,connected_components,connectivity,true,12,29,0.0008280277252197266
pr_0_85,12,modularity,connectivity,true,12,29,0.0008330345153808594
pr_0_85,13,connected_components,connectivity,false,3,2,0.0010340213775634766
pr_0_85,13,modularity,connectivity,false,3,2,0.0015459060668945312
pr_0_85,13,connected_components,connectivity,true,10,21,0.0007560253143310547
pr_0_85,13,modularity,connectivity,true,10,21,0.0007450580596923828
pr_0_85,14,connected_components,connectivity,false,3,2,0.000553131103515625
pr_0_85,14,modularity,connectivity,false,3,2,0.001344919204711914
pr_0_85,14,connected_components,connectivity,true,10,21,0.000762939453125
pr_0_85,14,modularity,connectivity,true,10,21,0.0012128353118896484
pr_0_85,15,connected_components,connectivity,false,3,2,0.0005841255187988281
pr_0_85,15,modularity,connectivity,false,3,2,0.0013921260833740234
pr_0_85,15,connected_components,connectivity,true,12,29,0.0008788108825683594
pr_0_85,15,modularity,connectivity,true,12,29,0.0008828639984130859
pr_0_85,16,connected_components,connectivity,false,3,2,0.0005838871002197266
pr_0_85,16,modularity,connectivity,false,3,2,0.002129077911376953
pr_0_85,16,connected_components,connectivity,true,10,21,0.0008401870727539062
