filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0004818439483642578
agd,2,modularity,connectivity,false,6,15,0.0028259754180908203
agd,2,connected_components,connectivity,true,2,1,0.0003249645233154297
agd,2,modularity,connectivity,true,4,4,0.0010979175567626953
agd,3,connected_components,connectivity,false,3,3,0.0006539821624755859
agd,3,modularity,connectivity,false,9,36,0.003622770309448242
agd,3,connected_components,connectivity,true,4,5,0.00038313865661621094
agd,3,modularity,connectivity,true,6,11,0.0013260841369628906
agd,4,connected_components,connectivity,false,4,6,0.0015151500701904297
agd,4,modularity,connectivity,false,12,66,0.006585836410522461
agd,4,connected_components,connectivity,true,4,5,0.0008599758148193359
agd,4,modularity,connectivity,true,4,5,0.0014028549194335938
agd,5,connected_components,connectivity,false,5,10,0.0009241104125976562
agd,5,modularity,connectivity,false,15,105,0.0066111087799072266
agd,5,connected_components,connectivity,true,6,11,0.0004668235778808594
agd,5,modularity,connectivity,true,6,11,0.0010559558868408203
agd,6,connected_components,connectivity,false,6,15,0.0015170574188232422
agd,6,modularity,connectivity,false,18,153,0.008477926254272461
agd,6,connected_components,connectivity,true,6,11,0.0010161399841308594
agd,6,modularity,connectivity,true,6,11,0.002638101577758789
agd,7,connected_components,connectivity,false,7,21,0.002894163131713867
agd,7,modularity,connectivity,false,21,210,0.010584115982055664
agd,7,connected_components,connectivity,true,8,13,0.0005438327789306641
agd,7,modularity,connectivity,true,8,13,0.0010149478912353516
agd,8,connected_components,connectivity,false,8,28,0.0015940666198730469
agd,8,modularity,connectivity,false,24,276,0.011989831924438477
agd,8,connected_components,connectivity,true,8,13,0.0005929470062255859
agd,8,modularity,connectivity,true,8,13,0.0013480186462402344
agd,9,connected_components,connectivity,false,9,36,0.0029761791229248047
agd,9,modularity,connectivity,false,27,351,0.013358831405639648
agd,9,connected_components,connectivity,true,10,28,0.0012660026550292969
agd,9,modularity,connectivity,true,10,28,0.0017480850219726562
agd,10,connected_components,connectivity,false,10,45,0.0021567344665527344
agd,10,modularity,connectivity,false,30,435,0.013820886611938477
agd,10,connected_components,connectivity,true,10,15,0.00090789794921875
agd,10,modularity,connectivity,true,10,15,0.0012199878692626953
agd,11,connected_components,connectivity,false,11,55,0.0033142566680908203
agd,11,modularity,connectivity,false,33,528,0.01526188850402832
agd,11,connected_components,connectivity,true,10,15,0.0007240772247314453
agd,11,modularity,connectivity,true,10,15,0.0007486343383789062
agd,12,connected_components,connectivity,false,12,66,0.003641843795776367
agd,12,modularity,connectivity,false,36,630,0.017379045486450195
agd,12,connected_components,connectivity,true,12,21,0.0007750988006591797
agd,12,modularity,connectivity,true,12,21,0.0009410381317138672
agd,13,connected_components,connectivity,false,13,78,0.0030908584594726562
agd,13,modularity,connectivity,false,39,741,0.01933574676513672
agd,13,connected_components,connectivity,true,10,15,0.0008950233459472656
agd,13,modularity,connectivity,true,10,15,0.001110076904296875
agd,14,connected_components,connectivity,false,14,91,0.004023075103759766
agd,14,modularity,connectivity,false,42,861,0.02018594741821289
agd,14,connected_components,connectivity,true,10,15,0.0007021427154541016
agd,14,modularity,connectivity,true,10,15,0.0011148452758789062
agd,15,connected_components,connectivity,false,15,105,0.003698110580444336
agd,15,modularity,connectivity,false,45,990,0.0224759578704834
agd,15,connected_components,connectivity,true,12,21,0.0008349418640136719
agd,15,modularity,connectivity,true,12,21,0.0014319419860839844
agd,16,connected_components,connectivity,false,16,120,0.004070281982421875
agd,16,modularity,connectivity,false,48,1128,0.022742033004760742
agd,16,connected_components,connectivity,true,10,15,0.0008020401000976562
agd,16,modularity,connectivity,true,10,15,0.0007123947143554688
agd,17,connected_components,connectivity,false,17,136,0.004728794097900391
agd,17,modularity,connectivity,false,51,1275,0.025699853897094727
agd,17,connected_components,connectivity,true,10,15,0.0007879734039306641
agd,17,modularity,connectivity,true,10,15,0.0007479190826416016
agd,18,connected_components,connectivity,false,18,153,0.005091190338134766
agd,18,modularity,connectivity,false,54,1431,0.02833414077758789
agd,18,connected_components,connectivity,true,17,42,0.0011000633239746094
agd,18,modularity,connectivity,true,17,42,0.0010528564453125
agd,19,connected_components,connectivity,false,19,171,0.005911111831665039
agd,19,modularity,connectivity,false,57,1596,0.03032398223876953
agd,19,connected_components,connectivity,true,10,15,0.0007717609405517578
agd,19,modularity,connectivity,true,10,15,0.0007758140563964844
ecc,2,connected_components,connectivity,false,2,1,0.0005099773406982422
ecc,2,modularity,connectivity,false,6,15,0.002366304397583008
ecc,2,connected_components,connectivity,true,2,1,0.0003249645233154297
ecc,2,modularity,connectivity,true,4,4,0.0016491413116455078
ecc,3,connected_components,connectivity,false,3,3,0.0005776882171630859
ecc,3,modularity,connectivity,false,9,36,0.00396418571472168
ecc,3,connected_components,connectivity,true,4,5,0.0007669925689697266
ecc,3,modularity,connectivity,true,6,11,0.0015218257904052734
ecc,4,connected_components,connectivity,false,4,6,0.0012998580932617188
ecc,4,modularity,connectivity,false,12,66,0.005362033843994141
ecc,4,connected_components,connectivity,true,4,5,0.0004699230194091797
ecc,4,modularity,connectivity,true,4,5,0.001299142837524414
ecc,5,connected_components,connectivity,false,5,10,0.0009739398956298828
ecc,5,modularity,connectivity,false,15,105,0.005893707275390625
ecc,5,connected_components,connectivity,true,6,11,0.0004918575286865234
ecc,5,modularity,connectivity,true,6,11,0.001013040542602539
ecc,6,connected_components,connectivity,false,6,15,0.0014069080352783203
ecc,6,modularity,connectivity,false,18,153,0.007444858551025391
ecc,6,connected_components,connectivity,true,6,11,0.0005819797515869141
ecc,6,modularity,connectivity,true,6,11,0.0013780593872070312
ecc,7,connected_components,connectivity,false,7,21,0.0014312267303466797
ecc,7,modularity,connectivity,false,21,210,0.011783838272094727
ecc,7,connected_components,connectivity,true,8,13,0.0006866455078125
ecc,7,modularity,connectivity,true,8,13,0.0009438991546630859
ecc,8,connected_components,connectivity,false,8,28,0.001744985580444336
ecc,8,modularity,connectivity,false,24,276,0.009603023529052734
ecc,8,connected_components,connectivity,true,8,13,0.0006320476531982422
ecc,8,modularity,connectivity,true,8,13,0.0008540153503417969
ecc,9,connected_components,connectivity,false,9,36,0.0017979145050048828
ecc,9,modularity,connectivity,false,27,351,0.014662027359008789
ecc,9,connected_components,connectivity,true,10,28,0.0008280277252197266
ecc,9,modularity,connectivity,true,10,28,0.0020651817321777344
ecc,10,connected_components,connectivity,false,10,45,0.002466917037963867
ecc,10,modularity,connectivity,false,30,435,0.013510942459106445
ecc,10,connected_components,connectivity,true,10,15,0.0006661415100097656
ecc,10,modularity,connectivity,true,10,15,0.0006029605865478516
ecc,11,connected_components,connectivity,false,11,55,0.0030558109283447266
ecc,11,modularity,connectivity,false,33,528,0.016966819763183594
ecc,11,connected_components,connectivity,true,10,15,0.0008492469787597656
ecc,11,modularity,connectivity,true,10,15,0.0006067752838134766
ecc,12,connected_components,connectivity,false,12,66,0.00304412841796875
ecc,12,modularity,connectivity,false,36,630,0.016668081283569336
ecc,12,connected_components,connectivity,true,12,21,0.0014109611511230469
ecc,12,modularity,connectivity,true,12,21,0.0007321834564208984
ecc,13,connected_components,connectivity,false,13,78,0.0037000179290771484
ecc,13,modularity,connectivity,false,39,741,0.01836681365966797
ecc,13,connected_components,connectivity,true,10,15,0.0013058185577392578
ecc,13,modularity,connectivity,true,10,15,0.0006840229034423828
ecc,14,connected_components,connectivity,false,14,91,0.0032341480255126953
ecc,14,modularity,connectivity,false,42,861,0.02933502197265625
ecc,14,connected_components,connectivity,true,10,15,0.0007607936859130859
ecc,14,modularity,connectivity,true,10,15,0.0008978843688964844
ecc,15,connected_components,connectivity,false,15,105,0.004019021987915039
ecc,15,modularity,connectivity,false,45,990,0.021287918090820312
ecc,15,connected_components,connectivity,true,12,21,0.0008177757263183594
ecc,15,modularity,connectivity,true,12,21,0.0007512569427490234
ecc,16,connected_components,connectivity,false,16,120,0.003860950469970703
ecc,16,modularity,connectivity,false,48,1128,0.02224278450012207
ecc,16,connected_components,connectivity,true,10,15,0.0007660388946533203
ecc,16,modularity,connectivity,true,10,15,0.0008268356323242188
ecc,17,connected_components,connectivity,false,17,136,0.00421905517578125
ecc,17,modularity,connectivity,false,51,1275,0.02251291275024414
ecc,17,connected_components,connectivity,true,10,15,0.0008337497711181641
ecc,17,modularity,connectivity,true,10,15,0.0006928443908691406
ecc,18,connected_components,connectivity,false,18,153,0.0051670074462890625
ecc,18,modularity,connectivity,false,54,1431,0.024531126022338867
ecc,18,connected_components,connectivity,true,17,42,0.001171112060546875
ecc,18,modularity,connectivity,true,17,42,0.0010881423950195312
ecc,19,connected_components,connectivity,false,19,171,0.005481243133544922
ecc,19,modularity,connectivity,false,57,1596,0.02568793296813965
ecc,19,connected_components,connectivity,true,10,15,0.0015702247619628906
ecc,19,modularity,connectivity,true,10,15,0.0014629364013671875
pr_0_85,2,connected_components,connectivity,false,2,1,0.0006852149963378906
pr_0_85,2,modularity,connectivity,false,6,15,0.0027098655700683594
pr_0_85,2,connected_components,connectivity,true,2,1,0.0004200935363769531
pr_0_85,2,modularity,connectivity,true,4,4,0.0014739036560058594
pr_0_85,3,connected_components,connectivity,false,3,3,0.0006778240203857422
pr_0_85,3,modularity,connectivity,false,9,36,0.0057299137115478516
pr_0_85,3,connected_components,connectivity,true,4,5,0.0005240440368652344
pr_0_85,3,modularity,connectivity,true,6,11,0.0013530254364013672
pr_0_85,4,connected_components,connectivity,false,4,6,0.0010228157043457031
pr_0_85,4,modularity,connectivity,false,12,66,0.009310245513916016
pr_0_85,4,connected_components,connectivity,true,4,5,0.0007328987121582031
pr_0_85,4,modularity,connectivity,true,4,5,0.0017390251159667969
pr_0_85,5,connected_components,connectivity,false,5,10,0.0011568069458007812
pr_0_85,5,modularity,connectivity,false,15,105,0.008324861526489258
pr_0_85,5,connected_components,connectivity,true,6,11,0.0005781650543212891
pr_0_85,5,modularity,connectivity,true,6,11,0.0011420249938964844
pr_0_85,6,connected_components,connectivity,false,6,15,0.00131988525390625
pr_0_85,6,modularity,connectivity,false,18,153,0.008604288101196289
pr_0_85,6,connected_components,connectivity,true,6,11,0.000598907470703125
pr_0_85,6,modularity,connectivity,true,6,11,0.0017631053924560547
pr_0_85,7,connected_components,connectivity,false,7,21,0.0013518333435058594
pr_0_85,7,modularity,connectivity,false,21,210,0.014309167861938477
pr_0_85,7,connected_components,connectivity,true,8,13,0.0006399154663085938
pr_0_85,7,modularity,connectivity,true,8,13,0.00098419189453125
pr_0_85,8,connected_components,connectivity,false,8,28,0.0015828609466552734
pr_0_85,8,modularity,connectivity,false,24,276,0.010174036026000977
pr_0_85,8,connected_components,connectivity,true,8,13,0.0005650520324707031
pr_0_85,8,modularity,connectivity,true,8,13,0.0008840560913085938
pr_0_85,9,connected_components,connectivity,false,9,36,0.0018482208251953125
pr_0_85,9,modularity,connectivity,false,27,351,0.01311492919921875
