filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,18,17,0.009282827377319336
agd,2,modularity,connectivity,false,34,38,0.09175419807434082
agd,2,connected_components,connectivity,true,61,60,0.011063814163208008
agd,2,modularity,connectivity,true,72,77,0.07422900199890137
agd,3,connected_components,connectivity,false,50,51,0.010512828826904297
agd,3,modularity,connectivity,false,63,70,0.07912397384643555
agd,3,connected_components,connectivity,true,90,94,0.01171875
agd,3,modularity,connectivity,true,100,113,0.06506609916687012
agd,4,connected_components,connectivity,false,77,77,0.011473894119262695
agd,4,modularity,connectivity,false,87,94,0.0704340934753418
agd,4,connected_components,connectivity,true,120,139,0.013154029846191406
agd,4,modularity,connectivity,true,129,160,0.057698726654052734
agd,5,connected_components,connectivity,false,93,96,0.012166738510131836
agd,5,modularity,connectivity,false,104,118,0.06382298469543457
agd,5,connected_components,connectivity,true,132,155,0.013813972473144531
agd,5,modularity,connectivity,true,140,180,0.054383039474487305
agd,6,connected_components,connectivity,false,101,106,0.012467145919799805
agd,6,modularity,connectivity,false,111,127,0.08199715614318848
agd,6,connected_components,connectivity,true,152,188,0.01466226577758789
agd,6,modularity,connectivity,true,162,214,0.05167388916015625
agd,7,connected_components,connectivity,false,123,137,0.0135498046875
agd,7,modularity,connectivity,false,134,165,0.05704998970031738
agd,7,connected_components,connectivity,true,160,214,0.015101909637451172
agd,7,modularity,connectivity,true,167,233,0.04973411560058594
agd,8,connected_components,connectivity,false,140,163,0.014075756072998047
agd,8,modularity,connectivity,false,149,183,0.0539851188659668
agd,8,connected_components,connectivity,true,174,238,0.015780210494995117
agd,8,modularity,connectivity,true,178,253,0.04828691482543945
agd,9,connected_components,connectivity,false,138,166,0.014289140701293945
agd,9,modularity,connectivity,false,144,183,0.05281400680541992
agd,9,connected_components,connectivity,true,173,235,0.015913963317871094
agd,9,modularity,connectivity,true,178,253,0.04804587364196777
agd,10,connected_components,connectivity,false,150,187,0.014760017395019531
agd,10,modularity,connectivity,false,157,208,0.0502161979675293
agd,10,connected_components,connectivity,true,180,252,0.016508102416992188
agd,10,modularity,connectivity,true,184,267,0.04733729362487793
agd,11,connected_components,connectivity,false,157,200,0.03508806228637695
agd,11,modularity,connectivity,false,167,228,0.0498499870300293
agd,11,connected_components,connectivity,true,192,278,0.016895055770874023
agd,11,modularity,connectivity,true,196,295,0.046063899993896484
agd,12,connected_components,connectivity,false,164,220,0.01576709747314453
agd,12,modularity,connectivity,false,173,246,0.04857492446899414
agd,12,connected_components,connectivity,true,199,299,0.017314910888671875
agd,12,modularity,connectivity,true,202,314,0.0465242862701416
agd,13,connected_components,connectivity,false,166,220,0.015698909759521484
agd,13,modularity,connectivity,false,174,243,0.04853010177612305
agd,13,connected_components,connectivity,true,196,291,0.01706695556640625
agd,13,modularity,connectivity,true,199,304,0.04592585563659668
agd,14,connected_components,connectivity,false,171,226,0.016104936599731445
agd,14,modularity,connectivity,false,177,241,0.04844021797180176
agd,14,connected_components,connectivity,true,207,319,0.018162965774536133
agd,14,modularity,connectivity,true,210,334,0.04716897010803223
agd,15,connected_components,connectivity,false,185,251,0.016785860061645508
agd,15,modularity,connectivity,false,191,265,0.04793882369995117
agd,15,connected_components,connectivity,true,205,320,0.017756223678588867
agd,15,modularity,connectivity,true,208,329,0.04658198356628418
agd,16,connected_components,connectivity,false,188,255,0.016937971115112305
agd,16,modularity,connectivity,false,195,273,0.06735587120056152
agd,16,connected_components,connectivity,true,211,333,0.018072843551635742
agd,16,modularity,connectivity,true,214,342,0.0455479621887207
agd,17,connected_components,connectivity,false,185,262,0.017052173614501953
agd,17,modularity,connectivity,false,189,274,0.04591202735900879
agd,17,connected_components,connectivity,true,211,330,0.018321752548217773
agd,17,modularity,connectivity,true,215,343,0.045697927474975586
agd,18,connected_components,connectivity,false,191,273,0.017316102981567383
agd,18,modularity,connectivity,false,195,286,0.045204877853393555
agd,18,connected_components,connectivity,true,216,357,0.018218994140625
agd,18,modularity,connectivity,true,221,372,0.04604005813598633
