filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.06473517417907715
agd,2,modularity,connectivity,false,6,5,0.7814226150512695
agd,2,connected_components,connectivity,true,3,2,0.06253600120544434
agd,2,modularity,connectivity,true,7,8,0.7047679424285889
agd,3,connected_components,connectivity,false,3,2,0.06547284126281738
agd,3,modularity,connectivity,false,6,5,0.77618408203125
agd,3,connected_components,connectivity,true,6,7,0.06287693977355957
agd,3,modularity,connectivity,true,8,9,0.6470940113067627
agd,4,connected_components,connectivity,false,5,4,0.06417012214660645
agd,4,modularity,connectivity,false,6,5,0.7370100021362305
agd,4,connected_components,connectivity,true,7,9,0.06251811981201172
agd,4,modularity,connectivity,true,9,13,0.5489718914031982
agd,5,connected_components,connectivity,false,5,4,0.0665736198425293
agd,5,modularity,connectivity,false,6,5,0.7632029056549072
agd,5,connected_components,connectivity,true,8,11,0.06352996826171875
agd,5,modularity,connectivity,true,10,15,0.5828890800476074
agd,6,connected_components,connectivity,false,5,4,0.06633496284484863
agd,6,modularity,connectivity,false,6,5,0.7888619899749756
agd,6,connected_components,connectivity,true,9,14,0.0660090446472168
agd,6,modularity,connectivity,true,11,18,0.5264179706573486
agd,7,connected_components,connectivity,false,7,7,0.0668792724609375
agd,7,modularity,connectivity,false,8,8,0.6677649021148682
agd,7,connected_components,connectivity,true,11,17,0.06785202026367188
agd,7,modularity,connectivity,true,12,19,0.5198781490325928
agd,8,connected_components,connectivity,false,5,4,0.07268905639648438
agd,8,modularity,connectivity,false,6,5,0.8336658477783203
agd,8,connected_components,connectivity,true,12,22,0.06986308097839355
agd,8,modularity,connectivity,true,13,24,0.5128700733184814
agd,9,connected_components,connectivity,false,5,4,0.07445883750915527
agd,9,modularity,connectivity,false,6,5,0.8815770149230957
agd,9,connected_components,connectivity,true,12,23,0.07023906707763672
agd,9,modularity,connectivity,true,14,27,0.4624629020690918
agd,10,connected_components,connectivity,false,5,4,0.07815694808959961
agd,10,modularity,connectivity,false,6,5,0.8956222534179688
agd,10,connected_components,connectivity,true,13,26,0.0758810043334961
agd,10,modularity,connectivity,true,15,31,0.4691448211669922
agd,11,connected_components,connectivity,false,5,4,0.08248114585876465
agd,11,modularity,connectivity,false,6,5,0.9242401123046875
agd,11,connected_components,connectivity,true,15,32,0.07943391799926758
agd,11,modularity,connectivity,true,16,35,0.48115015029907227
agd,12,connected_components,connectivity,false,5,4,0.08559012413024902
agd,12,modularity,connectivity,false,6,5,0.9706299304962158
agd,12,connected_components,connectivity,true,16,36,0.08257389068603516
agd,12,modularity,connectivity,true,17,38,0.4576380252838135
agd,13,connected_components,connectivity,false,5,4,0.09013986587524414
agd,13,modularity,connectivity,false,6,5,1.022217035293579
agd,13,connected_components,connectivity,true,17,44,0.08748102188110352
agd,13,modularity,connectivity,true,18,46,0.4822828769683838
agd,14,connected_components,connectivity,false,7,7,0.09348917007446289
agd,14,modularity,connectivity,false,8,8,0.8896162509918213
agd,14,connected_components,connectivity,true,18,43,0.08996915817260742
agd,14,modularity,connectivity,true,19,46,0.4715290069580078
agd,15,connected_components,connectivity,false,6,5,0.09936118125915527
agd,15,modularity,connectivity,false,7,6,1.1243910789489746
agd,15,connected_components,connectivity,true,20,53,0.09450101852416992
agd,15,modularity,connectivity,true,20,53,0.480363130569458
agd,16,connected_components,connectivity,false,5,4,0.10474181175231934
agd,16,modularity,connectivity,false,6,5,1.191298246383667
agd,16,connected_components,connectivity,true,20,58,0.09488773345947266
agd,16,modularity,connectivity,true,21,61,0.4835081100463867
agd,17,connected_components,connectivity,false,5,4,0.11240601539611816
agd,17,modularity,connectivity,false,6,5,1.2613639831542969
agd,17,connected_components,connectivity,true,21,60,0.09958195686340332
agd,17,modularity,connectivity,true,22,62,0.5010991096496582
agd,18,connected_components,connectivity,false,5,4,0.11831212043762207
agd,18,modularity,connectivity,false,6,5,1.329897165298462
agd,18,connected_components,connectivity,true,22,65,0.10671710968017578
agd,18,modularity,connectivity,true,22,65,0.538628101348877
agd,19,connected_components,connectivity,false,6,6,0.12586688995361328
agd,19,modularity,connectivity,false,7,7,1.405397891998291
agd,19,connected_components,connectivity,true,24,70,0.12165021896362305
agd,19,modularity,connectivity,true,24,70,0.5486388206481934
ecc,2,connected_components,connectivity,false,3,2,0.1345670223236084
ecc,2,modularity,connectivity,false,6,7,1.673340082168579
ecc,2,connected_components,connectivity,true,3,2,0.14044404029846191
ecc,2,modularity,connectivity,true,6,6,1.718027114868164
ecc,3,connected_components,connectivity,false,5,4,0.14025306701660156
ecc,3,modularity,connectivity,false,8,9,1.818319320678711
ecc,3,connected_components,connectivity,true,6,7,0.14856505393981934
ecc,3,modularity,connectivity,true,9,12,1.6250288486480713
ecc,4,connected_components,connectivity,false,6,9,0.27482104301452637
ecc,4,modularity,connectivity,false,10,20,3.089228868484497
ecc,4,connected_components,connectivity,true,8,9,0.1755061149597168
ecc,4,modularity,connectivity,true,11,16,1.600498914718628
ecc,5,connected_components,connectivity,false,11,12,0.1812419891357422
ecc,5,modularity,connectivity,false,12,15,1.911813735961914
ecc,5,connected_components,connectivity,true,10,14,0.1543281078338623
ecc,5,modularity,connectivity,true,13,21,1.1700448989868164
ecc,6,connected_components,connectivity,false,13,20,0.15594196319580078
ecc,6,modularity,connectivity,false,14,23,1.5398290157318115
ecc,6,connected_components,connectivity,true,10,14,0.1251378059387207
ecc,6,modularity,connectivity,true,13,21,0.9544258117675781
ecc,7,connected_components,connectivity,false,11,12,0.12177300453186035
ecc,7,modularity,connectivity,false,12,15,1.2702367305755615
ecc,7,connected_components,connectivity,true,12,21,0.1007988452911377
ecc,7,modularity,connectivity,true,15,30,0.7325198650360107
ecc,8,connected_components,connectivity,false,18,43,0.16778969764709473
ecc,8,modularity,connectivity,false,20,52,1.5901188850402832
ecc,8,connected_components,connectivity,true,13,22,0.08625316619873047
ecc,8,modularity,connectivity,true,15,28,0.6306359767913818
ecc,9,connected_components,connectivity,false,11,12,0.0869150161743164
ecc,9,modularity,connectivity,false,12,15,0.9542691707611084
ecc,9,connected_components,connectivity,true,15,29,0.08095717430114746
ecc,9,modularity,connectivity,true,18,39,0.5234279632568359
ecc,10,connected_components,connectivity,false,13,20,0.08710694313049316
