filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,6,5,0.0007359981536865234
agd,2,modularity,connectivity,false,10,10,0.002145051956176758
agd,2,connected_components,connectivity,true,6,5,0.0005750656127929688
agd,2,modularity,connectivity,true,8,8,0.0025568008422851562
agd,3,connected_components,connectivity,false,11,15,0.0012140274047851562
agd,3,modularity,connectivity,false,13,18,0.0016908645629882812
agd,3,connected_components,connectivity,true,13,18,0.0007936954498291016
agd,3,modularity,connectivity,true,14,19,0.0018723011016845703
agd,4,connected_components,connectivity,false,11,15,0.0007193088531494141
agd,4,modularity,connectivity,false,13,18,0.0021719932556152344
agd,4,connected_components,connectivity,true,20,30,0.0009770393371582031
agd,4,modularity,connectivity,true,20,30,0.0009489059448242188
agd,5,connected_components,connectivity,false,11,15,0.0007891654968261719
agd,5,modularity,connectivity,false,13,18,0.0016698837280273438
agd,5,connected_components,connectivity,true,19,29,0.0009539127349853516
agd,5,modularity,connectivity,true,19,29,0.002051115036010742
agd,6,connected_components,connectivity,false,11,15,0.0009629726409912109
agd,6,modularity,connectivity,false,13,18,0.002151966094970703
agd,6,connected_components,connectivity,true,19,29,0.001039266586303711
agd,6,modularity,connectivity,true,19,29,0.0012989044189453125
agd,7,connected_components,connectivity,false,11,15,0.0012540817260742188
agd,7,modularity,connectivity,false,13,18,0.0017766952514648438
agd,7,connected_components,connectivity,true,19,29,0.0010349750518798828
agd,7,modularity,connectivity,true,19,29,0.0012919902801513672
agd,8,connected_components,connectivity,false,11,15,0.0011589527130126953
agd,8,modularity,connectivity,false,13,18,0.002087831497192383
agd,8,connected_components,connectivity,true,20,30,0.001081705093383789
agd,8,modularity,connectivity,true,20,30,0.0010669231414794922
agd,9,connected_components,connectivity,false,11,15,0.0008237361907958984
agd,9,modularity,connectivity,false,13,18,0.0017538070678710938
agd,9,connected_components,connectivity,true,20,30,0.00127410888671875
agd,9,modularity,connectivity,true,20,30,0.0011420249938964844
agd,10,connected_components,connectivity,false,11,15,0.0008471012115478516
agd,10,modularity,connectivity,false,13,18,0.0017180442810058594
agd,10,connected_components,connectivity,true,19,29,0.0010728836059570312
agd,10,modularity,connectivity,true,19,29,0.0019121170043945312
agd,11,connected_components,connectivity,false,11,15,0.0009059906005859375
agd,11,modularity,connectivity,false,13,18,0.0017960071563720703
agd,11,connected_components,connectivity,true,19,29,0.0011219978332519531
agd,11,modularity,connectivity,true,19,29,0.001316070556640625
agd,12,connected_components,connectivity,false,11,15,0.0008909702301025391
agd,12,modularity,connectivity,false,13,18,0.002850770950317383
agd,12,connected_components,connectivity,true,20,30,0.001194000244140625
agd,12,modularity,connectivity,true,20,30,0.0011279582977294922
agd,13,connected_components,connectivity,false,11,15,0.0008809566497802734
agd,13,modularity,connectivity,false,13,18,0.0018298625946044922
agd,13,connected_components,connectivity,true,20,30,0.001190185546875
agd,13,modularity,connectivity,true,20,30,0.0019159317016601562
agd,14,connected_components,connectivity,false,11,15,0.0009570121765136719
agd,14,modularity,connectivity,false,13,18,0.0018029212951660156
agd,14,connected_components,connectivity,true,20,30,0.001237630844116211
agd,14,modularity,connectivity,true,20,30,0.001168966293334961
