filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0011599063873291016
agd,2,modularity,connectivity,false,6,15,0.008610963821411133
agd,2,connected_components,connectivity,true,2,1,0.0004839897155761719
agd,2,modularity,connectivity,true,6,12,0.0028350353240966797
agd,3,connected_components,connectivity,false,3,3,0.0011022090911865234
agd,3,modularity,connectivity,false,9,36,0.0073049068450927734
agd,3,connected_components,connectivity,true,3,3,0.0004940032958984375
agd,3,modularity,connectivity,true,9,19,0.002177000045776367
agd,4,connected_components,connectivity,false,4,6,0.0015549659729003906
agd,4,modularity,connectivity,false,12,66,0.009784936904907227
agd,4,connected_components,connectivity,true,4,6,0.0005538463592529297
agd,4,modularity,connectivity,true,8,15,0.0020508766174316406
agd,5,connected_components,connectivity,false,5,10,0.0025262832641601562
agd,5,modularity,connectivity,false,15,105,0.013424873352050781
agd,5,connected_components,connectivity,true,5,9,0.0006339550018310547
agd,5,modularity,connectivity,true,10,20,0.0020542144775390625
agd,6,connected_components,connectivity,false,6,15,0.001950979232788086
agd,6,modularity,connectivity,false,18,153,0.015192747116088867
agd,6,connected_components,connectivity,true,6,12,0.0006587505340576172
agd,6,modularity,connectivity,true,8,16,0.001989126205444336
agd,7,connected_components,connectivity,false,7,21,0.0025649070739746094
agd,7,modularity,connectivity,false,21,210,0.019947052001953125
agd,7,connected_components,connectivity,true,7,13,0.0007059574127197266
agd,7,modularity,connectivity,true,7,13,0.0019860267639160156
agd,8,connected_components,connectivity,false,8,28,0.0027909278869628906
agd,8,modularity,connectivity,false,24,276,0.020687103271484375
agd,8,connected_components,connectivity,true,8,16,0.000736236572265625
agd,8,modularity,connectivity,true,8,16,0.002418994903564453
agd,9,connected_components,connectivity,false,9,36,0.0036051273345947266
agd,9,modularity,connectivity,false,27,351,0.022832870483398438
agd,9,connected_components,connectivity,true,9,18,0.0007908344268798828
agd,9,modularity,connectivity,true,9,18,0.0021429061889648438
agd,10,connected_components,connectivity,false,10,45,0.004919767379760742
agd,10,modularity,connectivity,false,30,435,0.026279926300048828
agd,10,connected_components,connectivity,true,10,20,0.000881195068359375
agd,10,modularity,connectivity,true,10,20,0.0021619796752929688
agd,11,connected_components,connectivity,false,11,55,0.004286050796508789
agd,11,modularity,connectivity,false,33,528,0.03096175193786621
agd,11,connected_components,connectivity,true,11,21,0.0009222030639648438
agd,11,modularity,connectivity,true,11,21,0.002108335494995117
agd,12,connected_components,connectivity,false,12,66,0.004839897155761719
agd,12,modularity,connectivity,false,36,630,0.03211474418640137
agd,12,connected_components,connectivity,true,12,22,0.0010700225830078125
agd,12,modularity,connectivity,true,12,22,0.0019876956939697266
agd,13,connected_components,connectivity,false,13,78,0.0051839351654052734
agd,13,modularity,connectivity,false,39,741,0.042343854904174805
agd,13,connected_components,connectivity,true,13,23,0.0011026859283447266
agd,13,modularity,connectivity,true,13,23,0.0023288726806640625
agd,14,connected_components,connectivity,false,14,91,0.005945920944213867
agd,14,modularity,connectivity,false,42,861,0.036756038665771484
agd,14,connected_components,connectivity,true,14,24,0.0010099411010742188
agd,14,modularity,connectivity,true,14,24,0.0018281936645507812
agd,15,connected_components,connectivity,false,15,105,0.007364988327026367
