filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.00026297569274902344
agd,2,modularity,connectivity,false,4,3,0.0005321502685546875
agd,2,connected_components,connectivity,true,4,3,0.0002942085266113281
agd,2,modularity,connectivity,true,4,3,0.0005078315734863281
agd,3,connected_components,connectivity,false,4,3,0.00029015541076660156
agd,3,modularity,connectivity,false,4,3,0.0005099773406982422
agd,3,connected_components,connectivity,true,5,6,0.0002880096435546875
agd,3,modularity,connectivity,true,5,6,0.000431060791015625
agd,4,connected_components,connectivity,false,4,3,0.00044274330139160156
agd,4,modularity,connectivity,false,4,3,0.0006110668182373047
agd,4,connected_components,connectivity,true,5,6,0.0003707408905029297
agd,4,modularity,connectivity,true,5,6,0.0008029937744140625
agd,5,connected_components,connectivity,false,4,3,0.0005919933319091797
agd,5,modularity,connectivity,false,4,3,0.0010111331939697266
agd,5,connected_components,connectivity,true,7,14,0.0009140968322753906
agd,5,modularity,connectivity,true,7,14,0.0013759136199951172
agd,6,connected_components,connectivity,false,4,3,0.0004889965057373047
agd,6,modularity,connectivity,false,4,3,0.0009908676147460938
agd,6,connected_components,connectivity,true,6,9,0.0007448196411132812
agd,6,modularity,connectivity,true,6,9,0.0004451274871826172
agd,7,connected_components,connectivity,false,4,3,0.00039696693420410156
agd,7,modularity,connectivity,false,4,3,0.0006740093231201172
agd,7,connected_components,connectivity,true,6,9,0.00043702125549316406
agd,7,modularity,connectivity,true,6,9,0.00038695335388183594
agd,8,connected_components,connectivity,false,4,3,0.00035500526428222656
agd,8,modularity,connectivity,false,4,3,0.0006310939788818359
agd,8,connected_components,connectivity,true,6,9,0.0003941059112548828
agd,8,modularity,connectivity,true,6,9,0.00038504600524902344
agd,9,connected_components,connectivity,false,4,3,0.0003414154052734375
agd,9,modularity,connectivity,false,4,3,0.0006198883056640625
agd,9,connected_components,connectivity,true,6,9,0.0004019737243652344
agd,9,modularity,connectivity,true,6,9,0.0005118846893310547
agd,10,connected_components,connectivity,false,4,3,0.0005919933319091797
agd,10,modularity,connectivity,false,4,3,0.0006568431854248047
agd,10,connected_components,connectivity,true,9,21,0.0005879402160644531
agd,10,modularity,connectivity,true,9,21,0.0005528926849365234
agd,11,connected_components,connectivity,false,4,3,0.0003807544708251953
agd,11,modularity,connectivity,false,4,3,0.0006511211395263672
agd,11,connected_components,connectivity,true,6,9,0.00047397613525390625
agd,11,modularity,connectivity,true,6,9,0.00048279762268066406
agd,12,connected_components,connectivity,false,4,3,0.0004038810729980469
agd,12,modularity,connectivity,false,4,3,0.0007078647613525391
agd,12,connected_components,connectivity,true,6,9,0.000492095947265625
agd,12,modularity,connectivity,true,6,9,0.0005068778991699219
agd,13,connected_components,connectivity,false,4,3,0.0004038810729980469
agd,13,modularity,connectivity,false,4,3,0.000823974609375
agd,13,connected_components,connectivity,true,6,9,0.0009989738464355469
agd,13,modularity,connectivity,true,6,9,0.0008497238159179688
agd,14,connected_components,connectivity,false,4,3,0.0008633136749267578
agd,14,modularity,connectivity,false,4,3,0.0012009143829345703
agd,14,connected_components,connectivity,true,6,9,0.0008780956268310547
agd,14,modularity,connectivity,true,6,9,0.0009002685546875
agd,15,connected_components,connectivity,false,4,3,0.000759124755859375
agd,15,modularity,connectivity,false,4,3,0.0011720657348632812
agd,15,connected_components,connectivity,true,10,24,0.0007011890411376953
agd,15,modularity,connectivity,true,10,24,0.0006499290466308594
agd,16,connected_components,connectivity,false,4,3,0.00042510032653808594
agd,16,modularity,connectivity,false,4,3,0.0007109642028808594
agd,16,connected_components,connectivity,true,6,9,0.0004971027374267578
agd,16,modularity,connectivity,true,6,9,0.0005011558532714844
agd,17,connected_components,connectivity,false,4,3,0.0004429817199707031
agd,17,modularity,connectivity,false,4,3,0.0007281303405761719
agd,17,connected_components,connectivity,true,6,9,0.0007100105285644531
agd,17,modularity,connectivity,true,6,9,0.0005450248718261719
agd,18,connected_components,connectivity,false,4,3,0.0005428791046142578
agd,18,modularity,connectivity,false,4,3,0.000823974609375
agd,18,connected_components,connectivity,true,6,9,0.0006120204925537109
agd,18,modularity,connectivity,true,6,9,0.0008728504180908203
agd,19,connected_components,connectivity,false,4,3,0.00047516822814941406
agd,19,modularity,connectivity,false,4,3,0.0008418560028076172
agd,19,connected_components,connectivity,true,6,9,0.0006172657012939453
agd,19,modularity,connectivity,true,6,9,0.0005660057067871094
ecc,2,connected_components,connectivity,false,2,1,0.0003142356872558594
ecc,2,modularity,connectivity,false,4,6,0.0013272762298583984
ecc,2,connected_components,connectivity,true,4,3,0.0002841949462890625
ecc,2,modularity,connectivity,true,4,3,0.0005009174346923828
ecc,3,connected_components,connectivity,false,3,3,0.00038695335388183594
ecc,3,modularity,connectivity,false,6,15,0.002723217010498047
ecc,3,connected_components,connectivity,true,5,6,0.0006268024444580078
ecc,3,modularity,connectivity,true,5,6,0.0008471012115478516
ecc,4,connected_components,connectivity,false,4,6,0.0009810924530029297
ecc,4,modularity,connectivity,false,8,28,0.004991054534912109
ecc,4,connected_components,connectivity,true,5,6,0.0006759166717529297
ecc,4,modularity,connectivity,true,5,6,0.0005743503570556641
ecc,5,connected_components,connectivity,false,5,10,0.0007448196411132812
ecc,5,modularity,connectivity,false,10,45,0.0034749507904052734
ecc,5,connected_components,connectivity,true,7,14,0.0005278587341308594
ecc,5,modularity,connectivity,true,7,14,0.0008018016815185547
ecc,6,connected_components,connectivity,false,6,15,0.0008349418640136719
ecc,6,modularity,connectivity,false,12,66,0.005159854888916016
ecc,6,connected_components,connectivity,true,6,9,0.00047516822814941406
ecc,6,modularity,connectivity,true,6,9,0.00039005279541015625
ecc,7,connected_components,connectivity,false,7,21,0.0013511180877685547
ecc,7,modularity,connectivity,false,14,91,0.004927873611450195
ecc,7,connected_components,connectivity,true,6,9,0.0005409717559814453
ecc,7,modularity,connectivity,true,6,9,0.0005939006805419922
ecc,8,connected_components,connectivity,false,8,28,0.0018711090087890625
ecc,8,modularity,connectivity,false,16,120,0.010124921798706055
ecc,8,connected_components,connectivity,true,6,9,0.0006771087646484375
ecc,8,modularity,connectivity,true,6,9,0.0007448196411132812
ecc,9,connected_components,connectivity,false,9,36,0.0012590885162353516
ecc,9,modularity,connectivity,false,18,153,0.006960153579711914
ecc,9,connected_components,connectivity,true,6,9,0.0004470348358154297
ecc,9,modularity,connectivity,true,6,9,0.0006771087646484375
ecc,10,connected_components,connectivity,false,10,45,0.0015437602996826172
ecc,10,modularity,connectivity,false,20,190,0.008262872695922852
ecc,10,connected_components,connectivity,true,9,21,0.0005838871002197266
ecc,10,modularity,connectivity,true,9,21,0.001277923583984375
ecc,11,connected_components,connectivity,false,11,55,0.0031158924102783203
ecc,11,modularity,connectivity,false,22,231,0.010468006134033203
ecc,11,connected_components,connectivity,true,6,9,0.0009949207305908203
