filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,24,23,0.0017757415771484375
agd,2,modularity,connectivity,false,26,32,0.0065572261810302734
agd,2,connected_components,connectivity,true,25,24,0.0021271705627441406
agd,2,modularity,connectivity,true,28,36,0.007151126861572266
agd,3,connected_components,connectivity,false,30,29,0.0018401145935058594
agd,3,modularity,connectivity,false,32,46,0.005085945129394531
agd,3,connected_components,connectivity,true,29,28,0.0017769336700439453
agd,3,modularity,connectivity,true,31,44,0.00506901741027832
agd,4,connected_components,connectivity,false,32,36,0.0018229484558105469
agd,4,modularity,connectivity,false,34,42,0.005029916763305664
agd,4,connected_components,connectivity,true,35,39,0.0019106864929199219
agd,4,modularity,connectivity,true,37,59,0.0044689178466796875
agd,5,connected_components,connectivity,false,36,51,0.0031151771545410156
agd,5,modularity,connectivity,false,37,61,0.0041751861572265625
agd,5,connected_components,connectivity,true,34,41,0.001857757568359375
agd,5,modularity,connectivity,true,36,60,0.005352020263671875
agd,6,connected_components,connectivity,false,40,58,0.0020380020141601562
agd,6,modularity,connectivity,false,41,67,0.003557920455932617
agd,6,connected_components,connectivity,true,39,52,0.0023641586303710938
agd,6,modularity,connectivity,true,40,56,0.0038537979125976562
agd,7,connected_components,connectivity,false,38,56,0.0021691322326660156
agd,7,modularity,connectivity,false,39,68,0.004032135009765625
agd,7,connected_components,connectivity,true,44,68,0.0023059844970703125
agd,7,modularity,connectivity,true,45,83,0.003982067108154297
agd,8,connected_components,connectivity,false,43,69,0.0024309158325195312
agd,8,modularity,connectivity,false,43,69,0.0035140514373779297
agd,8,connected_components,connectivity,true,41,63,0.0047149658203125
agd,8,modularity,connectivity,true,42,76,0.0052068233489990234
agd,9,connected_components,connectivity,false,36,61,0.002582073211669922
agd,9,modularity,connectivity,false,37,65,0.00426793098449707
agd,9,connected_components,connectivity,true,43,66,0.002210855484008789
agd,9,modularity,connectivity,true,44,77,0.003512859344482422
agd,10,connected_components,connectivity,false,43,79,0.0022280216217041016
agd,10,modularity,connectivity,false,44,86,0.003525972366333008
agd,10,connected_components,connectivity,true,43,64,0.0028150081634521484
agd,10,modularity,connectivity,true,44,75,0.0036242008209228516
agd,11,connected_components,connectivity,false,44,82,0.0023157596588134766
agd,11,modularity,connectivity,false,44,82,0.00403904914855957
agd,11,connected_components,connectivity,true,46,73,0.002972841262817383
agd,11,modularity,connectivity,true,47,87,0.0032799243927001953
agd,12,connected_components,connectivity,false,45,87,0.0023920536041259766
agd,12,modularity,connectivity,false,45,87,0.0035648345947265625
agd,12,connected_components,connectivity,true,46,73,0.004375934600830078
agd,12,modularity,connectivity,true,47,87,0.004016876220703125
agd,13,connected_components,connectivity,false,44,85,0.0028781890869140625
agd,13,modularity,connectivity,false,44,85,0.0036971569061279297
agd,13,connected_components,connectivity,true,45,73,0.002532958984375
agd,13,modularity,connectivity,true,45,73,0.003278017044067383
agd,14,connected_components,connectivity,false,45,89,0.0029959678649902344
agd,14,modularity,connectivity,false,45,89,0.003983736038208008
agd,14,connected_components,connectivity,true,49,83,0.0026428699493408203
agd,14,modularity,connectivity,true,49,83,0.0038330554962158203
agd,15,connected_components,connectivity,false,46,93,0.0027430057525634766
agd,15,modularity,connectivity,false,46,93,0.0037071704864501953
agd,15,connected_components,connectivity,true,45,73,0.002569913864135742
agd,15,modularity,connectivity,true,45,73,0.0035200119018554688
agd,16,connected_components,connectivity,false,47,94,0.0025510787963867188
agd,16,modularity,connectivity,false,47,94,0.0034291744232177734
agd,16,connected_components,connectivity,true,45,73,0.0027878284454345703
agd,16,modularity,connectivity,true,45,73,0.0034558773040771484
agd,17,connected_components,connectivity,false,46,90,0.003122091293334961
agd,17,modularity,connectivity,false,46,90,0.0033228397369384766
agd,17,connected_components,connectivity,true,46,84,0.002778768539428711
agd,17,modularity,connectivity,true,46,84,0.0036211013793945312
agd,18,connected_components,connectivity,false,45,89,0.0044820308685302734
agd,18,modularity,connectivity,false,45,89,0.00587773323059082
agd,18,connected_components,connectivity,true,46,84,0.002637624740600586
agd,18,modularity,connectivity,true,46,84,0.0031321048736572266
agd,19,connected_components,connectivity,false,47,93,0.0030782222747802734
agd,19,modularity,connectivity,false,47,93,0.0034019947052001953
agd,19,connected_components,connectivity,true,45,81,0.0028989315032958984
agd,19,modularity,connectivity,true,45,81,0.0038390159606933594
ecc,2,connected_components,connectivity,false,7,6,0.0011239051818847656
ecc,2,modularity,connectivity,false,10,23,0.008723974227905273
ecc,2,connected_components,connectivity,true,9,8,0.0012590885162353516
ecc,2,modularity,connectivity,true,12,26,0.008893966674804688
ecc,3,connected_components,connectivity,false,16,21,0.002500295639038086
ecc,3,modularity,connectivity,false,22,67,0.012533903121948242
ecc,3,connected_components,connectivity,true,29,32,0.0019137859344482422
ecc,3,modularity,connectivity,true,32,53,0.004604339599609375
ecc,4,connected_components,connectivity,false,43,75,0.002402067184448242
ecc,4,modularity,connectivity,false,43,75,0.0034351348876953125
ecc,4,connected_components,connectivity,true,34,40,0.002026081085205078
ecc,4,modularity,connectivity,true,37,61,0.005887269973754883
ecc,5,connected_components,connectivity,false,43,75,0.0020809173583984375
ecc,5,modularity,connectivity,false,43,75,0.0034148693084716797
ecc,5,connected_components,connectivity,true,34,47,0.0021009445190429688
ecc,5,modularity,connectivity,true,37,72,0.0042421817779541016
ecc,6,connected_components,connectivity,false,67,197,0.003910064697265625
ecc,6,modularity,connectivity,false,67,197,0.006428956985473633
ecc,6,connected_components,connectivity,true,41,58,0.0022580623626708984
ecc,6,modularity,connectivity,true,43,76,0.004420757293701172
ecc,7,connected_components,connectivity,false,43,75,0.0024247169494628906
ecc,7,modularity,connectivity,false,43,75,0.003756999969482422
ecc,7,connected_components,connectivity,true,46,70,0.002321004867553711
ecc,7,modularity,connectivity,true,48,90,0.004324913024902344
ecc,8,connected_components,connectivity,false,43,75,0.002161264419555664
ecc,8,modularity,connectivity,false,43,75,0.00341796875
ecc,8,connected_components,connectivity,true,43,64,0.0026807785034179688
ecc,8,modularity,connectivity,true,44,78,0.003414154052734375
ecc,9,connected_components,connectivity,false,67,197,0.0036020278930664062
ecc,9,modularity,connectivity,false,67,197,0.006170988082885742
ecc,9,connected_components,connectivity,true,44,67,0.0026450157165527344
ecc,9,modularity,connectivity,true,44,67,0.0033309459686279297
ecc,10,connected_components,connectivity,false,43,75,0.0021638870239257812
ecc,10,modularity,connectivity,false,43,75,0.003963947296142578
ecc,10,connected_components,connectivity,true,49,98,0.0024530887603759766
ecc,10,modularity,connectivity,true,49,98,0.002763032913208008
ecc,11,connected_components,connectivity,false,43,75,0.0027229785919189453
ecc,11,modularity,connectivity,false,43,75,0.004076957702636719
ecc,11,connected_components,connectivity,true,49,98,0.002708911895751953
ecc,11,modularity,connectivity,true,49,98,0.002881765365600586
ecc,12,connected_components,connectivity,false,67,197,0.003773927688598633
ecc,12,modularity,connectivity,false,67,197,0.006227016448974609
ecc,12,connected_components,connectivity,true,50,99,0.003167867660522461
ecc,12,modularity,connectivity,true,50,99,0.002713918685913086
ecc,13,connected_components,connectivity,false,43,75,0.0022592544555664062
ecc,13,modularity,connectivity,false,43,75,0.00413203239440918
ecc,13,connected_components,connectivity,true,46,87,0.002552032470703125
ecc,13,modularity,connectivity,true,46,87,0.003056764602661133
ecc,14,connected_components,connectivity,false,43,75,0.002791166305541992
ecc,14,modularity,connectivity,false,43,75,0.004107952117919922
ecc,14,connected_components,connectivity,true,51,103,0.002862215042114258
ecc,14,modularity,connectivity,true,51,103,0.0033638477325439453
ecc,15,connected_components,connectivity,false,67,197,0.003972768783569336
ecc,15,modularity,connectivity,false,67,197,0.006340742111206055
ecc,15,connected_components,connectivity,true,47,91,0.002836942672729492
ecc,15,modularity,connectivity,true,47,91,0.0039899349212646484
ecc,16,connected_components,connectivity,false,43,75,0.002771139144897461
ecc,16,modularity,connectivity,false,43,75,0.003959178924560547
ecc,16,connected_components,connectivity,true,47,91,0.002736806869506836
ecc,16,modularity,connectivity,true,47,91,0.003286123275756836
ecc,17,connected_components,connectivity,false,43,75,0.0024209022521972656
ecc,17,modularity,connectivity,false,43,75,0.0041959285736083984
ecc,17,connected_components,connectivity,true,48,96,0.0028531551361083984
ecc,17,modularity,connectivity,true,48,96,0.0029921531677246094
ecc,18,connected_components,connectivity,false,67,197,0.004621744155883789
ecc,18,modularity,connectivity,false,67,197,0.006863117218017578
ecc,18,connected_components,connectivity,true,47,94,0.0028858184814453125
ecc,18,modularity,connectivity,true,47,94,0.003616809844970703
ecc,19,connected_components,connectivity,false,43,75,0.0031728744506835938
ecc,19,modularity,connectivity,false,43,75,0.006592988967895508
ecc,19,connected_components,connectivity,true,48,96,0.002991914749145508
ecc,19,modularity,connectivity,true,48,96,0.003049135208129883
pr_0_85,2,connected_components,connectivity,false,17,16,0.0018188953399658203
pr_0_85,2,modularity,connectivity,false,19,21,0.006515979766845703
pr_0_85,2,connected_components,connectivity,true,26,25,0.0016438961029052734
pr_0_85,2,modularity,connectivity,true,28,29,0.005625247955322266
pr_0_85,3,connected_components,connectivity,false,24,26,0.0015370845794677734
pr_0_85,3,modularity,connectivity,false,27,39,0.005791902542114258
pr_0_85,3,connected_components,connectivity,true,34,33,0.0021677017211914062
pr_0_85,3,modularity,connectivity,true,36,46,0.004333972930908203
pr_0_85,4,connected_components,connectivity,false,32,39,0.00202178955078125
pr_0_85,4,modularity,connectivity,false,35,51,0.004772186279296875
pr_0_85,4,connected_components,connectivity,true,38,37,0.0019390583038330078
pr_0_85,4,modularity,connectivity,true,39,45,0.0036270618438720703
pr_0_85,5,connected_components,connectivity,false,40,71,0.002595186233520508
pr_0_85,5,modularity,connectivity,false,41,76,0.004187822341918945
pr_0_85,5,connected_components,connectivity,true,39,41,0.0019690990447998047
pr_0_85,5,modularity,connectivity,true,40,56,0.0041980743408203125
pr_0_85,6,connected_components,connectivity,false,43,70,0.0021820068359375
pr_0_85,6,modularity,connectivity,false,46,95,0.003731966018676758
pr_0_85,6,connected_components,connectivity,true,40,45,0.0020668506622314453
pr_0_85,6,modularity,connectivity,true,41,57,0.0035521984100341797
pr_0_85,7,connected_components,connectivity,false,43,77,0.0030639171600341797
pr_0_85,7,modularity,connectivity,false,44,81,0.0034439563751220703
pr_0_85,7,connected_components,connectivity,true,42,50,0.002162933349609375
pr_0_85,7,modularity,connectivity,true,44,72,0.0047757625579833984
pr_0_85,8,connected_components,connectivity,false,42,70,0.0025441646575927734
pr_0_85,8,modularity,connectivity,false,43,77,0.003213644027709961
pr_0_85,8,connected_components,connectivity,true,40,48,0.0023322105407714844
pr_0_85,8,modularity,connectivity,true,41,53,0.003364086151123047
pr_0_85,9,connected_components,connectivity,false,43,75,0.002351045608520508
pr_0_85,9,modularity,connectivity,false,44,83,0.004010915756225586
pr_0_85,9,connected_components,connectivity,true,41,55,0.002176046371459961
pr_0_85,9,modularity,connectivity,true,42,60,0.0033750534057617188
pr_0_85,10,connected_components,connectivity,false,47,93,0.0031201839447021484
pr_0_85,10,modularity,connectivity,false,47,93,0.0031311511993408203
pr_0_85,10,connected_components,connectivity,true,44,71,0.002351045608520508
pr_0_85,10,modularity,connectivity,true,44,71,0.0038127899169921875
pr_0_85,11,connected_components,connectivity,false,44,83,0.0025300979614257812
pr_0_85,11,modularity,connectivity,false,45,90,0.0035190582275390625
pr_0_85,11,connected_components,connectivity,true,44,71,0.003122091293334961
pr_0_85,11,modularity,connectivity,true,44,71,0.0033528804779052734
pr_0_85,12,connected_components,connectivity,false,44,79,0.0024759769439697266
pr_0_85,12,modularity,connectivity,false,45,87,0.003432035446166992
pr_0_85,12,connected_components,connectivity,true,44,71,0.002393960952758789
pr_0_85,12,modularity,connectivity,true,44,71,0.003270864486694336
pr_0_85,13,connected_components,connectivity,false,45,81,0.003297090530395508
pr_0_85,13,modularity,connectivity,false,46,89,0.0032689571380615234
pr_0_85,13,connected_components,connectivity,true,46,91,0.0024580955505371094
pr_0_85,13,modularity,connectivity,true,46,91,0.0038919448852539062
pr_0_85,14,connected_components,connectivity,false,46,86,0.0026092529296875
pr_0_85,14,modularity,connectivity,false,47,94,0.003042936325073242
pr_0_85,14,connected_components,connectivity,true,50,101,0.003384113311767578
pr_0_85,14,modularity,connectivity,true,50,101,0.003554105758666992
pr_0_85,15,connected_components,connectivity,false,46,92,0.0025610923767089844
pr_0_85,15,modularity,connectivity,false,46,92,0.004072904586791992
pr_0_85,15,connected_components,connectivity,true,46,91,0.0025789737701416016
pr_0_85,15,modularity,connectivity,true,46,91,0.0032241344451904297
pr_0_85,16,connected_components,connectivity,false,47,92,0.0038149356842041016
pr_0_85,16,modularity,connectivity,false,47,92,0.003743886947631836
pr_0_85,16,connected_components,connectivity,true,46,91,0.0027730464935302734
pr_0_85,16,modularity,connectivity,true,46,91,0.0032236576080322266
pr_0_85,17,connected_components,connectivity,false,46,85,0.0037300586700439453
pr_0_85,17,modularity,connectivity,false,47,93,0.0030760765075683594
pr_0_85,17,connected_components,connectivity,true,46,92,0.002569913864135742
pr_0_85,17,modularity,connectivity,true,46,92,0.00427699089050293
pr_0_85,18,connected_components,connectivity,false,47,96,0.0027658939361572266
pr_0_85,18,modularity,connectivity,false,47,96,0.0031280517578125
pr_0_85,18,connected_components,connectivity,true,46,91,0.003281831741333008
pr_0_85,18,modularity,connectivity,true,46,91,0.003305196762084961
pr_0_85,19,connected_components,connectivity,false,48,97,0.002705097198486328
pr_0_85,19,modularity,connectivity,false,48,97,0.0035610198974609375
pr_0_85,19,connected_components,connectivity,true,46,92,0.0027048587799072266
pr_0_85,19,modularity,connectivity,true,46,92,0.0033638477325439453
fv,2,connected_components,connectivity,false,2,1,0.0013189315795898438
fv,2,modularity,connectivity,false,4,4,0.00829315185546875
fv,2,connected_components,connectivity,true,6,5,0.0013759136199951172
fv,2,modularity,connectivity,true,9,11,0.00827789306640625
fv,3,connected_components,connectivity,false,2,1,0.0013780593872070312
fv,3,modularity,connectivity,false,4,4,0.008550882339477539
fv,3,connected_components,connectivity,true,7,7,0.0014841556549072266
fv,3,modularity,connectivity,true,12,26,0.007034778594970703
fv,4,connected_components,connectivity,false,3,3,0.0014920234680175781
fv,4,modularity,connectivity,false,5,6,0.008462905883789062
fv,4,connected_components,connectivity,true,24,25,0.0019860267639160156
