filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0009608268737792969
agd,2,modularity,connectivity,false,6,11,0.0076291561126708984
agd,2,connected_components,connectivity,true,11,10,0.0011172294616699219
agd,2,modularity,connectivity,true,14,24,0.00506591796875
agd,3,connected_components,connectivity,false,4,3,0.0013561248779296875
agd,3,modularity,connectivity,false,8,13,0.0069239139556884766
agd,3,connected_components,connectivity,true,15,24,0.0013420581817626953
agd,3,modularity,connectivity,true,18,41,0.004778861999511719
agd,4,connected_components,connectivity,false,4,3,0.001154184341430664
agd,4,modularity,connectivity,false,7,9,0.0068721771240234375
agd,4,connected_components,connectivity,true,18,34,0.0013439655303955078
agd,4,modularity,connectivity,true,20,42,0.004311084747314453
agd,5,connected_components,connectivity,false,7,6,0.0011687278747558594
agd,5,modularity,connectivity,false,10,14,0.0071299076080322266
agd,5,connected_components,connectivity,true,18,35,0.0017578601837158203
agd,5,modularity,connectivity,true,21,54,0.004136085510253906
agd,6,connected_components,connectivity,false,10,9,0.001180887222290039
agd,6,modularity,connectivity,false,12,17,0.00674891471862793
agd,6,connected_components,connectivity,true,23,48,0.0015969276428222656
agd,6,modularity,connectivity,true,23,48,0.0037479400634765625
agd,7,connected_components,connectivity,false,10,9,0.001425027847290039
agd,7,modularity,connectivity,false,12,15,0.00544285774230957
agd,7,connected_components,connectivity,true,24,56,0.0018031597137451172
agd,7,modularity,connectivity,true,24,56,0.004160881042480469
agd,8,connected_components,connectivity,false,12,11,0.0013768672943115234
agd,8,modularity,connectivity,false,15,25,0.0049741268157958984
agd,8,connected_components,connectivity,true,27,62,0.0021810531616210938
agd,8,modularity,connectivity,true,27,62,0.003408193588256836
agd,9,connected_components,connectivity,false,12,11,0.001287698745727539
agd,9,modularity,connectivity,false,15,26,0.0057718753814697266
agd,9,connected_components,connectivity,true,23,58,0.0018012523651123047
agd,9,modularity,connectivity,true,23,58,0.0036809444427490234
agd,10,connected_components,connectivity,false,13,16,0.0014660358428955078
agd,10,modularity,connectivity,false,16,27,0.0057659149169921875
agd,10,connected_components,connectivity,true,26,67,0.001968860626220703
agd,10,modularity,connectivity,true,26,67,0.003704071044921875
agd,11,connected_components,connectivity,false,13,16,0.0014641284942626953
agd,11,modularity,connectivity,false,16,27,0.006430864334106445
agd,11,connected_components,connectivity,true,27,75,0.0021119117736816406
agd,11,modularity,connectivity,true,27,75,0.0039861202239990234
agd,12,connected_components,connectivity,false,15,23,0.001965761184692383
agd,12,modularity,connectivity,false,19,42,0.005446910858154297
agd,12,connected_components,connectivity,true,28,73,0.002153158187866211
agd,12,modularity,connectivity,true,28,73,0.0034737586975097656
agd,13,connected_components,connectivity,false,15,23,0.0020668506622314453
agd,13,modularity,connectivity,false,18,37,0.00527501106262207
agd,13,connected_components,connectivity,true,27,70,0.0024650096893310547
agd,13,modularity,connectivity,true,27,70,0.003818035125732422
agd,14,connected_components,connectivity,false,14,23,0.001995086669921875
agd,14,modularity,connectivity,false,17,36,0.007117033004760742
agd,14,connected_components,connectivity,true,33,93,0.0025959014892578125
agd,14,modularity,connectivity,true,33,93,0.002610921859741211
agd,15,connected_components,connectivity,false,13,20,0.0014159679412841797
agd,15,modularity,connectivity,false,16,31,0.004709005355834961
agd,15,connected_components,connectivity,true,29,81,0.0020160675048828125
agd,15,modularity,connectivity,true,29,81,0.0038809776306152344
agd,16,connected_components,connectivity,false,18,33,0.0030739307403564453
agd,16,modularity,connectivity,false,21,52,0.004835844039916992
agd,16,connected_components,connectivity,true,31,85,0.0021660327911376953
agd,16,modularity,connectivity,true,31,85,0.003172159194946289
agd,17,connected_components,connectivity,false,18,33,0.0019707679748535156
agd,17,modularity,connectivity,false,20,43,0.003838062286376953
agd,17,connected_components,connectivity,true,39,139,0.002665996551513672
agd,17,modularity,connectivity,true,39,139,0.004701852798461914
agd,18,connected_components,connectivity,false,20,38,0.0017018318176269531
agd,18,modularity,connectivity,false,22,47,0.0036950111389160156
agd,18,connected_components,connectivity,true,32,97,0.002788066864013672
agd,18,modularity,connectivity,true,32,97,0.0031731128692626953
agd,19,connected_components,connectivity,false,20,40,0.001725912094116211
agd,19,modularity,connectivity,false,21,46,0.004450798034667969
agd,19,connected_components,connectivity,true,30,87,0.0021309852600097656
agd,19,modularity,connectivity,true,30,87,0.0030527114868164062
ecc,2,connected_components,connectivity,false,10,9,0.0014929771423339844
ecc,2,modularity,connectivity,false,14,31,0.008064031600952148
ecc,2,connected_components,connectivity,true,8,7,0.0012962818145751953
ecc,2,modularity,connectivity,true,12,26,0.005301952362060547
ecc,3,connected_components,connectivity,false,12,11,0.0011019706726074219
ecc,3,modularity,connectivity,false,15,30,0.005537986755371094
ecc,3,connected_components,connectivity,true,12,20,0.0011417865753173828
ecc,3,modularity,connectivity,true,15,38,0.004081010818481445
ecc,4,connected_components,connectivity,false,21,25,0.0015070438385009766
ecc,4,modularity,connectivity,false,24,57,0.006645917892456055
ecc,4,connected_components,connectivity,true,17,34,0.0013570785522460938
ecc,4,modularity,connectivity,true,19,49,0.004194736480712891
ecc,5,connected_components,connectivity,false,12,11,0.0011188983917236328
ecc,5,modularity,connectivity,false,15,30,0.005290985107421875
ecc,5,connected_components,connectivity,true,16,34,0.0013058185577392578
ecc,5,modularity,connectivity,true,19,51,0.003917217254638672
ecc,6,connected_components,connectivity,false,21,25,0.0016570091247558594
ecc,6,modularity,connectivity,false,24,57,0.006412982940673828
ecc,6,connected_components,connectivity,true,22,51,0.0015559196472167969
ecc,6,modularity,connectivity,true,24,68,0.0036630630493164062
ecc,7,connected_components,connectivity,false,12,11,0.0011620521545410156
ecc,7,modularity,connectivity,false,15,30,0.005274057388305664
ecc,7,connected_components,connectivity,true,26,61,0.0016689300537109375
ecc,7,modularity,connectivity,true,26,61,0.0033097267150878906
ecc,8,connected_components,connectivity,false,21,25,0.0021371841430664062
ecc,8,modularity,connectivity,false,24,57,0.006221771240234375
ecc,8,connected_components,connectivity,true,27,65,0.0017399787902832031
ecc,8,modularity,connectivity,true,27,65,0.004065036773681641
ecc,9,connected_components,connectivity,false,12,11,0.0015578269958496094
ecc,9,modularity,connectivity,false,15,30,0.0056629180908203125
ecc,9,connected_components,connectivity,true,24,61,0.0016951560974121094
ecc,9,modularity,connectivity,true,24,61,0.003390073776245117
ecc,10,connected_components,connectivity,false,21,25,0.0016531944274902344
ecc,10,modularity,connectivity,false,24,57,0.006335020065307617
