filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0004780292510986328
agd,2,modularity,connectivity,false,4,5,0.0012960433959960938
agd,2,connected_components,connectivity,true,5,6,0.0004439353942871094
agd,2,modularity,connectivity,true,6,9,0.0012040138244628906
agd,3,connected_components,connectivity,false,5,7,0.00043892860412597656
agd,3,modularity,connectivity,false,5,7,0.0012409687042236328
agd,3,connected_components,connectivity,true,4,5,0.00042819976806640625
agd,3,modularity,connectivity,true,6,10,0.0013849735260009766
agd,4,connected_components,connectivity,false,6,9,0.0004868507385253906
agd,4,modularity,connectivity,false,6,9,0.0015020370483398438
agd,4,connected_components,connectivity,true,8,12,0.0005991458892822266
agd,4,modularity,connectivity,true,8,12,0.0013942718505859375
agd,5,connected_components,connectivity,false,7,10,0.0005619525909423828
agd,5,modularity,connectivity,false,7,10,0.0012159347534179688
agd,5,connected_components,connectivity,true,8,12,0.0006091594696044922
agd,5,modularity,connectivity,true,8,12,0.0011870861053466797
agd,6,connected_components,connectivity,false,7,10,0.0005469322204589844
agd,6,modularity,connectivity,false,7,10,0.0013041496276855469
agd,6,connected_components,connectivity,true,10,14,0.0009801387786865234
agd,6,modularity,connectivity,true,10,14,0.0011060237884521484
agd,7,connected_components,connectivity,false,7,10,0.0006053447723388672
agd,7,modularity,connectivity,false,7,10,0.0014369487762451172
agd,7,connected_components,connectivity,true,10,14,0.0007128715515136719
agd,7,modularity,connectivity,true,10,14,0.0010607242584228516
agd,8,connected_components,connectivity,false,7,10,0.0007441043853759766
agd,8,modularity,connectivity,false,7,10,0.0013818740844726562
agd,8,connected_components,connectivity,true,12,18,0.000743865966796875
agd,8,modularity,connectivity,true,12,18,0.0007469654083251953
agd,9,connected_components,connectivity,false,7,10,0.0006351470947265625
agd,9,modularity,connectivity,false,7,10,0.001316070556640625
agd,9,connected_components,connectivity,true,11,16,0.000926971435546875
agd,9,modularity,connectivity,true,11,16,0.0013968944549560547
agd,10,connected_components,connectivity,false,7,10,0.0006668567657470703
agd,10,modularity,connectivity,false,7,10,0.0013911724090576172
agd,10,connected_components,connectivity,true,12,18,0.0007829666137695312
agd,10,modularity,connectivity,true,12,18,0.00078582763671875
agd,11,connected_components,connectivity,false,7,10,0.0006630420684814453
agd,11,modularity,connectivity,false,7,10,0.0016057491302490234
agd,11,connected_components,connectivity,true,17,43,0.0013768672943115234
agd,11,modularity,connectivity,true,17,43,0.0016200542449951172
agd,12,connected_components,connectivity,false,7,10,0.0007479190826416016
agd,12,modularity,connectivity,false,7,10,0.0013799667358398438
agd,12,connected_components,connectivity,true,12,18,0.0009028911590576172
agd,12,modularity,connectivity,true,12,18,0.0008370876312255859
agd,13,connected_components,connectivity,false,7,10,0.0007369518280029297
agd,13,modularity,connectivity,false,7,10,0.0014331340789794922
agd,13,connected_components,connectivity,true,12,18,0.0008690357208251953
agd,13,modularity,connectivity,true,12,18,0.0008549690246582031
agd,14,connected_components,connectivity,false,7,10,0.0007989406585693359
agd,14,modularity,connectivity,false,7,10,0.0014426708221435547
agd,14,connected_components,connectivity,true,12,18,0.001094818115234375
agd,14,modularity,connectivity,true,12,18,0.0009400844573974609
agd,15,connected_components,connectivity,false,7,10,0.0009348392486572266
agd,15,modularity,connectivity,false,7,10,0.0022449493408203125
agd,15,connected_components,connectivity,true,12,18,0.0017409324645996094
agd,15,modularity,connectivity,true,12,18,0.0016939640045166016
agd,16,connected_components,connectivity,false,7,10,0.0014410018920898438
agd,16,modularity,connectivity,false,7,10,0.0027408599853515625
agd,16,connected_components,connectivity,true,12,18,0.001706838607788086
agd,16,modularity,connectivity,true,12,18,0.0013580322265625
agd,17,connected_components,connectivity,false,7,10,0.0011320114135742188
