filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.07044410705566406
agd,2,modularity,connectivity,false,6,8,0.8058359622955322
agd,2,connected_components,connectivity,true,4,3,0.06763696670532227
agd,2,modularity,connectivity,true,9,14,0.6614117622375488
agd,3,connected_components,connectivity,false,5,5,0.06854486465454102
agd,3,modularity,connectivity,false,8,11,0.7448978424072266
agd,3,connected_components,connectivity,true,7,9,0.06607580184936523
agd,3,modularity,connectivity,true,12,22,0.5743119716644287
agd,4,connected_components,connectivity,false,7,9,0.06780195236206055
agd,4,modularity,connectivity,false,11,16,0.6890819072723389
agd,4,connected_components,connectivity,true,11,21,0.06535196304321289
agd,4,modularity,connectivity,true,15,31,0.5113422870635986
agd,5,connected_components,connectivity,false,9,13,0.06736588478088379
agd,5,modularity,connectivity,false,13,22,0.6183409690856934
agd,5,connected_components,connectivity,true,13,30,0.06404590606689453
agd,5,modularity,connectivity,true,19,50,0.44764280319213867
agd,6,connected_components,connectivity,false,11,21,0.0685110092163086
agd,6,modularity,connectivity,false,17,36,0.6051678657531738
agd,6,connected_components,connectivity,true,17,48,0.06380605697631836
agd,6,modularity,connectivity,true,24,67,0.42787599563598633
agd,7,connected_components,connectivity,false,14,28,0.06724715232849121
agd,7,modularity,connectivity,false,20,47,0.5947980880737305
agd,7,connected_components,connectivity,true,20,59,0.06665968894958496
agd,7,modularity,connectivity,true,25,72,0.41005969047546387
agd,8,connected_components,connectivity,false,15,33,0.06904816627502441
agd,8,modularity,connectivity,false,19,44,0.5716233253479004
agd,8,connected_components,connectivity,true,23,76,0.06606101989746094
agd,8,modularity,connectivity,true,30,104,0.3867349624633789
agd,9,connected_components,connectivity,false,15,36,0.06895589828491211
agd,9,modularity,connectivity,false,22,59,0.5353097915649414
agd,9,connected_components,connectivity,true,25,92,0.06723475456237793
agd,9,modularity,connectivity,true,34,128,0.36594510078430176
agd,10,connected_components,connectivity,false,19,51,0.06912517547607422
agd,10,modularity,connectivity,false,25,73,0.5302789211273193
agd,10,connected_components,connectivity,true,27,104,0.06759500503540039
agd,10,modularity,connectivity,true,37,149,0.34253597259521484
agd,11,connected_components,connectivity,false,21,62,0.06981301307678223
agd,11,modularity,connectivity,false,27,85,0.5086321830749512
agd,11,connected_components,connectivity,true,35,159,0.06713986396789551
agd,11,modularity,connectivity,true,44,203,0.3252840042114258
agd,12,connected_components,connectivity,false,22,68,0.06977105140686035
agd,12,modularity,connectivity,false,28,92,0.4773387908935547
agd,12,connected_components,connectivity,true,35,163,0.0773468017578125
agd,12,modularity,connectivity,true,47,230,0.32194089889526367
agd,13,connected_components,connectivity,false,24,83,0.06903481483459473
agd,13,modularity,connectivity,false,32,114,0.4548799991607666
agd,13,connected_components,connectivity,true,38,194,0.06752514839172363
agd,13,modularity,connectivity,true,48,244,0.30072903633117676
