filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.000553131103515625
agd,2,modularity,connectivity,false,4,3,0.0020961761474609375
agd,2,connected_components,connectivity,true,3,2,0.0004730224609375
agd,2,modularity,connectivity,true,5,5,0.001979827880859375
agd,3,connected_components,connectivity,false,5,4,0.0004711151123046875
agd,3,modularity,connectivity,false,6,5,0.0019681453704833984
agd,3,connected_components,connectivity,true,5,4,0.0006089210510253906
agd,3,modularity,connectivity,true,7,8,0.0019309520721435547
agd,4,connected_components,connectivity,false,7,6,0.0008552074432373047
agd,4,modularity,connectivity,false,9,8,0.0021393299102783203
agd,4,connected_components,connectivity,true,9,10,0.0006449222564697266
agd,4,modularity,connectivity,true,10,11,0.0018079280853271484
agd,5,connected_components,connectivity,false,9,12,0.0007081031799316406
agd,5,modularity,connectivity,false,11,14,0.0021789073944091797
agd,5,connected_components,connectivity,true,9,8,0.0007109642028808594
agd,5,modularity,connectivity,true,10,11,0.002988100051879883
agd,6,connected_components,connectivity,false,7,6,0.001277923583984375
agd,6,modularity,connectivity,false,9,8,0.002894163131713867
agd,6,connected_components,connectivity,true,13,18,0.0008447170257568359
agd,6,modularity,connectivity,true,14,20,0.002290964126586914
agd,7,connected_components,connectivity,false,7,6,0.000659942626953125
agd,7,modularity,connectivity,false,9,8,0.002010822296142578
agd,7,connected_components,connectivity,true,17,24,0.0009138584136962891
agd,7,modularity,connectivity,true,17,24,0.00127410888671875
agd,8,connected_components,connectivity,false,7,6,0.0006251335144042969
agd,8,modularity,connectivity,false,9,8,0.001924276351928711
agd,8,connected_components,connectivity,true,15,22,0.0009379386901855469
agd,8,modularity,connectivity,true,15,22,0.0018107891082763672
agd,9,connected_components,connectivity,false,7,6,0.0006737709045410156
agd,9,modularity,connectivity,false,9,8,0.002050161361694336
agd,9,connected_components,connectivity,true,17,24,0.0008800029754638672
agd,9,modularity,connectivity,true,17,24,0.0012600421905517578
agd,10,connected_components,connectivity,false,9,12,0.0011260509490966797
agd,10,modularity,connectivity,false,11,14,0.0042378902435302734
agd,10,connected_components,connectivity,true,18,25,0.0014400482177734375
agd,10,modularity,connectivity,true,18,25,0.0012581348419189453
agd,11,connected_components,connectivity,false,9,8,0.0010800361633300781
agd,11,modularity,connectivity,false,10,11,0.00261688232421875
agd,11,connected_components,connectivity,true,18,25,0.0012171268463134766
agd,11,modularity,connectivity,true,18,25,0.0013349056243896484
agd,12,connected_components,connectivity,false,9,8,0.0007221698760986328
agd,12,modularity,connectivity,false,10,11,0.001911163330078125
agd,12,connected_components,connectivity,true,18,25,0.0014369487762451172
agd,12,modularity,connectivity,true,18,25,0.001302957534790039
agd,13,connected_components,connectivity,false,9,8,0.0007381439208984375
agd,13,modularity,connectivity,false,10,11,0.0019497871398925781
agd,13,connected_components,connectivity,true,19,27,0.0011849403381347656
agd,13,modularity,connectivity,true,19,27,0.0013880729675292969
agd,14,connected_components,connectivity,false,9,8,0.0009441375732421875
agd,14,modularity,connectivity,false,10,11,0.003679037094116211
agd,14,connected_components,connectivity,true,19,27,0.0016100406646728516
agd,14,modularity,connectivity,true,19,27,0.0014603137969970703
agd,15,connected_components,connectivity,false,9,8,0.001065969467163086
agd,15,modularity,connectivity,false,10,11,0.0026438236236572266
agd,15,connected_components,connectivity,true,19,27,0.0010268688201904297
agd,15,modularity,connectivity,true,19,27,0.0011970996856689453
agd,16,connected_components,connectivity,false,9,8,0.0007789134979248047
agd,16,modularity,connectivity,false,10,11,0.0020987987518310547
agd,16,connected_components,connectivity,true,19,27,0.0014510154724121094
agd,16,modularity,connectivity,true,19,27,0.0012080669403076172
agd,17,connected_components,connectivity,false,9,8,0.0008320808410644531
agd,17,modularity,connectivity,false,10,11,0.002283811569213867
agd,17,connected_components,connectivity,true,19,27,0.0010433197021484375
agd,17,modularity,connectivity,true,19,27,0.0013699531555175781
agd,18,connected_components,connectivity,false,9,8,0.001863241195678711
agd,18,modularity,connectivity,false,10,11,0.003687143325805664
agd,18,connected_components,connectivity,true,19,27,0.0010859966278076172
agd,18,modularity,connectivity,true,19,27,0.001996755599975586
agd,19,connected_components,connectivity,false,9,8,0.0009050369262695312
agd,19,modularity,connectivity,false,10,11,0.002513885498046875
agd,19,connected_components,connectivity,true,34,91,0.0028319358825683594
agd,19,modularity,connectivity,true,34,91,0.0020599365234375
ecc,2,connected_components,connectivity,false,3,2,0.0005147457122802734
ecc,2,modularity,connectivity,false,4,3,0.0023779869079589844
ecc,2,connected_components,connectivity,true,3,2,0.0005831718444824219
ecc,2,modularity,connectivity,true,5,5,0.002390146255493164
ecc,3,connected_components,connectivity,false,5,4,0.0005319118499755859
ecc,3,modularity,connectivity,false,7,6,0.002660036087036133
ecc,3,connected_components,connectivity,true,5,4,0.0007288455963134766
ecc,3,modularity,connectivity,true,7,8,0.0031659603118896484
ecc,4,connected_components,connectivity,false,7,10,0.0007970333099365234
ecc,4,modularity,connectivity,false,9,14,0.0037889480590820312
ecc,4,connected_components,connectivity,true,9,10,0.0008409023284912109
ecc,4,modularity,connectivity,true,10,11,0.0025742053985595703
ecc,5,connected_components,connectivity,false,9,8,0.001177072525024414
ecc,5,modularity,connectivity,false,10,11,0.0020761489868164062
ecc,5,connected_components,connectivity,true,9,8,0.0006933212280273438
ecc,5,modularity,connectivity,true,10,11,0.001825094223022461
ecc,6,connected_components,connectivity,false,11,14,0.0007207393646240234
ecc,6,modularity,connectivity,false,12,17,0.00286102294921875
ecc,6,connected_components,connectivity,true,13,18,0.0008840560913085938
ecc,6,modularity,connectivity,true,14,20,0.0019440650939941406
