filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,7,6,0.02226996421813965
agd,2,modularity,connectivity,false,14,18,0.35477209091186523
agd,2,connected_components,connectivity,true,25,24,0.023724079132080078
agd,2,modularity,connectivity,true,33,50,0.2828390598297119
agd,3,connected_components,connectivity,false,18,17,0.023184776306152344
agd,3,modularity,connectivity,false,32,49,0.328157901763916
agd,3,connected_components,connectivity,true,35,43,0.02514934539794922
agd,3,modularity,connectivity,true,51,110,0.21521520614624023
agd,4,connected_components,connectivity,false,33,32,0.023832082748413086
agd,4,modularity,connectivity,false,41,59,0.27248096466064453
agd,4,connected_components,connectivity,true,54,88,0.02460312843322754
agd,4,modularity,connectivity,true,73,179,0.18246698379516602
agd,5,connected_components,connectivity,false,29,28,0.023432016372680664
agd,5,modularity,connectivity,false,44,80,0.23144006729125977
agd,5,connected_components,connectivity,true,66,127,0.02573394775390625
agd,5,modularity,connectivity,true,88,229,0.16959810256958008
agd,6,connected_components,connectivity,false,36,40,0.025774002075195312
agd,6,modularity,connectivity,false,55,107,0.21259379386901855
agd,6,connected_components,connectivity,true,97,212,0.02955913543701172
agd,6,modularity,connectivity,true,118,326,0.15949797630310059
agd,7,connected_components,connectivity,false,32,40,0.0257110595703125
agd,7,modularity,connectivity,false,54,123,0.21358799934387207
agd,7,connected_components,connectivity,true,116,281,0.031217098236083984
agd,7,modularity,connectivity,true,141,419,0.14802002906799316
agd,8,connected_components,connectivity,false,55,70,0.026582002639770508
agd,8,modularity,connectivity,false,81,182,0.19010519981384277
agd,8,connected_components,connectivity,true,125,333,0.03151369094848633
agd,8,modularity,connectivity,true,144,430,0.13878178596496582
agd,9,connected_components,connectivity,false,61,84,0.027385950088500977
agd,9,modularity,connectivity,false,88,210,0.18005776405334473
agd,9,connected_components,connectivity,true,150,440,0.033570051193237305
agd,9,modularity,connectivity,true,162,509,0.13299202919006348
agd,10,connected_components,connectivity,false,67,105,0.027946949005126953
agd,10,modularity,connectivity,false,91,223,0.16809391975402832
agd,10,connected_components,connectivity,true,170,514,0.03544926643371582
agd,10,modularity,connectivity,true,186,602,0.15482783317565918
agd,11,connected_components,connectivity,false,71,125,0.02828192710876465
agd,11,modularity,connectivity,false,97,241,0.15812397003173828
agd,11,connected_components,connectivity,true,186,565,0.0368802547454834
agd,11,modularity,connectivity,true,197,627,0.12520384788513184
agd,12,connected_components,connectivity,false,87,157,0.02950906753540039
agd,12,modularity,connectivity,false,116,318,0.14783120155334473
agd,12,connected_components,connectivity,true,214,669,0.03836703300476074
agd,12,modularity,connectivity,true,227,754,0.12279987335205078
agd,13,connected_components,connectivity,false,92,175,0.030065298080444336
agd,13,modularity,connectivity,false,122,328,0.14638209342956543
agd,13,connected_components,connectivity,true,216,678,0.03901791572570801
agd,13,modularity,connectivity,true,227,740,0.12128996849060059
agd,14,connected_components,connectivity,false,86,172,0.056690216064453125
agd,14,modularity,connectivity,false,114,316,0.14733481407165527
agd,14,connected_components,connectivity,true,232,764,0.04115915298461914
agd,14,modularity,connectivity,true,247,842,0.11968374252319336
