filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,6,5,0.0087
agd,2,connected_components,connectivity,true,34,33,0.0096
agd,2,modularity,connectivity,false,11,14,0.2116
agd,2,modularity,connectivity,true,40,54,0.1181
agd,2,async_label_prop,connectivity,false,15,17,0.086
agd,2,async_label_prop,connectivity,true,50,66,0.0808
agd,3,connected_components,connectivity,false,11,11,0.009
agd,3,connected_components,connectivity,true,48,51,0.0097
agd,3,modularity,connectivity,false,17,22,0.1973
agd,3,modularity,connectivity,true,61,120,0.0822
agd,3,async_label_prop,connectivity,false,19,21,0.1028
agd,3,async_label_prop,connectivity,true,64,88,0.0607
agd,4,connected_components,connectivity,false,9,9,0.0089
agd,4,connected_components,connectivity,true,64,80,0.0102
agd,4,modularity,connectivity,false,16,24,0.1874
agd,4,modularity,connectivity,true,76,161,0.07
agd,4,async_label_prop,connectivity,false,25,35,0.1195
agd,4,async_label_prop,connectivity,true,79,114,0.0699
agd,6,connected_components,connectivity,false,16,20,0.0094
agd,6,connected_components,connectivity,true,83,125,0.0109
agd,6,modularity,connectivity,false,22,35,0.188
agd,6,modularity,connectivity,true,101,267,0.0579
agd,6,async_label_prop,connectivity,false,23,31,0.1006
agd,6,async_label_prop,connectivity,true,105,212,0.0484
agd,8,connected_components,connectivity,false,23,28,0.0149
agd,8,connected_components,connectivity,true,100,172,0.0116
agd,8,modularity,connectivity,false,30,42,0.1835
agd,8,modularity,connectivity,true,115,357,0.0509
agd,8,async_label_prop,connectivity,false,30,37,0.0822
agd,8,async_label_prop,connectivity,true,120,274,0.0511
agd,10,connected_components,connectivity,false,31,36,0.01
agd,10,connected_components,connectivity,true,122,241,0.0125
agd,10,modularity,connectivity,false,41,65,0.1713
agd,10,modularity,connectivity,true,137,444,0.0477
agd,10,async_label_prop,connectivity,false,39,49,0.094
agd,10,async_label_prop,connectivity,true,135,314,0.0415
agd,20,connected_components,connectivity,false,75,94,0.0118
agd,20,connected_components,connectivity,true,175,607,0.0157
agd,20,modularity,connectivity,false,87,142,0.0878
agd,20,modularity,connectivity,true,191,857,0.044
agd,20,async_label_prop,connectivity,false,82,109,0.0696
agd,20,async_label_prop,connectivity,true,182,658,0.0352
ecc,2,connected_components,connectivity,false,49,48,0.0096
ecc,2,connected_components,connectivity,true,44,43,0.0096
ecc,2,modularity,connectivity,false,57,70,0.1123
ecc,2,modularity,connectivity,true,54,100,0.0924
ecc,2,async_label_prop,connectivity,false,65,83,0.0786
ecc,2,async_label_prop,connectivity,true,62,84,0.0728
ecc,3,connected_components,connectivity,false,49,48,0.0097
ecc,3,connected_components,connectivity,true,71,86,0.0103
ecc,3,modularity,connectivity,false,57,70,0.11
ecc,3,modularity,connectivity,true,85,190,0.0725
ecc,3,async_label_prop,connectivity,false,69,90,0.105
ecc,3,async_label_prop,connectivity,true,87,131,0.0535
ecc,4,connected_components,connectivity,false,99,101,0.011
ecc,4,connected_components,connectivity,true,108,163,0.0116
ecc,4,modularity,connectivity,false,105,127,0.09
ecc,4,modularity,connectivity,true,122,315,0.0621
ecc,4,async_label_prop,connectivity,false,108,127,0.0739
ecc,4,async_label_prop,connectivity,true,119,197,0.0577
ecc,6,connected_components,connectivity,false,99,101,0.0111
ecc,6,connected_components,connectivity,true,133,245,0.0125
ecc,6,modularity,connectivity,false,105,127,0.09
ecc,6,modularity,connectivity,true,148,415,0.0527
ecc,6,async_label_prop,connectivity,false,110,131,0.0844
ecc,6,async_label_prop,connectivity,true,145,289,0.0444
ecc,8,connected_components,connectivity,false,99,101,0.0113
ecc,8,connected_components,connectivity,true,170,349,0.0138
ecc,8,modularity,connectivity,false,105,127,0.0904
ecc,8,modularity,connectivity,true,182,506,0.0489
ecc,8,async_label_prop,connectivity,false,110,131,0.0966
ecc,8,async_label_prop,connectivity,true,175,371,0.0367
ecc,10,connected_components,connectivity,false,99,101,0.0114
ecc,10,connected_components,connectivity,true,189,413,0.0146
ecc,10,modularity,connectivity,false,105,127,0.0905
ecc,10,modularity,connectivity,true,199,569,0.0466
ecc,10,async_label_prop,connectivity,false,115,145,0.0721
ecc,10,async_label_prop,connectivity,true,193,425,0.0471
ecc,20,connected_components,connectivity,false,99,101,0.0121
ecc,20,connected_components,connectivity,true,226,606,0.0169
ecc,20,modularity,connectivity,false,105,127,0.0912
ecc,20,modularity,connectivity,true,235,740,0.0413
ecc,20,async_label_prop,connectivity,false,113,140,0.0714
ecc,20,async_label_prop,connectivity,true,232,670,0.0307
pr_0_85,2,connected_components,connectivity,false,50,49,0.0099
pr_0_85,2,connected_components,connectivity,true,132,131,0.0126
pr_0_85,2,modularity,connectivity,false,59,69,0.1139
pr_0_85,2,modularity,connectivity,true,136,161,0.106
pr_0_85,2,async_label_prop,connectivity,false,69,89,0.0937
pr_0_85,2,async_label_prop,connectivity,true,140,146,0.1017
pr_0_85,3,connected_components,connectivity,false,71,80,0.0104
pr_0_85,3,connected_components,connectivity,true,149,164,0.013
pr_0_85,3,modularity,connectivity,false,80,120,0.0794
pr_0_85,3,modularity,connectivity,true,151,185,0.0843
pr_0_85,3,async_label_prop,connectivity,false,92,144,0.0868
pr_0_85,3,async_label_prop,connectivity,true,154,173,0.0563
pr_0_85,4,connected_components,connectivity,false,77,102,0.0107
pr_0_85,4,connected_components,connectivity,true,179,235,0.0139
pr_0_85,4,modularity,connectivity,false,87,151,0.061
pr_0_85,4,modularity,connectivity,true,181,275,0.0713
pr_0_85,4,async_label_prop,connectivity,false,101,186,0.059
pr_0_85,4,async_label_prop,connectivity,true,186,250,0.0501
pr_0_85,6,connected_components,connectivity,false,95,141,0.0113
pr_0_85,6,connected_components,connectivity,true,199,308,0.0148
pr_0_85,6,modularity,connectivity,false,105,204,0.05
pr_0_85,6,modularity,connectivity,true,200,360,0.0571
pr_0_85,6,async_label_prop,connectivity,false,127,285,0.0459
pr_0_85,6,async_label_prop,connectivity,true,201,312,0.0649
pr_0_85,8,connected_components,connectivity,false,108,202,0.0121
pr_0_85,8,connected_components,connectivity,true,215,370,0.0153
pr_0_85,8,modularity,connectivity,false,116,273,0.0464
pr_0_85,8,modularity,connectivity,true,219,435,0.0506
pr_0_85,8,async_label_prop,connectivity,false,136,334,0.051
pr_0_85,8,async_label_prop,connectivity,true,220,383,0.0421
pr_0_85,10,connected_components,connectivity,false,114,259,0.0126
pr_0_85,10,connected_components,connectivity,true,219,399,0.0154
pr_0_85,10,modularity,connectivity,false,124,403,0.0445
pr_0_85,10,modularity,connectivity,true,223,468,0.0468
pr_0_85,10,async_label_prop,connectivity,false,137,401,0.0468
pr_0_85,10,async_label_prop,connectivity,true,223,411,0.0363
pr_0_85,20,connected_components,connectivity,false,158,592,0.0152
pr_0_85,20,connected_components,connectivity,true,252,587,0.0175
pr_0_85,20,modularity,connectivity,false,165,754,0.0412
pr_0_85,20,modularity,connectivity,true,256,707,0.04
pr_0_85,20,async_label_prop,connectivity,false,172,680,0.0392
pr_0_85,20,async_label_prop,connectivity,true,253,590,0.0288
fv,2,connected_components,connectivity,false,2,1,0.0085
fv,2,connected_components,connectivity,true,105,104,0.0121
fv,2,modularity,connectivity,false,8,11,0.2178
fv,2,modularity,connectivity,true,109,129,0.1089
fv,2,async_label_prop,connectivity,false,13,13,0.0879
fv,2,async_label_prop,connectivity,true,113,117,0.0631
fv,3,connected_components,connectivity,false,2,1,0.0085
fv,3,connected_components,connectivity,true,92,112,0.0112
fv,3,modularity,connectivity,false,8,11,0.2185
fv,3,modularity,connectivity,true,99,146,0.0809
fv,3,async_label_prop,connectivity,false,13,13,0.1041
fv,3,async_label_prop,connectivity,true,111,164,0.0615
fv,4,connected_components,connectivity,false,2,1,0.0086
fv,4,connected_components,connectivity,true,119,165,0.0121
fv,4,modularity,connectivity,false,8,11,0.2294
fv,4,modularity,connectivity,true,126,225,0.0689
fv,4,async_label_prop,connectivity,false,11,13,0.1043
fv,4,async_label_prop,connectivity,true,131,187,0.0629
fv,6,connected_components,connectivity,false,2,1,0.0088
fv,6,connected_components,connectivity,true,131,216,0.0126
