filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,71,70,0.0731
agd,2,connected_components,connectivity,true,706,705,0.0967
agd,2,modularity,connectivity,false,100,113,5.709
agd,2,modularity,connectivity,true,711,724,3.8
agd,2,async_label_prop,connectivity,false,256,333,1.271
agd,2,async_label_prop,connectivity,true,807,893,0.8823
agd,3,connected_components,connectivity,false,318,318,0.0815
agd,3,connected_components,connectivity,true,1169,1311,0.1219
agd,3,modularity,connectivity,false,339,354,6.1628
agd,3,modularity,connectivity,true,1174,1376,2.3494
agd,3,async_label_prop,connectivity,false,428,513,1.0822
agd,3,async_label_prop,connectivity,true,1248,1478,1.4008
agd,4,connected_components,connectivity,false,579,591,0.0905
agd,4,connected_components,connectivity,true,1452,1784,0.1393
agd,4,modularity,connectivity,false,588,613,5.1609
agd,4,modularity,connectivity,true,1456,1843,1.4938
agd,4,async_label_prop,connectivity,false,647,724,0.9089
agd,4,async_label_prop,connectivity,true,1510,1953,0.6372
agd,6,connected_components,connectivity,false,1168,1259,0.1101
agd,6,connected_components,connectivity,true,1649,2257,0.1331
agd,6,modularity,connectivity,false,1174,1326,2.5202
agd,6,modularity,connectivity,true,1658,2385,1.0469
agd,6,async_label_prop,connectivity,false,1237,1425,0.9781
agd,6,async_label_prop,connectivity,true,1713,2435,0.5053
agd,8,connected_components,connectivity,false,1468,1686,0.1177
agd,8,connected_components,connectivity,true,1776,2655,0.1443
agd,8,modularity,connectivity,false,1479,1752,1.1211
agd,8,modularity,connectivity,true,1787,2798,0.7888
agd,8,async_label_prop,connectivity,false,1563,1947,0.47
agd,8,async_label_prop,connectivity,true,1850,2923,0.5739
agd,10,connected_components,connectivity,false,1511,1889,0.1192
agd,10,connected_components,connectivity,true,1859,2993,0.133
agd,10,modularity,connectivity,false,1527,2022,0.7859
agd,10,modularity,connectivity,true,1875,3174,0.6522
agd,10,async_label_prop,connectivity,false,1615,2218,0.5732
agd,10,async_label_prop,connectivity,true,1926,3228,0.4293
agd,20,connected_components,connectivity,false,1767,2826,0.1343
agd,20,connected_components,connectivity,true,2072,4154,0.1504
agd,20,modularity,connectivity,false,1781,3029,0.5037
agd,20,modularity,connectivity,true,2088,4540,0.4398
agd,20,async_label_prop,connectivity,false,1847,3206,0.4186
agd,20,async_label_prop,connectivity,true,2121,4396,0.3355
agd,30,connected_components,connectivity,false,1897,3473,0.1263
agd,30,connected_components,connectivity,true,2161,4836,0.1322
agd,30,modularity,connectivity,false,1919,3732,0.3721
agd,30,modularity,connectivity,true,2180,5290,0.3095
agd,30,async_label_prop,connectivity,false,1967,3927,0.2826
agd,30,async_label_prop,connectivity,true,2196,5082,0.3248
agd,40,connected_components,connectivity,false,2007,4178,0.128
agd,40,connected_components,connectivity,true,2225,5466,0.1577
agd,40,modularity,connectivity,false,2022,4428,0.7419
agd,40,modularity,connectivity,true,2246,5957,0.3808
agd,40,async_label_prop,connectivity,false,2069,4583,0.2409
agd,40,async_label_prop,connectivity,true,2278,5962,0.2678
ecc,2,connected_components,connectivity,false,483,482,0.0861
ecc,2,connected_components,connectivity,true,368,367,0.0848
ecc,2,modularity,connectivity,false,492,502,4.8119
ecc,2,modularity,connectivity,true,390,440,3.4095
ecc,2,async_label_prop,connectivity,false,599,682,1.0451
ecc,2,async_label_prop,connectivity,true,546,724,1.0952
ecc,3,connected_components,connectivity,false,616,615,0.0888
ecc,3,connected_components,connectivity,true,888,949,0.1043
ecc,3,modularity,connectivity,false,639,682,1.5798
ecc,3,modularity,connectivity,true,911,1058,1.8658
ecc,3,async_label_prop,connectivity,false,802,1043,0.8988
ecc,3,async_label_prop,connectivity,true,1040,1297,0.7293
ecc,4,connected_components,connectivity,false,562,564,0.0894
ecc,4,connected_components,connectivity,true,1076,1211,0.1036
ecc,4,modularity,connectivity,false,575,609,4.2369
ecc,4,modularity,connectivity,true,1098,1321,1.4011
ecc,4,async_label_prop,connectivity,false,651,759,0.9955
ecc,4,async_label_prop,connectivity,true,1210,1531,0.6987
ecc,6,connected_components,connectivity,false,1231,1286,0.1107
ecc,6,connected_components,connectivity,true,1241,1630,0.1167
ecc,6,modularity,connectivity,false,1251,1369,1.0765
ecc,6,modularity,connectivity,true,1262,1783,0.9252
ecc,6,async_label_prop,connectivity,false,1347,1595,0.6498
ecc,6,async_label_prop,connectivity,true,1357,1999,0.9091
ecc,8,connected_components,connectivity,false,1244,1305,0.1213
ecc,8,connected_components,connectivity,true,1300,1698,0.1136
ecc,8,modularity,connectivity,false,1262,1380,1.0729
ecc,8,modularity,connectivity,true,1326,1874,0.7875
ecc,8,async_label_prop,connectivity,false,1355,1579,0.5673
ecc,8,async_label_prop,connectivity,true,1409,2023,0.5679
ecc,10,connected_components,connectivity,false,1244,1305,0.112
ecc,10,connected_components,connectivity,true,1406,1937,0.1179
ecc,10,modularity,connectivity,false,1262,1380,1.0767
ecc,10,modularity,connectivity,true,1428,2146,0.7039
ecc,10,async_label_prop,connectivity,false,1350,1578,0.6523
ecc,10,async_label_prop,connectivity,true,1522,2291,0.603
ecc,20,connected_components,connectivity,false,1244,1305,0.1152
ecc,20,connected_components,connectivity,true,1597,2517,0.1278
ecc,20,modularity,connectivity,false,1262,1380,1.0853
ecc,20,modularity,connectivity,true,1629,2969,0.5004
ecc,20,async_label_prop,connectivity,false,1354,1588,0.6466
ecc,20,async_label_prop,connectivity,true,1688,2888,0.4361
ecc,30,connected_components,connectivity,false,1244,1305,0.1273
ecc,30,connected_components,connectivity,true,1723,3020,0.1423
ecc,30,modularity,connectivity,false,1262,1376,0.8722
ecc,30,modularity,connectivity,true,1769,3722,0.3833
ecc,30,async_label_prop,connectivity,false,1359,1604,0.5317
