filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,65,64,0.0066
agd,2,connected_components,connectivity,true,172,171,0.0099
agd,2,modularity,connectivity,false,68,67,0.039
agd,2,modularity,connectivity,true,182,181,0.029
agd,2,async_label_prop,connectivity,false,68,67,0.0199
agd,2,async_label_prop,connectivity,true,205,204,0.0186
agd,3,connected_components,connectivity,false,81,80,0.0072
agd,3,connected_components,connectivity,true,228,227,0.0113
agd,3,modularity,connectivity,false,81,80,0.0357
agd,3,modularity,connectivity,true,243,242,0.0228
agd,3,async_label_prop,connectivity,false,81,80,0.0195
agd,3,async_label_prop,connectivity,true,250,249,0.017
agd,4,connected_components,connectivity,false,337,336,0.013
agd,4,connected_components,connectivity,true,259,258,0.0123
agd,4,modularity,connectivity,false,337,336,0.0136
agd,4,modularity,connectivity,true,272,271,0.0292
agd,4,async_label_prop,connectivity,false,337,336,0.0134
agd,4,async_label_prop,connectivity,true,275,274,0.0167
agd,6,connected_components,connectivity,false,337,336,0.0133
agd,6,connected_components,connectivity,true,286,285,0.0133
agd,6,modularity,connectivity,false,337,336,0.0138
agd,6,modularity,connectivity,true,295,294,0.0191
agd,6,async_label_prop,connectivity,false,337,336,0.0135
agd,6,async_label_prop,connectivity,true,295,294,0.0162
agd,8,connected_components,connectivity,false,341,340,0.0136
agd,8,connected_components,connectivity,true,302,301,0.0139
agd,8,modularity,connectivity,false,341,340,0.0135
agd,8,modularity,connectivity,true,309,308,0.0183
agd,8,async_label_prop,connectivity,false,341,340,0.0136
agd,8,async_label_prop,connectivity,true,310,309,0.0161
agd,10,connected_components,connectivity,false,341,340,0.0137
agd,10,connected_components,connectivity,true,313,320,0.0145
agd,10,modularity,connectivity,false,341,340,0.0137
agd,10,modularity,connectivity,true,319,326,0.0181
agd,10,async_label_prop,connectivity,false,341,340,0.0136
agd,10,async_label_prop,connectivity,true,319,326,0.0202
agd,20,connected_components,connectivity,false,341,340,0.0144
agd,20,connected_components,connectivity,true,336,347,0.0159
agd,20,modularity,connectivity,false,341,340,0.0143
agd,20,modularity,connectivity,true,339,350,0.0176
agd,20,async_label_prop,connectivity,false,341,340,0.0143
agd,20,async_label_prop,connectivity,true,339,350,0.018
ecc,2,connected_components,connectivity,false,17,16,0.0053
ecc,2,connected_components,connectivity,true,172,171,0.0098
ecc,2,modularity,connectivity,false,20,19,0.0441
ecc,2,modularity,connectivity,true,182,181,0.0289
ecc,2,async_label_prop,connectivity,false,68,115,0.0213
ecc,2,async_label_prop,connectivity,true,206,205,0.0185
ecc,3,connected_components,connectivity,false,81,80,0.007
ecc,3,connected_components,connectivity,true,228,227,0.0113
ecc,3,modularity,connectivity,false,81,80,0.0357
ecc,3,modularity,connectivity,true,243,242,0.0227
ecc,3,async_label_prop,connectivity,false,81,80,0.0193
ecc,3,async_label_prop,connectivity,true,249,248,0.0171
