filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.0005109310150146484
agd,2,modularity,connectivity,false,5,5,0.0017189979553222656
agd,2,connected_components,connectivity,true,5,4,0.0004668235778808594
agd,2,modularity,connectivity,true,5,4,0.0021431446075439453
agd,3,connected_components,connectivity,false,5,5,0.0012350082397460938
agd,3,modularity,connectivity,false,6,7,0.0011639595031738281
agd,3,connected_components,connectivity,true,6,7,0.0006709098815917969
agd,3,modularity,connectivity,true,7,9,0.0012691020965576172
agd,4,connected_components,connectivity,false,6,9,0.0005929470062255859
agd,4,modularity,connectivity,false,7,12,0.002422809600830078
agd,4,connected_components,connectivity,true,7,9,0.0007131099700927734
agd,4,modularity,connectivity,true,7,9,0.0013072490692138672
agd,5,connected_components,connectivity,false,7,11,0.0005979537963867188
agd,5,modularity,connectivity,false,7,11,0.0016210079193115234
agd,5,connected_components,connectivity,true,8,13,0.0006377696990966797
agd,5,modularity,connectivity,true,8,13,0.0009827613830566406
agd,6,connected_components,connectivity,false,7,12,0.0009212493896484375
agd,6,modularity,connectivity,false,8,16,0.001445770263671875
agd,6,connected_components,connectivity,true,9,17,0.0007679462432861328
agd,6,modularity,connectivity,true,9,17,0.0021576881408691406
agd,7,connected_components,connectivity,false,7,11,0.0006432533264160156
agd,7,modularity,connectivity,false,7,11,0.001069784164428711
agd,7,connected_components,connectivity,true,9,17,0.0006802082061767578
agd,7,modularity,connectivity,true,9,17,0.0009021759033203125
agd,8,connected_components,connectivity,false,9,23,0.0007998943328857422
agd,8,modularity,connectivity,false,9,23,0.0013060569763183594
agd,8,connected_components,connectivity,true,9,17,0.0013201236724853516
agd,8,modularity,connectivity,true,9,17,0.003464937210083008
agd,9,connected_components,connectivity,false,8,17,0.0011577606201171875
agd,9,modularity,connectivity,false,8,17,0.001505136489868164
agd,9,connected_components,connectivity,true,13,40,0.0019230842590332031
agd,9,modularity,connectivity,true,13,40,0.002711057662963867
agd,10,connected_components,connectivity,false,9,23,0.0008759498596191406
agd,10,modularity,connectivity,false,9,23,0.0015370845794677734
agd,10,connected_components,connectivity,true,10,25,0.0007250308990478516
agd,10,modularity,connectivity,true,10,25,0.0012698173522949219
agd,11,connected_components,connectivity,false,8,17,0.0006899833679199219
agd,11,modularity,connectivity,false,8,17,0.0011377334594726562
agd,11,connected_components,connectivity,true,10,25,0.0007569789886474609
agd,11,modularity,connectivity,true,10,25,0.0007839202880859375
agd,12,connected_components,connectivity,false,9,23,0.00136566162109375
agd,12,modularity,connectivity,false,9,23,0.0016319751739501953
agd,12,connected_components,connectivity,true,12,34,0.0011239051818847656
agd,12,modularity,connectivity,true,12,34,0.0009319782257080078
agd,13,connected_components,connectivity,false,8,17,0.0010638236999511719
agd,13,modularity,connectivity,false,8,17,0.0013740062713623047
agd,13,connected_components,connectivity,true,10,25,0.0008819103240966797
agd,13,modularity,connectivity,true,10,25,0.0010688304901123047
agd,14,connected_components,connectivity,false,9,23,0.0013971328735351562
agd,14,modularity,connectivity,false,9,23,0.0016887187957763672
agd,14,connected_components,connectivity,true,10,25,0.00140380859375
agd,14,modularity,connectivity,true,10,25,0.0010578632354736328
agd,15,connected_components,connectivity,false,8,17,0.0007929801940917969
agd,15,modularity,connectivity,false,8,17,0.0010938644409179688
agd,15,connected_components,connectivity,true,12,34,0.0014028549194335938
agd,15,modularity,connectivity,true,12,34,0.0011096000671386719
agd,16,connected_components,connectivity,false,9,23,0.0016109943389892578
agd,16,modularity,connectivity,false,9,23,0.0014810562133789062
agd,16,connected_components,connectivity,true,10,25,0.0008730888366699219
agd,16,modularity,connectivity,true,10,25,0.0009353160858154297
agd,17,connected_components,connectivity,false,8,17,0.0008304119110107422
agd,17,modularity,connectivity,false,8,17,0.0013301372528076172
agd,17,connected_components,connectivity,true,10,25,0.001878976821899414
agd,17,modularity,connectivity,true,10,25,0.0011229515075683594
agd,18,connected_components,connectivity,false,9,23,0.0009179115295410156
agd,18,modularity,connectivity,false,9,23,0.0014612674713134766
agd,18,connected_components,connectivity,true,17,76,0.001332998275756836
agd,18,modularity,connectivity,true,17,76,0.0023598670959472656
agd,19,connected_components,connectivity,false,8,17,0.0008478164672851562
agd,19,modularity,connectivity,false,8,17,0.0010788440704345703
agd,19,connected_components,connectivity,true,10,25,0.0009419918060302734
agd,19,modularity,connectivity,true,10,25,0.0009951591491699219
ecc,2,connected_components,connectivity,false,3,2,0.00033783912658691406
ecc,2,modularity,connectivity,false,4,4,0.0018630027770996094
ecc,2,connected_components,connectivity,true,2,1,0.0004870891571044922
ecc,2,modularity,connectivity,true,2,1,0.0016651153564453125
ecc,3,connected_components,connectivity,false,3,2,0.0003559589385986328
ecc,3,modularity,connectivity,false,4,4,0.00121307373046875
ecc,3,connected_components,connectivity,true,4,4,0.00043702125549316406
ecc,3,modularity,connectivity,true,4,4,0.0016169548034667969
ecc,4,connected_components,connectivity,false,3,2,0.0007092952728271484
ecc,4,modularity,connectivity,false,4,4,0.0015778541564941406
ecc,4,connected_components,connectivity,true,5,7,0.000492095947265625
ecc,4,modularity,connectivity,true,5,7,0.0011250972747802734
ecc,5,connected_components,connectivity,false,3,2,0.0003879070281982422
ecc,5,modularity,connectivity,false,4,4,0.0015339851379394531
ecc,5,connected_components,connectivity,true,8,15,0.000560760498046875
ecc,5,modularity,connectivity,true,8,15,0.0016589164733886719
