filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0068
agd,2,connected_components,connectivity,true,3,2,0.0067
agd,2,modularity,connectivity,false,6,5,0.0903
agd,2,modularity,connectivity,true,4,3,0.0733
agd,2,async_label_prop,connectivity,false,9,8,0.0603
agd,2,async_label_prop,connectivity,true,9,8,0.0372
agd,3,connected_components,connectivity,false,5,4,0.0068
agd,3,connected_components,connectivity,true,4,4,0.0065
agd,3,modularity,connectivity,false,8,7,0.0859
agd,3,modularity,connectivity,true,6,6,0.0537
agd,3,async_label_prop,connectivity,false,10,9,0.0412
agd,3,async_label_prop,connectivity,true,11,11,0.031
agd,4,connected_components,connectivity,false,7,6,0.0069
agd,4,connected_components,connectivity,true,5,6,0.0065
agd,4,modularity,connectivity,false,10,9,0.0868
agd,4,modularity,connectivity,true,9,12,0.0459
agd,4,async_label_prop,connectivity,false,12,11,0.0413
agd,4,async_label_prop,connectivity,true,14,15,0.0274
agd,6,connected_components,connectivity,false,9,8,0.007
agd,6,connected_components,connectivity,true,8,11,0.0066
agd,6,modularity,connectivity,false,11,10,0.0869
agd,6,modularity,connectivity,true,11,14,0.0404
agd,6,async_label_prop,connectivity,false,12,11,0.0412
agd,6,async_label_prop,connectivity,true,13,16,0.0241
agd,8,connected_components,connectivity,false,11,10,0.0072
agd,8,connected_components,connectivity,true,10,18,0.0067
agd,8,modularity,connectivity,false,13,12,0.0866
agd,8,modularity,connectivity,true,14,25,0.0334
agd,8,async_label_prop,connectivity,false,14,13,0.0412
agd,8,async_label_prop,connectivity,true,17,25,0.022
agd,10,connected_components,connectivity,false,15,18,0.0074
agd,10,connected_components,connectivity,true,12,27,0.0068
agd,10,modularity,connectivity,false,16,19,0.0864
agd,10,modularity,connectivity,true,15,30,0.0309
agd,10,async_label_prop,connectivity,false,16,19,0.0412
agd,10,async_label_prop,connectivity,true,18,33,0.0207
agd,20,connected_components,connectivity,false,23,28,0.008
agd,20,connected_components,connectivity,true,24,87,0.0076
agd,20,modularity,connectivity,false,25,30,0.086
agd,20,modularity,connectivity,true,26,89,0.0253
agd,20,async_label_prop,connectivity,false,25,30,0.0414
agd,20,async_label_prop,connectivity,true,25,88,0.0183
agd,30,connected_components,connectivity,false,23,28,0.0115
agd,30,connected_components,connectivity,true,36,179,0.0137
agd,30,modularity,connectivity,false,25,30,0.0824
agd,30,modularity,connectivity,true,37,180,0.0237
agd,30,async_label_prop,connectivity,false,24,29,0.0289
agd,30,async_label_prop,connectivity,true,37,180,0.019
agd,40,connected_components,connectivity,false,25,30,0.0096
agd,40,connected_components,connectivity,true,48,319,0.0105
agd,40,modularity,connectivity,false,26,31,0.0889
agd,40,modularity,connectivity,true,48,319,0.0242
agd,40,async_label_prop,connectivity,false,26,31,0.0311
agd,40,async_label_prop,connectivity,true,48,319,0.0162
ecc,2,connected_components,connectivity,false,3,2,0.0067
ecc,2,connected_components,connectivity,true,3,2,0.0067
ecc,2,modularity,connectivity,false,5,4,0.09
ecc,2,modularity,connectivity,true,4,3,0.0763
ecc,2,async_label_prop,connectivity,false,9,8,0.0418
ecc,2,async_label_prop,connectivity,true,10,9,0.0372
ecc,3,connected_components,connectivity,false,5,4,0.0069
ecc,3,connected_components,connectivity,true,4,4,0.0065
ecc,3,modularity,connectivity,false,6,5,0.0901
ecc,3,modularity,connectivity,true,6,6,0.0539
ecc,3,async_label_prop,connectivity,false,10,9,0.0422
ecc,3,async_label_prop,connectivity,true,10,10,0.0309
ecc,4,connected_components,connectivity,false,7,6,0.0069
ecc,4,connected_components,connectivity,true,5,6,0.0065
ecc,4,modularity,connectivity,false,9,8,0.09
ecc,4,modularity,connectivity,true,9,12,0.0458
ecc,4,async_label_prop,connectivity,false,8,7,0.0604
ecc,4,async_label_prop,connectivity,true,12,13,0.0274
ecc,6,connected_components,connectivity,false,11,10,0.0071
ecc,6,connected_components,connectivity,true,8,11,0.0066
ecc,6,modularity,connectivity,false,12,11,0.0889
ecc,6,modularity,connectivity,true,11,14,0.0383
ecc,6,async_label_prop,connectivity,false,12,11,0.0434
ecc,6,async_label_prop,connectivity,true,14,17,0.0241
ecc,8,connected_components,connectivity,false,15,14,0.0073
ecc,8,connected_components,connectivity,true,10,18,0.0067
ecc,8,modularity,connectivity,false,16,15,0.0886
ecc,8,modularity,connectivity,true,14,25,0.0334
ecc,8,async_label_prop,connectivity,false,15,14,0.0421
ecc,8,async_label_prop,connectivity,true,16,24,0.0221
ecc,10,connected_components,connectivity,false,19,18,0.0075
ecc,10,connected_components,connectivity,true,12,27,0.0067
ecc,10,modularity,connectivity,false,20,19,0.0882
ecc,10,modularity,connectivity,true,15,30,0.0309
ecc,10,async_label_prop,connectivity,false,20,19,0.0423
ecc,10,async_label_prop,connectivity,true,18,33,0.0211
ecc,20,connected_components,connectivity,false,23,22,0.0079
ecc,20,connected_components,connectivity,true,24,87,0.0076
ecc,20,modularity,connectivity,false,23,22,0.0854
ecc,20,modularity,connectivity,true,26,89,0.0251
ecc,20,async_label_prop,connectivity,false,23,22,0.0411
ecc,20,async_label_prop,connectivity,true,25,88,0.0185
ecc,30,connected_components,connectivity,false,23,22,0.0088
ecc,30,connected_components,connectivity,true,36,179,0.012
ecc,30,modularity,connectivity,false,23,22,0.0793
ecc,30,modularity,connectivity,true,37,180,0.0231
ecc,30,async_label_prop,connectivity,false,23,22,0.029
ecc,30,async_label_prop,connectivity,true,37,180,0.016
ecc,40,connected_components,connectivity,false,23,22,0.0091
ecc,40,connected_components,connectivity,true,48,319,0.0087
ecc,40,modularity,connectivity,false,23,22,0.1564
ecc,40,modularity,connectivity,true,48,319,0.0554
ecc,40,async_label_prop,connectivity,false,23,22,0.1218
ecc,40,async_label_prop,connectivity,true,48,319,0.0491
pr_0_85,2,connected_components,connectivity,false,5,4,0.0068
pr_0_85,2,connected_components,connectivity,true,4,3,0.0067
pr_0_85,2,modularity,connectivity,false,5,4,0.0889
pr_0_85,2,modularity,connectivity,true,4,3,0.0751
pr_0_85,2,async_label_prop,connectivity,false,10,9,0.0421
pr_0_85,2,async_label_prop,connectivity,true,11,10,0.0398
pr_0_85,3,connected_components,connectivity,false,7,6,0.0069
pr_0_85,3,connected_components,connectivity,true,6,6,0.0066
pr_0_85,3,modularity,connectivity,false,7,6,0.0889
pr_0_85,3,modularity,connectivity,true,6,6,0.0521
pr_0_85,3,async_label_prop,connectivity,false,10,9,0.0422
