filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,5,4,0.0023
agd,2,connected_components,connectivity,true,4,3,0.0027
agd,2,modularity,connectivity,false,16,26,0.0177
agd,2,modularity,connectivity,true,17,30,0.0175
agd,2,async_label_prop,connectivity,false,110,254,0.0087
agd,2,async_label_prop,connectivity,true,110,254,0.0088
agd,3,connected_components,connectivity,false,5,5,0.0024
agd,3,connected_components,connectivity,true,7,9,0.0024
agd,3,modularity,connectivity,false,19,31,0.0171
agd,3,modularity,connectivity,true,23,38,0.0161
agd,3,async_label_prop,connectivity,false,110,254,0.0087
agd,3,async_label_prop,connectivity,true,110,254,0.0086
agd,4,connected_components,connectivity,false,14,18,0.003
agd,4,connected_components,connectivity,true,16,21,0.0028
agd,4,modularity,connectivity,false,25,39,0.0165
agd,4,modularity,connectivity,true,29,46,0.015
agd,4,async_label_prop,connectivity,false,111,261,0.0087
agd,4,async_label_prop,connectivity,true,110,254,0.0084
agd,6,connected_components,connectivity,false,18,26,0.0032
agd,6,connected_components,connectivity,true,20,29,0.003
agd,6,modularity,connectivity,false,30,48,0.0234
agd,6,modularity,connectivity,true,34,56,0.0145
agd,6,async_label_prop,connectivity,false,110,254,0.0085
agd,6,async_label_prop,connectivity,true,110,254,0.0084
agd,8,connected_components,connectivity,false,26,41,0.0035
agd,8,connected_components,connectivity,true,30,42,0.0035
agd,8,modularity,connectivity,false,41,73,0.015
agd,8,modularity,connectivity,true,40,63,0.014
agd,8,async_label_prop,connectivity,false,111,261,0.0087
agd,8,async_label_prop,connectivity,true,110,254,0.0084
agd,10,connected_components,connectivity,false,33,52,0.0035
agd,10,connected_components,connectivity,true,36,56,0.0037
agd,10,modularity,connectivity,false,44,75,0.0144
agd,10,modularity,connectivity,true,51,83,0.0135
agd,10,async_label_prop,connectivity,false,110,254,0.0093
agd,10,async_label_prop,connectivity,true,110,254,0.0084
agd,20,connected_components,connectivity,false,49,83,0.0045
agd,20,connected_components,connectivity,true,60,105,0.0049
agd,20,modularity,connectivity,false,64,122,0.0147
agd,20,modularity,connectivity,true,68,122,0.0133
agd,20,async_label_prop,connectivity,false,111,261,0.0089
agd,20,async_label_prop,connectivity,true,110,254,0.0085
