filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,14,13,0.01
agd,2,connected_components,connectivity,true,84,83,0.0125
agd,2,modularity,connectivity,false,21,36,0.336
agd,2,modularity,connectivity,true,92,206,0.1394
agd,2,async_label_prop,connectivity,false,22,23,0.1113
agd,2,async_label_prop,connectivity,true,104,123,0.0783
agd,3,connected_components,connectivity,false,81,80,0.0124
agd,3,connected_components,connectivity,true,140,192,0.0144
agd,3,modularity,connectivity,false,89,184,0.187
agd,3,modularity,connectivity,true,146,369,0.0989
agd,3,async_label_prop,connectivity,false,95,163,0.1504
agd,3,async_label_prop,connectivity,true,149,214,0.1116
agd,4,connected_components,connectivity,false,77,78,0.0122
agd,4,connected_components,connectivity,true,179,288,0.0155
agd,4,modularity,connectivity,false,88,192,0.0822
agd,4,modularity,connectivity,true,184,508,0.0843
agd,4,async_label_prop,connectivity,false,141,218,0.0783
agd,4,async_label_prop,connectivity,true,189,313,0.0564
agd,6,connected_components,connectivity,false,100,165,0.013
agd,6,connected_components,connectivity,true,230,420,0.0173
agd,6,modularity,connectivity,false,112,287,0.0833
agd,6,modularity,connectivity,true,234,622,0.069
agd,6,async_label_prop,connectivity,false,148,396,0.0809
agd,6,async_label_prop,connectivity,true,237,442,0.0485
agd,8,connected_components,connectivity,false,153,299,0.0153
agd,8,connected_components,connectivity,true,261,520,0.0187
agd,8,modularity,connectivity,false,157,397,0.0637
agd,8,modularity,connectivity,true,265,752,0.0621
agd,8,async_label_prop,connectivity,false,186,449,0.0641
agd,8,async_label_prop,connectivity,true,267,535,0.0426
agd,10,connected_components,connectivity,false,135,292,0.0144
agd,10,connected_components,connectivity,true,277,595,0.0194
agd,10,modularity,connectivity,false,149,460,0.0586
agd,10,modularity,connectivity,true,283,802,0.0573
agd,10,async_label_prop,connectivity,false,188,526,0.0627
agd,10,async_label_prop,connectivity,true,282,609,0.0452
agd,20,connected_components,connectivity,false,220,710,0.0189
agd,20,connected_components,connectivity,true,325,809,0.0222
agd,20,modularity,connectivity,false,229,859,0.0575
agd,20,modularity,connectivity,true,331,983,0.058
agd,20,async_label_prop,connectivity,false,242,830,0.0485
agd,20,async_label_prop,connectivity,true,331,833,0.0436
ecc,2,connected_components,connectivity,false,36,35,0.0111
ecc,2,connected_components,connectivity,true,63,62,0.012
ecc,2,modularity,connectivity,false,43,76,0.3036
ecc,2,modularity,connectivity,true,75,155,0.1641
ecc,2,async_label_prop,connectivity,false,48,54,0.1675
ecc,2,async_label_prop,connectivity,true,99,183,0.1009
ecc,3,connected_components,connectivity,false,36,35,0.0113
ecc,3,connected_components,connectivity,true,93,134,0.0133
ecc,3,modularity,connectivity,false,43,76,0.3007
ecc,3,modularity,connectivity,true,106,306,0.0978
ecc,3,async_label_prop,connectivity,false,47,54,0.1915
ecc,3,async_label_prop,connectivity,true,126,287,0.0875
ecc,4,connected_components,connectivity,false,54,53,0.0116
ecc,4,connected_components,connectivity,true,121,205,0.023
