filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,40,39,0.0098
agd,2,connected_components,connectivity,true,69,68,0.0112
agd,2,modularity,connectivity,false,59,70,0.1072
agd,2,modularity,connectivity,true,81,91,0.0908
agd,2,async_label_prop,connectivity,false,115,153,0.0734
agd,2,async_label_prop,connectivity,true,132,180,0.073
agd,3,connected_components,connectivity,false,84,83,0.0113
agd,3,connected_components,connectivity,true,131,130,0.0129
agd,3,modularity,connectivity,false,96,109,0.0875
agd,3,modularity,connectivity,true,138,152,0.0795
agd,3,async_label_prop,connectivity,false,130,160,0.0766
agd,3,async_label_prop,connectivity,true,165,207,0.0701
agd,4,connected_components,connectivity,false,127,126,0.0128
agd,4,connected_components,connectivity,true,167,168,0.0139
agd,4,modularity,connectivity,false,135,151,0.0875
agd,4,modularity,connectivity,true,173,188,0.0699
agd,4,async_label_prop,connectivity,false,159,204,0.0712
agd,4,async_label_prop,connectivity,true,191,225,0.0659
agd,6,connected_components,connectivity,false,208,209,0.0154
agd,6,connected_components,connectivity,true,219,237,0.0157
agd,6,modularity,connectivity,false,211,231,0.0592
agd,6,modularity,connectivity,true,224,254,0.0623
agd,6,async_label_prop,connectivity,false,224,252,0.055
agd,6,async_label_prop,connectivity,true,229,262,0.049
agd,8,connected_components,connectivity,false,233,242,0.0193
agd,8,connected_components,connectivity,true,231,259,0.0164
agd,8,modularity,connectivity,false,240,268,0.0576
agd,8,modularity,connectivity,true,237,291,0.0588
agd,8,async_label_prop,connectivity,false,248,285,0.0524
agd,8,async_label_prop,connectivity,true,243,290,0.0453
agd,10,connected_components,connectivity,false,247,270,0.017
agd,10,connected_components,connectivity,true,248,289,0.0173
agd,10,modularity,connectivity,false,254,295,0.0558
agd,10,modularity,connectivity,true,252,312,0.0575
agd,10,async_label_prop,connectivity,false,260,308,0.0415
agd,10,async_label_prop,connectivity,true,259,324,0.045
agd,20,connected_components,connectivity,false,274,339,0.0205
agd,20,connected_components,connectivity,true,286,360,0.0193
agd,20,modularity,connectivity,false,278,353,0.054
agd,20,modularity,connectivity,true,289,370,0.055
agd,20,async_label_prop,connectivity,false,280,359,0.0417
agd,20,async_label_prop,connectivity,true,290,375,0.0399
agd,30,connected_components,connectivity,false,284,373,0.0183
agd,30,connected_components,connectivity,true,305,417,0.0163
agd,30,modularity,connectivity,false,285,375,0.0545
agd,30,modularity,connectivity,true,308,429,0.0449
agd,30,async_label_prop,connectivity,false,286,378,0.0277
agd,30,async_label_prop,connectivity,true,308,428,0.03
agd,40,connected_components,connectivity,false,288,387,0.0179
agd,40,connected_components,connectivity,true,307,435,0.017
agd,40,modularity,connectivity,false,289,396,0.0441
agd,40,modularity,connectivity,true,311,449,0.0442
agd,40,async_label_prop,connectivity,false,289,389,0.0277
agd,40,async_label_prop,connectivity,true,308,438,0.0294
ecc,2,connected_components,connectivity,false,58,57,0.0104
ecc,2,connected_components,connectivity,true,66,65,0.0111
ecc,2,modularity,connectivity,false,70,76,0.0929
ecc,2,modularity,connectivity,true,79,90,0.09
ecc,2,async_label_prop,connectivity,false,114,152,0.0717
ecc,2,async_label_prop,connectivity,true,123,159,0.083
ecc,3,connected_components,connectivity,false,101,100,0.0117
ecc,3,connected_components,connectivity,true,130,134,0.0128
ecc,3,modularity,connectivity,false,115,135,0.0712
ecc,3,modularity,connectivity,true,146,171,0.071
ecc,3,async_label_prop,connectivity,false,154,192,0.0705
ecc,3,async_label_prop,connectivity,true,177,237,0.062
ecc,4,connected_components,connectivity,false,112,111,0.012
ecc,4,connected_components,connectivity,true,165,174,0.0139
ecc,4,modularity,connectivity,false,121,132,0.0769
ecc,4,modularity,connectivity,true,177,205,0.0655
ecc,4,async_label_prop,connectivity,false,151,204,0.0701
ecc,4,async_label_prop,connectivity,true,195,250,0.0562
ecc,6,connected_components,connectivity,false,219,226,0.0153
ecc,6,connected_components,connectivity,true,211,235,0.0157
ecc,6,modularity,connectivity,false,229,250,0.0567
ecc,6,modularity,connectivity,true,220,259,0.0595
ecc,6,async_label_prop,connectivity,false,236,263,0.0463
ecc,6,async_label_prop,connectivity,true,236,287,0.0535
ecc,8,connected_components,connectivity,false,229,238,0.0157
ecc,8,connected_components,connectivity,true,237,279,0.0166
ecc,8,modularity,connectivity,false,238,262,0.0561
ecc,8,modularity,connectivity,true,243,291,0.0565
ecc,8,async_label_prop,connectivity,false,246,281,0.0504
ecc,8,async_label_prop,connectivity,true,248,307,0.0451
