filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,99,98,0.0056
agd,2,connected_components,connectivity,true,75,74,0.0051
agd,2,modularity,connectivity,false,103,107,0.0291
agd,2,modularity,connectivity,true,79,83,0.0397
agd,2,async_label_prop,connectivity,false,102,104,0.0132
agd,2,async_label_prop,connectivity,true,82,88,0.0189
agd,3,connected_components,connectivity,false,170,169,0.008
agd,3,connected_components,connectivity,true,108,107,0.0063
agd,3,modularity,connectivity,false,174,183,0.0154
agd,3,modularity,connectivity,true,112,121,0.0274
agd,3,async_label_prop,connectivity,false,173,180,0.0121
agd,3,async_label_prop,connectivity,true,114,125,0.0107
agd,4,connected_components,connectivity,false,174,174,0.0081
agd,4,connected_components,connectivity,true,148,147,0.0074
agd,4,modularity,connectivity,false,176,183,0.012
agd,4,modularity,connectivity,true,151,154,0.017
agd,4,async_label_prop,connectivity,false,177,187,0.0094
agd,4,async_label_prop,connectivity,true,152,160,0.0111
agd,6,connected_components,connectivity,false,175,181,0.0081
agd,6,connected_components,connectivity,true,163,162,0.0163
agd,6,modularity,connectivity,false,177,187,0.0119
agd,6,modularity,connectivity,true,166,173,0.0121
agd,6,async_label_prop,connectivity,false,176,183,0.0097
agd,6,async_label_prop,connectivity,true,168,177,0.0096
agd,8,connected_components,connectivity,false,183,196,0.0083
agd,8,connected_components,connectivity,true,176,175,0.0083
agd,8,modularity,connectivity,false,184,198,0.0113
agd,8,modularity,connectivity,true,180,189,0.0115
agd,8,async_label_prop,connectivity,false,184,198,0.0093
agd,8,async_label_prop,connectivity,true,180,188,0.0097
agd,10,connected_components,connectivity,false,183,196,0.0083
agd,10,connected_components,connectivity,true,175,178,0.0083
agd,10,modularity,connectivity,false,183,196,0.0115
agd,10,modularity,connectivity,true,179,192,0.0108
agd,10,async_label_prop,connectivity,false,183,196,0.0096
agd,10,async_label_prop,connectivity,true,178,188,0.0105
agd,20,connected_components,connectivity,false,209,243,0.01
agd,20,connected_components,connectivity,true,187,196,0.0091
agd,20,modularity,connectivity,false,209,243,0.0127
agd,20,modularity,connectivity,true,189,204,0.0103
agd,20,async_label_prop,connectivity,false,209,243,0.0109
agd,20,async_label_prop,connectivity,true,188,203,0.0098
agd,30,connected_components,connectivity,false,190,211,0.0079
agd,30,connected_components,connectivity,true,186,196,0.0074
agd,30,modularity,connectivity,false,190,211,0.0083
agd,30,modularity,connectivity,true,188,204,0.0086
agd,30,async_label_prop,connectivity,false,190,211,0.0092
agd,30,async_label_prop,connectivity,true,187,201,0.0087
agd,40,connected_components,connectivity,false,217,258,0.0108
agd,40,connected_components,connectivity,true,193,210,0.0087
agd,40,modularity,connectivity,false,217,258,0.0088
agd,40,modularity,connectivity,true,195,215,0.011
agd,40,async_label_prop,connectivity,false,217,258,0.0108
agd,40,async_label_prop,connectivity,true,194,212,0.0086
ecc,2,connected_components,connectivity,false,120,119,0.0075
ecc,2,connected_components,connectivity,true,56,55,0.0046
ecc,2,modularity,connectivity,false,126,144,0.0672
ecc,2,modularity,connectivity,true,60,64,0.0398
ecc,2,async_label_prop,connectivity,false,127,147,0.0173
ecc,2,async_label_prop,connectivity,true,62,71,0.0114
ecc,3,connected_components,connectivity,false,142,147,0.0067
ecc,3,connected_components,connectivity,true,91,96,0.0055
ecc,3,modularity,connectivity,false,144,160,0.0204
ecc,3,modularity,connectivity,true,94,105,0.0259
ecc,3,async_label_prop,connectivity,false,143,152,0.0104
ecc,3,async_label_prop,connectivity,true,97,111,0.0103
ecc,4,connected_components,connectivity,false,137,271,0.0089
ecc,4,connected_components,connectivity,true,131,137,0.0067
ecc,4,modularity,connectivity,false,145,323,0.0643
ecc,4,modularity,connectivity,true,134,143,0.0188
ecc,4,async_label_prop,connectivity,false,146,325,0.0225
ecc,4,async_label_prop,connectivity,true,135,150,0.0109
ecc,6,connected_components,connectivity,false,313,365,0.0175
ecc,6,connected_components,connectivity,true,157,163,0.0076
ecc,6,modularity,connectivity,false,313,365,0.0227
ecc,6,modularity,connectivity,true,159,170,0.0142
ecc,6,async_label_prop,connectivity,false,313,365,0.0153
ecc,6,async_label_prop,connectivity,true,162,180,0.0097
ecc,8,connected_components,connectivity,false,335,728,0.0151
ecc,8,connected_components,connectivity,true,176,184,0.0082
ecc,8,modularity,connectivity,false,335,728,0.0248
ecc,8,modularity,connectivity,true,179,199,0.0115
ecc,8,async_label_prop,connectivity,false,335,728,0.0173
ecc,8,async_label_prop,connectivity,true,180,201,0.0103
ecc,10,connected_components,connectivity,false,313,365,0.0132
ecc,10,connected_components,connectivity,true,175,181,0.0083
ecc,10,modularity,connectivity,false,313,365,0.023
ecc,10,modularity,connectivity,true,178,195,0.0108
ecc,10,async_label_prop,connectivity,false,313,365,0.0156
ecc,10,async_label_prop,connectivity,true,178,192,0.0095
ecc,20,connected_components,connectivity,false,335,728,0.0157
ecc,20,connected_components,connectivity,true,187,196,0.0172
ecc,20,modularity,connectivity,false,335,728,0.0257
ecc,20,modularity,connectivity,true,189,208,0.0103
ecc,20,async_label_prop,connectivity,false,335,728,0.0289
ecc,20,async_label_prop,connectivity,true,189,207,0.0098
ecc,30,connected_components,connectivity,false,313,365,0.0108
ecc,30,connected_components,connectivity,true,185,199,0.0118
ecc,30,modularity,connectivity,false,313,365,0.0197
ecc,30,modularity,connectivity,true,187,207,0.01
ecc,30,async_label_prop,connectivity,false,313,365,0.0136
