filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
pr_0_85,2,connected_components,connectivity,false,6,5,1.1608
pr_0_85,2,connected_components,connectivity,true,7707,7710,1.6645
pr_0_85,2,modularity,connectivity,false,311,713,585.9354
pr_0_85,2,modularity,connectivity,true,7905,10973,186.405
pr_0_85,2,async_label_prop,connectivity,false,2760,15457,34.6638
pr_0_85,2,async_label_prop,connectivity,true,8486,11303,63.9237
pr_0_85,3,connected_components,connectivity,false,52,53,1.2001
pr_0_85,3,connected_components,connectivity,true,9452,10862,1.8081
pr_0_85,3,modularity,connectivity,false,298,759,530.6472
pr_0_85,3,modularity,connectivity,true,9523,14784,107.6307
pr_0_85,3,async_label_prop,connectivity,false,2873,16070,18.1693
pr_0_85,3,async_label_prop,connectivity,true,10289,25484,12.4982
pr_0_85,4,connected_components,connectivity,false,112,120,0.6647
pr_0_85,4,connected_components,connectivity,true,10368,13657,1.7413
pr_0_85,4,modularity,connectivity,false,388,1024,307.4476
pr_0_85,4,modularity,connectivity,true,10415,18091,43.2423
pr_0_85,4,async_label_prop,connectivity,false,2947,16411,10.9021
pr_0_85,4,async_label_prop,connectivity,true,10693,15513,13.3808
pr_0_85,6,connected_components,connectivity,false,263,301,0.6784
pr_0_85,6,connected_components,connectivity,true,11355,18065,1.1425
pr_0_85,6,modularity,connectivity,false,499,1456,374.7048
pr_0_85,6,modularity,connectivity,true,11397,22086,34.8018
pr_0_85,6,async_label_prop,connectivity,false,3242,18273,22.2486
pr_0_85,6,async_label_prop,connectivity,true,12041,31044,11.5965
pr_0_85,8,connected_components,connectivity,false,576,684,1.2193
pr_0_85,8,connected_components,connectivity,true,12108,21934,2.0851
pr_0_85,8,modularity,connectivity,false,767,2344,141.2523
pr_0_85,8,modularity,connectivity,true,12154,26012,23.9692
pr_0_85,8,async_label_prop,connectivity,false,3673,19361,15.8534
pr_0_85,8,async_label_prop,connectivity,true,12552,24053,11.644
pr_0_85,10,connected_components,connectivity,false,1019,1284,0.6824
pr_0_85,10,connected_components,connectivity,true,12547,24705,2.0055
pr_0_85,10,modularity,connectivity,false,1210,3728,116.1395
pr_0_85,10,modularity,connectivity,true,12603,29128,9.6766
