filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,61,60,0.0511
agd,2,connected_components,connectivity,true,62,61,0.0484
agd,2,modularity,connectivity,false,65,89,1.7987
agd,2,modularity,connectivity,true,77,201,0.8108
agd,2,async_label_prop,connectivity,false,61,60,0.7961
agd,2,async_label_prop,connectivity,true,118,253,0.8982
agd,3,connected_components,connectivity,false,120,123,0.0525
agd,3,connected_components,connectivity,true,117,183,0.0487
agd,3,modularity,connectivity,false,124,218,1.4576
agd,3,modularity,connectivity,true,128,407,0.5711
agd,3,async_label_prop,connectivity,false,124,131,0.5197
agd,3,async_label_prop,connectivity,true,152,457,0.3941
agd,4,connected_components,connectivity,false,134,156,0.052
agd,4,connected_components,connectivity,true,118,236,0.0476
agd,4,modularity,connectivity,false,144,281,1.0681
agd,4,modularity,connectivity,true,137,543,0.4186
agd,4,async_label_prop,connectivity,false,165,233,0.5852
agd,4,async_label_prop,connectivity,true,164,597,0.3028
agd,6,connected_components,connectivity,false,134,212,0.0497
agd,6,connected_components,connectivity,true,173,512,0.0496
agd,6,modularity,connectivity,false,140,353,0.6339
agd,6,modularity,connectivity,true,189,972,0.3029
agd,6,async_label_prop,connectivity,false,145,338,0.3902
agd,6,async_label_prop,connectivity,true,212,921,0.3384
agd,8,connected_components,connectivity,false,172,337,0.0508
agd,8,connected_components,connectivity,true,199,694,0.0494
agd,8,modularity,connectivity,false,183,542,0.6533
agd,8,modularity,connectivity,true,223,1371,0.2556
agd,8,async_label_prop,connectivity,false,195,520,0.4932
agd,8,async_label_prop,connectivity,true,254,1608,0.2785
agd,10,connected_components,connectivity,false,167,378,0.0521
agd,10,connected_components,connectivity,true,216,906,0.0513
agd,10,modularity,connectivity,false,178,676,0.5107
agd,10,modularity,connectivity,true,241,1748,0.2293
agd,10,async_label_prop,connectivity,false,196,825,0.3761
agd,10,async_label_prop,connectivity,true,268,1888,0.2304
agd,20,connected_components,connectivity,false,215,767,0.0516
agd,20,connected_components,connectivity,true,321,2382,0.0577
