filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,114,113,0.1457
agd,2,connected_components,connectivity,true,286,285,0.1451
agd,2,modularity,connectivity,false,120,147,6.2766
agd,2,modularity,connectivity,true,299,463,3.1745
agd,2,async_label_prop,connectivity,false,115,115,2.2825
agd,2,async_label_prop,connectivity,true,328,392,1.071
agd,3,connected_components,connectivity,false,340,347,0.1517
agd,3,connected_components,connectivity,true,399,597,0.1453
agd,3,modularity,connectivity,false,343,544,5.4119
agd,3,modularity,connectivity,true,407,865,2.0084
agd,3,async_label_prop,connectivity,false,345,361,1.152
agd,3,async_label_prop,connectivity,true,437,849,0.9377
agd,4,connected_components,connectivity,false,373,394,0.1486
agd,4,connected_components,connectivity,true,415,748,0.153
agd,4,modularity,connectivity,false,383,610,3.5519
agd,4,modularity,connectivity,true,429,1213,1.4974
agd,4,async_label_prop,connectivity,false,400,468,1.1133
agd,4,async_label_prop,connectivity,true,446,1117,1.0646
agd,6,connected_components,connectivity,false,377,576,0.1409
agd,6,connected_components,connectivity,true,504,1202,0.14
agd,6,modularity,connectivity,false,383,786,1.9541
agd,6,modularity,connectivity,true,521,1799,1.0306
agd,6,async_label_prop,connectivity,false,394,751,0.9834
agd,6,async_label_prop,connectivity,true,542,1770,1.0404
agd,8,connected_components,connectivity,false,461,807,0.1411
agd,8,connected_components,connectivity,true,579,1700,0.1408
agd,8,modularity,connectivity,false,471,1097,1.8834
agd,8,modularity,connectivity,true,602,2581,0.8175
agd,8,async_label_prop,connectivity,false,485,1226,1.2255
agd,8,async_label_prop,connectivity,true,617,2438,0.7002
agd,10,connected_components,connectivity,false,508,1021,0.142
agd,10,connected_components,connectivity,true,617,2169,0.1551
agd,10,modularity,connectivity,false,519,1425,1.6154
agd,10,modularity,connectivity,true,639,3161,0.7
agd,10,async_label_prop,connectivity,false,537,1226,1.0969
agd,10,async_label_prop,connectivity,true,661,3036,0.6035
agd,20,connected_components,connectivity,false,607,1971,0.1437
agd,20,connected_components,connectivity,true,726,4022,0.1528
agd,20,modularity,connectivity,false,625,2771,0.8599
agd,20,modularity,connectivity,true,761,5948,0.504
agd,20,async_label_prop,connectivity,false,635,2438,0.7647
agd,20,async_label_prop,connectivity,true,769,5195,0.4789
ecc,2,connected_components,connectivity,false,61,60,0.1446
ecc,2,connected_components,connectivity,true,222,221,0.142
ecc,2,modularity,connectivity,false,67,81,6.5017
ecc,2,modularity,connectivity,true,236,425,3.1231
ecc,2,async_label_prop,connectivity,false,65,74,2.6461
ecc,2,async_label_prop,connectivity,true,262,350,1.8373
ecc,3,connected_components,connectivity,false,61,60,0.1441
ecc,3,connected_components,connectivity,true,367,584,0.1425
ecc,3,modularity,connectivity,false,67,81,6.5194
ecc,3,modularity,connectivity,true,376,940,2.066
ecc,3,async_label_prop,connectivity,false,63,63,3.7689
ecc,3,async_label_prop,connectivity,true,402,875,0.9225
ecc,4,connected_components,connectivity,false,170,169,0.1346
ecc,4,connected_components,connectivity,true,365,710,0.1363
ecc,4,modularity,connectivity,false,178,257,2.4591
ecc,4,modularity,connectivity,true,380,1138,1.4969
ecc,4,async_label_prop,connectivity,false,194,280,0.9918
ecc,4,async_label_prop,connectivity,true,401,1053,0.8619
ecc,6,connected_components,connectivity,false,170,169,0.1375
ecc,6,connected_components,connectivity,true,442,1120,0.1384
ecc,6,modularity,connectivity,false,178,257,2.4656
ecc,6,modularity,connectivity,true,459,1789,1.0254
ecc,6,async_label_prop,connectivity,false,195,296,1.1375
ecc,6,async_label_prop,connectivity,true,478,1533,0.6746
ecc,8,connected_components,connectivity,false,170,169,0.1373
ecc,8,connected_components,connectivity,true,474,1495,0.1387
ecc,8,modularity,connectivity,false,178,257,2.4598
ecc,8,modularity,connectivity,true,497,2318,0.82
ecc,8,async_label_prop,connectivity,false,197,307,1.0654
ecc,8,async_label_prop,connectivity,true,518,2272,0.5889
ecc,10,connected_components,connectivity,false,170,169,0.1381
ecc,10,connected_components,connectivity,true,485,1699,0.1383
ecc,10,modularity,connectivity,false,178,257,2.4851
ecc,10,modularity,connectivity,true,515,2774,0.7146
ecc,10,async_label_prop,connectivity,false,193,288,1.0619
ecc,10,async_label_prop,connectivity,true,531,2376,0.6394
ecc,20,connected_components,connectivity,false,170,169,0.1413
ecc,20,connected_components,connectivity,true,618,3595,0.1625
ecc,20,modularity,connectivity,false,178,257,2.4742
ecc,20,modularity,connectivity,true,661,5919,0.5002
ecc,20,async_label_prop,connectivity,false,197,318,1.0631
ecc,20,async_label_prop,connectivity,true,681,5203,0.4974
pr_0_85,2,connected_components,connectivity,false,58,80,0.1296
pr_0_85,2,connected_components,connectivity,true,433,432,0.1418
pr_0_85,2,modularity,connectivity,false,68,118,5.7335
pr_0_85,2,modularity,connectivity,true,449,803,3.0119
pr_0_85,2,async_label_prop,connectivity,false,62,86,1.8864
pr_0_85,2,async_label_prop,connectivity,true,491,558,1.2805
pr_0_85,3,connected_components,connectivity,false,90,114,0.1239
pr_0_85,3,connected_components,connectivity,true,495,686,0.1398
pr_0_85,3,modularity,connectivity,false,100,167,4.1452
pr_0_85,3,modularity,connectivity,true,504,1108,1.785
pr_0_85,3,async_label_prop,connectivity,false,104,166,1.9265
pr_0_85,3,async_label_prop,connectivity,true,532,969,0.8627
pr_0_85,4,connected_components,connectivity,false,148,251,0.1292
pr_0_85,4,connected_components,connectivity,true,540,890,0.1367
pr_0_85,4,modularity,connectivity,false,164,420,2.8664
pr_0_85,4,modularity,connectivity,true,558,1491,1.3845
pr_0_85,4,async_label_prop,connectivity,false,171,365,2.1306
pr_0_85,4,async_label_prop,connectivity,true,584,1315,1.1899
pr_0_85,6,connected_components,connectivity,false,246,579,0.1255
pr_0_85,6,connected_components,connectivity,true,621,1368,0.1437
pr_0_85,6,modularity,connectivity,false,260,805,1.3336
pr_0_85,6,modularity,connectivity,true,633,2010,0.9174
pr_0_85,6,async_label_prop,connectivity,false,299,1116,1.2212
pr_0_85,6,async_label_prop,connectivity,true,658,1763,1.1385
pr_0_85,8,connected_components,connectivity,false,331,1013,0.1299
pr_0_85,8,connected_components,connectivity,true,662,1807,0.1519
pr_0_85,8,modularity,connectivity,false,351,1521,0.9255
pr_0_85,8,modularity,connectivity,true,681,2864,0.7525
pr_0_85,8,async_label_prop,connectivity,false,404,1834,0.7712
pr_0_85,8,async_label_prop,connectivity,true,697,2362,0.6705
pr_0_85,10,connected_components,connectivity,false,403,1488,0.1278
pr_0_85,10,connected_components,connectivity,true,690,2150,0.1516
pr_0_85,10,modularity,connectivity,false,432,2404,0.83
pr_0_85,10,modularity,connectivity,true,709,3335,0.6539
pr_0_85,10,async_label_prop,connectivity,false,485,2856,0.8956
pr_0_85,10,async_label_prop,connectivity,true,734,2878,0.5811
pr_0_85,20,connected_components,connectivity,false,588,3513,0.1417
pr_0_85,20,connected_components,connectivity,true,805,4194,0.1491
pr_0_85,20,modularity,connectivity,false,622,5335,0.505
pr_0_85,20,modularity,connectivity,true,831,6191,0.4768
pr_0_85,20,async_label_prop,connectivity,false,645,5174,0.5917
pr_0_85,20,async_label_prop,connectivity,true,844,5410,0.464
fv,2,connected_components,connectivity,false,2,1,0.1421
fv,2,connected_components,connectivity,true,107,106,0.1391
fv,2,modularity,connectivity,false,10,21,6.8488
fv,2,modularity,connectivity,true,115,183,3.2331
fv,2,async_label_prop,connectivity,false,5,4,2.7105
fv,2,async_label_prop,connectivity,true,137,232,1.1036
fv,3,connected_components,connectivity,false,5,4,0.165
fv,3,connected_components,connectivity,true,167,256,0.1357
fv,3,modularity,connectivity,false,13,24,6.836
fv,3,modularity,connectivity,true,179,407,2.4608
fv,3,async_label_prop,connectivity,false,7,6,1.9247
fv,3,async_label_prop,connectivity,true,198,433,1.0028
fv,4,connected_components,connectivity,false,6,6,0.142
fv,4,connected_components,connectivity,true,275,450,0.1359
