filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.006
agd,2,connected_components,connectivity,true,2,1,0.0032
agd,2,modularity,connectivity,false,20,50,0.0541
agd,2,modularity,connectivity,true,24,36,0.0237
agd,2,async_label_prop,connectivity,false,122,341,0.055
agd,2,async_label_prop,connectivity,true,72,131,0.0143
agd,3,connected_components,connectivity,false,3,3,0.0091
agd,3,connected_components,connectivity,true,4,5,0.0033
agd,3,modularity,connectivity,false,30,120,0.0814
agd,3,modularity,connectivity,true,26,50,0.0221
agd,3,async_label_prop,connectivity,false,193,880,0.0811
agd,3,async_label_prop,connectivity,true,79,141,0.0143
agd,4,connected_components,connectivity,false,4,6,0.0122
agd,4,connected_components,connectivity,true,4,4,0.0033
agd,4,modularity,connectivity,false,40,220,0.109
agd,4,modularity,connectivity,true,29,54,0.0222
agd,4,async_label_prop,connectivity,false,239,1456,0.1245
agd,4,async_label_prop,connectivity,true,70,129,0.014
agd,6,connected_components,connectivity,false,6,15,0.0203
agd,6,connected_components,connectivity,true,6,11,0.0036
agd,6,modularity,connectivity,false,60,510,0.1727
agd,6,modularity,connectivity,true,35,68,0.0222
agd,6,async_label_prop,connectivity,false,350,3021,0.1772
agd,6,async_label_prop,connectivity,true,70,126,0.0142
agd,8,connected_components,connectivity,false,8,28,0.0276
agd,8,connected_components,connectivity,true,8,12,0.0038
agd,8,modularity,connectivity,false,80,920,0.2223
agd,8,modularity,connectivity,true,42,75,0.0222
agd,8,async_label_prop,connectivity,false,482,5673,0.2456
agd,8,async_label_prop,connectivity,true,67,122,0.0152
agd,10,connected_components,connectivity,false,10,45,0.0372
agd,10,connected_components,connectivity,true,10,15,0.004
agd,10,modularity,connectivity,false,100,1450,0.2801
agd,10,modularity,connectivity,true,47,83,0.0223
agd,10,async_label_prop,connectivity,false,614,9159,0.3204
agd,10,async_label_prop,connectivity,true,66,117,0.0153
agd,20,connected_components,connectivity,false,20,190,0.0917
agd,20,connected_components,connectivity,true,20,30,0.0062
agd,20,modularity,connectivity,false,200,5900,0.5881
agd,20,modularity,connectivity,true,62,100,0.0228
agd,20,async_label_prop,connectivity,false,1194,35715,0.6685
agd,20,async_label_prop,connectivity,true,74,131,0.0168
ecc,2,connected_components,connectivity,false,2,1,0.0059
ecc,2,connected_components,connectivity,true,2,1,0.005
ecc,2,modularity,connectivity,false,20,50,0.0558
ecc,2,modularity,connectivity,true,24,36,0.0239
ecc,2,async_label_prop,connectivity,false,124,362,0.0504
ecc,2,async_label_prop,connectivity,true,70,134,0.0144
ecc,3,connected_components,connectivity,false,3,3,0.009
ecc,3,connected_components,connectivity,true,4,5,0.0033
ecc,3,modularity,connectivity,false,30,120,0.0813
ecc,3,modularity,connectivity,true,26,50,0.0221
ecc,3,async_label_prop,connectivity,false,185,815,0.0703
ecc,3,async_label_prop,connectivity,true,73,126,0.014
ecc,4,connected_components,connectivity,false,4,6,0.0122
ecc,4,connected_components,connectivity,true,4,4,0.0033
ecc,4,modularity,connectivity,false,40,220,0.1091
ecc,4,modularity,connectivity,true,29,54,0.0222
ecc,4,async_label_prop,connectivity,false,233,1416,0.1126
ecc,4,async_label_prop,connectivity,true,76,141,0.0142
ecc,6,connected_components,connectivity,false,6,15,0.0205
ecc,6,connected_components,connectivity,true,6,11,0.0036
ecc,6,modularity,connectivity,false,60,510,0.1723
ecc,6,modularity,connectivity,true,35,68,0.0221
ecc,6,async_label_prop,connectivity,false,364,3175,0.1673
ecc,6,async_label_prop,connectivity,true,74,136,0.0143
ecc,8,connected_components,connectivity,false,8,28,0.0274
ecc,8,connected_components,connectivity,true,8,12,0.0038
ecc,8,modularity,connectivity,false,80,920,0.2218
ecc,8,modularity,connectivity,true,42,75,0.0221
ecc,8,async_label_prop,connectivity,false,459,5359,0.2547
ecc,8,async_label_prop,connectivity,true,72,127,0.0143
ecc,10,connected_components,connectivity,false,10,45,0.0375
ecc,10,connected_components,connectivity,true,10,15,0.004
ecc,10,modularity,connectivity,false,100,1450,0.2801
ecc,10,modularity,connectivity,true,47,83,0.0224
ecc,10,async_label_prop,connectivity,false,587,8519,0.3196
ecc,10,async_label_prop,connectivity,true,73,134,0.0146
ecc,20,connected_components,connectivity,false,20,190,0.0928
ecc,20,connected_components,connectivity,true,20,30,0.0054
ecc,20,modularity,connectivity,false,200,5900,0.6015
ecc,20,modularity,connectivity,true,62,100,0.023
ecc,20,async_label_prop,connectivity,false,1176,34913,0.6937
ecc,20,async_label_prop,connectivity,true,75,133,0.0168
pr_0_85,2,connected_components,connectivity,false,2,1,0.003
pr_0_85,2,connected_components,connectivity,true,4,4,0.006
pr_0_85,2,modularity,connectivity,false,8,9,0.0286
pr_0_85,2,modularity,connectivity,true,26,39,0.0233
pr_0_85,2,async_label_prop,connectivity,false,61,88,0.0301
pr_0_85,2,async_label_prop,connectivity,true,76,134,0.0144
pr_0_85,3,connected_components,connectivity,false,2,1,0.0031
pr_0_85,3,connected_components,connectivity,true,5,8,0.0033
pr_0_85,3,modularity,connectivity,false,8,9,0.0286
pr_0_85,3,modularity,connectivity,true,26,50,0.022
pr_0_85,3,async_label_prop,connectivity,false,55,75,0.03
pr_0_85,3,async_label_prop,connectivity,true,73,130,0.014
pr_0_85,4,connected_components,connectivity,false,2,1,0.0031
pr_0_85,4,connected_components,connectivity,true,6,9,0.0034
pr_0_85,4,modularity,connectivity,false,8,9,0.0286
pr_0_85,4,modularity,connectivity,true,30,56,0.0221
pr_0_85,4,async_label_prop,connectivity,false,66,90,0.0263
pr_0_85,4,async_label_prop,connectivity,true,72,127,0.0141
pr_0_85,6,connected_components,connectivity,false,2,1,0.0032
pr_0_85,6,connected_components,connectivity,true,8,14,0.0036
pr_0_85,6,modularity,connectivity,false,8,9,0.0288
pr_0_85,6,modularity,connectivity,true,40,77,0.0222
pr_0_85,6,async_label_prop,connectivity,false,67,94,0.0251
pr_0_85,6,async_label_prop,connectivity,true,77,139,0.0143
pr_0_85,8,connected_components,connectivity,false,2,1,0.0033
pr_0_85,8,connected_components,connectivity,true,10,15,0.0039
pr_0_85,8,modularity,connectivity,false,8,9,0.0288
pr_0_85,8,modularity,connectivity,true,44,80,0.0222
pr_0_85,8,async_label_prop,connectivity,false,61,83,0.025
pr_0_85,8,async_label_prop,connectivity,true,75,134,0.0144
pr_0_85,10,connected_components,connectivity,false,2,1,0.0034
pr_0_85,10,connected_components,connectivity,true,12,18,0.004
pr_0_85,10,modularity,connectivity,false,8,9,0.029
pr_0_85,10,modularity,connectivity,true,47,83,0.0223
pr_0_85,10,async_label_prop,connectivity,false,59,78,0.0302
pr_0_85,10,async_label_prop,connectivity,true,77,137,0.0146
pr_0_85,20,connected_components,connectivity,false,2,1,0.004
pr_0_85,20,connected_components,connectivity,true,22,33,0.0049
pr_0_85,20,modularity,connectivity,false,8,9,0.0295
pr_0_85,20,modularity,connectivity,true,66,115,0.0229
pr_0_85,20,async_label_prop,connectivity,false,57,77,0.0309
pr_0_85,20,async_label_prop,connectivity,true,73,128,0.015
fv,2,connected_components,connectivity,false,2,1,0.0032
fv,2,connected_components,connectivity,true,2,1,0.0032
fv,2,modularity,connectivity,false,17,17,0.0268
fv,2,modularity,connectivity,true,17,17,0.0269
fv,2,async_label_prop,connectivity,false,50,56,0.0226
fv,2,async_label_prop,connectivity,true,63,89,0.0286
fv,3,connected_components,connectivity,false,4,4,0.0033
fv,3,connected_components,connectivity,true,4,4,0.0034
fv,3,modularity,connectivity,false,20,20,0.026
fv,3,modularity,connectivity,true,22,22,0.0261
fv,3,async_label_prop,connectivity,false,59,76,0.0211
fv,3,async_label_prop,connectivity,true,62,91,0.0255
fv,4,connected_components,connectivity,false,6,6,0.0034
fv,4,connected_components,connectivity,true,6,6,0.0035
fv,4,modularity,connectivity,false,24,24,0.0255
fv,4,modularity,connectivity,true,24,24,0.0261
fv,4,async_label_prop,connectivity,false,65,90,0.0254
fv,4,async_label_prop,connectivity,true,57,79,0.0214
fv,6,connected_components,connectivity,false,10,10,0.0039
fv,6,connected_components,connectivity,true,10,10,0.0038
fv,6,modularity,connectivity,false,29,29,0.0251
fv,6,modularity,connectivity,true,28,28,0.0257
fv,6,async_label_prop,connectivity,false,65,87,0.0255
