filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,18,17,0.007
agd,2,connected_components,connectivity,true,61,60,0.0088
agd,2,modularity,connectivity,false,33,37,0.0754
agd,2,modularity,connectivity,true,72,77,0.0615
agd,2,async_label_prop,connectivity,false,74,93,0.055
agd,2,async_label_prop,connectivity,true,98,122,0.0538
agd,3,connected_components,connectivity,false,50,51,0.0083
agd,3,connected_components,connectivity,true,90,94,0.0097
agd,3,modularity,connectivity,false,63,70,0.0676
agd,3,modularity,connectivity,true,100,113,0.0544
agd,3,async_label_prop,connectivity,false,93,118,0.0508
agd,3,async_label_prop,connectivity,true,115,135,0.0457
agd,4,connected_components,connectivity,false,77,77,0.009
agd,4,connected_components,connectivity,true,120,139,0.0106
agd,4,modularity,connectivity,false,86,92,0.0619
agd,4,modularity,connectivity,true,129,160,0.0496
agd,4,async_label_prop,connectivity,false,110,126,0.047
agd,4,async_label_prop,connectivity,true,141,176,0.0424
agd,6,connected_components,connectivity,false,101,106,0.0099
agd,6,connected_components,connectivity,true,150,185,0.0117
agd,6,modularity,connectivity,false,111,127,0.0513
agd,6,modularity,connectivity,true,160,209,0.0437
agd,6,async_label_prop,connectivity,false,126,157,0.0453
agd,6,async_label_prop,connectivity,true,163,218,0.0398
agd,8,connected_components,connectivity,false,140,163,0.0112
agd,8,connected_components,connectivity,true,174,238,0.0127
agd,8,modularity,connectivity,false,150,184,0.0455
agd,8,modularity,connectivity,true,178,253,0.0432
agd,8,async_label_prop,connectivity,false,157,200,0.0405
agd,8,async_label_prop,connectivity,true,182,266,0.0345
agd,10,connected_components,connectivity,false,150,187,0.0117
agd,10,connected_components,connectivity,true,180,252,0.013
agd,10,modularity,connectivity,false,157,208,0.0426
agd,10,modularity,connectivity,true,184,267,0.0406
agd,10,async_label_prop,connectivity,false,167,229,0.0351
agd,10,async_label_prop,connectivity,true,191,284,0.0295
agd,20,connected_components,connectivity,false,196,285,0.0141
agd,20,connected_components,connectivity,true,214,339,0.0149
agd,20,modularity,connectivity,false,200,296,0.0415
agd,20,modularity,connectivity,true,218,348,0.0472
agd,20,async_label_prop,connectivity,false,202,303,0.0286
agd,20,async_label_prop,connectivity,true,222,360,0.0286
ecc,2,connected_components,connectivity,false,21,20,0.0077
ecc,2,connected_components,connectivity,true,36,35,0.0079
ecc,2,modularity,connectivity,false,42,49,0.0791
ecc,2,modularity,connectivity,true,52,60,0.0609
ecc,2,async_label_prop,connectivity,false,78,100,0.0586
ecc,2,async_label_prop,connectivity,true,76,99,0.0537
ecc,3,connected_components,connectivity,false,41,40,0.0076
ecc,3,connected_components,connectivity,true,67,73,0.0088
ecc,3,modularity,connectivity,false,54,66,0.0574
ecc,3,modularity,connectivity,true,82,102,0.0542
ecc,3,async_label_prop,connectivity,false,83,108,0.0562
ecc,3,async_label_prop,connectivity,true,103,132,0.0607
ecc,4,connected_components,connectivity,false,59,58,0.0112
ecc,4,connected_components,connectivity,true,97,118,0.0098
ecc,4,modularity,connectivity,false,77,98,0.0877
ecc,4,modularity,connectivity,true,109,136,0.049
ecc,4,async_label_prop,connectivity,false,121,205,0.0899
ecc,4,async_label_prop,connectivity,true,131,189,0.0403
ecc,6,connected_components,connectivity,false,99,100,0.0101
ecc,6,connected_components,connectivity,true,126,182,0.0109
ecc,6,modularity,connectivity,false,110,120,0.0523
ecc,6,modularity,connectivity,true,137,202,0.0466
