filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
pr_0_85,2,connected_components,connectivity,false,11660,11668,31.008
pr_0_85,2,connected_components,connectivity,true,567673,567700,46.4457
pr_0_85,3,connected_components,connectivity,false,16596,17217,27.7748
pr_0_85,3,connected_components,connectivity,true,756588,756952,54.1631
pr_0_85,4,connected_components,connectivity,false,18047,18889,35.2699
pr_0_85,4,connected_components,connectivity,true,845702,849034,63.7929
pr_0_85,6,connected_components,connectivity,false,27319,28758,33.9995
pr_0_85,6,connected_components,connectivity,true,888586,919777,64.2899
pr_0_85,8,connected_components,connectivity,false,38320,40082,39.0572
pr_0_85,8,connected_components,connectivity,true,954911,1027805,68.5633
pr_0_85,10,connected_components,connectivity,false,49015,50967,30.7347
pr_0_85,10,connected_components,connectivity,true,976316,1090760,57.3501
pr_0_85,20,connected_components,connectivity,false,90061,99671,33.8035
pr_0_85,20,connected_components,connectivity,true,1027797,1259561,60.4321
pr_0_85,30,connected_components,connectivity,false,114126,128889,47.4748
pr_0_85,30,connected_components,connectivity,true,1049537,1359812,86.705
pr_0_85,40,connected_components,connectivity,false,131603,151379,52.9836
pr_0_85,40,connected_components,connectivity,true,1065241,1437124,91.5015
fv_norm,2,connected_components,connectivity,false,54,53,27.5631
fv_norm,2,connected_components,connectivity,true,562155,562155,41.5276
fv_norm,3,connected_components,connectivity,false,66,69,26.8119
fv_norm,3,connected_components,connectivity,true,733320,734216,48.2255
fv_norm,4,connected_components,connectivity,false,79,82,27.2349
fv_norm,4,connected_components,connectivity,true,814467,816342,50.1133
fv_norm,6,connected_components,connectivity,false,80,83,28.9718
fv_norm,6,connected_components,connectivity,true,896509,922116,54.1794
fv_norm,8,connected_components,connectivity,false,81,84,28.7447
fv_norm,8,connected_components,connectivity,true,936772,989842,54.4909
fv_norm,10,connected_components,connectivity,false,82,85,29.3534
fv_norm,10,connected_components,connectivity,true,961080,1038361,57.094
fv_norm,20,connected_components,connectivity,false,84,87,32.2859
fv_norm,20,connected_components,connectivity,true,1012883,1193631,61.0102
fv_norm,30,connected_components,connectivity,false,83,86,35.2641
fv_norm,30,connected_components,connectivity,true,1031695,1278292,71.0292
fv_norm,40,connected_components,connectivity,false,159,162,38.1009
fv_norm,40,connected_components,connectivity,true,1044578,1341931,79.4133
