filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.14272093772888184
agd,2,modularity,connectivity,false,13,22,2.038086175918579
agd,2,connected_components,connectivity,true,4,3,0.14930415153503418
agd,2,modularity,connectivity,true,14,26,1.8536131381988525
agd,3,connected_components,connectivity,false,6,6,0.15336012840270996
agd,3,modularity,connectivity,false,14,25,2.076380968093872
agd,3,connected_components,connectivity,true,6,8,0.1533827781677246
agd,3,modularity,connectivity,true,16,34,1.820962905883789
agd,4,connected_components,connectivity,false,6,8,0.13829779624938965
agd,4,modularity,connectivity,false,14,25,1.9835567474365234
agd,4,connected_components,connectivity,true,10,15,0.15262603759765625
agd,4,modularity,connectivity,true,17,35,1.536332130432129
agd,5,connected_components,connectivity,false,7,10,0.13856887817382812
agd,5,modularity,connectivity,false,14,25,1.5828440189361572
agd,5,connected_components,connectivity,true,12,21,0.13909101486206055
agd,5,modularity,connectivity,true,18,42,1.4303159713745117
agd,6,connected_components,connectivity,false,10,17,0.15465807914733887
agd,6,modularity,connectivity,false,14,25,1.6717808246612549
agd,6,connected_components,connectivity,true,12,24,0.15418601036071777
agd,6,modularity,connectivity,true,18,42,1.298429012298584
agd,7,connected_components,connectivity,false,9,14,0.1529250144958496
agd,7,modularity,connectivity,false,15,27,1.7410647869110107
agd,7,connected_components,connectivity,true,15,33,0.13599205017089844
agd,7,modularity,connectivity,true,21,52,1.3690130710601807
agd,8,connected_components,connectivity,false,10,17,0.14902496337890625
agd,8,modularity,connectivity,false,14,25,1.7425708770751953
agd,8,connected_components,connectivity,true,16,33,0.13247275352478027
agd,8,modularity,connectivity,true,21,49,1.2169792652130127
agd,9,connected_components,connectivity,false,11,21,0.1368117332458496
agd,9,modularity,connectivity,false,14,25,1.5489580631256104
agd,9,connected_components,connectivity,true,18,44,0.1364278793334961
agd,9,modularity,connectivity,true,23,61,0.9666869640350342
agd,10,connected_components,connectivity,false,10,19,0.13448095321655273
agd,10,modularity,connectivity,false,14,25,1.6337993144989014
agd,10,connected_components,connectivity,true,18,48,0.1271519660949707
agd,10,modularity,connectivity,true,23,64,1.0932652950286865
agd,11,connected_components,connectivity,false,11,22,0.15338611602783203
agd,11,modularity,connectivity,false,15,31,2.36913800239563
agd,11,connected_components,connectivity,true,22,52,0.349672794342041
agd,11,modularity,connectivity,true,25,58,1.1861181259155273
agd,12,connected_components,connectivity,false,11,21,0.1556239128112793
agd,12,modularity,connectivity,false,14,25,1.9946439266204834
agd,12,connected_components,connectivity,true,20,53,0.13217830657958984
agd,12,modularity,connectivity,true,25,67,1.293431043624878
agd,13,connected_components,connectivity,false,12,25,0.15507888793945312
agd,13,modularity,connectivity,false,16,31,2.0256359577178955
agd,13,connected_components,connectivity,true,22,62,0.14151406288146973
agd,13,modularity,connectivity,true,27,77,1.2603249549865723
agd,14,connected_components,connectivity,false,12,23,0.1500718593597412
agd,14,modularity,connectivity,false,15,27,1.7956879138946533
agd,14,connected_components,connectivity,true,24,72,0.1318049430847168
agd,14,modularity,connectivity,true,28,83,0.8813409805297852
agd,15,connected_components,connectivity,false,13,27,0.14275002479553223
agd,15,modularity,connectivity,false,15,29,1.5990138053894043
agd,15,connected_components,connectivity,true,25,74,0.12582612037658691
agd,15,modularity,connectivity,true,29,88,0.8376281261444092
