filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,5,4,0.0009150505065917969
agd,2,modularity,connectivity,false,8,8,0.001499176025390625
agd,2,connected_components,connectivity,true,5,4,0.0004858970642089844
agd,2,modularity,connectivity,true,8,8,0.0015401840209960938
agd,3,connected_components,connectivity,false,9,12,0.0005550384521484375
agd,3,modularity,connectivity,false,12,16,0.0012240409851074219
agd,3,connected_components,connectivity,true,8,10,0.0005970001220703125
agd,3,modularity,connectivity,true,11,15,0.0026161670684814453
agd,4,connected_components,connectivity,false,9,12,0.0006299018859863281
agd,4,modularity,connectivity,false,12,16,0.0012600421905517578
agd,4,connected_components,connectivity,true,10,13,0.0006725788116455078
agd,4,modularity,connectivity,true,12,16,0.0012879371643066406
agd,5,connected_components,connectivity,false,9,12,0.0006129741668701172
agd,5,modularity,connectivity,false,12,16,0.001302957534790039
agd,5,connected_components,connectivity,true,12,20,0.0014240741729736328
agd,5,modularity,connectivity,true,14,23,0.0017573833465576172
agd,6,connected_components,connectivity,false,9,12,0.0006358623504638672
agd,6,modularity,connectivity,false,12,16,0.0013179779052734375
agd,6,connected_components,connectivity,true,12,21,0.0007920265197753906
agd,6,modularity,connectivity,true,12,21,0.0016298294067382812
agd,7,connected_components,connectivity,false,9,12,0.0008456707000732422
agd,7,modularity,connectivity,false,12,16,0.001483917236328125
agd,7,connected_components,connectivity,true,12,19,0.0007829666137695312
agd,7,modularity,connectivity,true,12,19,0.0013229846954345703
agd,8,connected_components,connectivity,false,9,12,0.0006718635559082031
agd,8,modularity,connectivity,false,12,16,0.0013570785522460938
agd,8,connected_components,connectivity,true,12,16,0.0007872581481933594
agd,8,modularity,connectivity,true,12,16,0.0019500255584716797
agd,9,connected_components,connectivity,false,9,12,0.0007002353668212891
agd,9,modularity,connectivity,false,12,16,0.0013699531555175781
agd,9,connected_components,connectivity,true,14,23,0.0009360313415527344
agd,9,modularity,connectivity,true,14,23,0.0015559196472167969
agd,10,connected_components,connectivity,false,9,12,0.0010366439819335938
agd,10,modularity,connectivity,false,12,16,0.0014400482177734375
agd,10,connected_components,connectivity,true,14,23,0.0009410381317138672
agd,10,modularity,connectivity,true,14,23,0.001703023910522461
agd,11,connected_components,connectivity,false,9,12,0.0007228851318359375
agd,11,modularity,connectivity,false,12,16,0.001405954360961914
agd,11,connected_components,connectivity,true,14,21,0.0013391971588134766
agd,11,modularity,connectivity,true,14,21,0.0012519359588623047
agd,12,connected_components,connectivity,false,9,12,0.0007390975952148438
agd,12,modularity,connectivity,false,12,16,0.001422882080078125
agd,12,connected_components,connectivity,true,15,25,0.0009870529174804688
agd,12,modularity,connectivity,true,15,25,0.0022559165954589844
agd,13,connected_components,connectivity,false,9,12,0.0007660388946533203
agd,13,modularity,connectivity,false,12,16,0.0014541149139404297
agd,13,connected_components,connectivity,true,15,22,0.0009579658508300781
agd,13,modularity,connectivity,true,15,22,0.0011370182037353516
agd,14,connected_components,connectivity,false,9,12,0.0007810592651367188
agd,14,modularity,connectivity,false,12,16,0.001461029052734375
agd,14,connected_components,connectivity,true,15,22,0.0016331672668457031
agd,14,modularity,connectivity,true,15,22,0.0011699199676513672
agd,15,connected_components,connectivity,false,9,12,0.0007898807525634766
agd,15,modularity,connectivity,false,12,16,0.0014729499816894531
agd,15,connected_components,connectivity,true,23,65,0.0015189647674560547
agd,15,modularity,connectivity,true,23,65,0.003370046615600586
agd,16,connected_components,connectivity,false,9,12,0.0008337497711181641
agd,16,modularity,connectivity,false,12,16,0.0014882087707519531
agd,16,connected_components,connectivity,true,16,24,0.0010478496551513672
agd,16,modularity,connectivity,true,16,24,0.0010519027709960938
agd,17,connected_components,connectivity,false,9,12,0.0009741783142089844
agd,17,modularity,connectivity,false,12,16,0.002064943313598633
agd,17,connected_components,connectivity,true,16,24,0.0011279582977294922
agd,17,modularity,connectivity,true,16,24,0.001129150390625
agd,18,connected_components,connectivity,false,9,12,0.0008828639984130859
agd,18,modularity,connectivity,false,12,16,0.0015480518341064453
agd,18,connected_components,connectivity,true,18,32,0.0011820793151855469
agd,18,modularity,connectivity,true,18,32,0.002032756805419922
agd,19,connected_components,connectivity,false,9,12,0.0008897781372070312
agd,19,modularity,connectivity,false,12,16,0.0015668869018554688
agd,19,connected_components,connectivity,true,16,24,0.0010929107666015625
agd,19,modularity,connectivity,true,16,24,0.0011000633239746094
