filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,10,9,0.0011091232299804688
agd,2,modularity,connectivity,false,11,18,0.006386756896972656
agd,2,connected_components,connectivity,true,11,10,0.0010449886322021484
agd,2,modularity,connectivity,true,12,20,0.0041790008544921875
agd,3,connected_components,connectivity,false,16,29,0.001386880874633789
agd,3,modularity,connectivity,false,17,41,0.0034322738647460938
agd,3,connected_components,connectivity,true,14,19,0.000949859619140625
agd,3,modularity,connectivity,true,16,35,0.0034630298614501953
agd,4,connected_components,connectivity,false,16,29,0.0011501312255859375
agd,4,modularity,connectivity,false,17,39,0.0030260086059570312
agd,4,connected_components,connectivity,true,20,38,0.0012989044189453125
agd,4,modularity,connectivity,true,23,69,0.0031158924102783203
agd,5,connected_components,connectivity,false,21,53,0.0013949871063232422
agd,5,modularity,connectivity,false,22,60,0.004014015197753906
agd,5,connected_components,connectivity,true,21,42,0.001255035400390625
agd,5,modularity,connectivity,true,22,56,0.0029799938201904297
agd,6,connected_components,connectivity,false,24,65,0.00131988525390625
agd,6,modularity,connectivity,false,24,65,0.002732992172241211
agd,6,connected_components,connectivity,true,24,52,0.0013048648834228516
agd,6,modularity,connectivity,true,25,67,0.0026328563690185547
agd,7,connected_components,connectivity,false,25,75,0.0016090869903564453
agd,7,modularity,connectivity,false,25,75,0.0023832321166992188
agd,7,connected_components,connectivity,true,26,64,0.0013561248779296875
agd,7,modularity,connectivity,true,27,78,0.004156827926635742
agd,8,connected_components,connectivity,false,21,53,0.0013089179992675781
agd,8,modularity,connectivity,false,22,59,0.0034112930297851562
agd,8,connected_components,connectivity,true,24,66,0.0014948844909667969
agd,8,modularity,connectivity,true,24,66,0.0026497840881347656
agd,9,connected_components,connectivity,false,24,65,0.0013670921325683594
agd,9,modularity,connectivity,false,24,65,0.0028312206268310547
agd,9,connected_components,connectivity,true,28,79,0.0015239715576171875
agd,9,modularity,connectivity,true,28,79,0.002154827117919922
agd,10,connected_components,connectivity,false,25,74,0.0013980865478515625
agd,10,modularity,connectivity,false,25,74,0.00391697883605957
agd,10,connected_components,connectivity,true,29,81,0.0017578601837158203
agd,10,modularity,connectivity,true,29,81,0.0024640560150146484
agd,11,connected_components,connectivity,false,26,74,0.0018160343170166016
agd,11,modularity,connectivity,false,26,74,0.002485990524291992
agd,11,connected_components,connectivity,true,32,89,0.0017080307006835938
agd,11,modularity,connectivity,true,32,89,0.0017898082733154297
agd,12,connected_components,connectivity,false,27,75,0.0015239715576171875
agd,12,modularity,connectivity,false,27,75,0.0024428367614746094
agd,12,connected_components,connectivity,true,32,89,0.0018329620361328125
agd,12,modularity,connectivity,true,32,89,0.002507925033569336
agd,13,connected_components,connectivity,false,26,77,0.0017361640930175781
agd,13,modularity,connectivity,false,26,77,0.002672910690307617
agd,13,connected_components,connectivity,true,31,88,0.0017061233520507812
agd,13,modularity,connectivity,true,31,88,0.0019562244415283203
agd,14,connected_components,connectivity,false,28,82,0.00156402587890625
agd,14,modularity,connectivity,false,28,82,0.0028638839721679688
agd,14,connected_components,connectivity,true,32,89,0.001692056655883789
agd,14,modularity,connectivity,true,32,89,0.0016529560089111328
agd,15,connected_components,connectivity,false,28,82,0.0018241405487060547
agd,15,modularity,connectivity,false,28,82,0.003640890121459961
agd,15,connected_components,connectivity,true,32,89,0.0018699169158935547
agd,15,modularity,connectivity,true,32,89,0.0018291473388671875
agd,16,connected_components,connectivity,false,28,86,0.0018732547760009766
agd,16,modularity,connectivity,false,28,86,0.0029969215393066406
agd,16,connected_components,connectivity,true,31,88,0.0017161369323730469
agd,16,modularity,connectivity,true,31,88,0.0019497871398925781
agd,17,connected_components,connectivity,false,28,82,0.0016739368438720703
agd,17,modularity,connectivity,false,28,82,0.002222776412963867
agd,17,connected_components,connectivity,true,31,88,0.0017809867858886719
agd,17,modularity,connectivity,true,31,88,0.0028400421142578125
agd,18,connected_components,connectivity,false,28,82,0.0017309188842773438
agd,18,modularity,connectivity,false,28,82,0.0023238658905029297
agd,18,connected_components,connectivity,true,31,88,0.0017690658569335938
agd,18,modularity,connectivity,true,31,88,0.0019249916076660156
agd,19,connected_components,connectivity,false,28,82,0.0017080307006835938
agd,19,modularity,connectivity,false,28,82,0.002174854278564453
agd,19,connected_components,connectivity,true,31,88,0.0018129348754882812
agd,19,modularity,connectivity,true,31,88,0.0020008087158203125
ecc,2,connected_components,connectivity,false,6,5,0.0014069080352783203
ecc,2,modularity,connectivity,false,7,11,0.004399776458740234
ecc,2,connected_components,connectivity,true,5,4,0.0009300708770751953
ecc,2,modularity,connectivity,true,7,14,0.004423856735229492
ecc,3,connected_components,connectivity,false,6,5,0.0008349418640136719
ecc,3,modularity,connectivity,false,7,11,0.004432201385498047
ecc,3,connected_components,connectivity,true,11,15,0.0010159015655517578
ecc,3,modularity,connectivity,true,13,29,0.004086017608642578
ecc,4,connected_components,connectivity,false,6,5,0.0007941722869873047
ecc,4,modularity,connectivity,false,7,11,0.003446817398071289
ecc,4,connected_components,connectivity,true,16,27,0.001062154769897461
ecc,4,modularity,connectivity,true,18,47,0.003437042236328125
ecc,5,connected_components,connectivity,false,6,5,0.0014989376068115234
ecc,5,modularity,connectivity,false,7,11,0.0036237239837646484
ecc,5,connected_components,connectivity,true,18,42,0.0015540122985839844
ecc,5,modularity,connectivity,true,19,52,0.003736257553100586
ecc,6,connected_components,connectivity,false,6,5,0.0009770393371582031
ecc,6,modularity,connectivity,false,7,11,0.003982067108154297
ecc,6,connected_components,connectivity,true,21,53,0.0013439655303955078
ecc,6,modularity,connectivity,true,22,59,0.0028488636016845703
ecc,7,connected_components,connectivity,false,6,5,0.0008440017700195312
ecc,7,modularity,connectivity,false,7,11,0.0037009716033935547
ecc,7,connected_components,connectivity,true,20,59,0.0013511180877685547
ecc,7,modularity,connectivity,true,21,65,0.005617856979370117
ecc,8,connected_components,connectivity,false,6,5,0.0013301372528076172
ecc,8,modularity,connectivity,false,7,11,0.0036318302154541016
ecc,8,connected_components,connectivity,true,21,61,0.0030090808868408203
ecc,8,modularity,connectivity,true,22,68,0.006176948547363281
ecc,9,connected_components,connectivity,false,6,5,0.0009610652923583984
ecc,9,modularity,connectivity,false,7,11,0.003960847854614258
ecc,9,connected_components,connectivity,true,24,72,0.001767873764038086
ecc,9,modularity,connectivity,true,25,79,0.008106231689453125
ecc,10,connected_components,connectivity,false,6,5,0.001943826675415039
ecc,10,modularity,connectivity,false,7,11,0.0054399967193603516
ecc,10,connected_components,connectivity,true,22,66,0.0018801689147949219
ecc,10,modularity,connectivity,true,23,73,0.005911111831665039
ecc,11,connected_components,connectivity,false,6,5,0.0012462139129638672
ecc,11,modularity,connectivity,false,7,11,0.0053141117095947266
ecc,11,connected_components,connectivity,true,23,68,0.003101825714111328
ecc,11,modularity,connectivity,true,23,68,0.0039670467376708984
ecc,12,connected_components,connectivity,false,6,5,0.0011188983917236328
ecc,12,modularity,connectivity,false,7,11,0.0043070316314697266
ecc,12,connected_components,connectivity,true,26,76,0.0023508071899414062
ecc,12,modularity,connectivity,true,26,76,0.005445241928100586
ecc,13,connected_components,connectivity,false,6,5,0.0019459724426269531
ecc,13,modularity,connectivity,false,7,11,0.005882978439331055
ecc,13,connected_components,connectivity,true,24,70,0.0030448436737060547
ecc,13,modularity,connectivity,true,24,70,0.004897117614746094
ecc,14,connected_components,connectivity,false,6,5,0.00160980224609375
ecc,14,modularity,connectivity,false,7,11,0.005146980285644531
ecc,14,connected_components,connectivity,true,27,78,0.0016629695892333984
ecc,14,modularity,connectivity,true,27,78,0.003275156021118164
ecc,15,connected_components,connectivity,false,6,5,0.0011172294616699219
ecc,15,modularity,connectivity,false,7,11,0.0038971900939941406
ecc,15,connected_components,connectivity,true,26,76,0.0021278858184814453
ecc,15,modularity,connectivity,true,26,76,0.004694223403930664
ecc,16,connected_components,connectivity,false,6,5,0.0011370182037353516
ecc,16,modularity,connectivity,false,7,11,0.0048770904541015625
ecc,16,connected_components,connectivity,true,27,82,0.0017790794372558594
ecc,16,modularity,connectivity,true,27,82,0.002619028091430664
ecc,17,connected_components,connectivity,false,6,5,0.0013518333435058594
ecc,17,modularity,connectivity,false,7,11,0.004583835601806641
ecc,17,connected_components,connectivity,true,26,82,0.0018410682678222656
ecc,17,modularity,connectivity,true,26,82,0.002727985382080078
ecc,18,connected_components,connectivity,false,6,5,0.001918792724609375
ecc,18,modularity,connectivity,false,7,11,0.005128145217895508
ecc,18,connected_components,connectivity,true,29,85,0.002076864242553711
ecc,18,modularity,connectivity,true,29,85,0.002257108688354492
ecc,19,connected_components,connectivity,false,6,5,0.0011010169982910156
ecc,19,modularity,connectivity,false,7,11,0.004023075103759766
ecc,19,connected_components,connectivity,true,26,78,0.002028942108154297
ecc,19,modularity,connectivity,true,26,78,0.002692699432373047
pr_0_85,2,connected_components,connectivity,false,5,6,0.0008771419525146484
pr_0_85,2,modularity,connectivity,false,6,8,0.00461268424987793
pr_0_85,2,connected_components,connectivity,true,14,13,0.0017058849334716797
pr_0_85,2,modularity,connectivity,true,15,19,0.0050487518310546875
pr_0_85,3,connected_components,connectivity,false,14,24,0.0011949539184570312
pr_0_85,3,modularity,connectivity,false,16,33,0.003608226776123047
pr_0_85,3,connected_components,connectivity,true,14,18,0.0009970664978027344
pr_0_85,3,modularity,connectivity,true,16,29,0.0031707286834716797
pr_0_85,4,connected_components,connectivity,false,18,39,0.0012049674987792969
pr_0_85,4,modularity,connectivity,false,18,39,0.0037827491760253906
pr_0_85,4,connected_components,connectivity,true,18,28,0.0012447834014892578
pr_0_85,4,modularity,connectivity,true,19,38,0.002916097640991211
pr_0_85,5,connected_components,connectivity,false,21,52,0.001322031021118164
pr_0_85,5,modularity,connectivity,false,23,64,0.005489826202392578
pr_0_85,5,connected_components,connectivity,true,21,38,0.0015649795532226562
pr_0_85,5,modularity,connectivity,true,23,55,0.0030558109283447266
pr_0_85,6,connected_components,connectivity,false,21,47,0.001445770263671875
pr_0_85,6,modularity,connectivity,false,21,47,0.004148006439208984
pr_0_85,6,connected_components,connectivity,true,20,38,0.0013179779052734375
pr_0_85,6,modularity,connectivity,true,22,54,0.003398895263671875
pr_0_85,7,connected_components,connectivity,false,20,49,0.0013918876647949219
pr_0_85,7,modularity,connectivity,false,22,61,0.002644062042236328
pr_0_85,7,connected_components,connectivity,true,19,39,0.0016198158264160156
pr_0_85,7,modularity,connectivity,true,21,55,0.005413055419921875
pr_0_85,8,connected_components,connectivity,false,23,54,0.0019876956939697266
pr_0_85,8,modularity,connectivity,false,25,68,0.0027511119842529297
pr_0_85,8,connected_components,connectivity,true,24,60,0.0015058517456054688
pr_0_85,8,modularity,connectivity,true,25,70,0.002830028533935547
