filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,6,5,0.0033
agd,2,connected_components,connectivity,true,24,23,0.004
agd,2,modularity,connectivity,false,10,15,0.0435
agd,2,modularity,connectivity,true,28,47,0.0321
agd,2,async_label_prop,connectivity,false,15,30,0.0353
agd,2,async_label_prop,connectivity,true,31,48,0.0453
agd,3,connected_components,connectivity,false,17,16,0.0037
agd,3,connected_components,connectivity,true,37,61,0.0043
agd,3,modularity,connectivity,false,21,28,0.0424
agd,3,modularity,connectivity,true,40,89,0.0254
agd,3,async_label_prop,connectivity,false,23,36,0.0448
agd,3,async_label_prop,connectivity,true,43,86,0.0251
agd,4,connected_components,connectivity,false,30,29,0.0041
agd,4,connected_components,connectivity,true,48,92,0.0047
agd,4,modularity,connectivity,false,33,44,0.0355
agd,4,modularity,connectivity,true,56,145,0.0203
agd,4,async_label_prop,connectivity,false,36,68,0.0249
agd,4,async_label_prop,connectivity,true,59,132,0.0205
agd,6,connected_components,connectivity,false,32,40,0.0042
agd,6,connected_components,connectivity,true,64,156,0.0053
agd,6,modularity,connectivity,false,41,84,0.0235
agd,6,modularity,connectivity,true,69,202,0.0186
agd,6,async_label_prop,connectivity,false,46,76,0.0272
agd,6,async_label_prop,connectivity,true,70,175,0.0147
agd,8,connected_components,connectivity,false,41,60,0.0046
agd,8,connected_components,connectivity,true,77,198,0.0059
agd,8,modularity,connectivity,false,47,96,0.0232
agd,8,modularity,connectivity,true,83,256,0.0174
agd,8,async_label_prop,connectivity,false,49,104,0.021
agd,8,async_label_prop,connectivity,true,84,227,0.0159
agd,10,connected_components,connectivity,false,49,88,0.005
agd,10,connected_components,connectivity,true,84,239,0.0063
agd,10,modularity,connectivity,false,58,152,0.0202
agd,10,modularity,connectivity,true,89,305,0.0169
agd,10,async_label_prop,connectivity,false,60,142,0.0164
agd,10,async_label_prop,connectivity,true,88,252,0.013
agd,20,connected_components,connectivity,false,70,176,0.0061
agd,20,connected_components,connectivity,true,113,418,0.0078
agd,20,modularity,connectivity,false,78,243,0.0172
agd,20,modularity,connectivity,true,117,468,0.0143
agd,20,async_label_prop,connectivity,false,79,250,0.0132
agd,20,async_label_prop,connectivity,true,114,419,0.0109
agd,30,connected_components,connectivity,false,79,234,0.0053
agd,30,connected_components,connectivity,true,113,431,0.0074
agd,30,modularity,connectivity,false,86,299,0.0162
agd,30,modularity,connectivity,true,116,469,0.0132
agd,30,async_label_prop,connectivity,false,87,291,0.0104
agd,30,async_label_prop,connectivity,true,113,431,0.0096
agd,40,connected_components,connectivity,false,95,333,0.008
agd,40,connected_components,connectivity,true,125,509,0.0088
agd,40,modularity,connectivity,false,100,376,0.0148
agd,40,modularity,connectivity,true,126,525,0.0116
agd,40,async_label_prop,connectivity,false,98,353,0.0102
agd,40,async_label_prop,connectivity,true,125,509,0.0102
ecc,2,connected_components,connectivity,false,5,4,0.0049
ecc,2,connected_components,connectivity,true,17,16,0.0038
ecc,2,modularity,connectivity,false,13,43,0.0571
ecc,2,modularity,connectivity,true,22,42,0.0296
ecc,2,async_label_prop,connectivity,false,24,98,0.0464
ecc,2,async_label_prop,connectivity,true,25,56,0.0287
ecc,3,connected_components,connectivity,false,19,19,0.0035
ecc,3,connected_components,connectivity,true,25,38,0.0039
ecc,3,modularity,connectivity,false,27,62,0.0243
ecc,3,modularity,connectivity,true,32,76,0.0231
ecc,3,async_label_prop,connectivity,false,32,86,0.026
ecc,3,async_label_prop,connectivity,true,36,99,0.0204
ecc,4,connected_components,connectivity,false,19,35,0.0066
ecc,4,connected_components,connectivity,true,32,54,0.0041
ecc,4,modularity,connectivity,false,31,126,0.0641
ecc,4,modularity,connectivity,true,42,118,0.0219
ecc,4,async_label_prop,connectivity,false,33,119,0.0523
ecc,4,async_label_prop,connectivity,true,42,96,0.0196
ecc,6,connected_components,connectivity,false,31,48,0.0057
ecc,6,connected_components,connectivity,true,37,80,0.0045
ecc,6,modularity,connectivity,false,46,153,0.0379
ecc,6,modularity,connectivity,true,49,153,0.0201
ecc,6,async_label_prop,connectivity,false,57,251,0.0327
ecc,6,async_label_prop,connectivity,true,49,152,0.0169
ecc,8,connected_components,connectivity,false,45,96,0.0075
ecc,8,connected_components,connectivity,true,51,123,0.005
ecc,8,modularity,connectivity,false,64,278,0.0461
ecc,8,modularity,connectivity,true,61,187,0.0183
ecc,8,async_label_prop,connectivity,false,66,262,0.0538
ecc,8,async_label_prop,connectivity,true,60,179,0.0142
ecc,10,connected_components,connectivity,false,31,48,0.0058
ecc,10,connected_components,connectivity,true,57,138,0.0053
ecc,10,modularity,connectivity,false,46,153,0.0381
ecc,10,modularity,connectivity,true,69,220,0.0183
ecc,10,async_label_prop,connectivity,false,55,226,0.0361
ecc,10,async_label_prop,connectivity,true,69,224,0.0126
ecc,20,connected_components,connectivity,false,45,96,0.008
ecc,20,connected_components,connectivity,true,78,258,0.0066
ecc,20,modularity,connectivity,false,64,278,0.0466
ecc,20,modularity,connectivity,true,85,316,0.0171
ecc,20,async_label_prop,connectivity,false,69,310,0.0465
ecc,20,async_label_prop,connectivity,true,82,285,0.0121
ecc,30,connected_components,connectivity,false,31,48,0.0058
ecc,30,connected_components,connectivity,true,92,334,0.0066
ecc,30,modularity,connectivity,false,46,153,0.0337
ecc,30,modularity,connectivity,true,97,367,0.014
ecc,30,async_label_prop,connectivity,false,53,201,0.0254
ecc,30,async_label_prop,connectivity,true,94,344,0.0093
ecc,40,connected_components,connectivity,false,45,96,0.009
ecc,40,connected_components,connectivity,true,101,378,0.0078
ecc,40,modularity,connectivity,false,64,278,0.044
ecc,40,modularity,connectivity,true,105,406,0.0133
ecc,40,async_label_prop,connectivity,false,77,396,0.0307
ecc,40,async_label_prop,connectivity,true,101,378,0.0098
pr_0_85,2,connected_components,connectivity,false,2,1,0.0031
pr_0_85,2,connected_components,connectivity,true,40,39,0.0044
pr_0_85,2,modularity,connectivity,false,7,17,0.0425
pr_0_85,2,modularity,connectivity,true,44,82,0.0276
pr_0_85,2,async_label_prop,connectivity,false,16,54,0.0331
pr_0_85,2,async_label_prop,connectivity,true,48,92,0.038
pr_0_85,3,connected_components,connectivity,false,12,16,0.0035
pr_0_85,3,connected_components,connectivity,true,50,77,0.0047
pr_0_85,3,modularity,connectivity,false,22,63,0.0264
pr_0_85,3,modularity,connectivity,true,55,111,0.0218
pr_0_85,3,async_label_prop,connectivity,false,33,121,0.0226
pr_0_85,3,async_label_prop,connectivity,true,56,100,0.0275
pr_0_85,4,connected_components,connectivity,false,21,33,0.0038
pr_0_85,4,connected_components,connectivity,true,56,102,0.005
pr_0_85,4,modularity,connectivity,false,30,80,0.0214
pr_0_85,4,modularity,connectivity,true,62,151,0.0191
pr_0_85,4,async_label_prop,connectivity,false,39,100,0.0211
pr_0_85,4,async_label_prop,connectivity,true,63,138,0.0172
pr_0_85,6,connected_components,connectivity,false,46,100,0.0047
pr_0_85,6,connected_components,connectivity,true,73,164,0.0056
pr_0_85,6,modularity,connectivity,false,53,146,0.0207
pr_0_85,6,modularity,connectivity,true,78,213,0.0165
pr_0_85,6,async_label_prop,connectivity,false,59,187,0.0181
pr_0_85,6,async_label_prop,connectivity,true,81,217,0.0137
pr_0_85,8,connected_components,connectivity,false,51,131,0.005
pr_0_85,8,connected_components,connectivity,true,82,221,0.0061
pr_0_85,8,modularity,connectivity,false,59,200,0.0196
pr_0_85,8,modularity,connectivity,true,88,281,0.0161
pr_0_85,8,async_label_prop,connectivity,false,65,231,0.0155
pr_0_85,8,async_label_prop,connectivity,true,87,253,0.0136
pr_0_85,10,connected_components,connectivity,false,63,183,0.0055
pr_0_85,10,connected_components,connectivity,true,86,258,0.0063
pr_0_85,10,modularity,connectivity,false,70,260,0.0168
pr_0_85,10,modularity,connectivity,true,90,300,0.0158
