filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
pr_0_85,2,connected_components,connectivity,false,2,1,0.8096
pr_0_85,2,connected_components,connectivity,true,21201,21225,1.365
pr_0_85,2,modularity,connectivity,false,231,615,349.0494
pr_0_85,2,modularity,connectivity,true,21279,24659,234.3184
pr_0_85,2,async_label_prop,connectivity,false,8252,32369,24.3986
pr_0_85,2,async_label_prop,connectivity,true,23091,32229,12.1401
pr_0_85,3,connected_components,connectivity,false,2,1,0.8382
pr_0_85,3,connected_components,connectivity,true,24642,26047,1.6486
pr_0_85,3,modularity,connectivity,false,231,615,371.47
pr_0_85,3,modularity,connectivity,true,24716,31448,100.9433
pr_0_85,3,async_label_prop,connectivity,false,8257,32848,17.7844
pr_0_85,3,async_label_prop,connectivity,true,26363,38874,7.5673
pr_0_85,4,connected_components,connectivity,false,2,1,0.7573
pr_0_85,4,connected_components,connectivity,true,27755,33269,1.4681
pr_0_85,4,modularity,connectivity,false,231,615,319.4337
pr_0_85,4,modularity,connectivity,true,27807,39230,46.6771
pr_0_85,4,async_label_prop,connectivity,false,8313,33277,13.0472
pr_0_85,4,async_label_prop,connectivity,true,29507,47196,6.0758
pr_0_85,6,connected_components,connectivity,false,2,1,0.8323
pr_0_85,6,connected_components,connectivity,true,31383,43384,1.6068
pr_0_85,6,modularity,connectivity,false,231,615,316.4889
pr_0_85,6,modularity,connectivity,true,31435,49659,17.4394
pr_0_85,6,async_label_prop,connectivity,false,8258,32446,14.8032
pr_0_85,6,async_label_prop,connectivity,true,33019,58959,5.8777
pr_0_85,8,connected_components,connectivity,false,2,1,0.9692
pr_0_85,8,connected_components,connectivity,true,33608,51236,1.73
pr_0_85,8,modularity,connectivity,false,231,615,359.274
pr_0_85,8,modularity,connectivity,true,33652,57697,10.146
pr_0_85,8,async_label_prop,connectivity,false,8046,30669,23.5338
pr_0_85,8,async_label_prop,connectivity,true,35057,65863,4.4215
pr_0_85,10,connected_components,connectivity,false,2,1,0.9004
pr_0_85,10,connected_components,connectivity,true,35138,57190,1.8661
pr_0_85,10,modularity,connectivity,false,231,615,331.5653
pr_0_85,10,modularity,connectivity,true,35175,63494,7.2998
pr_0_85,10,async_label_prop,connectivity,false,8375,33813,12.9993
