filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,40,39,0.011010169982910156
agd,2,modularity,connectivity,false,49,79,0.1535170078277588
agd,2,connected_components,connectivity,true,41,40,0.01084589958190918
agd,2,modularity,connectivity,true,57,254,0.08625197410583496
agd,3,connected_components,connectivity,false,55,54,0.01151275634765625
agd,3,modularity,connectivity,false,64,120,0.12853693962097168
agd,3,connected_components,connectivity,true,104,197,0.013009309768676758
agd,3,modularity,connectivity,true,124,552,0.06677722930908203
agd,4,connected_components,connectivity,false,70,72,0.011898040771484375
agd,4,modularity,connectivity,false,82,237,0.10105133056640625
agd,4,connected_components,connectivity,true,126,335,0.014293909072875977
agd,4,modularity,connectivity,true,144,649,0.06028389930725098
agd,5,connected_components,connectivity,false,93,120,0.012678146362304688
agd,5,modularity,connectivity,false,110,378,0.07534503936767578
agd,5,connected_components,connectivity,true,173,441,0.01636505126953125
agd,5,modularity,connectivity,true,190,729,0.07489895820617676
agd,6,connected_components,connectivity,false,96,134,0.012613773345947266
agd,6,modularity,connectivity,false,116,426,0.0671379566192627
agd,6,connected_components,connectivity,true,202,613,0.017739057540893555
agd,6,modularity,connectivity,true,218,832,0.05295991897583008
agd,7,connected_components,connectivity,false,99,152,0.01272892951965332
agd,7,modularity,connectivity,false,123,437,0.06501984596252441
agd,7,connected_components,connectivity,true,222,661,0.018652915954589844
agd,7,modularity,connectivity,true,234,848,0.05165600776672363
agd,8,connected_components,connectivity,false,108,187,0.013387918472290039
agd,8,modularity,connectivity,false,126,469,0.061797142028808594
agd,8,connected_components,connectivity,true,249,743,0.01996898651123047
agd,8,modularity,connectivity,true,265,901,0.051004886627197266
agd,9,connected_components,connectivity,false,135,263,0.015261173248291016
agd,9,modularity,connectivity,false,155,609,0.05547523498535156
agd,9,connected_components,connectivity,true,259,785,0.019672632217407227
agd,9,modularity,connectivity,true,273,925,0.04862380027770996
agd,10,connected_components,connectivity,false,146,308,0.014781951904296875
agd,10,modularity,connectivity,false,167,663,0.05530691146850586
agd,10,connected_components,connectivity,true,296,903,0.020958900451660156
agd,10,modularity,connectivity,true,307,977,0.047698974609375
agd,11,connected_components,connectivity,false,168,353,0.015496969223022461
agd,11,modularity,connectivity,false,188,715,0.05313825607299805
agd,11,connected_components,connectivity,true,304,942,0.0217897891998291
agd,11,modularity,connectivity,true,309,1003,0.047762155532836914
agd,12,connected_components,connectivity,false,192,433,0.016523122787475586
agd,12,modularity,connectivity,false,206,726,0.05303311347961426
agd,12,connected_components,connectivity,true,302,915,0.021507978439331055
agd,12,modularity,connectivity,true,312,997,0.046523094177246094
agd,13,connected_components,connectivity,false,194,451,0.01677703857421875
agd,13,modularity,connectivity,false,207,737,0.051329851150512695
agd,13,connected_components,connectivity,true,328,956,0.022375822067260742
agd,13,modularity,connectivity,true,335,1013,0.04580497741699219
agd,14,connected_components,connectivity,false,205,503,0.017611026763916016
agd,14,modularity,connectivity,false,221,790,0.05094003677368164
agd,14,connected_components,connectivity,true,326,999,0.022748947143554688
agd,14,modularity,connectivity,true,333,1049,0.04679989814758301
agd,15,connected_components,connectivity,false,215,545,0.01822805404663086
agd,15,modularity,connectivity,false,233,813,0.05059194564819336
agd,15,connected_components,connectivity,true,342,999,0.024084091186523438
agd,15,modularity,connectivity,true,350,1039,0.0475618839263916
agd,16,connected_components,connectivity,false,218,578,0.018413066864013672
agd,16,modularity,connectivity,false,234,852,0.05031180381774902
agd,16,connected_components,connectivity,true,346,1000,0.023329973220825195
agd,16,modularity,connectivity,true,353,1039,0.04606485366821289
agd,17,connected_components,connectivity,false,232,631,0.019232988357543945
agd,17,modularity,connectivity,false,247,855,0.0482478141784668
agd,17,connected_components,connectivity,true,347,1000,0.02365279197692871
agd,17,modularity,connectivity,true,356,1043,0.046224117279052734
agd,18,connected_components,connectivity,false,254,714,0.020353078842163086
agd,18,modularity,connectivity,false,266,906,0.04801583290100098
agd,18,connected_components,connectivity,true,356,1034,0.024312973022460938
agd,18,modularity,connectivity,true,364,1069,0.0462338924407959
agd,19,connected_components,connectivity,false,263,781,0.020771026611328125
agd,19,modularity,connectivity,false,275,927,0.04769492149353027
agd,19,connected_components,connectivity,true,357,1025,0.04374885559082031
agd,19,modularity,connectivity,true,363,1055,0.04631614685058594
ecc,2,connected_components,connectivity,false,39,38,0.010090112686157227
ecc,2,modularity,connectivity,false,48,87,0.14400100708007812
ecc,2,connected_components,connectivity,true,58,69,0.011037826538085938
ecc,2,modularity,connectivity,true,76,295,0.07989621162414551
ecc,3,connected_components,connectivity,false,48,85,0.01682567596435547
ecc,3,modularity,connectivity,false,70,335,0.2022390365600586
ecc,3,connected_components,connectivity,true,87,144,0.011983871459960938
ecc,3,modularity,connectivity,true,112,467,0.06641674041748047
ecc,4,connected_components,connectivity,false,52,51,0.010811090469360352
ecc,4,modularity,connectivity,false,72,264,0.07649993896484375
ecc,4,connected_components,connectivity,true,148,337,0.014259815216064453
ecc,4,modularity,connectivity,true,174,660,0.05694103240966797
ecc,5,connected_components,connectivity,false,52,51,0.01139211654663086
ecc,5,modularity,connectivity,false,72,264,0.07642507553100586
ecc,5,connected_components,connectivity,true,185,476,0.015466928482055664
ecc,5,modularity,connectivity,true,208,750,0.051654815673828125
ecc,6,connected_components,connectivity,false,99,180,0.018342018127441406
ecc,6,modularity,connectivity,false,131,722,0.13317418098449707
ecc,6,connected_components,connectivity,true,219,624,0.017406225204467773
ecc,6,modularity,connectivity,true,240,827,0.05061507225036621
ecc,7,connected_components,connectivity,false,52,51,0.010747909545898438
ecc,7,modularity,connectivity,false,72,264,0.07686901092529297
ecc,7,connected_components,connectivity,true,248,716,0.018765926361083984
ecc,7,modularity,connectivity,true,264,858,0.049429893493652344
ecc,8,connected_components,connectivity,false,52,51,0.010911941528320312
ecc,8,modularity,connectivity,false,72,264,0.07688713073730469
ecc,8,connected_components,connectivity,true,250,737,0.03778409957885742
ecc,8,modularity,connectivity,true,266,860,0.04845285415649414
ecc,9,connected_components,connectivity,false,99,180,0.01855611801147461
ecc,9,modularity,connectivity,false,131,722,0.13277983665466309
ecc,9,connected_components,connectivity,true,268,799,0.020151853561401367
ecc,9,modularity,connectivity,true,289,925,0.04909014701843262
ecc,10,connected_components,connectivity,false,52,51,0.011157989501953125
ecc,10,modularity,connectivity,false,72,264,0.0779731273651123
ecc,10,connected_components,connectivity,true,289,870,0.020814180374145508
ecc,10,modularity,connectivity,true,304,948,0.04718208312988281
ecc,11,connected_components,connectivity,false,52,51,0.011230945587158203
ecc,11,modularity,connectivity,false,72,264,0.07755589485168457
ecc,11,connected_components,connectivity,true,311,929,0.04083895683288574
ecc,11,modularity,connectivity,true,324,992,0.04847311973571777
ecc,12,connected_components,connectivity,false,99,180,0.019080162048339844
ecc,12,modularity,connectivity,false,131,722,0.13350772857666016
ecc,12,connected_components,connectivity,true,307,907,0.02195000648498535
ecc,12,modularity,connectivity,true,323,988,0.04649710655212402
ecc,13,connected_components,connectivity,false,52,51,0.01137089729309082
ecc,13,modularity,connectivity,false,72,264,0.07735681533813477
ecc,13,connected_components,connectivity,true,325,948,0.02218794822692871
ecc,13,modularity,connectivity,true,339,1001,0.045725345611572266
ecc,14,connected_components,connectivity,false,52,51,0.011590003967285156
ecc,14,modularity,connectivity,false,72,264,0.0774998664855957
ecc,14,connected_components,connectivity,true,325,959,0.041474103927612305
ecc,14,modularity,connectivity,true,336,1019,0.04698801040649414
ecc,15,connected_components,connectivity,false,99,180,0.019166946411132812
ecc,15,modularity,connectivity,false,131,722,0.13386797904968262
ecc,15,connected_components,connectivity,true,331,967,0.023072004318237305
ecc,15,modularity,connectivity,true,342,1013,0.045974016189575195
ecc,16,connected_components,connectivity,false,52,51,0.011755943298339844
ecc,16,modularity,connectivity,false,72,264,0.07756495475769043
ecc,16,connected_components,connectivity,true,340,979,0.023540019989013672
ecc,16,modularity,connectivity,true,353,1028,0.04660201072692871
ecc,17,connected_components,connectivity,false,52,51,0.012233972549438477
ecc,17,modularity,connectivity,false,72,264,0.07745599746704102
ecc,17,connected_components,connectivity,true,336,973,0.02289724349975586
ecc,17,modularity,connectivity,true,349,1017,0.04627728462219238
ecc,18,connected_components,connectivity,false,99,180,0.01955103874206543
ecc,18,modularity,connectivity,false,131,722,0.13390374183654785
ecc,18,connected_components,connectivity,true,356,1013,0.02416825294494629
ecc,18,modularity,connectivity,true,366,1051,0.0465540885925293
ecc,19,connected_components,connectivity,false,52,51,0.011984825134277344
ecc,19,modularity,connectivity,false,72,264,0.0777289867401123
ecc,19,connected_components,connectivity,true,360,1021,0.024500131607055664
ecc,19,modularity,connectivity,true,367,1043,0.046167850494384766
pr_0_85,2,connected_components,connectivity,false,123,152,0.013466835021972656
pr_0_85,2,modularity,connectivity,false,135,503,0.06498408317565918
pr_0_85,2,connected_components,connectivity,true,134,143,0.013422012329101562
pr_0_85,2,modularity,connectivity,true,145,516,0.0713491439819336
pr_0_85,3,connected_components,connectivity,false,116,175,0.012911796569824219
pr_0_85,3,modularity,connectivity,false,133,504,0.06082487106323242
pr_0_85,3,connected_components,connectivity,true,158,267,0.01476597785949707
pr_0_85,3,modularity,connectivity,true,175,643,0.05817604064941406
pr_0_85,4,connected_components,connectivity,false,172,467,0.01593494415283203
pr_0_85,4,modularity,connectivity,false,184,736,0.0496678352355957
pr_0_85,4,connected_components,connectivity,true,225,527,0.016847848892211914
pr_0_85,4,modularity,connectivity,true,243,828,0.049533843994140625
pr_0_85,5,connected_components,connectivity,false,202,447,0.016437768936157227
pr_0_85,5,modularity,connectivity,false,212,732,0.059721946716308594
pr_0_85,5,connected_components,connectivity,true,224,597,0.03607988357543945
pr_0_85,5,modularity,connectivity,true,240,857,0.048972129821777344
pr_0_85,6,connected_components,connectivity,false,197,391,0.016196012496948242
pr_0_85,6,modularity,connectivity,false,207,687,0.054839134216308594
pr_0_85,6,connected_components,connectivity,true,280,831,0.020231962203979492
pr_0_85,6,modularity,connectivity,true,289,952,0.04665088653564453
pr_0_85,7,connected_components,connectivity,false,222,662,0.018017053604125977
pr_0_85,7,modularity,connectivity,false,233,847,0.04732704162597656
pr_0_85,7,connected_components,connectivity,true,301,913,0.020903348922729492
pr_0_85,7,modularity,connectivity,true,309,991,0.04656696319580078
pr_0_85,8,connected_components,connectivity,false,249,681,0.018980979919433594
pr_0_85,8,modularity,connectivity,false,258,876,0.04787087440490723
pr_0_85,8,connected_components,connectivity,true,324,967,0.0220339298248291
pr_0_85,8,modularity,connectivity,true,331,1012,0.04379701614379883
pr_0_85,9,connected_components,connectivity,false,258,725,0.019839048385620117
pr_0_85,9,modularity,connectivity,false,266,904,0.04772615432739258
pr_0_85,9,connected_components,connectivity,true,330,989,0.022416114807128906
pr_0_85,9,modularity,connectivity,true,337,1025,0.04435300827026367
pr_0_85,10,connected_components,connectivity,false,268,825,0.020306825637817383
pr_0_85,10,modularity,connectivity,false,278,937,0.04558277130126953
pr_0_85,10,connected_components,connectivity,true,337,1009,0.022368192672729492
pr_0_85,10,modularity,connectivity,true,341,1030,0.044210195541381836
pr_0_85,11,connected_components,connectivity,false,277,752,0.020582914352416992
pr_0_85,11,modularity,connectivity,false,287,935,0.04733896255493164
pr_0_85,11,connected_components,connectivity,true,354,1054,0.02348780632019043
pr_0_85,11,modularity,connectivity,true,359,1075,0.044831037521362305
pr_0_85,12,connected_components,connectivity,false,279,779,0.0204470157623291
pr_0_85,12,modularity,connectivity,false,289,948,0.0466160774230957
pr_0_85,12,connected_components,connectivity,true,363,1065,0.023720979690551758
pr_0_85,12,modularity,connectivity,true,364,1068,0.044345855712890625
pr_0_85,13,connected_components,connectivity,false,284,903,0.04074978828430176
pr_0_85,13,modularity,connectivity,false,290,963,0.045484066009521484
pr_0_85,13,connected_components,connectivity,true,360,1038,0.023244857788085938
pr_0_85,13,modularity,connectivity,true,365,1054,0.04449295997619629
pr_0_85,14,connected_components,connectivity,false,304,838,0.021898984909057617
pr_0_85,14,modularity,connectivity,false,313,989,0.04617810249328613
