filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
ecc,2,connected_components,connectivity,false,4,3,1.336
ecc,2,connected_components,connectivity,true,4,3,0.7962
ecc,2,modularity,connectivity,false,26,180,27.3269
ecc,2,modularity,connectivity,true,20,96,14.718
ecc,2,async_label_prop,connectivity,false,59,692,41.3473
ecc,2,async_label_prop,connectivity,true,45,433,19.5555
ecc,3,connected_components,connectivity,false,7,6,0.8014
ecc,3,connected_components,connectivity,true,12,18,0.7955
ecc,3,modularity,connectivity,false,21,84,14.8569
ecc,3,modularity,connectivity,true,27,122,11.6843
ecc,3,async_label_prop,connectivity,false,52,498,16.9264
ecc,3,async_label_prop,connectivity,true,64,659,10.8938
ecc,4,connected_components,connectivity,false,10,15,1.2575
ecc,4,connected_components,connectivity,true,14,27,0.7869
ecc,4,modularity,connectivity,false,34,215,20.3112
ecc,4,modularity,connectivity,true,34,182,11.118
ecc,4,async_label_prop,connectivity,false,74,904,19.9259
ecc,4,async_label_prop,connectivity,true,71,794,9.0962
ecc,6,connected_components,connectivity,false,10,15,1.2572
ecc,6,connected_components,connectivity,true,21,56,0.7618
ecc,6,modularity,connectivity,false,34,215,20.2962
ecc,6,modularity,connectivity,true,45,305,9.4876
ecc,6,async_label_prop,connectivity,false,77,960,23.288
ecc,6,async_label_prop,connectivity,true,92,1175,7.923
ecc,8,connected_components,connectivity,false,10,15,1.2595
ecc,8,connected_components,connectivity,true,33,141,0.7464
ecc,8,modularity,connectivity,false,34,215,20.3515
ecc,8,modularity,connectivity,true,63,528,7.9716
ecc,8,async_label_prop,connectivity,false,77,923,24.093
ecc,8,async_label_prop,connectivity,true,103,1320,7.932
ecc,10,connected_components,connectivity,false,10,15,1.2629
ecc,10,connected_components,connectivity,true,46,254,0.7567
ecc,10,modularity,connectivity,false,34,215,20.2928
ecc,10,modularity,connectivity,true,83,762,6.9755
ecc,10,async_label_prop,connectivity,false,78,952,25.0319
ecc,10,async_label_prop,connectivity,true,127,1634,6.4769
ecc,20,connected_components,connectivity,false,10,15,1.2678
ecc,20,connected_components,connectivity,true,100,966,0.7173
ecc,20,modularity,connectivity,false,34,215,20.4042
ecc,20,modularity,connectivity,true,153,2088,5.2276
ecc,20,async_label_prop,connectivity,false,77,944,19.8923
ecc,20,async_label_prop,connectivity,true,200,3316,4.7151
pr_0_85,2,connected_components,connectivity,false,2,1,0.7998
pr_0_85,2,connected_components,connectivity,true,5,4,0.7612
pr_0_85,2,modularity,connectivity,false,21,126,13.9045
pr_0_85,2,modularity,connectivity,true,22,113,12.4568
pr_0_85,2,async_label_prop,connectivity,false,52,554,17.2287
pr_0_85,2,async_label_prop,connectivity,true,56,544,12.4294
pr_0_85,3,connected_components,connectivity,false,22,41,0.8017
pr_0_85,3,connected_components,connectivity,true,9,13,0.7399
pr_0_85,3,modularity,connectivity,false,47,325,15.23
pr_0_85,3,modularity,connectivity,true,37,272,7.2605
pr_0_85,3,async_label_prop,connectivity,false,89,1014,30.7109
pr_0_85,3,async_label_prop,connectivity,true,93,1118,8.3404
pr_0_85,4,connected_components,connectivity,false,33,90,0.8063
pr_0_85,4,connected_components,connectivity,true,16,36,0.7613
pr_0_85,4,modularity,connectivity,false,59,455,13.2395
pr_0_85,4,modularity,connectivity,true,49,407,5.8128
pr_0_85,4,async_label_prop,connectivity,false,94,1133,16.645
pr_0_85,4,async_label_prop,connectivity,true,131,1742,6.3488
pr_0_85,6,connected_components,connectivity,false,55,214,0.7722
pr_0_85,6,connected_components,connectivity,true,33,132,0.7116
pr_0_85,6,modularity,connectivity,false,91,795,10.4653
pr_0_85,6,modularity,connectivity,true,80,705,4.3183
pr_0_85,6,async_label_prop,connectivity,false,145,2101,11.5727
pr_0_85,6,async_label_prop,connectivity,true,189,2853,5.0932
pr_0_85,8,connected_components,connectivity,false,67,331,0.7727
pr_0_85,8,connected_components,connectivity,true,57,323,0.6885
pr_0_85,8,modularity,connectivity,false,109,1099,7.8935
pr_0_85,8,modularity,connectivity,true,121,1304,3.5256
pr_0_85,8,async_label_prop,connectivity,false,163,2449,10.7395
pr_0_85,8,async_label_prop,connectivity,true,260,4301,3.9744
pr_0_85,10,connected_components,connectivity,false,85,519,0.7638
pr_0_85,10,connected_components,connectivity,true,86,609,0.6708
pr_0_85,10,modularity,connectivity,false,132,1456,6.4314
pr_0_85,10,modularity,connectivity,true,156,1904,3.0238
pr_0_85,10,async_label_prop,connectivity,false,197,3222,9.0464
pr_0_85,10,async_label_prop,connectivity,true,326,5738,3.7617
pr_0_85,20,connected_components,connectivity,false,185,1960,0.722
pr_0_85,20,connected_components,connectivity,true,318,4726,0.6789
pr_0_85,20,modularity,connectivity,false,251,3631,4.2386
pr_0_85,20,modularity,connectivity,true,405,7664,2.1722
pr_0_85,20,async_label_prop,connectivity,false,360,7129,6.3195
pr_0_85,20,async_label_prop,connectivity,true,665,15942,2.6908
fv,2,connected_components,connectivity,false,2,1,0.8495
fv,2,connected_components,connectivity,true,2,1,0.832
fv,2,modularity,connectivity,false,13,57,21.8532
fv,2,modularity,connectivity,true,15,77,17.6683
fv,2,async_label_prop,connectivity,false,26,206,24.0462
fv,2,async_label_prop,connectivity,true,30,281,21.4513
fv,3,connected_components,connectivity,false,2,1,0.8481
fv,3,connected_components,connectivity,true,4,5,0.863
fv,3,modularity,connectivity,false,13,57,21.8397
fv,3,modularity,connectivity,true,19,122,15.3091
fv,3,async_label_prop,connectivity,false,27,220,28.7331
fv,3,async_label_prop,connectivity,true,34,321,22.7752
fv,4,connected_components,connectivity,false,2,1,0.8558
fv,4,connected_components,connectivity,true,4,6,0.819
fv,4,modularity,connectivity,false,13,57,21.9007
fv,4,modularity,connectivity,true,20,143,13.8738
fv,4,async_label_prop,connectivity,false,28,239,21.8
fv,4,async_label_prop,connectivity,true,37,379,13.3226
fv,6,connected_components,connectivity,false,3,3,0.8467
fv,6,connected_components,connectivity,true,8,21,0.8341
fv,6,modularity,connectivity,false,14,66,21.8284
fv,6,modularity,connectivity,true,27,217,12.0857
fv,6,async_label_prop,connectivity,false,29,249,17.6078
fv,6,async_label_prop,connectivity,true,36,327,11.911
fv,8,connected_components,connectivity,false,3,3,0.8453
fv,8,connected_components,connectivity,true,14,51,0.7819
fv,8,modularity,connectivity,false,14,70,21.101
fv,8,modularity,connectivity,true,35,302,10.6283
fv,8,async_label_prop,connectivity,false,28,228,21.8092
fv,8,async_label_prop,connectivity,true,49,525,10.4586
fv,10,connected_components,connectivity,false,3,3,0.8487
fv,10,connected_components,connectivity,true,21,98,0.7694
fv,10,modularity,connectivity,false,14,70,21.1439
fv,10,modularity,connectivity,true,44,410,9.8948
fv,10,async_label_prop,connectivity,false,28,248,24.9122
fv,10,async_label_prop,connectivity,true,50,488,7.8105
fv,20,connected_components,connectivity,false,7,15,0.8436
fv,20,connected_components,connectivity,true,36,280,0.7438
fv,20,modularity,connectivity,false,18,88,20.5406
fv,20,modularity,connectivity,true,72,898,7.3445
fv,20,async_label_prop,connectivity,false,31,255,33.2268
fv,20,async_label_prop,connectivity,true,73,862,6.4711
fv_norm,2,connected_components,connectivity,false,2,1,0.7894
fv_norm,2,connected_components,connectivity,true,3,2,0.8101
fv_norm,2,modularity,connectivity,false,13,57,21.3222
fv_norm,2,modularity,connectivity,true,17,82,16.4773
fv_norm,2,async_label_prop,connectivity,false,27,226,21.2711
fv_norm,2,async_label_prop,connectivity,true,36,351,15.8867
fv_norm,3,connected_components,connectivity,false,2,1,0.7904
fv_norm,3,connected_components,connectivity,true,4,5,0.7642
fv_norm,3,modularity,connectivity,false,13,57,21.3481
fv_norm,3,modularity,connectivity,true,20,129,12.1941
fv_norm,3,async_label_prop,connectivity,false,25,197,23.3055
fv_norm,3,async_label_prop,connectivity,true,43,472,12.7217
fv_norm,4,connected_components,connectivity,false,2,1,0.7941
fv_norm,4,connected_components,connectivity,true,6,11,0.7587
fv_norm,4,modularity,connectivity,false,13,57,21.3672
fv_norm,4,modularity,connectivity,true,24,170,11.9899
fv_norm,4,async_label_prop,connectivity,false,29,254,31.6508
fv_norm,4,async_label_prop,connectivity,true,50,565,13.2006
fv_norm,6,connected_components,connectivity,false,3,3,0.7945
fv_norm,6,connected_components,connectivity,true,14,48,0.733
fv_norm,6,modularity,connectivity,false,14,62,21.3283
fv_norm,6,modularity,connectivity,true,36,326,9.2264
fv_norm,6,async_label_prop,connectivity,false,27,209,27.4264
fv_norm,6,async_label_prop,connectivity,true,59,750,9.8232
fv_norm,8,connected_components,connectivity,false,4,6,0.7903
fv_norm,8,connected_components,connectivity,true,15,58,0.7091
fv_norm,8,modularity,connectivity,false,15,76,20.5575
fv_norm,8,modularity,connectivity,true,40,371,8.4065
fv_norm,8,async_label_prop,connectivity,false,27,217,30.9233
