filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0010349750518798828
agd,2,modularity,connectivity,false,6,15,0.006129741668701172
agd,2,connected_components,connectivity,true,3,2,0.0004143714904785156
agd,2,modularity,connectivity,true,5,8,0.0019080638885498047
agd,3,connected_components,connectivity,false,3,3,0.0014231204986572266
agd,3,modularity,connectivity,false,9,36,0.006297111511230469
agd,3,connected_components,connectivity,true,4,5,0.0004489421844482422
agd,3,modularity,connectivity,true,6,12,0.0017271041870117188
agd,4,connected_components,connectivity,false,4,6,0.001077890396118164
agd,4,modularity,connectivity,false,12,66,0.008065938949584961
agd,4,connected_components,connectivity,true,5,7,0.0005891323089599609
agd,4,modularity,connectivity,true,5,7,0.0022430419921875
agd,5,connected_components,connectivity,false,5,10,0.001377105712890625
agd,5,modularity,connectivity,false,15,105,0.013993978500366211
agd,5,connected_components,connectivity,true,5,8,0.0005249977111816406
agd,5,modularity,connectivity,true,5,8,0.0017139911651611328
agd,6,connected_components,connectivity,false,6,15,0.0020089149475097656
agd,6,modularity,connectivity,false,18,153,0.011837959289550781
agd,6,connected_components,connectivity,true,7,15,0.0006320476531982422
agd,6,modularity,connectivity,true,7,15,0.0012569427490234375
agd,7,connected_components,connectivity,false,7,21,0.0021948814392089844
agd,7,modularity,connectivity,false,21,210,0.01765894889831543
agd,7,connected_components,connectivity,true,7,15,0.0008678436279296875
agd,7,modularity,connectivity,true,7,15,0.0017631053924560547
agd,8,connected_components,connectivity,false,8,28,0.002643108367919922
agd,8,modularity,connectivity,false,24,276,0.016514062881469727
agd,8,connected_components,connectivity,true,8,18,0.0008611679077148438
agd,8,modularity,connectivity,true,8,18,0.0016241073608398438
agd,9,connected_components,connectivity,false,9,36,0.005040168762207031
agd,9,modularity,connectivity,false,27,351,0.018674135208129883
agd,9,connected_components,connectivity,true,9,21,0.0007021427154541016
agd,9,modularity,connectivity,true,9,21,0.0012519359588623047
agd,10,connected_components,connectivity,false,10,45,0.003906965255737305
agd,10,modularity,connectivity,false,30,435,0.023286104202270508
agd,10,connected_components,connectivity,true,10,24,0.0007460117340087891
agd,10,modularity,connectivity,true,10,24,0.0015616416931152344
agd,11,connected_components,connectivity,false,11,55,0.0035419464111328125
agd,11,modularity,connectivity,false,33,528,0.024986743927001953
agd,11,connected_components,connectivity,true,12,43,0.001065969467163086
agd,11,modularity,connectivity,true,12,43,0.002633333206176758
agd,12,connected_components,connectivity,false,12,66,0.004957914352416992
agd,12,modularity,connectivity,false,36,630,0.025842905044555664
agd,12,connected_components,connectivity,true,12,30,0.000823974609375
agd,12,modularity,connectivity,true,12,30,0.0009372234344482422
agd,13,connected_components,connectivity,false,13,78,0.006036043167114258
agd,13,modularity,connectivity,false,39,741,0.028182029724121094
agd,13,connected_components,connectivity,true,12,30,0.00138092041015625
agd,13,modularity,connectivity,true,12,30,0.0008630752563476562
agd,14,connected_components,connectivity,false,14,91,0.005424022674560547
agd,14,modularity,connectivity,false,42,861,0.03527498245239258
agd,14,connected_components,connectivity,true,12,30,0.0008640289306640625
agd,14,modularity,connectivity,true,12,30,0.0008187294006347656
agd,15,connected_components,connectivity,false,15,105,0.005423069000244141
agd,15,modularity,connectivity,false,45,990,0.03970479965209961
agd,15,connected_components,connectivity,true,12,30,0.0011699199676513672
agd,15,modularity,connectivity,true,12,30,0.0014290809631347656
agd,16,connected_components,connectivity,false,16,120,0.006314992904663086
agd,16,modularity,connectivity,false,48,1128,0.0341649055480957
agd,16,connected_components,connectivity,true,12,30,0.0010991096496582031
agd,16,modularity,connectivity,true,12,30,0.0007929801940917969
agd,17,connected_components,connectivity,false,17,136,0.007173776626586914
agd,17,modularity,connectivity,false,51,1275,0.03466296195983887
agd,17,connected_components,connectivity,true,12,30,0.0009300708770751953
agd,17,modularity,connectivity,true,12,30,0.0008649826049804688
agd,18,connected_components,connectivity,false,18,153,0.0070378780364990234
agd,18,modularity,connectivity,false,54,1431,0.03650403022766113
agd,18,connected_components,connectivity,true,12,30,0.0010161399841308594
agd,18,modularity,connectivity,true,12,30,0.0010051727294921875
agd,19,connected_components,connectivity,false,19,171,0.007880926132202148
agd,19,modularity,connectivity,false,57,1596,0.03997063636779785
agd,19,connected_components,connectivity,true,12,30,0.0011370182037353516
agd,19,modularity,connectivity,true,12,30,0.0008969306945800781
ecc,2,connected_components,connectivity,false,2,1,0.0005948543548583984
ecc,2,modularity,connectivity,false,6,15,0.003240823745727539
ecc,2,connected_components,connectivity,true,3,2,0.00038814544677734375
ecc,2,modularity,connectivity,true,5,8,0.0013692378997802734
ecc,3,connected_components,connectivity,false,3,3,0.0007162094116210938
ecc,3,modularity,connectivity,false,9,36,0.005471706390380859
ecc,3,connected_components,connectivity,true,4,5,0.0005359649658203125
ecc,3,modularity,connectivity,true,6,12,0.0021529197692871094
ecc,4,connected_components,connectivity,false,4,6,0.0010089874267578125
ecc,4,modularity,connectivity,false,12,66,0.00702214241027832
ecc,4,connected_components,connectivity,true,5,7,0.0005350112915039062
ecc,4,modularity,connectivity,true,5,7,0.0012888908386230469
ecc,5,connected_components,connectivity,false,5,10,0.0012731552124023438
ecc,5,modularity,connectivity,false,15,105,0.008513927459716797
ecc,5,connected_components,connectivity,true,5,8,0.0007760524749755859
ecc,5,modularity,connectivity,true,5,8,0.0013561248779296875
ecc,6,connected_components,connectivity,false,6,15,0.0015819072723388672
ecc,6,modularity,connectivity,false,18,153,0.011723041534423828
ecc,6,connected_components,connectivity,true,7,15,0.0007998943328857422
ecc,6,modularity,connectivity,true,7,15,0.0013728141784667969
ecc,7,connected_components,connectivity,false,7,21,0.0021338462829589844
ecc,7,modularity,connectivity,false,21,210,0.013055086135864258
ecc,7,connected_components,connectivity,true,7,15,0.0006039142608642578
ecc,7,modularity,connectivity,true,7,15,0.0016658306121826172
ecc,8,connected_components,connectivity,false,8,28,0.0023190975189208984
ecc,8,modularity,connectivity,false,24,276,0.017567157745361328
ecc,8,connected_components,connectivity,true,8,18,0.0006787776947021484
ecc,8,modularity,connectivity,true,8,18,0.0014541149139404297
ecc,9,connected_components,connectivity,false,9,36,0.0029659271240234375
ecc,9,modularity,connectivity,false,27,351,0.016068220138549805
ecc,9,connected_components,connectivity,true,9,21,0.0007128715515136719
ecc,9,modularity,connectivity,true,9,21,0.0011489391326904297
ecc,10,connected_components,connectivity,false,10,45,0.003137826919555664
ecc,10,modularity,connectivity,false,30,435,0.020926952362060547
ecc,10,connected_components,connectivity,true,10,24,0.0007488727569580078
ecc,10,modularity,connectivity,true,10,24,0.0010001659393310547
ecc,11,connected_components,connectivity,false,11,55,0.0034689903259277344
ecc,11,modularity,connectivity,false,33,528,0.020280122756958008
ecc,11,connected_components,connectivity,true,12,43,0.001074075698852539
ecc,11,modularity,connectivity,true,12,43,0.002067089080810547
ecc,12,connected_components,connectivity,false,12,66,0.004291057586669922
ecc,12,modularity,connectivity,false,36,630,0.02193903923034668
ecc,12,connected_components,connectivity,true,12,30,0.0008168220520019531
ecc,12,modularity,connectivity,true,12,30,0.0008709430694580078
ecc,13,connected_components,connectivity,false,13,78,0.00551605224609375
ecc,13,modularity,connectivity,false,39,741,0.02766275405883789
ecc,13,connected_components,connectivity,true,12,30,0.0008599758148193359
ecc,13,modularity,connectivity,true,12,30,0.0007917881011962891
ecc,14,connected_components,connectivity,false,14,91,0.00634002685546875
ecc,14,modularity,connectivity,false,42,861,0.03198409080505371
ecc,14,connected_components,connectivity,true,12,30,0.0008480548858642578
ecc,14,modularity,connectivity,true,12,30,0.00109100341796875
ecc,15,connected_components,connectivity,false,15,105,0.0058901309967041016
ecc,15,modularity,connectivity,false,45,990,0.03269505500793457
ecc,15,connected_components,connectivity,true,12,30,0.0009169578552246094
ecc,15,modularity,connectivity,true,12,30,0.0011849403381347656
ecc,16,connected_components,connectivity,false,16,120,0.006926059722900391
ecc,16,modularity,connectivity,false,48,1128,0.038700103759765625
ecc,16,connected_components,connectivity,true,12,30,0.0015621185302734375
ecc,16,modularity,connectivity,true,12,30,0.0008978843688964844
ecc,17,connected_components,connectivity,false,17,136,0.006955146789550781
ecc,17,modularity,connectivity,false,51,1275,0.037483930587768555
ecc,17,connected_components,connectivity,true,12,30,0.0010800361633300781
ecc,17,modularity,connectivity,true,12,30,0.0009410381317138672
ecc,18,connected_components,connectivity,false,18,153,0.007089853286743164
ecc,18,modularity,connectivity,false,54,1431,0.03663206100463867
