filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0010950565338134766
agd,2,modularity,connectivity,false,8,7,0.007535219192504883
agd,2,connected_components,connectivity,true,3,2,0.0011410713195800781
agd,2,modularity,connectivity,true,10,9,0.006851911544799805
agd,3,connected_components,connectivity,false,4,3,0.0016429424285888672
agd,3,modularity,connectivity,false,11,10,0.0067598819732666016
agd,3,connected_components,connectivity,true,5,4,0.0011887550354003906
agd,3,modularity,connectivity,true,11,10,0.007044792175292969
agd,4,connected_components,connectivity,false,6,5,0.0012717247009277344
agd,4,modularity,connectivity,false,14,13,0.006564140319824219
agd,4,connected_components,connectivity,true,7,6,0.0016551017761230469
agd,4,modularity,connectivity,true,14,13,0.0059888362884521484
agd,5,connected_components,connectivity,false,7,6,0.0012700557708740234
agd,5,modularity,connectivity,false,16,15,0.007399320602416992
agd,5,connected_components,connectivity,true,9,8,0.0013549327850341797
agd,5,modularity,connectivity,true,18,18,0.0059261322021484375
agd,6,connected_components,connectivity,false,9,8,0.002268075942993164
agd,6,modularity,connectivity,false,13,12,0.00768589973449707
agd,6,connected_components,connectivity,true,11,10,0.001920938491821289
agd,6,modularity,connectivity,true,14,13,0.006421089172363281
agd,7,connected_components,connectivity,false,10,9,0.0019850730895996094
agd,7,modularity,connectivity,false,15,14,0.007169961929321289
agd,7,connected_components,connectivity,true,12,12,0.001725912094116211
agd,7,modularity,connectivity,true,17,17,0.0063397884368896484
agd,8,connected_components,connectivity,false,12,11,0.0022377967834472656
agd,8,modularity,connectivity,false,16,15,0.006734132766723633
agd,8,connected_components,connectivity,true,13,12,0.0015621185302734375
agd,8,modularity,connectivity,true,15,14,0.006108999252319336
agd,9,connected_components,connectivity,false,13,12,0.0016679763793945312
agd,9,modularity,connectivity,false,17,16,0.006818056106567383
agd,9,connected_components,connectivity,true,16,15,0.0019447803497314453
agd,9,modularity,connectivity,true,20,19,0.006019115447998047
agd,10,connected_components,connectivity,false,15,14,0.0018770694732666016
agd,10,modularity,connectivity,false,18,17,0.0064580440521240234
agd,10,connected_components,connectivity,true,18,18,0.0020668506622314453
agd,10,modularity,connectivity,true,22,22,0.0059490203857421875
agd,11,connected_components,connectivity,false,16,15,0.0016813278198242188
agd,11,modularity,connectivity,false,19,18,0.006707191467285156
agd,11,connected_components,connectivity,true,19,19,0.001828908920288086
agd,11,modularity,connectivity,true,23,23,0.0058362483978271484
agd,12,connected_components,connectivity,false,18,17,0.0018532276153564453
agd,12,modularity,connectivity,false,21,20,0.006200075149536133
agd,12,connected_components,connectivity,true,21,21,0.0021262168884277344
agd,12,modularity,connectivity,true,23,23,0.0060160160064697266
agd,13,connected_components,connectivity,false,20,19,0.0018870830535888672
agd,13,modularity,connectivity,false,23,22,0.006387948989868164
agd,13,connected_components,connectivity,true,23,25,0.001979827880859375
agd,13,modularity,connectivity,true,25,27,0.006122112274169922
agd,14,connected_components,connectivity,false,21,20,0.0021038055419921875
agd,14,modularity,connectivity,false,24,23,0.006201028823852539
agd,14,connected_components,connectivity,true,24,26,0.002357006072998047
agd,14,modularity,connectivity,true,26,28,0.0067179203033447266
agd,15,connected_components,connectivity,false,23,22,0.004194021224975586
agd,15,modularity,connectivity,false,26,25,0.009027957916259766
agd,15,connected_components,connectivity,true,25,25,0.0028111934661865234
agd,15,modularity,connectivity,true,28,28,0.006711006164550781
agd,16,connected_components,connectivity,false,24,23,0.0020301342010498047
agd,16,modularity,connectivity,false,27,26,0.006453990936279297
agd,16,connected_components,connectivity,true,27,29,0.0021820068359375
agd,16,modularity,connectivity,true,30,32,0.006403684616088867
agd,17,connected_components,connectivity,false,26,25,0.0021598339080810547
agd,17,modularity,connectivity,false,29,28,0.005873203277587891
agd,17,connected_components,connectivity,true,30,32,0.0023729801177978516
agd,17,modularity,connectivity,true,32,34,0.006179094314575195
agd,18,connected_components,connectivity,false,27,26,0.002268075942993164
agd,18,modularity,connectivity,false,30,29,0.006087064743041992
agd,18,connected_components,connectivity,true,31,33,0.002443075180053711
agd,18,modularity,connectivity,true,33,35,0.007982969284057617
agd,19,connected_components,connectivity,false,29,28,0.0022890567779541016
agd,19,modularity,connectivity,false,32,31,0.0065310001373291016
agd,19,connected_components,connectivity,true,33,38,0.002432107925415039
agd,19,modularity,connectivity,true,35,40,0.006970882415771484
ecc,2,connected_components,connectivity,false,3,2,0.0012638568878173828
ecc,2,modularity,connectivity,false,9,8,0.0067708492279052734
ecc,2,connected_components,connectivity,true,3,2,0.0013408660888671875
ecc,2,modularity,connectivity,true,9,8,0.007763862609863281
