filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,7,6,0.012
agd,2,connected_components,connectivity,true,25,24,0.0128
agd,2,modularity,connectivity,false,14,18,0.2017
agd,2,modularity,connectivity,true,33,50,0.1694
agd,2,async_label_prop,connectivity,false,52,154,0.3444
agd,2,async_label_prop,connectivity,true,75,228,0.127
agd,3,connected_components,connectivity,false,18,17,0.0124
agd,3,connected_components,connectivity,true,35,43,0.0127
agd,3,modularity,connectivity,false,32,48,0.1849
agd,3,modularity,connectivity,true,52,111,0.1224
agd,3,async_label_prop,connectivity,false,71,220,0.1265
agd,3,async_label_prop,connectivity,true,96,281,0.1421
agd,4,connected_components,connectivity,false,33,32,0.0131
agd,4,connected_components,connectivity,true,54,88,0.0136
agd,4,modularity,connectivity,false,41,59,0.1547
agd,4,modularity,connectivity,true,73,176,0.1035
agd,4,async_label_prop,connectivity,false,76,207,0.1584
agd,4,async_label_prop,connectivity,true,102,308,0.1354
agd,6,connected_components,connectivity,false,36,40,0.013
agd,6,connected_components,connectivity,true,97,212,0.0152
agd,6,modularity,connectivity,false,54,103,0.1196
agd,6,modularity,connectivity,true,118,326,0.0883
agd,6,async_label_prop,connectivity,false,93,274,0.1404
agd,6,async_label_prop,connectivity,true,146,426,0.1205
agd,8,connected_components,connectivity,false,55,70,0.014
agd,8,connected_components,connectivity,true,125,333,0.0166
agd,8,modularity,connectivity,false,81,178,0.1057
agd,8,modularity,connectivity,true,145,442,0.0776
agd,8,async_label_prop,connectivity,false,107,291,0.1041
agd,8,async_label_prop,connectivity,true,177,583,0.0845
agd,10,connected_components,connectivity,false,67,105,0.0147
agd,10,connected_components,connectivity,true,170,514,0.0207
agd,10,modularity,connectivity,false,91,220,0.0936
agd,10,modularity,connectivity,true,186,607,0.0725
agd,10,async_label_prop,connectivity,false,133,413,0.1077
agd,10,async_label_prop,connectivity,true,212,729,0.0727
agd,20,connected_components,connectivity,false,153,395,0.0188
agd,20,connected_components,connectivity,true,292,1034,0.0242
agd,20,modularity,connectivity,false,175,541,0.0727
agd,20,modularity,connectivity,true,304,1092,0.0648
agd,20,async_label_prop,connectivity,false,209,702,0.0668
agd,20,async_label_prop,connectivity,true,309,1120,0.0543
agd,30,connected_components,connectivity,false,243,797,0.0199
agd,30,connected_components,connectivity,true,354,1334,0.0251
agd,30,modularity,connectivity,false,256,883,0.0483
agd,30,modularity,connectivity,true,363,1371,0.0512
agd,30,async_label_prop,connectivity,false,275,965,0.0445
agd,30,async_label_prop,connectivity,true,365,1384,0.0373
agd,40,connected_components,connectivity,false,289,991,0.0199
agd,40,connected_components,connectivity,true,398,1531,0.0228
agd,40,modularity,connectivity,false,301,1065,0.053
agd,40,modularity,connectivity,true,405,1567,0.0613
agd,40,async_label_prop,connectivity,false,312,1105,0.0365
agd,40,async_label_prop,connectivity,true,405,1565,0.036
ecc,2,connected_components,connectivity,false,7,6,0.0136
ecc,2,connected_components,connectivity,true,9,8,0.0122
ecc,2,modularity,connectivity,false,18,34,0.2091
ecc,2,modularity,connectivity,true,20,34,0.1712
ecc,2,async_label_prop,connectivity,false,65,238,0.2224
ecc,2,async_label_prop,connectivity,true,54,181,0.1556
ecc,3,connected_components,connectivity,false,14,13,0.012
ecc,3,connected_components,connectivity,true,28,27,0.0127
ecc,3,modularity,connectivity,false,29,54,0.1555
ecc,3,modularity,connectivity,true,43,88,0.1436
ecc,3,async_label_prop,connectivity,false,63,201,0.1469
ecc,3,async_label_prop,connectivity,true,84,259,0.1163
ecc,4,connected_components,connectivity,false,12,11,0.0177
ecc,4,connected_components,connectivity,true,30,33,0.0127
ecc,4,modularity,connectivity,false,34,97,0.2315
ecc,4,modularity,connectivity,true,50,118,0.1141
ecc,4,async_label_prop,connectivity,false,89,416,0.2314
ecc,4,async_label_prop,connectivity,true,100,323,0.1036
ecc,6,connected_components,connectivity,false,30,32,0.0143
ecc,6,connected_components,connectivity,true,53,87,0.0136
ecc,6,modularity,connectivity,false,57,137,0.1309
ecc,6,modularity,connectivity,true,76,204,0.0937
ecc,6,async_label_prop,connectivity,false,94,310,0.1305
ecc,6,async_label_prop,connectivity,true,121,399,0.1086
ecc,8,connected_components,connectivity,false,37,70,0.0243
ecc,8,connected_components,connectivity,true,91,184,0.0152
ecc,8,modularity,connectivity,false,75,329,0.2491
ecc,8,modularity,connectivity,true,118,321,0.0834
ecc,8,async_label_prop,connectivity,false,151,923,0.2301
ecc,8,async_label_prop,connectivity,true,157,508,0.079
ecc,10,connected_components,connectivity,false,68,106,0.0157
ecc,10,connected_components,connectivity,true,112,276,0.0162
ecc,10,modularity,connectivity,false,101,270,0.102
