filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.0019
agd,2,connected_components,connectivity,true,21,20,0.0026
agd,2,modularity,connectivity,false,11,27,0.0172
agd,2,modularity,connectivity,true,27,58,0.0144
agd,2,async_label_prop,connectivity,false,29,78,0.0141
agd,2,async_label_prop,connectivity,true,30,39,0.0156
agd,3,connected_components,connectivity,false,7,6,0.002
agd,3,connected_components,connectivity,true,37,50,0.003
agd,3,modularity,connectivity,false,15,41,0.0171
agd,3,modularity,connectivity,true,43,85,0.012
agd,3,async_label_prop,connectivity,false,17,24,0.0214
agd,3,async_label_prop,connectivity,true,48,93,0.0094
agd,4,connected_components,connectivity,false,12,11,0.0022
agd,4,connected_components,connectivity,true,48,76,0.0034
agd,4,modularity,connectivity,false,18,28,0.0166
agd,4,modularity,connectivity,true,52,106,0.0117
agd,4,async_label_prop,connectivity,false,28,52,0.0182
agd,4,async_label_prop,connectivity,true,52,100,0.0092
agd,6,connected_components,connectivity,false,21,23,0.0026
agd,6,connected_components,connectivity,true,62,100,0.0039
agd,6,modularity,connectivity,false,26,43,0.016
agd,6,modularity,connectivity,true,66,129,0.0107
agd,6,async_label_prop,connectivity,false,24,31,0.0302
agd,6,async_label_prop,connectivity,true,66,126,0.008
agd,8,connected_components,connectivity,false,35,39,0.0031
agd,8,connected_components,connectivity,true,74,130,0.0043
agd,8,modularity,connectivity,false,41,74,0.0143
agd,8,modularity,connectivity,true,78,161,0.0106
agd,8,async_label_prop,connectivity,false,37,43,0.0196
agd,8,async_label_prop,connectivity,true,76,148,0.0077
agd,10,connected_components,connectivity,false,38,44,0.0032
agd,10,connected_components,connectivity,true,82,156,0.0047
agd,10,modularity,connectivity,false,43,79,0.0128
agd,10,modularity,connectivity,true,85,177,0.0096
agd,10,async_label_prop,connectivity,false,51,112,0.0089
agd,10,async_label_prop,connectivity,true,86,180,0.0068
agd,20,connected_components,connectivity,false,56,81,0.0041
agd,20,connected_components,connectivity,true,96,201,0.0056
agd,20,modularity,connectivity,false,63,120,0.0108
agd,20,modularity,connectivity,true,97,210,0.009
agd,20,async_label_prop,connectivity,false,67,138,0.0079
agd,20,async_label_prop,connectivity,true,98,215,0.0071
agd,30,connected_components,connectivity,false,66,112,0.0041
agd,30,connected_components,connectivity,true,100,212,0.0041
agd,30,modularity,connectivity,false,71,138,0.0093
agd,30,modularity,connectivity,true,100,212,0.0073
agd,30,async_label_prop,connectivity,false,71,139,0.0053
agd,30,async_label_prop,connectivity,true,100,212,0.0056
agd,40,connected_components,connectivity,false,76,134,0.004
agd,40,connected_components,connectivity,true,104,225,0.0047
agd,40,modularity,connectivity,false,80,155,0.0079
agd,40,modularity,connectivity,true,104,225,0.0075
agd,40,async_label_prop,connectivity,false,80,155,0.0144
agd,40,async_label_prop,connectivity,true,104,225,0.0067
ecc,2,connected_components,connectivity,false,12,11,0.0023
ecc,2,connected_components,connectivity,true,19,18,0.0024
ecc,2,modularity,connectivity,false,21,45,0.018
ecc,2,modularity,connectivity,true,27,74,0.0135
ecc,2,async_label_prop,connectivity,false,35,92,0.0178
ecc,2,async_label_prop,connectivity,true,41,104,0.0108
ecc,3,connected_components,connectivity,false,22,25,0.0027
ecc,3,connected_components,connectivity,true,38,50,0.0034
ecc,3,modularity,connectivity,false,28,53,0.0155
ecc,3,modularity,connectivity,true,42,95,0.011
ecc,3,async_label_prop,connectivity,false,39,105,0.0077
ecc,3,async_label_prop,connectivity,true,47,99,0.0087
ecc,4,connected_components,connectivity,false,37,58,0.0038
ecc,4,connected_components,connectivity,true,42,67,0.0032
ecc,4,modularity,connectivity,false,47,128,0.0217
ecc,4,modularity,connectivity,true,52,117,0.011
ecc,4,async_label_prop,connectivity,false,67,231,0.0166
ecc,4,async_label_prop,connectivity,true,57,129,0.0077
ecc,6,connected_components,connectivity,false,69,109,0.004
ecc,6,connected_components,connectivity,true,57,100,0.0037
ecc,6,modularity,connectivity,false,76,159,0.0124
ecc,6,modularity,connectivity,true,63,139,0.0104
ecc,6,async_label_prop,connectivity,false,77,157,0.013
ecc,6,async_label_prop,connectivity,true,65,137,0.0068
ecc,8,connected_components,connectivity,false,105,219,0.0059
ecc,8,connected_components,connectivity,true,65,118,0.0041
ecc,8,modularity,connectivity,false,114,310,0.0162
ecc,8,modularity,connectivity,true,72,153,0.01
ecc,8,async_label_prop,connectivity,false,120,331,0.0124
ecc,8,async_label_prop,connectivity,true,73,157,0.0068
ecc,10,connected_components,connectivity,false,69,109,0.0041
ecc,10,connected_components,connectivity,true,77,161,0.0046
ecc,10,modularity,connectivity,false,76,159,0.0125
ecc,10,modularity,connectivity,true,83,180,0.0094
ecc,10,async_label_prop,connectivity,false,74,128,0.0107
ecc,10,async_label_prop,connectivity,true,83,183,0.0068
ecc,20,connected_components,connectivity,false,105,219,0.0062
ecc,20,connected_components,connectivity,true,95,214,0.0056
ecc,20,modularity,connectivity,false,114,310,0.0166
ecc,20,modularity,connectivity,true,96,218,0.009
ecc,20,async_label_prop,connectivity,false,117,322,0.0116
ecc,20,async_label_prop,connectivity,true,96,218,0.0071
