filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.0004208087921142578
agd,2,modularity,connectivity,false,4,3,0.0012521743774414062
agd,2,connected_components,connectivity,true,4,3,0.00041604042053222656
agd,2,modularity,connectivity,true,4,3,0.0009770393371582031
agd,3,connected_components,connectivity,false,4,3,0.0003352165222167969
agd,3,modularity,connectivity,false,4,3,0.0007472038269042969
agd,3,connected_components,connectivity,true,6,7,0.0007569789886474609
agd,3,modularity,connectivity,true,6,7,0.0008668899536132812
agd,4,connected_components,connectivity,false,5,5,0.0003180503845214844
agd,4,modularity,connectivity,false,5,5,0.0005538463592529297
agd,4,connected_components,connectivity,true,6,6,0.00036215782165527344
agd,4,modularity,connectivity,true,6,6,0.0006442070007324219
agd,5,connected_components,connectivity,false,5,5,0.00045990943908691406
agd,5,modularity,connectivity,false,5,5,0.000701904296875
agd,5,connected_components,connectivity,true,6,6,0.0005481243133544922
agd,5,modularity,connectivity,true,6,6,0.0006008148193359375
agd,6,connected_components,connectivity,false,6,7,0.00039505958557128906
agd,6,modularity,connectivity,false,6,7,0.0008900165557861328
agd,6,connected_components,connectivity,true,8,14,0.0005822181701660156
agd,6,modularity,connectivity,true,8,14,0.0009720325469970703
agd,7,connected_components,connectivity,false,7,9,0.00045609474182128906
agd,7,modularity,connectivity,false,7,9,0.0009887218475341797
agd,7,connected_components,connectivity,true,7,9,0.0007386207580566406
agd,7,modularity,connectivity,true,7,9,0.0004947185516357422
agd,8,connected_components,connectivity,false,6,7,0.00044798851013183594
agd,8,modularity,connectivity,false,6,7,0.0005908012390136719
agd,8,connected_components,connectivity,true,8,12,0.0008280277252197266
agd,8,modularity,connectivity,true,8,12,0.0009937286376953125
agd,9,connected_components,connectivity,false,6,7,0.0008268356323242188
agd,9,modularity,connectivity,false,6,7,0.0010921955108642578
agd,9,connected_components,connectivity,true,9,14,0.00119781494140625
agd,9,modularity,connectivity,true,9,14,0.001010894775390625
agd,10,connected_components,connectivity,false,6,7,0.0005061626434326172
agd,10,modularity,connectivity,false,6,7,0.0010790824890136719
agd,10,connected_components,connectivity,true,8,12,0.0008304119110107422
agd,10,modularity,connectivity,true,8,12,0.0005309581756591797
agd,11,connected_components,connectivity,false,6,7,0.0004520416259765625
agd,11,modularity,connectivity,false,6,7,0.0006320476531982422
agd,11,connected_components,connectivity,true,7,9,0.0010466575622558594
agd,11,modularity,connectivity,true,7,9,0.0005860328674316406
agd,12,connected_components,connectivity,false,6,7,0.0004851818084716797
agd,12,modularity,connectivity,false,6,7,0.0006470680236816406
agd,12,connected_components,connectivity,true,11,23,0.0013442039489746094
agd,12,modularity,connectivity,true,11,23,0.001119852066040039
agd,13,connected_components,connectivity,false,6,7,0.0005390644073486328
agd,13,modularity,connectivity,false,6,7,0.0007600784301757812
agd,13,connected_components,connectivity,true,7,9,0.0007312297821044922
agd,13,modularity,connectivity,true,7,9,0.0005538463592529297
agd,14,connected_components,connectivity,false,8,11,0.000579833984375
agd,14,modularity,connectivity,false,8,11,0.0007610321044921875
agd,14,connected_components,connectivity,true,8,12,0.0005788803100585938
agd,14,modularity,connectivity,true,8,12,0.0009489059448242188
agd,15,connected_components,connectivity,false,6,7,0.0010101795196533203
agd,15,modularity,connectivity,false,6,7,0.0012750625610351562
agd,15,connected_components,connectivity,true,9,14,0.0012831687927246094
agd,15,modularity,connectivity,true,9,14,0.001191854476928711
agd,16,connected_components,connectivity,false,6,7,0.0009000301361083984
agd,16,modularity,connectivity,false,6,7,0.0013959407806396484
agd,16,connected_components,connectivity,true,8,12,0.0006949901580810547
agd,16,modularity,connectivity,true,8,12,0.0010569095611572266
agd,17,connected_components,connectivity,false,6,7,0.0006258487701416016
agd,17,modularity,connectivity,false,6,7,0.0011551380157470703
agd,17,connected_components,connectivity,true,7,9,0.0005991458892822266
agd,17,modularity,connectivity,true,7,9,0.0006070137023925781
agd,18,connected_components,connectivity,false,6,7,0.0005776882171630859
agd,18,modularity,connectivity,false,6,7,0.0008502006530761719
agd,18,connected_components,connectivity,true,11,23,0.0009012222290039062
agd,18,modularity,connectivity,true,11,23,0.0009150505065917969
agd,19,connected_components,connectivity,false,6,7,0.0006589889526367188
agd,19,modularity,connectivity,false,6,7,0.0009636878967285156
agd,19,connected_components,connectivity,true,7,9,0.0008308887481689453
agd,19,modularity,connectivity,true,7,9,0.0008020401000976562
ecc,2,connected_components,connectivity,false,4,3,0.00032711029052734375
ecc,2,modularity,connectivity,false,4,3,0.0008728504180908203
ecc,2,connected_components,connectivity,true,4,3,0.0005750656127929688
ecc,2,modularity,connectivity,true,5,4,0.0009999275207519531
ecc,3,connected_components,connectivity,false,4,3,0.0005950927734375
ecc,3,modularity,connectivity,false,4,3,0.0014178752899169922
ecc,3,connected_components,connectivity,true,5,6,0.0007421970367431641
ecc,3,modularity,connectivity,true,5,6,0.0018041133880615234
ecc,4,connected_components,connectivity,false,4,3,0.0005819797515869141
ecc,4,modularity,connectivity,false,4,3,0.0014019012451171875
ecc,4,connected_components,connectivity,true,6,6,0.0007059574127197266
ecc,4,modularity,connectivity,true,6,6,0.0008230209350585938
ecc,5,connected_components,connectivity,false,4,3,0.00035309791564941406
ecc,5,modularity,connectivity,false,4,3,0.0011179447174072266
ecc,5,connected_components,connectivity,true,5,5,0.0004410743713378906
ecc,5,modularity,connectivity,true,5,5,0.0007669925689697266
ecc,6,connected_components,connectivity,false,4,3,0.00035500526428222656
ecc,6,modularity,connectivity,false,4,3,0.0013251304626464844
ecc,6,connected_components,connectivity,true,8,14,0.0005738735198974609
ecc,6,modularity,connectivity,true,8,14,0.0009489059448242188
ecc,7,connected_components,connectivity,false,4,3,0.0004398822784423828
ecc,7,modularity,connectivity,false,4,3,0.0011401176452636719
ecc,7,connected_components,connectivity,true,7,9,0.0005099773406982422
ecc,7,modularity,connectivity,true,7,9,0.0007231235504150391
ecc,8,connected_components,connectivity,false,4,3,0.0003819465637207031
ecc,8,modularity,connectivity,false,4,3,0.0007932186126708984
ecc,8,connected_components,connectivity,true,8,10,0.0004601478576660156
ecc,8,modularity,connectivity,true,8,10,0.0007512569427490234
ecc,9,connected_components,connectivity,false,4,3,0.0004000663757324219
ecc,9,modularity,connectivity,false,4,3,0.0008008480072021484
ecc,9,connected_components,connectivity,true,9,16,0.0005192756652832031
ecc,9,modularity,connectivity,true,9,16,0.0005152225494384766
ecc,10,connected_components,connectivity,false,4,3,0.0007150173187255859
ecc,10,modularity,connectivity,false,4,3,0.0016748905181884766
ecc,10,connected_components,connectivity,true,8,10,0.0010151863098144531
ecc,10,modularity,connectivity,true,8,10,0.0010542869567871094
ecc,11,connected_components,connectivity,false,4,3,0.0007829666137695312
ecc,11,modularity,connectivity,false,4,3,0.0014748573303222656
ecc,11,connected_components,connectivity,true,7,9,0.0009038448333740234
ecc,11,modularity,connectivity,true,7,9,0.0005939006805419922
ecc,12,connected_components,connectivity,false,4,3,0.0006477832794189453
ecc,12,modularity,connectivity,false,4,3,0.0011336803436279297
ecc,12,connected_components,connectivity,true,11,22,0.0008740425109863281
ecc,12,modularity,connectivity,true,11,22,0.0008158683776855469
ecc,13,connected_components,connectivity,false,4,3,0.0005269050598144531
ecc,13,modularity,connectivity,false,4,3,0.0011091232299804688
ecc,13,connected_components,connectivity,true,7,9,0.0005071163177490234
ecc,13,modularity,connectivity,true,7,9,0.0008368492126464844
ecc,14,connected_components,connectivity,false,4,3,0.0004673004150390625
ecc,14,modularity,connectivity,false,4,3,0.0009090900421142578
ecc,14,connected_components,connectivity,true,8,10,0.0006821155548095703
ecc,14,modularity,connectivity,true,8,10,0.0007836818695068359
ecc,15,connected_components,connectivity,false,4,3,0.0007030963897705078
ecc,15,modularity,connectivity,false,4,3,0.0009050369262695312
ecc,15,connected_components,connectivity,true,9,16,0.0006361007690429688
ecc,15,modularity,connectivity,true,9,16,0.0006649494171142578
ecc,16,connected_components,connectivity,false,4,3,0.00063323974609375
ecc,16,modularity,connectivity,false,4,3,0.0018768310546875
ecc,16,connected_components,connectivity,true,8,10,0.0011470317840576172
ecc,16,modularity,connectivity,true,8,10,0.0012440681457519531
ecc,17,connected_components,connectivity,false,4,3,0.0008640289306640625
ecc,17,modularity,connectivity,false,4,3,0.0016889572143554688
ecc,17,connected_components,connectivity,true,7,9,0.0011310577392578125
ecc,17,modularity,connectivity,true,7,9,0.0008831024169921875
ecc,18,connected_components,connectivity,false,4,3,0.000492095947265625
ecc,18,modularity,connectivity,false,4,3,0.0009887218475341797
ecc,18,connected_components,connectivity,true,11,22,0.0010828971862792969
ecc,18,modularity,connectivity,true,11,22,0.0008068084716796875
ecc,19,connected_components,connectivity,false,4,3,0.0005791187286376953
ecc,19,modularity,connectivity,false,4,3,0.0013301372528076172
ecc,19,connected_components,connectivity,true,7,9,0.0007450580596923828
ecc,19,modularity,connectivity,true,7,9,0.0006368160247802734
pr_0_85,2,connected_components,connectivity,false,4,3,0.0002911090850830078
pr_0_85,2,modularity,connectivity,false,4,3,0.0007250308990478516
pr_0_85,2,connected_components,connectivity,true,4,3,0.0003781318664550781
pr_0_85,2,modularity,connectivity,true,4,3,0.001110076904296875
pr_0_85,3,connected_components,connectivity,false,5,5,0.00040602684020996094
pr_0_85,3,modularity,connectivity,false,5,5,0.0007708072662353516
pr_0_85,3,connected_components,connectivity,true,5,5,0.0003578662872314453
pr_0_85,3,modularity,connectivity,true,5,5,0.0007531642913818359
pr_0_85,4,connected_components,connectivity,false,6,7,0.00042700767517089844
pr_0_85,4,modularity,connectivity,false,6,7,0.0005719661712646484
pr_0_85,4,connected_components,connectivity,true,5,5,0.00035572052001953125
pr_0_85,4,modularity,connectivity,true,5,5,0.0007510185241699219
pr_0_85,5,connected_components,connectivity,false,5,5,0.0004608631134033203
pr_0_85,5,modularity,connectivity,false,5,5,0.0012128353118896484
pr_0_85,5,connected_components,connectivity,true,6,7,0.0007059574127197266
pr_0_85,5,modularity,connectivity,true,6,7,0.0009779930114746094
