filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0005362033843994141
agd,2,modularity,connectivity,false,6,5,0.0019290447235107422
agd,2,connected_components,connectivity,true,8,7,0.0006041526794433594
agd,2,modularity,connectivity,true,10,9,0.0020530223846435547
agd,3,connected_components,connectivity,false,9,8,0.0006699562072753906
agd,3,modularity,connectivity,false,10,9,0.0014820098876953125
agd,3,connected_components,connectivity,true,10,9,0.0012278556823730469
agd,3,modularity,connectivity,true,11,10,0.0016739368438720703
agd,4,connected_components,connectivity,false,11,10,0.0007328987121582031
agd,4,modularity,connectivity,false,12,11,0.0015668869018554688
agd,4,connected_components,connectivity,true,15,17,0.0008628368377685547
agd,4,modularity,connectivity,true,16,18,0.0021429061889648438
agd,5,connected_components,connectivity,false,15,14,0.0008788108825683594
agd,5,modularity,connectivity,false,15,14,0.0010862350463867188
agd,5,connected_components,connectivity,true,13,12,0.0007312297821044922
agd,5,modularity,connectivity,true,14,13,0.00127410888671875
agd,6,connected_components,connectivity,false,15,14,0.0013630390167236328
agd,6,modularity,connectivity,false,15,14,0.0011227130889892578
agd,6,connected_components,connectivity,true,15,14,0.0008041858673095703
agd,6,modularity,connectivity,true,15,14,0.001241922378540039
agd,7,connected_components,connectivity,false,15,14,0.0008678436279296875
agd,7,modularity,connectivity,false,15,14,0.001119852066040039
agd,7,connected_components,connectivity,true,14,13,0.0011560916900634766
agd,7,modularity,connectivity,true,14,13,0.0013339519500732422
agd,8,connected_components,connectivity,false,15,14,0.0010423660278320312
agd,8,modularity,connectivity,false,15,14,0.0011639595031738281
agd,8,connected_components,connectivity,true,21,28,0.0011107921600341797
agd,8,modularity,connectivity,true,21,28,0.0017848014831542969
agd,9,connected_components,connectivity,false,16,17,0.0010151863098144531
agd,9,modularity,connectivity,false,16,17,0.0011992454528808594
agd,9,connected_components,connectivity,true,15,14,0.0008859634399414062
agd,9,modularity,connectivity,true,15,14,0.0011980533599853516
agd,10,connected_components,connectivity,false,16,15,0.001310110092163086
agd,10,modularity,connectivity,false,16,15,0.0015120506286621094
agd,10,connected_components,connectivity,true,16,15,0.0010440349578857422
agd,10,modularity,connectivity,true,16,15,0.0014019012451171875
agd,11,connected_components,connectivity,false,16,15,0.0009679794311523438
agd,11,modularity,connectivity,false,16,15,0.0015330314636230469
agd,11,connected_components,connectivity,true,15,14,0.0009739398956298828
agd,11,modularity,connectivity,true,15,14,0.0012769699096679688
agd,12,connected_components,connectivity,false,16,15,0.0009729862213134766
agd,12,modularity,connectivity,false,16,15,0.0012500286102294922
agd,12,connected_components,connectivity,true,18,20,0.0011668205261230469
agd,12,modularity,connectivity,true,18,20,0.0016398429870605469
agd,13,connected_components,connectivity,false,16,15,0.0010402202606201172
agd,13,modularity,connectivity,false,16,15,0.001177072525024414
agd,13,connected_components,connectivity,true,15,14,0.0009553432464599609
agd,13,modularity,connectivity,true,15,14,0.0013151168823242188
agd,14,connected_components,connectivity,false,16,15,0.0017910003662109375
agd,14,modularity,connectivity,false,16,15,0.0011949539184570312
agd,14,connected_components,connectivity,true,16,15,0.0009968280792236328
agd,14,modularity,connectivity,true,16,15,0.0017180442810058594
