filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,6,5,0.032
agd,2,connected_components,connectivity,true,4,3,0.0315
agd,2,modularity,connectivity,false,8,9,0.459
agd,2,modularity,connectivity,true,6,6,0.405
agd,2,async_label_prop,connectivity,false,8,9,0.1947
agd,2,async_label_prop,connectivity,true,8,8,0.1829
agd,3,connected_components,connectivity,false,6,5,0.0318
agd,3,connected_components,connectivity,true,6,6,0.0311
agd,3,modularity,connectivity,false,8,9,0.4504
agd,3,modularity,connectivity,true,7,7,0.3315
agd,3,async_label_prop,connectivity,false,10,15,0.1932
agd,3,async_label_prop,connectivity,true,9,13,0.1955
agd,4,connected_components,connectivity,false,6,5,0.0331
agd,4,connected_components,connectivity,true,7,8,0.0308
agd,4,modularity,connectivity,false,8,9,0.4623
agd,4,modularity,connectivity,true,9,11,0.3101
agd,4,async_label_prop,connectivity,false,8,10,0.196
agd,4,async_label_prop,connectivity,true,10,14,0.1623
agd,6,connected_components,connectivity,false,6,5,0.0321
agd,6,connected_components,connectivity,true,10,13,0.0301
agd,6,modularity,connectivity,false,8,9,0.4482
agd,6,modularity,connectivity,true,11,15,0.2527
agd,6,async_label_prop,connectivity,false,8,9,0.1966
agd,6,async_label_prop,connectivity,true,13,17,0.1383
agd,8,connected_components,connectivity,false,6,5,0.0321
agd,8,connected_components,connectivity,true,12,19,0.0294
agd,8,modularity,connectivity,false,8,9,0.4494
agd,8,modularity,connectivity,true,13,21,0.2186
agd,8,async_label_prop,connectivity,false,7,6,0.1933
agd,8,async_label_prop,connectivity,true,15,25,0.1256
agd,10,connected_components,connectivity,false,6,5,0.0325
agd,10,connected_components,connectivity,true,14,24,0.0295
agd,10,modularity,connectivity,false,8,9,0.4528
agd,10,modularity,connectivity,true,15,27,0.2026
agd,10,async_label_prop,connectivity,false,9,12,0.192
agd,10,async_label_prop,connectivity,true,16,32,0.1182
agd,20,connected_components,connectivity,false,6,5,0.033
agd,20,connected_components,connectivity,true,24,65,0.0291
agd,20,modularity,connectivity,false,8,9,0.454
