filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,59,58,0.3058
agd,2,connected_components,connectivity,true,75,74,0.2943
agd,2,modularity,connectivity,false,61,70,27.6371
agd,2,modularity,connectivity,true,86,157,11.9812
agd,2,async_label_prop,connectivity,false,61,65,4.6291
agd,2,async_label_prop,connectivity,true,186,994,2.3524
agd,3,connected_components,connectivity,false,243,242,0.3103
agd,3,connected_components,connectivity,true,176,289,0.2879
agd,3,modularity,connectivity,false,248,433,24.7052
agd,3,modularity,connectivity,true,198,756,7.2106
agd,3,async_label_prop,connectivity,false,254,326,3.1608
agd,3,async_label_prop,connectivity,true,328,2565,2.9096
agd,4,connected_components,connectivity,false,278,297,0.3092
agd,4,connected_components,connectivity,true,259,610,0.2765
agd,4,modularity,connectivity,false,292,663,17.9286
agd,4,modularity,connectivity,true,284,1417,5.2389
agd,4,async_label_prop,connectivity,false,363,649,6.2146
agd,4,async_label_prop,connectivity,true,436,4098,2.6495
agd,6,connected_components,connectivity,false,270,426,0.295
agd,6,connected_components,connectivity,true,339,1136,0.2704
agd,6,modularity,connectivity,false,279,697,10.5997
agd,6,modularity,connectivity,true,379,2672,3.2175
agd,6,async_label_prop,connectivity,false,356,1358,3.461
agd,6,async_label_prop,connectivity,true,562,5097,2.3203
agd,8,connected_components,connectivity,false,341,649,0.3086
agd,8,connected_components,connectivity,true,420,1814,0.2642
agd,8,modularity,connectivity,false,358,1289,8.0637
agd,8,modularity,connectivity,true,477,4263,2.3698
agd,8,async_label_prop,connectivity,false,388,848,6.2765
agd,8,async_label_prop,connectivity,true,659,8169,2.5742
agd,10,connected_components,connectivity,false,347,792,0.2828
agd,10,connected_components,connectivity,true,490,2582,0.2886
agd,10,modularity,connectivity,false,370,1497,6.9801
agd,10,modularity,connectivity,true,556,6103,1.8812
agd,10,async_label_prop,connectivity,false,470,1595,4.6518
agd,10,async_label_prop,connectivity,true,731,9349,2.2572
agd,20,connected_components,connectivity,false,491,1887,0.2826
agd,20,connected_components,connectivity,true,781,7548,0.2936
agd,20,modularity,connectivity,false,534,3908,3.4071
agd,20,modularity,connectivity,true,887,16774,1.1496
agd,20,async_label_prop,connectivity,false,666,5020,3.5452
agd,20,async_label_prop,connectivity,true,1082,21441,1.3147
agd,30,connected_components,connectivity,false,588,3140,0.2818
agd,30,connected_components,connectivity,true,1016,13773,0.2906
agd,30,modularity,connectivity,false,639,6240,1.6884
agd,30,modularity,connectivity,true,1142,27115,0.7879
agd,30,async_label_prop,connectivity,false,794,8359,1.7147
