filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
pr_0_85,2,connected_components,connectivity,false,1043,1045,4.802
pr_0_85,2,connected_components,connectivity,true,37923,37922,4.4724
pr_0_85,2,modularity,connectivity,false,4343,6358,5230.0032
pr_0_85,2,modularity,connectivity,true,40725,44458,1659.4707
pr_0_85,2,async_label_prop,connectivity,false,5313,5971,25.858
pr_0_85,2,async_label_prop,connectivity,true,41549,41777,18.5331
pr_0_85,3,connected_components,connectivity,false,1928,1944,2.0214
pr_0_85,3,connected_components,connectivity,true,49333,49357,3.3951
pr_0_85,3,modularity,connectivity,false,5175,7624,4914.1166
pr_0_85,3,modularity,connectivity,true,50133,57696,1486.4967
pr_0_85,3,async_label_prop,connectivity,false,6215,7120,23.2093
pr_0_85,3,async_label_prop,connectivity,true,50183,50642,21.2512
pr_0_85,4,connected_components,connectivity,false,2446,2503,2.4705
pr_0_85,4,connected_components,connectivity,true,53551,54256,3.6776
pr_0_85,4,modularity,connectivity,false,5621,8344,5989.8935
pr_0_85,4,modularity,connectivity,true,54003,64203,852.7061
pr_0_85,4,async_label_prop,connectivity,false,6905,8147,33.2054
pr_0_85,4,async_label_prop,connectivity,true,54000,55205,18.6676
pr_0_85,6,connected_components,connectivity,false,3588,3721,2.039
pr_0_85,6,connected_components,connectivity,true,58990,62891,3.6387
pr_0_85,6,modularity,connectivity,false,6769,10157,4849.5277
pr_0_85,6,modularity,connectivity,true,59124,74010,481.1284
pr_0_85,6,async_label_prop,connectivity,false,8288,10303,29.6253
pr_0_85,6,async_label_prop,connectivity,true,59293,63697,13.9716
pr_0_85,8,connected_components,connectivity,false,4707,4939,2.3915
pr_0_85,8,connected_components,connectivity,true,61147,68611,3.7288
pr_0_85,8,modularity,connectivity,false,7804,11837,4185.1172
pr_0_85,8,modularity,connectivity,true,61225,79606,285.5345
pr_0_85,8,async_label_prop,connectivity,false,9502,12109,28.3022
pr_0_85,8,async_label_prop,connectivity,true,61638,69827,12.6429
pr_0_85,10,connected_components,connectivity,false,6056,6423,2.4283
pr_0_85,10,connected_components,connectivity,true,62522,73623,3.7348
pr_0_85,10,modularity,connectivity,false,8857,13302,3564.0993
pr_0_85,10,modularity,connectivity,true,62591,84231,215.7243
pr_0_85,10,async_label_prop,connectivity,false,11004,14541,28.8023
pr_0_85,10,async_label_prop,connectivity,true,63250,75375,10.7531
pr_0_85,20,connected_components,connectivity,false,11519,13189,2.4373
pr_0_85,20,connected_components,connectivity,true,65509,89581,3.9289
pr_0_85,20,modularity,connectivity,false,13071,20921,2326.3743
pr_0_85,20,modularity,connectivity,true,65553,103264,62.4073
pr_0_85,20,async_label_prop,connectivity,false,18667,37033,78.8548
pr_0_85,20,async_label_prop,connectivity,true,66541,98030,9.8288
fv_norm,2,connected_components,connectivity,false,11,10,2.9611
fv_norm,2,connected_components,connectivity,true,37184,37184,2.9928
fv_norm,2,modularity,connectivity,false,3244,4663,5912.8136
fv_norm,2,modularity,connectivity,true,38232,39621,2328.7133
fv_norm,2,async_label_prop,connectivity,false,4344,4735,44.4993
fv_norm,2,async_label_prop,connectivity,true,38508,38687,24.0354
fv_norm,3,connected_components,connectivity,false,11,10,2.2019
fv_norm,3,connected_components,connectivity,true,47880,47996,3.1645
fv_norm,3,modularity,connectivity,false,3244,4659,5742.0711
fv_norm,3,modularity,connectivity,true,48270,53984,1436.0879
fv_norm,3,async_label_prop,connectivity,false,4281,4649,27.3949
fv_norm,3,async_label_prop,connectivity,true,48239,48645,16.6637
fv_norm,4,connected_components,connectivity,false,17,22,3.0424
fv_norm,4,connected_components,connectivity,true,53173,53548,3.4246
fv_norm,4,modularity,connectivity,false,3249,4671,5705.6601
fv_norm,4,modularity,connectivity,true,53387,61422,981.9004
fv_norm,4,async_label_prop,connectivity,false,4331,4713,33.8458
fv_norm,4,async_label_prop,connectivity,true,53392,54115,16.5167
fv_norm,6,connected_components,connectivity,false,21,46,1.9974
fv_norm,6,connected_components,connectivity,true,58093,61384,3.5408
fv_norm,6,modularity,connectivity,false,3252,4685,5717.5114
fv_norm,6,modularity,connectivity,true,58222,71131,478.5088
fv_norm,6,async_label_prop,connectivity,false,4235,4590,25.7365
fv_norm,6,async_label_prop,connectivity,true,58395,62111,14.2556
fv_norm,8,connected_components,connectivity,false,28,62,2.0277
fv_norm,8,connected_components,connectivity,true,60425,67141,3.6891
fv_norm,8,modularity,connectivity,false,3258,4698,5710.9562
fv_norm,8,modularity,connectivity,true,60506,76621,314.574
fv_norm,8,async_label_prop,connectivity,false,4252,4628,25.2425
fv_norm,8,async_label_prop,connectivity,true,60927,68338,11.9518
fv_norm,10,connected_components,connectivity,false,28,61,2.05
fv_norm,10,connected_components,connectivity,true,61392,71635,3.58
fv_norm,10,modularity,connectivity,false,3258,4697,5546.3684
fv_norm,10,modularity,connectivity,true,61477,80483,197.5469
fv_norm,10,async_label_prop,connectivity,false,4242,4605,22.7391
fv_norm,10,async_label_prop,connectivity,true,62224,73544,13.152
fv_norm,20,connected_components,connectivity,false,33,77,2.1158
fv_norm,20,connected_components,connectivity,true,64330,87147,3.8366
fv_norm,20,modularity,connectivity,false,3263,4713,5532.9779
fv_norm,20,modularity,connectivity,true,64425,99170,74.9871
fv_norm,20,async_label_prop,connectivity,false,4244,4637,24.8858
fv_norm,20,async_label_prop,connectivity,true,65518,96576,8.7562
