filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,101,100,0.00449681282043457
agd,2,modularity,connectivity,false,101,100,0.0045680999755859375
agd,2,connected_components,connectivity,true,52,51,0.0036308765411376953
agd,2,modularity,connectivity,true,52,51,0.03903698921203613
agd,3,connected_components,connectivity,false,101,100,0.004539012908935547
agd,3,modularity,connectivity,false,101,100,0.004587888717651367
agd,3,connected_components,connectivity,true,68,67,0.0040667057037353516
agd,3,modularity,connectivity,true,68,67,0.014876127243041992
agd,4,connected_components,connectivity,false,101,100,0.004569053649902344
agd,4,modularity,connectivity,false,101,100,0.0046389102935791016
agd,4,connected_components,connectivity,true,79,78,0.0045888423919677734
agd,4,modularity,connectivity,true,79,78,0.011552810668945312
agd,5,connected_components,connectivity,false,101,100,0.004682779312133789
agd,5,modularity,connectivity,false,101,100,0.004830837249755859
agd,5,connected_components,connectivity,true,84,83,0.004866123199462891
agd,5,modularity,connectivity,true,84,83,0.010032892227172852
agd,6,connected_components,connectivity,false,101,100,0.004843950271606445
agd,6,modularity,connectivity,false,101,100,0.005087852478027344
agd,6,connected_components,connectivity,true,86,85,0.004887104034423828
agd,6,modularity,connectivity,true,86,85,0.008457183837890625
agd,7,connected_components,connectivity,false,101,100,0.004820108413696289
agd,7,modularity,connectivity,false,101,100,0.004986763000488281
agd,7,connected_components,connectivity,true,87,86,0.0049359798431396484
agd,7,modularity,connectivity,true,87,86,0.0078105926513671875
agd,8,connected_components,connectivity,false,101,100,0.005342960357666016
agd,8,modularity,connectivity,false,101,100,0.004952907562255859
agd,8,connected_components,connectivity,true,92,91,0.0051729679107666016
agd,8,modularity,connectivity,true,92,91,0.007462024688720703
agd,9,connected_components,connectivity,false,101,100,0.004913330078125
agd,9,modularity,connectivity,false,101,100,0.0049970149993896484
agd,9,connected_components,connectivity,true,90,89,0.005148887634277344
agd,9,modularity,connectivity,true,90,89,0.007274150848388672
agd,10,connected_components,connectivity,false,101,100,0.004853963851928711
agd,10,modularity,connectivity,false,101,100,0.0050508975982666016
agd,10,connected_components,connectivity,true,97,96,0.005594730377197266
agd,10,modularity,connectivity,true,97,96,0.007517099380493164
agd,11,connected_components,connectivity,false,101,100,0.024498939514160156
agd,11,modularity,connectivity,false,101,100,0.006448030471801758
agd,11,connected_components,connectivity,true,92,91,0.005427837371826172
agd,11,modularity,connectivity,true,92,91,0.0069580078125
agd,12,connected_components,connectivity,false,101,100,0.0049321651458740234
agd,12,modularity,connectivity,false,101,100,0.005075216293334961
agd,12,connected_components,connectivity,true,96,95,0.0057659149169921875
