filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,6,6,0.002
agd,2,connected_components,connectivity,true,6,5,0.0021
agd,2,modularity,connectivity,false,14,22,0.0124
agd,2,modularity,connectivity,true,14,22,0.013
agd,2,async_label_prop,connectivity,false,20,31,0.0113
agd,2,async_label_prop,connectivity,true,22,31,0.012
agd,3,connected_components,connectivity,false,12,14,0.0024
agd,3,connected_components,connectivity,true,17,24,0.0024
agd,3,modularity,connectivity,false,20,29,0.0117
agd,3,modularity,connectivity,true,25,36,0.0117
agd,3,async_label_prop,connectivity,false,24,36,0.0119
agd,3,async_label_prop,connectivity,true,29,46,0.0107
agd,4,connected_components,connectivity,false,17,21,0.0027
agd,4,connected_components,connectivity,true,21,31,0.0028
agd,4,modularity,connectivity,false,22,30,0.0111
agd,4,modularity,connectivity,true,27,39,0.0114
agd,4,async_label_prop,connectivity,false,28,43,0.0107
agd,4,async_label_prop,connectivity,true,34,51,0.0085
agd,6,connected_components,connectivity,false,32,48,0.003
agd,6,connected_components,connectivity,true,38,62,0.0031
agd,6,modularity,connectivity,false,37,56,0.0106
agd,6,modularity,connectivity,true,43,69,0.0103
agd,6,async_label_prop,connectivity,false,40,63,0.0097
agd,6,async_label_prop,connectivity,true,46,75,0.0075
agd,8,connected_components,connectivity,false,42,67,0.0034
agd,8,connected_components,connectivity,true,45,79,0.0034
agd,8,modularity,connectivity,false,45,72,0.0102
agd,8,modularity,connectivity,true,48,82,0.0104
agd,8,async_label_prop,connectivity,false,47,78,0.0077
agd,8,async_label_prop,connectivity,true,50,87,0.0074
agd,10,connected_components,connectivity,false,56,95,0.0039
agd,10,connected_components,connectivity,true,58,106,0.0039
agd,10,modularity,connectivity,false,57,96,0.01
agd,10,modularity,connectivity,true,60,108,0.0103
agd,10,async_label_prop,connectivity,false,57,97,0.0076
agd,10,async_label_prop,connectivity,true,60,108,0.0069
agd,20,connected_components,connectivity,false,75,141,0.0047
agd,20,connected_components,connectivity,true,75,144,0.0047
agd,20,modularity,connectivity,false,75,141,0.0099
agd,20,modularity,connectivity,true,77,146,0.0089
agd,20,async_label_prop,connectivity,false,75,141,0.007
agd,20,async_label_prop,connectivity,true,76,145,0.0068
ecc,2,connected_components,connectivity,false,5,4,0.0019
ecc,2,connected_components,connectivity,true,7,7,0.002
ecc,2,modularity,connectivity,false,11,18,0.0123
ecc,2,modularity,connectivity,true,13,21,0.0122
ecc,2,async_label_prop,connectivity,false,20,31,0.0102
ecc,2,async_label_prop,connectivity,true,24,34,0.0132
ecc,3,connected_components,connectivity,false,5,4,0.0019
ecc,3,connected_components,connectivity,true,13,18,0.0022
ecc,3,modularity,connectivity,false,11,18,0.0123
ecc,3,modularity,connectivity,true,17,24,0.0114
ecc,3,async_label_prop,connectivity,false,21,30,0.0117
ecc,3,async_label_prop,connectivity,true,25,36,0.0099
ecc,4,connected_components,connectivity,false,16,19,0.0022
ecc,4,connected_components,connectivity,true,15,20,0.0023
ecc,4,modularity,connectivity,false,23,32,0.0112
ecc,4,modularity,connectivity,true,22,31,0.0113
ecc,4,async_label_prop,connectivity,false,29,42,0.0103
ecc,4,async_label_prop,connectivity,true,27,39,0.0111
ecc,6,connected_components,connectivity,false,16,19,0.0023
ecc,6,connected_components,connectivity,true,20,28,0.0026
ecc,6,modularity,connectivity,false,23,32,0.0113
ecc,6,modularity,connectivity,true,26,36,0.0111
ecc,6,async_label_prop,connectivity,false,34,50,0.0104
ecc,6,async_label_prop,connectivity,true,28,42,0.0098
ecc,8,connected_components,connectivity,false,16,19,0.0024
ecc,8,connected_components,connectivity,true,21,28,0.0027
ecc,8,modularity,connectivity,false,23,32,0.0113
ecc,8,modularity,connectivity,true,32,43,0.0115
ecc,8,async_label_prop,connectivity,false,34,52,0.0089
ecc,8,async_label_prop,connectivity,true,33,47,0.0078
ecc,10,connected_components,connectivity,false,16,19,0.0024
ecc,10,connected_components,connectivity,true,23,32,0.0028
ecc,10,modularity,connectivity,false,23,32,0.0114
ecc,10,modularity,connectivity,true,34,47,0.0114
ecc,10,async_label_prop,connectivity,false,34,50,0.0098
ecc,10,async_label_prop,connectivity,true,34,49,0.0085
ecc,20,connected_components,connectivity,false,16,19,0.0027
ecc,20,connected_components,connectivity,true,34,50,0.0035
ecc,20,modularity,connectivity,false,23,32,0.0117
ecc,20,modularity,connectivity,true,47,69,0.0119
ecc,20,async_label_prop,connectivity,false,32,47,0.0092
ecc,20,async_label_prop,connectivity,true,36,56,0.0087
pr_0_85,2,connected_components,connectivity,false,7,6,0.0019
pr_0_85,2,connected_components,connectivity,true,18,21,0.0024
pr_0_85,2,modularity,connectivity,false,12,21,0.014
pr_0_85,2,modularity,connectivity,true,25,36,0.0119
pr_0_85,2,async_label_prop,connectivity,false,23,33,0.0138
pr_0_85,2,async_label_prop,connectivity,true,33,48,0.012
pr_0_85,3,connected_components,connectivity,false,20,29,0.0025
pr_0_85,3,connected_components,connectivity,true,23,29,0.0025
pr_0_85,3,modularity,connectivity,false,26,40,0.0116
pr_0_85,3,modularity,connectivity,true,28,38,0.011
pr_0_85,3,async_label_prop,connectivity,false,34,48,0.0099
pr_0_85,3,async_label_prop,connectivity,true,36,54,0.0096
pr_0_85,4,connected_components,connectivity,false,15,20,0.0023
pr_0_85,4,connected_components,connectivity,true,34,46,0.0029
pr_0_85,4,modularity,connectivity,false,20,33,0.0202
pr_0_85,4,modularity,connectivity,true,36,49,0.0106
pr_0_85,4,async_label_prop,connectivity,false,31,46,0.0099
pr_0_85,4,async_label_prop,connectivity,true,38,52,0.0087
pr_0_85,6,connected_components,connectivity,false,21,30,0.0026
pr_0_85,6,connected_components,connectivity,true,47,72,0.0034
pr_0_85,6,modularity,connectivity,false,26,40,0.0115
pr_0_85,6,modularity,connectivity,true,52,80,0.0105
pr_0_85,6,async_label_prop,connectivity,false,32,47,0.0096
pr_0_85,6,async_label_prop,connectivity,true,52,81,0.0073
pr_0_85,8,connected_components,connectivity,false,23,31,0.0028
pr_0_85,8,connected_components,connectivity,true,46,68,0.0034
pr_0_85,8,modularity,connectivity,false,25,35,0.0112
pr_0_85,8,modularity,connectivity,true,51,76,0.0106
pr_0_85,8,async_label_prop,connectivity,false,36,53,0.0098
pr_0_85,8,async_label_prop,connectivity,true,51,75,0.007
pr_0_85,10,connected_components,connectivity,false,16,23,0.0026
pr_0_85,10,connected_components,connectivity,true,54,86,0.0037
pr_0_85,10,modularity,connectivity,false,22,36,0.0125
pr_0_85,10,modularity,connectivity,true,57,90,0.0102
pr_0_85,10,async_label_prop,connectivity,false,30,46,0.0101
pr_0_85,10,async_label_prop,connectivity,true,55,87,0.0072
pr_0_85,20,connected_components,connectivity,false,25,38,0.0032
pr_0_85,20,connected_components,connectivity,true,77,139,0.0047
pr_0_85,20,modularity,connectivity,false,29,46,0.012
pr_0_85,20,modularity,connectivity,true,77,139,0.0092
pr_0_85,20,async_label_prop,connectivity,false,34,50,0.0121
pr_0_85,20,async_label_prop,connectivity,true,77,139,0.0068
fv,2,connected_components,connectivity,false,2,1,0.0018
fv,2,connected_components,connectivity,true,2,1,0.0019
fv,2,modularity,connectivity,false,10,14,0.0141
fv,2,modularity,connectivity,true,9,14,0.015
fv,2,async_label_prop,connectivity,false,22,28,0.0111
fv,2,async_label_prop,connectivity,true,21,28,0.0124
fv,3,connected_components,connectivity,false,5,6,0.002
fv,3,connected_components,connectivity,true,4,4,0.0019
fv,3,modularity,connectivity,false,12,19,0.0133
fv,3,modularity,connectivity,true,13,18,0.0127
fv,3,async_label_prop,connectivity,false,22,29,0.0106
fv,3,async_label_prop,connectivity,true,24,31,0.0107
fv,4,connected_components,connectivity,false,6,7,0.0021
fv,4,connected_components,connectivity,true,8,11,0.0021
fv,4,modularity,connectivity,false,14,19,0.0129
fv,4,modularity,connectivity,true,15,21,0.0123
fv,4,async_label_prop,connectivity,false,22,28,0.0107
fv,4,async_label_prop,connectivity,true,23,32,0.0105
fv,6,connected_components,connectivity,false,12,15,0.0024
fv,6,connected_components,connectivity,true,18,23,0.0025
fv,6,modularity,connectivity,false,21,27,0.0125
fv,6,modularity,connectivity,true,23,29,0.0116
fv,6,async_label_prop,connectivity,false,28,36,0.0108
fv,6,async_label_prop,connectivity,true,24,30,0.0106
fv,8,connected_components,connectivity,false,16,20,0.0026
fv,8,connected_components,connectivity,true,22,28,0.0027
fv,8,modularity,connectivity,false,25,33,0.0123
fv,8,modularity,connectivity,true,30,38,0.0116
fv,8,async_label_prop,connectivity,false,26,34,0.0111
fv,8,async_label_prop,connectivity,true,28,35,0.0095
fv,10,connected_components,connectivity,false,24,31,0.0029
fv,10,connected_components,connectivity,true,27,35,0.0029
fv,10,modularity,connectivity,false,28,36,0.0119
fv,10,modularity,connectivity,true,35,47,0.0114
fv,10,async_label_prop,connectivity,false,29,37,0.0102
fv,10,async_label_prop,connectivity,true,33,45,0.0087
fv,20,connected_components,connectivity,false,44,64,0.0038
fv,20,connected_components,connectivity,true,50,78,0.004
fv,20,modularity,connectivity,false,47,68,0.0118
fv,20,modularity,connectivity,true,53,83,0.012
fv,20,async_label_prop,connectivity,false,48,69,0.0086
