datafile,df_nodes,filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
"movies.json",101,agd,2,connected_components,connectivity,false,4,3,0.0019
"movies.json",101,agd,2,modularity,connectivity,false,11,27,0.0172
"movies.json",101,agd,2,async_label_prop,connectivity,false,29,78,0.0141
"movies.json",101,agd,20,connected_components,connectivity,false,56,81,0.0041
"movies.json",101,agd,20,modularity,connectivity,false,63,120,0.0108
"movies.json",101,agd,20,async_label_prop,connectivity,false,67,138,0.0079
"movies.json",101,ecc,2,connected_components,connectivity,false,12,11,0.0023
"movies.json",101,ecc,2,modularity,connectivity,false,21,45,0.018
"movies.json",101,ecc,2,async_label_prop,connectivity,false,35,92,0.0178
"movies.json",101,ecc,20,connected_components,connectivity,false,105,219,0.0062
"movies.json",101,ecc,20,modularity,connectivity,false,114,310,0.0166
"movies.json",101,ecc,20,async_label_prop,connectivity,false,117,322,0.0116
"movies.json",101,pr_0_85,2,connected_components,connectivity,false,10,11,0.0021
"movies.json",101,pr_0_85,2,modularity,connectivity,false,17,44,0.0147
"movies.json",101,pr_0_85,2,async_label_prop,connectivity,false,37,99,0.0105
"movies.json",101,pr_0_85,20,connected_components,connectivity,false,80,161,0.0049
"movies.json",101,pr_0_85,20,modularity,connectivity,false,80,161,0.0094
"movies.json",101,pr_0_85,20,async_label_prop,connectivity,false,81,165,0.0067
"movies.json",101,fv,2,connected_components,connectivity,false,2,1,0.0018
"movies.json",101,fv,2,modularity,connectivity,false,10,23,0.017
"movies.json",101,fv,2,async_label_prop,connectivity,false,14,22,0.0318
"movies.json",101,fv,20,connected_components,connectivity,false,34,47,0.0035
"movies.json",101,fv,20,modularity,connectivity,false,41,94,0.0129
"movies.json",101,fv,20,async_label_prop,connectivity,false,48,122,0.0094
"movies.json",101,fv_norm,2,connected_components,connectivity,false,3,2,0.0019
"movies.json",101,fv_norm,2,modularity,connectivity,false,10,22,0.0169
"movies.json",101,fv_norm,2,async_label_prop,connectivity,false,12,15,0.0296
"movies.json",101,fv_norm,20,connected_components,connectivity,false,42,65,0.0037
"movies.json",101,fv_norm,20,modularity,connectivity,false,46,84,0.012
"movies.json",101,fv_norm,20,async_label_prop,connectivity,false,55,121,0.0078
"movies.json",101,den_0_5,2,connected_components,connectivity,false,12,15,0.0021
"movies.json",101,den_0_5,2,modularity,connectivity,false,20,53,0.0132
"movies.json",101,den_0_5,2,async_label_prop,connectivity,false,39,100,0.0076
"movies.json",101,den_0_5,20,connected_components,connectivity,false,76,164,0.0048
"movies.json",101,den_0_5,20,modularity,connectivity,false,77,166,0.0092
"movies.json",101,den_0_5,20,async_label_prop,connectivity,false,78,167,0.0068
"connected_caveman_graph(15,30).json",450,agd,2,connected_components,connectivity,false,16,15,0.0198
"connected_caveman_graph(15,30).json",450,agd,2,modularity,connectivity,false,30,30,0.1981
"connected_caveman_graph(15,30).json",450,agd,2,async_label_prop,connectivity,false,30,30,0.064
"connected_caveman_graph(15,30).json",450,agd,20,connected_components,connectivity,false,31,45,0.0182
"connected_caveman_graph(15,30).json",450,agd,20,modularity,connectivity,false,35,53,0.1767
"connected_caveman_graph(15,30).json",450,agd,20,async_label_prop,connectivity,false,41,63,0.0577
"connected_caveman_graph(15,30).json",450,ecc,2,connected_components,connectivity,false,30,30,0.017
"connected_caveman_graph(15,30).json",450,ecc,2,modularity,connectivity,false,30,30,0.1964
"connected_caveman_graph(15,30).json",450,ecc,2,async_label_prop,connectivity,false,30,30,0.0622
"connected_caveman_graph(15,30).json",450,ecc,20,connected_components,connectivity,false,30,30,0.018
"connected_caveman_graph(15,30).json",450,ecc,20,modularity,connectivity,false,30,30,0.2056
"connected_caveman_graph(15,30).json",450,ecc,20,async_label_prop,connectivity,false,30,30,0.0642
"connected_caveman_graph(15,30).json",450,pr_0_85,2,connected_components,connectivity,false,45,45,0.017
"connected_caveman_graph(15,30).json",450,pr_0_85,2,modularity,connectivity,false,45,45,0.1868
