filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0004439353942871094
agd,2,modularity,connectivity,false,4,6,0.0017600059509277344
agd,2,connected_components,connectivity,true,2,1,0.0002818107604980469
agd,2,modularity,connectivity,true,2,1,0.0007281303405761719
agd,3,connected_components,connectivity,false,3,3,0.0004239082336425781
agd,3,modularity,connectivity,false,6,15,0.002358675003051758
agd,3,connected_components,connectivity,true,4,5,0.0003008842468261719
agd,3,modularity,connectivity,true,4,5,0.0006167888641357422
agd,4,connected_components,connectivity,false,4,6,0.000560760498046875
agd,4,modularity,connectivity,false,8,28,0.002995014190673828
agd,4,connected_components,connectivity,true,4,5,0.0003509521484375
agd,4,modularity,connectivity,true,4,5,0.0006458759307861328
agd,5,connected_components,connectivity,false,5,10,0.00074005126953125
agd,5,modularity,connectivity,false,10,45,0.0036962032318115234
agd,5,connected_components,connectivity,true,6,14,0.0006940364837646484
agd,5,modularity,connectivity,true,6,14,0.000949859619140625
agd,6,connected_components,connectivity,false,6,15,0.0009109973907470703
agd,6,modularity,connectivity,false,12,66,0.004647016525268555
agd,6,connected_components,connectivity,true,6,12,0.00045108795166015625
agd,6,modularity,connectivity,true,6,12,0.0004627704620361328
agd,7,connected_components,connectivity,false,7,21,0.0010538101196289062
agd,7,modularity,connectivity,false,14,91,0.0051958560943603516
agd,7,connected_components,connectivity,true,6,12,0.00044608116149902344
agd,7,modularity,connectivity,true,6,12,0.0004391670227050781
agd,8,connected_components,connectivity,false,8,28,0.002582073211669922
agd,8,modularity,connectivity,false,16,120,0.010149002075195312
agd,8,connected_components,connectivity,true,6,12,0.0005218982696533203
agd,8,modularity,connectivity,true,6,12,0.0005168914794921875
agd,9,connected_components,connectivity,false,9,36,0.0016660690307617188
agd,9,modularity,connectivity,false,18,153,0.007196903228759766
agd,9,connected_components,connectivity,true,6,12,0.0005278587341308594
agd,9,modularity,connectivity,true,6,12,0.0005090236663818359
agd,10,connected_components,connectivity,false,10,45,0.0016367435455322266
agd,10,modularity,connectivity,false,20,190,0.007792234420776367
agd,10,connected_components,connectivity,true,9,26,0.0007188320159912109
agd,10,modularity,connectivity,true,9,26,0.0013790130615234375
agd,11,connected_components,connectivity,false,11,55,0.0039010047912597656
agd,11,modularity,connectivity,false,22,231,0.013571977615356445
agd,11,connected_components,connectivity,true,6,12,0.0010020732879638672
agd,11,modularity,connectivity,true,6,12,0.0008800029754638672
agd,12,connected_components,connectivity,false,12,66,0.0031080245971679688
agd,12,modularity,connectivity,false,24,276,0.014978170394897461
agd,12,connected_components,connectivity,true,6,12,0.0010428428649902344
agd,12,modularity,connectivity,true,6,12,0.0005838871002197266
agd,13,connected_components,connectivity,false,13,78,0.002282857894897461
agd,13,modularity,connectivity,false,26,325,0.011044979095458984
agd,13,connected_components,connectivity,true,6,12,0.0006358623504638672
agd,13,modularity,connectivity,true,6,12,0.0005977153778076172
agd,14,connected_components,connectivity,false,14,91,0.0025320053100585938
agd,14,modularity,connectivity,false,28,378,0.011944055557250977
agd,14,connected_components,connectivity,true,6,12,0.0006902217864990234
agd,14,modularity,connectivity,true,6,12,0.0005817413330078125
agd,15,connected_components,connectivity,false,15,105,0.0028069019317626953
agd,15,modularity,connectivity,false,30,435,0.013243913650512695
agd,15,connected_components,connectivity,true,10,32,0.0007810592651367188
agd,15,modularity,connectivity,true,10,32,0.0007352828979492188
agd,16,connected_components,connectivity,false,16,120,0.00310516357421875
agd,16,modularity,connectivity,false,32,496,0.014063119888305664
agd,16,connected_components,connectivity,true,6,12,0.0006611347198486328
