filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,4,3,0.007444858551025391
agd,2,modularity,connectivity,false,29,28,0.05765795707702637
agd,2,connected_components,connectivity,true,8,7,0.007375001907348633
agd,2,modularity,connectivity,true,34,33,0.05843305587768555
agd,3,connected_components,connectivity,false,9,8,0.007380008697509766
agd,3,modularity,connectivity,false,38,37,0.05684709548950195
agd,3,connected_components,connectivity,true,12,11,0.007348060607910156
agd,3,modularity,connectivity,true,44,43,0.05781698226928711
agd,4,connected_components,connectivity,false,14,13,0.007858991622924805
agd,4,modularity,connectivity,false,48,47,0.05745291709899902
agd,4,connected_components,connectivity,true,26,25,0.00808095932006836
agd,4,modularity,connectivity,true,60,59,0.05321502685546875
agd,5,connected_components,connectivity,false,18,17,0.008097171783447266
agd,5,modularity,connectivity,false,50,49,0.05641007423400879
agd,5,connected_components,connectivity,true,65,64,0.009739160537719727
agd,5,modularity,connectivity,true,97,96,0.050968170166015625
agd,6,connected_components,connectivity,false,24,23,0.00851297378540039
agd,6,modularity,connectivity,false,57,56,0.0536961555480957
agd,6,connected_components,connectivity,true,46,45,0.009116888046264648
agd,6,modularity,connectivity,true,82,81,0.05210089683532715
agd,7,connected_components,connectivity,false,56,55,0.009751081466674805
agd,7,modularity,connectivity,false,91,90,0.0522768497467041
agd,7,connected_components,connectivity,true,76,75,0.010362863540649414
agd,7,modularity,connectivity,true,109,108,0.05023002624511719
agd,8,connected_components,connectivity,false,48,47,0.009550094604492188
agd,8,modularity,connectivity,false,84,83,0.05265617370605469
agd,8,connected_components,connectivity,true,98,97,0.011326074600219727
agd,8,modularity,connectivity,true,134,133,0.04857277870178223
agd,9,connected_components,connectivity,false,47,46,0.009733915328979492
agd,9,modularity,connectivity,false,81,80,0.05127906799316406
agd,9,connected_components,connectivity,true,83,82,0.01055598258972168
agd,9,modularity,connectivity,true,120,119,0.04793500900268555
agd,10,connected_components,connectivity,false,55,54,0.00983119010925293
agd,10,modularity,connectivity,false,89,88,0.05094504356384277
agd,10,connected_components,connectivity,true,131,130,0.012557029724121094
agd,10,modularity,connectivity,true,158,157,0.06741786003112793
agd,11,connected_components,connectivity,false,70,69,0.010751962661743164
agd,11,modularity,connectivity,false,104,103,0.04975318908691406
agd,11,connected_components,connectivity,true,145,144,0.013035058975219727
agd,11,modularity,connectivity,true,170,169,0.04447007179260254
agd,12,connected_components,connectivity,false,70,69,0.010723114013671875
agd,12,modularity,connectivity,false,102,101,0.049844980239868164
agd,12,connected_components,connectivity,true,133,132,0.012559890747070312
agd,12,modularity,connectivity,true,164,163,0.04588913917541504
agd,13,connected_components,connectivity,false,100,99,0.011706829071044922
agd,13,modularity,connectivity,false,129,128,0.0482940673828125
agd,13,connected_components,connectivity,true,143,142,0.013012170791625977
agd,13,modularity,connectivity,true,171,170,0.04516768455505371
agd,14,connected_components,connectivity,false,106,105,0.012082815170288086
agd,14,modularity,connectivity,false,138,137,0.04854083061218262
agd,14,connected_components,connectivity,true,162,161,0.016098737716674805
agd,14,modularity,connectivity,true,185,184,0.04455828666687012
agd,15,connected_components,connectivity,false,94,93,0.011806964874267578
agd,15,modularity,connectivity,false,124,123,0.04895329475402832
agd,15,connected_components,connectivity,true,186,185,0.014616012573242188
agd,15,modularity,connectivity,true,212,211,0.044471025466918945
agd,16,connected_components,connectivity,false,104,103,0.012366056442260742
agd,16,modularity,connectivity,false,134,133,0.04923391342163086
agd,16,connected_components,connectivity,true,171,170,0.014467000961303711
agd,16,modularity,connectivity,true,197,196,0.04485297203063965
agd,17,connected_components,connectivity,false,118,117,0.01294398307800293
agd,17,modularity,connectivity,false,140,139,0.04835033416748047
agd,17,connected_components,connectivity,true,201,200,0.015369892120361328
agd,17,modularity,connectivity,true,223,222,0.043200016021728516
agd,18,connected_components,connectivity,false,110,109,0.012775897979736328
agd,18,modularity,connectivity,false,130,129,0.048171043395996094
agd,18,connected_components,connectivity,true,172,171,0.014754056930541992
agd,18,modularity,connectivity,true,199,198,0.06268763542175293
agd,19,connected_components,connectivity,false,97,96,0.013434886932373047
agd,19,modularity,connectivity,false,125,124,0.049506187438964844
agd,19,connected_components,connectivity,true,208,207,0.016076087951660156
agd,19,modularity,connectivity,true,226,225,0.043295860290527344
ecc,2,connected_components,connectivity,false,8,7,0.007212638854980469
ecc,2,modularity,connectivity,false,37,36,0.0552210807800293
ecc,2,connected_components,connectivity,true,8,7,0.0070688724517822266
ecc,2,modularity,connectivity,true,34,33,0.05755615234375
ecc,3,connected_components,connectivity,false,5,4,0.006899118423461914
ecc,3,modularity,connectivity,false,38,37,0.05233407020568848
ecc,3,connected_components,connectivity,true,11,10,0.006997823715209961
ecc,3,modularity,connectivity,true,42,41,0.05182003974914551
ecc,4,connected_components,connectivity,false,19,18,0.00744175910949707
ecc,4,modularity,connectivity,false,51,50,0.05136275291442871
ecc,4,connected_components,connectivity,true,14,13,0.007261037826538086
ecc,4,modularity,connectivity,true,49,48,0.07129788398742676
ecc,5,connected_components,connectivity,false,27,26,0.008194684982299805
ecc,5,modularity,connectivity,false,63,62,0.053476810455322266
ecc,5,connected_components,connectivity,true,39,38,0.00848698616027832
ecc,5,modularity,connectivity,true,76,75,0.05071115493774414
ecc,6,connected_components,connectivity,false,23,22,0.007991790771484375
ecc,6,modularity,connectivity,false,63,62,0.05167222023010254
ecc,6,connected_components,connectivity,true,30,29,0.008282899856567383
ecc,6,modularity,connectivity,true,68,67,0.05104398727416992
ecc,7,connected_components,connectivity,false,24,23,0.00803685188293457
ecc,7,modularity,connectivity,false,65,64,0.05097389221191406
ecc,7,connected_components,connectivity,true,55,54,0.009341001510620117
ecc,7,modularity,connectivity,true,91,90,0.049471139907836914
ecc,8,connected_components,connectivity,false,47,46,0.009059906005859375
ecc,8,modularity,connectivity,false,86,85,0.04986405372619629
ecc,8,connected_components,connectivity,true,38,37,0.008880138397216797
ecc,8,modularity,connectivity,true,81,80,0.05085897445678711
ecc,9,connected_components,connectivity,false,30,29,0.008572816848754883
ecc,9,modularity,connectivity,false,69,68,0.04999494552612305
ecc,9,connected_components,connectivity,true,44,43,0.00942683219909668
ecc,9,modularity,connectivity,true,85,84,0.04993414878845215
ecc,10,connected_components,connectivity,false,50,49,0.009804010391235352
ecc,10,modularity,connectivity,false,89,88,0.052001953125
ecc,10,connected_components,connectivity,true,60,59,0.01007390022277832
ecc,10,modularity,connectivity,true,100,99,0.049886226654052734
ecc,11,connected_components,connectivity,false,58,57,0.009944915771484375
ecc,11,modularity,connectivity,false,99,98,0.04886889457702637
ecc,11,connected_components,connectivity,true,62,61,0.010343790054321289
ecc,11,modularity,connectivity,true,99,98,0.049597978591918945
