filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,17,16,0.0016741752624511719
agd,2,modularity,connectivity,false,19,21,0.010210037231445312
agd,2,connected_components,connectivity,true,18,17,0.0017626285552978516
agd,2,modularity,connectivity,true,20,25,0.011996746063232422
agd,3,connected_components,connectivity,false,22,23,0.0021991729736328125
agd,3,modularity,connectivity,false,25,35,0.00931406021118164
agd,3,connected_components,connectivity,true,24,28,0.0019140243530273438
agd,3,modularity,connectivity,true,25,31,0.008997917175292969
agd,4,connected_components,connectivity,false,24,28,0.0019180774688720703
agd,4,modularity,connectivity,false,25,34,0.009450912475585938
agd,4,connected_components,connectivity,true,26,36,0.0019419193267822266
agd,4,modularity,connectivity,true,27,41,0.007812976837158203
agd,5,connected_components,connectivity,false,27,37,0.002164125442504883
agd,5,modularity,connectivity,false,28,41,0.008348941802978516
agd,5,connected_components,connectivity,true,27,36,0.002001047134399414
agd,5,modularity,connectivity,true,29,42,0.009123086929321289
agd,6,connected_components,connectivity,false,29,42,0.0021131038665771484
agd,6,modularity,connectivity,false,31,49,0.00793313980102539
agd,6,connected_components,connectivity,true,32,45,0.0021610260009765625
agd,6,modularity,connectivity,true,34,54,0.0076940059661865234
agd,7,connected_components,connectivity,false,32,48,0.0027239322662353516
agd,7,modularity,connectivity,false,34,57,0.008990764617919922
agd,7,connected_components,connectivity,true,33,54,0.0030188560485839844
agd,7,modularity,connectivity,true,35,63,0.007158041000366211
agd,8,connected_components,connectivity,false,29,42,0.00214385986328125
agd,8,modularity,connectivity,false,30,47,0.0069849491119384766
agd,8,connected_components,connectivity,true,33,56,0.003756999969482422
agd,8,modularity,connectivity,true,35,62,0.007727861404418945
agd,9,connected_components,connectivity,false,31,51,0.002565145492553711
agd,9,modularity,connectivity,false,34,59,0.007850885391235352
agd,9,connected_components,connectivity,true,36,63,0.0024671554565429688
agd,9,modularity,connectivity,true,39,73,0.010154962539672852
agd,10,connected_components,connectivity,false,32,55,0.0022389888763427734
agd,10,modularity,connectivity,false,34,63,0.0070569515228271484
agd,10,connected_components,connectivity,true,32,53,0.002457857131958008
agd,10,modularity,connectivity,true,34,61,0.016527175903320312
agd,11,connected_components,connectivity,false,33,58,0.003451108932495117
agd,11,modularity,connectivity,false,35,65,0.008610963821411133
agd,11,connected_components,connectivity,true,34,60,0.0030350685119628906
agd,11,modularity,connectivity,true,37,76,0.0064640045166015625
agd,12,connected_components,connectivity,false,34,60,0.0023369789123535156
agd,12,modularity,connectivity,false,36,69,0.006660938262939453
agd,12,connected_components,connectivity,true,39,74,0.0051746368408203125
agd,12,modularity,connectivity,true,40,78,0.0073490142822265625
agd,13,connected_components,connectivity,false,31,52,0.002718210220336914
agd,13,modularity,connectivity,false,34,67,0.007054805755615234
agd,13,connected_components,connectivity,true,37,69,0.0037720203399658203
agd,13,modularity,connectivity,true,38,74,0.00647425651550293
agd,14,connected_components,connectivity,false,36,68,0.002850055694580078
agd,14,modularity,connectivity,false,38,77,0.006181955337524414
agd,14,connected_components,connectivity,true,41,85,0.002732992172241211
agd,14,modularity,connectivity,true,43,96,0.007950067520141602
agd,15,connected_components,connectivity,false,37,70,0.002580881118774414
agd,15,modularity,connectivity,false,38,76,0.007565736770629883
agd,15,connected_components,connectivity,true,38,72,0.009002923965454102
agd,15,modularity,connectivity,true,38,72,0.006222724914550781
agd,16,connected_components,connectivity,false,36,68,0.0026848316192626953
agd,16,modularity,connectivity,false,39,82,0.006726980209350586
agd,16,connected_components,connectivity,true,43,93,0.002708911895751953
agd,16,modularity,connectivity,true,43,93,0.0061528682708740234
agd,17,connected_components,connectivity,false,35,67,0.0024759769439697266
agd,17,modularity,connectivity,false,38,81,0.007876873016357422
agd,17,connected_components,connectivity,true,40,86,0.002667665481567383
agd,17,modularity,connectivity,true,40,86,0.007510662078857422
agd,18,connected_components,connectivity,false,37,70,0.0025763511657714844
agd,18,modularity,connectivity,false,39,80,0.006735086441040039
agd,18,connected_components,connectivity,true,44,95,0.0029900074005126953
agd,18,modularity,connectivity,true,46,107,0.006875276565551758
agd,19,connected_components,connectivity,false,39,78,0.0029540061950683594
agd,19,modularity,connectivity,false,41,88,0.0064771175384521484
agd,19,connected_components,connectivity,true,42,91,0.0027649402618408203
agd,19,modularity,connectivity,true,42,91,0.005659818649291992
ecc,2,connected_components,connectivity,false,14,13,0.0016019344329833984
ecc,2,modularity,connectivity,false,17,21,0.009594917297363281
ecc,2,connected_components,connectivity,true,12,11,0.0018317699432373047
ecc,2,modularity,connectivity,true,15,19,0.011040210723876953
ecc,3,connected_components,connectivity,false,17,29,0.0028238296508789062
ecc,3,modularity,connectivity,false,23,59,0.021556854248046875
ecc,3,connected_components,connectivity,true,20,24,0.002117156982421875
ecc,3,modularity,connectivity,true,23,33,0.009139776229858398
ecc,4,connected_components,connectivity,false,23,23,0.0018067359924316406
ecc,4,modularity,connectivity,false,25,33,0.007775068283081055
ecc,4,connected_components,connectivity,true,20,31,0.002710103988647461
ecc,4,modularity,connectivity,true,23,40,0.007966041564941406
ecc,5,connected_components,connectivity,false,23,23,0.003010988235473633
ecc,5,modularity,connectivity,false,25,33,0.008075952529907227
ecc,5,connected_components,connectivity,true,24,43,0.002405881881713867
ecc,5,modularity,connectivity,true,28,60,0.007230043411254883
ecc,6,connected_components,connectivity,false,40,79,0.006597042083740234
ecc,6,modularity,connectivity,false,44,113,0.015889883041381836
ecc,6,connected_components,connectivity,true,24,36,0.0026183128356933594
ecc,6,modularity,connectivity,true,29,62,0.0073261260986328125
ecc,7,connected_components,connectivity,false,23,23,0.002502918243408203
ecc,7,modularity,connectivity,false,25,33,0.008531808853149414
ecc,7,connected_components,connectivity,true,26,45,0.002134084701538086
ecc,7,modularity,connectivity,true,32,81,0.007776021957397461
ecc,8,connected_components,connectivity,false,23,23,0.002737760543823242
ecc,8,modularity,connectivity,false,25,33,0.008177995681762695
ecc,8,connected_components,connectivity,true,26,45,0.002286195755004883
ecc,8,modularity,connectivity,true,30,61,0.00785517692565918
ecc,9,connected_components,connectivity,false,40,79,0.003538846969604492
ecc,9,modularity,connectivity,false,44,113,0.014605045318603516
ecc,9,connected_components,connectivity,true,31,61,0.002772808074951172
ecc,9,modularity,connectivity,true,35,84,0.010725259780883789
ecc,10,connected_components,connectivity,false,23,23,0.0020678043365478516
ecc,10,modularity,connectivity,false,25,33,0.008111715316772461
ecc,10,connected_components,connectivity,true,31,66,0.0022940635681152344
ecc,10,modularity,connectivity,true,35,94,0.00683903694152832
ecc,11,connected_components,connectivity,false,23,23,0.0021407604217529297
ecc,11,modularity,connectivity,false,25,33,0.009653091430664062
ecc,11,connected_components,connectivity,true,36,75,0.0024199485778808594
ecc,11,modularity,connectivity,true,40,99,0.007245779037475586
ecc,12,connected_components,connectivity,false,40,79,0.003487825393676758
ecc,12,modularity,connectivity,false,44,113,0.0190887451171875
ecc,12,connected_components,connectivity,true,37,76,0.002640962600708008
ecc,12,modularity,connectivity,true,39,84,0.00729680061340332
ecc,13,connected_components,connectivity,false,23,23,0.002012968063354492
ecc,13,modularity,connectivity,false,25,33,0.009350061416625977
ecc,13,connected_components,connectivity,true,42,91,0.003287792205810547
ecc,13,modularity,connectivity,true,44,99,0.0063419342041015625
ecc,14,connected_components,connectivity,false,23,23,0.0021779537200927734
ecc,14,modularity,connectivity,false,25,33,0.008270025253295898
ecc,14,connected_components,connectivity,true,42,105,0.0027379989624023438
ecc,14,modularity,connectivity,true,44,116,0.008555889129638672
ecc,15,connected_components,connectivity,false,40,79,0.0037140846252441406
ecc,15,modularity,connectivity,false,44,113,0.015836000442504883
ecc,15,connected_components,connectivity,true,42,98,0.0029020309448242188
ecc,15,modularity,connectivity,true,45,120,0.00623321533203125
ecc,16,connected_components,connectivity,false,23,23,0.0021657943725585938
ecc,16,modularity,connectivity,false,25,33,0.008097171783447266
ecc,16,connected_components,connectivity,true,39,86,0.002724885940551758
ecc,16,modularity,connectivity,true,40,91,0.008006811141967773
ecc,17,connected_components,connectivity,false,23,23,0.002452850341796875
ecc,17,modularity,connectivity,false,25,33,0.009281158447265625
ecc,17,connected_components,connectivity,true,43,107,0.002758026123046875
ecc,17,modularity,connectivity,true,44,113,0.007195949554443359
ecc,18,connected_components,connectivity,false,40,79,0.0035898685455322266
ecc,18,modularity,connectivity,false,44,113,0.01646590232849121
ecc,18,connected_components,connectivity,true,45,109,0.004031181335449219
ecc,18,modularity,connectivity,true,46,115,0.006852865219116211
ecc,19,connected_components,connectivity,false,23,23,0.0021638870239257812
ecc,19,modularity,connectivity,false,25,33,0.009705781936645508
ecc,19,connected_components,connectivity,true,43,97,0.0028340816497802734
ecc,19,modularity,connectivity,true,44,102,0.00577092170715332
pr_0_85,2,connected_components,connectivity,false,5,4,0.0018246173858642578
pr_0_85,2,modularity,connectivity,false,10,15,0.00962686538696289
pr_0_85,2,connected_components,connectivity,true,22,21,0.002094745635986328
pr_0_85,2,modularity,connectivity,true,25,30,0.009677886962890625
pr_0_85,3,connected_components,connectivity,false,19,24,0.0019488334655761719
pr_0_85,3,modularity,connectivity,false,22,34,0.007175922393798828
pr_0_85,3,connected_components,connectivity,true,29,36,0.0020771026611328125
pr_0_85,3,modularity,connectivity,true,33,58,0.008036136627197266
pr_0_85,4,connected_components,connectivity,false,21,30,0.001911163330078125
pr_0_85,4,modularity,connectivity,false,24,41,0.008111238479614258
pr_0_85,4,connected_components,connectivity,true,28,35,0.001980304718017578
pr_0_85,4,modularity,connectivity,true,29,43,0.0074498653411865234
pr_0_85,5,connected_components,connectivity,false,28,51,0.002213716506958008
pr_0_85,5,modularity,connectivity,false,31,63,0.007088899612426758
pr_0_85,5,connected_components,connectivity,true,34,51,0.002129077911376953
pr_0_85,5,modularity,connectivity,true,35,61,0.0076160430908203125
pr_0_85,6,connected_components,connectivity,false,30,56,0.0022749900817871094
pr_0_85,6,modularity,connectivity,false,32,67,0.006505012512207031
pr_0_85,6,connected_components,connectivity,true,36,58,0.0026187896728515625
pr_0_85,6,modularity,connectivity,true,38,72,0.006178140640258789
pr_0_85,7,connected_components,connectivity,false,35,76,0.0023469924926757812
pr_0_85,7,modularity,connectivity,false,37,84,0.0070149898529052734
pr_0_85,7,connected_components,connectivity,true,37,62,0.002724885940551758
pr_0_85,7,modularity,connectivity,true,39,77,0.006536245346069336
pr_0_85,8,connected_components,connectivity,false,34,72,0.002582073211669922
pr_0_85,8,modularity,connectivity,false,37,85,0.0065097808837890625
pr_0_85,8,connected_components,connectivity,true,39,67,0.003031015396118164
pr_0_85,8,modularity,connectivity,true,40,79,0.006217002868652344
pr_0_85,9,connected_components,connectivity,false,38,93,0.002802133560180664
pr_0_85,9,modularity,connectivity,false,40,99,0.006014347076416016
pr_0_85,9,connected_components,connectivity,true,42,78,0.0027267932891845703
pr_0_85,9,modularity,connectivity,true,45,99,0.008042573928833008
pr_0_85,10,connected_components,connectivity,false,42,112,0.0026428699493408203
pr_0_85,10,modularity,connectivity,false,43,117,0.005845069885253906
pr_0_85,10,connected_components,connectivity,true,42,80,0.0025157928466796875
pr_0_85,10,modularity,connectivity,true,44,98,0.0060770511627197266
pr_0_85,11,connected_components,connectivity,false,39,100,0.0027360916137695312
pr_0_85,11,modularity,connectivity,false,40,107,0.006415128707885742
pr_0_85,11,connected_components,connectivity,true,42,82,0.0032379627227783203
pr_0_85,11,modularity,connectivity,true,43,89,0.005765199661254883
pr_0_85,12,connected_components,connectivity,false,40,100,0.003401041030883789
pr_0_85,12,modularity,connectivity,false,41,107,0.0061702728271484375
pr_0_85,12,connected_components,connectivity,true,46,96,0.002835988998413086
pr_0_85,12,modularity,connectivity,true,47,103,0.006577968597412109
pr_0_85,13,connected_components,connectivity,false,41,105,0.002605915069580078
pr_0_85,13,modularity,connectivity,false,42,112,0.006776094436645508
pr_0_85,13,connected_components,connectivity,true,48,111,0.0027399063110351562
pr_0_85,13,modularity,connectivity,true,49,117,0.005529880523681641
pr_0_85,14,connected_components,connectivity,false,43,113,0.0033020973205566406
pr_0_85,14,modularity,connectivity,false,45,123,0.006157875061035156
pr_0_85,14,connected_components,connectivity,true,48,108,0.003134012222290039
pr_0_85,14,modularity,connectivity,true,49,116,0.00723719596862793
pr_0_85,15,connected_components,connectivity,false,47,145,0.0029380321502685547
pr_0_85,15,modularity,connectivity,false,48,148,0.006490230560302734
pr_0_85,15,connected_components,connectivity,true,49,119,0.003329038619995117
pr_0_85,15,modularity,connectivity,true,49,119,0.006706953048706055
pr_0_85,16,connected_components,connectivity,false,46,143,0.002856016159057617
pr_0_85,16,modularity,connectivity,false,46,143,0.006626129150390625
pr_0_85,16,connected_components,connectivity,true,46,102,0.002978086471557617
pr_0_85,16,modularity,connectivity,true,47,109,0.0059969425201416016
pr_0_85,17,connected_components,connectivity,false,43,116,0.0040721893310546875
pr_0_85,17,modularity,connectivity,false,44,124,0.006148099899291992
pr_0_85,17,connected_components,connectivity,true,49,122,0.0028717517852783203
pr_0_85,17,modularity,connectivity,true,50,129,0.006165027618408203
pr_0_85,18,connected_components,connectivity,false,43,118,0.0027761459350585938
pr_0_85,18,modularity,connectivity,false,44,121,0.006679058074951172
pr_0_85,18,connected_components,connectivity,true,54,141,0.0033597946166992188
pr_0_85,18,modularity,connectivity,true,55,149,0.005933046340942383
pr_0_85,19,connected_components,connectivity,false,45,123,0.003158092498779297
pr_0_85,19,modularity,connectivity,false,47,133,0.0057299137115478516
pr_0_85,19,connected_components,connectivity,true,49,119,0.0030488967895507812
pr_0_85,19,modularity,connectivity,true,49,119,0.0060498714447021484
fv,2,connected_components,connectivity,false,2,1,0.0014081001281738281
fv,2,modularity,connectivity,false,8,15,0.011464118957519531
fv,2,connected_components,connectivity,true,2,1,0.0015480518341064453
fv,2,modularity,connectivity,true,8,15,0.012232303619384766
fv,3,connected_components,connectivity,false,5,5,0.0015501976013183594
fv,3,modularity,connectivity,false,9,12,0.01161813735961914
fv,3,connected_components,connectivity,true,9,8,0.0017609596252441406
fv,3,modularity,connectivity,true,14,21,0.010556936264038086
fv,4,connected_components,connectivity,false,6,7,0.001580953598022461
fv,4,modularity,connectivity,false,9,15,0.01241302490234375
fv,4,connected_components,connectivity,true,10,9,0.001641988754272461
fv,4,modularity,connectivity,true,18,33,0.00943303108215332
fv,5,connected_components,connectivity,false,8,9,0.0016100406646728516
fv,5,modularity,connectivity,false,12,18,0.010993003845214844
fv,5,connected_components,connectivity,true,13,15,0.001940011978149414
fv,5,modularity,connectivity,true,19,35,0.00952601432800293
fv,6,connected_components,connectivity,false,11,13,0.0020008087158203125
fv,6,modularity,connectivity,false,17,34,0.010834932327270508
fv,6,connected_components,connectivity,true,14,19,0.001786947250366211
fv,6,modularity,connectivity,true,20,41,0.010828971862792969
fv,7,connected_components,connectivity,false,11,13,0.0017228126525878906
fv,7,modularity,connectivity,false,16,28,0.012161970138549805
fv,7,connected_components,connectivity,true,19,28,0.0019719600677490234
fv,7,modularity,connectivity,true,25,56,0.009904861450195312
fv,8,connected_components,connectivity,false,14,19,0.0018148422241210938
fv,8,modularity,connectivity,false,18,30,0.009305953979492188
fv,8,connected_components,connectivity,true,21,34,0.0019359588623046875
fv,8,modularity,connectivity,true,26,48,0.009533882141113281
fv,9,connected_components,connectivity,false,16,21,0.0033278465270996094
fv,9,modularity,connectivity,false,19,31,0.010428190231323242
fv,9,connected_components,connectivity,true,21,34,0.0030977725982666016
fv,9,modularity,connectivity,true,27,56,0.008200883865356445
fv,10,connected_components,connectivity,false,16,21,0.002766847610473633
fv,10,modularity,connectivity,false,20,33,0.011536121368408203
fv,10,connected_components,connectivity,true,23,42,0.003086090087890625
fv,10,modularity,connectivity,true,29,60,0.008624076843261719
fv,11,connected_components,connectivity,false,15,19,0.001955270767211914
fv,11,modularity,connectivity,false,18,27,0.009897947311401367
fv,11,connected_components,connectivity,true,25,49,0.002288818359375
fv,11,modularity,connectivity,true,29,64,0.008459091186523438
fv,12,connected_components,connectivity,false,19,27,0.0020732879638671875
fv,12,modularity,connectivity,false,23,40,0.009473085403442383
fv,12,connected_components,connectivity,true,26,50,0.002268075942993164
fv,12,modularity,connectivity,true,29,59,0.009974002838134766
fv,13,connected_components,connectivity,false,18,23,0.0020439624786376953
fv,13,modularity,connectivity,false,22,39,0.009161949157714844
fv,13,connected_components,connectivity,true,28,55,0.0022690296173095703
fv,13,modularity,connectivity,true,31,64,0.0069959163665771484
fv,14,connected_components,connectivity,false,19,27,0.0024547576904296875
fv,14,modularity,connectivity,false,22,40,0.010995864868164062
fv,14,connected_components,connectivity,true,30,61,0.0024509429931640625
fv,14,modularity,connectivity,true,33,71,0.008256912231445312
fv,15,connected_components,connectivity,false,15,21,0.0021741390228271484
fv,15,modularity,connectivity,false,22,44,0.009127140045166016
fv,15,connected_components,connectivity,true,31,67,0.0027608871459960938
fv,15,modularity,connectivity,true,35,80,0.007928133010864258
fv,16,connected_components,connectivity,false,17,26,0.002089977264404297
fv,16,modularity,connectivity,false,22,43,0.008615970611572266
fv,16,connected_components,connectivity,true,35,75,0.0026781558990478516
fv,16,modularity,connectivity,true,37,86,0.006530046463012695
fv,17,connected_components,connectivity,false,22,32,0.003075122833251953
fv,17,modularity,connectivity,false,26,50,0.009428024291992188
fv,17,connected_components,connectivity,true,39,85,0.0035877227783203125
fv,17,modularity,connectivity,true,40,88,0.0061681270599365234
fv,18,connected_components,connectivity,false,22,31,0.0023097991943359375
fv,18,modularity,connectivity,false,27,49,0.00939488410949707
fv,18,connected_components,connectivity,true,40,91,0.0030241012573242188
fv,18,modularity,connectivity,true,40,91,0.008280038833618164
fv,19,connected_components,connectivity,false,23,33,0.002496004104614258
fv,19,modularity,connectivity,false,27,47,0.00923299789428711
fv,19,connected_components,connectivity,true,35,81,0.002732992172241211
fv,19,modularity,connectivity,true,35,81,0.00807499885559082
fv_norm,2,connected_components,connectivity,false,3,2,0.0015900135040283203
fv_norm,2,modularity,connectivity,false,8,14,0.012519359588623047
fv_norm,2,connected_components,connectivity,true,4,3,0.0017230510711669922
fv_norm,2,modularity,connectivity,true,9,13,0.010470151901245117
fv_norm,3,connected_components,connectivity,false,7,9,0.0016870498657226562
fv_norm,3,modularity,connectivity,false,10,14,0.013377666473388672
fv_norm,3,connected_components,connectivity,true,13,13,0.0021800994873046875
fv_norm,3,modularity,connectivity,true,20,41,0.009313106536865234
fv_norm,4,connected_components,connectivity,false,7,7,0.0018239021301269531
fv_norm,4,modularity,connectivity,false,11,16,0.010914087295532227
fv_norm,4,connected_components,connectivity,true,10,11,0.0019292831420898438
fv_norm,4,modularity,connectivity,true,17,32,0.0090179443359375
fv_norm,5,connected_components,connectivity,false,7,9,0.0023021697998046875
fv_norm,5,modularity,connectivity,false,12,22,0.01088094711303711
fv_norm,5,connected_components,connectivity,true,16,22,0.0023381710052490234
fv_norm,5,modularity,connectivity,true,21,40,0.007699012756347656
fv_norm,6,connected_components,connectivity,false,13,15,0.0019981861114501953
fv_norm,6,modularity,connectivity,false,19,36,0.010577201843261719
fv_norm,6,connected_components,connectivity,true,20,31,0.0019216537475585938
fv_norm,6,modularity,connectivity,true,26,55,0.007647991180419922
fv_norm,7,connected_components,connectivity,false,19,23,0.0022432804107666016
fv_norm,7,modularity,connectivity,false,23,35,0.008579015731811523
fv_norm,7,connected_components,connectivity,true,27,47,0.0021638870239257812
fv_norm,7,modularity,connectivity,true,32,66,0.008478879928588867
fv_norm,8,connected_components,connectivity,false,20,24,0.00310516357421875
fv_norm,8,modularity,connectivity,false,23,35,0.00875997543334961
fv_norm,8,connected_components,connectivity,true,22,35,0.0020148754119873047
fv_norm,8,modularity,connectivity,true,26,56,0.00748896598815918
fv_norm,9,connected_components,connectivity,false,20,24,0.0029478073120117188
fv_norm,9,modularity,connectivity,false,24,38,0.008487224578857422
fv_norm,9,connected_components,connectivity,true,29,58,0.0026471614837646484
fv_norm,9,modularity,connectivity,true,33,84,0.0077288150787353516
fv_norm,10,connected_components,connectivity,false,17,23,0.0019328594207763672
fv_norm,10,modularity,connectivity,false,23,45,0.009026050567626953
fv_norm,10,connected_components,connectivity,true,33,70,0.0023889541625976562
fv_norm,10,modularity,connectivity,true,35,89,0.007297992706298828
fv_norm,11,connected_components,connectivity,false,22,31,0.002646207809448242
fv_norm,11,modularity,connectivity,false,25,43,0.008695125579833984
fv_norm,11,connected_components,connectivity,true,33,72,0.002357959747314453
fv_norm,11,modularity,connectivity,true,35,85,0.008473873138427734
fv_norm,12,connected_components,connectivity,false,24,32,0.0021860599517822266
fv_norm,12,modularity,connectivity,false,28,48,0.006817817687988281
fv_norm,12,connected_components,connectivity,true,31,69,0.0031099319458007812
fv_norm,12,modularity,connectivity,true,33,86,0.008165836334228516
fv_norm,13,connected_components,connectivity,false,23,34,0.002177000045776367
fv_norm,13,modularity,connectivity,false,27,49,0.008951902389526367
fv_norm,13,connected_components,connectivity,true,36,79,0.0026369094848632812
fv_norm,13,modularity,connectivity,true,37,86,0.007353067398071289
fv_norm,14,connected_components,connectivity,false,29,43,0.002297639846801758
fv_norm,14,modularity,connectivity,false,32,59,0.006714820861816406
fv_norm,14,connected_components,connectivity,true,41,88,0.0026280879974365234
fv_norm,14,modularity,connectivity,true,42,95,0.009202957153320312
fv_norm,15,connected_components,connectivity,false,26,37,0.002250194549560547
fv_norm,15,modularity,connectivity,false,30,61,0.0069408416748046875
fv_norm,15,connected_components,connectivity,true,39,86,0.0026192665100097656
fv_norm,15,modularity,connectivity,true,40,93,0.006233930587768555
fv_norm,16,connected_components,connectivity,false,25,40,0.002437114715576172
fv_norm,16,modularity,connectivity,false,30,63,0.008352041244506836
fv_norm,16,connected_components,connectivity,true,40,93,0.0029129981994628906
fv_norm,16,modularity,connectivity,true,40,93,0.006184101104736328
fv_norm,17,connected_components,connectivity,false,25,42,0.0022869110107421875
fv_norm,17,modularity,connectivity,false,29,65,0.007245063781738281
fv_norm,17,connected_components,connectivity,true,41,93,0.011426210403442383
fv_norm,17,modularity,connectivity,true,42,100,0.006186008453369141
fv_norm,18,connected_components,connectivity,false,27,46,0.0024487972259521484
fv_norm,18,modularity,connectivity,false,28,51,0.007373809814453125
