record #,subjectId,age,gender,vision,vis,secondsOnPage,userSelection,img1,img2,img3,img4,baseline
1228,1,35,M,N,1,,,,,,,
1232,1,,,,,11.535,Option 2,user_usair97_fv_6_async_label_prop.png,user_usair97_den_0_5_6_async_label_prop.png,"user_connected_caveman_graph(15,30)_agd_6_async_label_prop.png","user_barbell_graph(50,20)_pr_0_85_6_async_label_prop.png",user_usair97.png
1234,1,,,,,4.07,Option 4,user_bcsstk_agd_20_connected_components.png,"user_ring_of_cliques(6,70)_den_0_5_20_connected_components.png",user_bio-diseasome_fv_20_connected_components.png,"user_ring_of_cliques(6,70)_agd_20_connected_components.png","user_ring_of_cliques(6,70).png"
1236,1,,,,,3.121,Option 3,user_caltech_den_0_5_30_modularity.png,user_circular_ladder_graph(100)_ecc_30_modularity.png,"user_barbell_graph(50,20)_agd_30_modularity.png",user_circular_ladder_graph(100)_agd_30_modularity.png,user_circular_ladder_graph(100).png
1238,1,,,,,1.907,Option 2,user_hic_5k_net_6_fv_20_connected_components.png,user_hic_5k_net_6_den_0_5_20_connected_components.png,user_dorogovtsev_goltsev_mendes_graph(5)_pr_0_85_20_connected_components.png,user_caltech_ecc_20_connected_components.png,user_hic_5k_net_6.png
1240,1,,,,,3.181,Option 3,user_bio-celegans_agd_30_async_label_prop.png,user_caltech_den_0_5_30_async_label_prop.png,user_bio-diseasome_ecc_30_async_label_prop.png,user_bio-diseasome_pr_0_85_30_async_label_prop.png,user_bio-diseasome.png
1242,1,,,,,2.965,Option 4,user_bio-celegans_den_0_5_10_connected_components.png,user_bcsstk20_ecc_10_connected_components.png,user_bio-celegans_fv_10_connected_components.png,user_map_of_science_den_0_5_10_connected_components.png,user_bio-celegans.png
1244,1,,,,,2.861,Option 2,"user_ring_of_cliques(6,70)_den_0_5_6_async_label_prop.png","user_ring_of_cliques(6,70)_fv_6_async_label_prop.png","user_barbell_graph(50,20)_pr_0_85_6_async_label_prop.png",user_bn-mouse-visual-cortex-2_fv_6_async_label_prop.png,"user_ring_of_cliques(6,70).png"
1246,1,,,,,2.863,Option 3,user_circular_ladder_graph(100)_pr_0_85_30_connected_components.png,"user_watts_strogatz_graph(100,5,0.05)_pr_0_85_30_connected_components.png",user_bcsstk22_pr_0_85_30_connected_components.png,user_bcsstk22_den_0_5_30_connected_components.png,user_bcsstk22.png
1248,1,,,,,2.037,Option 4,user_hic_5k_net_6_fv_30_connected_components.png,"user_connected_caveman_graph(15,30)_den_0_5_30_connected_components.png",user_enron-email_fv_30_connected_components.png,user_hic_5k_net_6_agd_30_connected_components.png,user_hic_5k_net_6.png
1250,1,,,,,3.2,Option 3,"user_barbell_graph(50,20)_fv_20_async_label_prop.png",user_dorogovtsev_goltsev_mendes_graph(5)_den_0_5_20_async_label_prop.png,"user_barbell_graph(50,20)_pr_0_85_20_async_label_prop.png",user_enron-email_agd_20_async_label_prop.png,"user_barbell_graph(50,20).png"
1252,1,,,,,2.627,Option 3,user_circular_ladder_graph(100)_agd_10_modularity.png,user_bcsstk20_fv_10_modularity.png,"user_watts_strogatz_graph(100,5,0.05)_agd_10_modularity.png","user_watts_strogatz_graph(100,5,0.05)_fv_10_modularity.png","user_watts_strogatz_graph(100,5,0.05).png"
1254,1,,,,,2.93,Option 2,user_map_of_science_agd_20_connected_components.png,user_movies_pr_0_85_20_connected_components.png,user_hic_5k_net_6_ecc_20_connected_components.png,user_movies_ecc_20_connected_components.png,user_movies.png
1256,1,,,,,5.028,Option 3,user_bn-mouse-visual-cortex-2_fv_6_connected_components.png,user_bn-mouse-visual-cortex-2_ecc_6_connected_components.png,user_map_of_science_den_0_5_6_connected_components.png,"user_ring_of_cliques(6,70)_fv_6_connected_components.png",user_bn-mouse-visual-cortex-2.png
