filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,7,6,0.002733945846557617
agd,2,modularity,connectivity,false,15,47,0.015563011169433594
agd,2,connected_components,connectivity,true,14,13,0.0018079280853271484
agd,2,modularity,connectivity,true,20,51,0.008933782577514648
agd,3,connected_components,connectivity,false,11,14,0.0016489028930664062
agd,3,modularity,connectivity,false,17,42,0.011649847030639648
agd,3,connected_components,connectivity,true,34,56,0.0022840499877929688
agd,3,modularity,connectivity,true,39,95,0.008611202239990234
agd,4,connected_components,connectivity,false,17,22,0.0017018318176269531
agd,4,modularity,connectivity,false,24,66,0.010069131851196289
agd,4,connected_components,connectivity,true,46,85,0.00296783447265625
agd,4,modularity,connectivity,true,52,112,0.009002923965454102
agd,5,connected_components,connectivity,false,31,44,0.002351999282836914
agd,5,modularity,connectivity,false,36,96,0.008527994155883789
agd,5,connected_components,connectivity,true,55,109,0.002783060073852539
agd,5,modularity,connectivity,true,60,128,0.007226705551147461
agd,6,connected_components,connectivity,false,22,35,0.0021021366119384766
agd,6,modularity,connectivity,false,34,94,0.008887767791748047
agd,6,connected_components,connectivity,true,67,134,0.0031828880310058594
agd,6,modularity,connectivity,true,70,140,0.0065460205078125
agd,7,connected_components,connectivity,false,20,31,0.0031900405883789062
agd,7,modularity,connectivity,false,32,86,0.009852886199951172
agd,7,connected_components,connectivity,true,65,128,0.003256082534790039
agd,7,modularity,connectivity,true,69,139,0.007092952728271484
agd,8,connected_components,connectivity,false,20,29,0.0019998550415039062
agd,8,modularity,connectivity,false,32,86,0.010436058044433594
agd,8,connected_components,connectivity,true,66,131,0.0034291744232177734
agd,8,modularity,connectivity,true,70,141,0.0074160099029541016
agd,9,connected_components,connectivity,false,50,103,0.002823352813720703
agd,9,modularity,connectivity,false,55,114,0.008606910705566406
agd,9,connected_components,connectivity,true,70,140,0.0043413639068603516
agd,9,modularity,connectivity,true,72,144,0.006352901458740234
agd,10,connected_components,connectivity,false,55,124,0.0031599998474121094
agd,10,modularity,connectivity,false,58,130,0.007796049118041992
agd,10,connected_components,connectivity,true,70,135,0.003309965133666992
agd,10,modularity,connectivity,true,72,142,0.007351875305175781
agd,11,connected_components,connectivity,false,56,117,0.003350973129272461
agd,11,modularity,connectivity,false,60,131,0.009449243545532227
agd,11,connected_components,connectivity,true,71,137,0.0038170814514160156
agd,11,modularity,connectivity,true,73,143,0.008078813552856445
agd,12,connected_components,connectivity,false,55,114,0.003962993621826172
agd,12,modularity,connectivity,false,60,132,0.007513999938964844
agd,12,connected_components,connectivity,true,75,145,0.0036897659301757812
agd,12,modularity,connectivity,true,77,149,0.006558895111083984
agd,13,connected_components,connectivity,false,63,126,0.006150960922241211
agd,13,modularity,connectivity,false,67,134,0.00767207145690918
agd,13,connected_components,connectivity,true,74,139,0.004502058029174805
agd,13,modularity,connectivity,true,76,146,0.006382942199707031
agd,14,connected_components,connectivity,false,65,130,0.0036432743072509766
agd,14,modularity,connectivity,false,68,139,0.007928848266601562
agd,14,connected_components,connectivity,true,72,138,0.003946065902709961
agd,14,modularity,connectivity,true,74,144,0.0064220428466796875
agd,15,connected_components,connectivity,false,62,132,0.0034492015838623047
agd,15,modularity,connectivity,false,62,132,0.007521867752075195
agd,15,connected_components,connectivity,true,77,147,0.0038139820098876953
agd,15,modularity,connectivity,true,77,147,0.013273239135742188
agd,16,connected_components,connectivity,false,61,124,0.0034720897674560547
agd,16,modularity,connectivity,false,62,131,0.008027076721191406
agd,16,connected_components,connectivity,true,78,146,0.003772258758544922
