filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.002620220184326172
agd,2,modularity,connectivity,false,10,33,0.01663517951965332
agd,2,connected_components,connectivity,true,3,2,0.0017309188842773438
agd,2,modularity,connectivity,true,13,45,0.01415395736694336
agd,3,connected_components,connectivity,false,5,6,0.001772165298461914
agd,3,modularity,connectivity,false,13,45,0.01731705665588379
agd,3,connected_components,connectivity,true,19,35,0.0026509761810302734
agd,3,modularity,connectivity,true,29,85,0.011684179306030273
agd,4,connected_components,connectivity,false,9,14,0.0030219554901123047
agd,4,modularity,connectivity,false,15,41,0.017241954803466797
agd,4,connected_components,connectivity,true,32,72,0.0033881664276123047
agd,4,modularity,connectivity,true,41,103,0.015011787414550781
agd,5,connected_components,connectivity,false,12,19,0.002763032913208008
agd,5,modularity,connectivity,false,20,58,0.015443086624145508
agd,5,connected_components,connectivity,true,41,89,0.0029561519622802734
agd,5,modularity,connectivity,true,48,115,0.01202702522277832
agd,6,connected_components,connectivity,false,15,23,0.0026149749755859375
agd,6,modularity,connectivity,false,22,61,0.011435985565185547
agd,6,connected_components,connectivity,true,48,102,0.005070924758911133
agd,6,modularity,connectivity,true,55,120,0.014509916305541992
agd,7,connected_components,connectivity,false,25,42,0.003264188766479492
agd,7,modularity,connectivity,false,35,89,0.012559175491333008
agd,7,connected_components,connectivity,true,55,115,0.0032689571380615234
agd,7,modularity,connectivity,true,58,124,0.014152050018310547
agd,8,connected_components,connectivity,false,22,39,0.0040700435638427734
agd,8,modularity,connectivity,false,31,80,0.013671875
agd,8,connected_components,connectivity,true,57,120,0.003854990005493164
agd,8,modularity,connectivity,true,61,130,0.010455131530761719
agd,9,connected_components,connectivity,false,24,43,0.0035037994384765625
agd,9,modularity,connectivity,false,33,86,0.013653039932250977
agd,9,connected_components,connectivity,true,67,133,0.003715038299560547
agd,9,modularity,connectivity,true,71,141,0.009772062301635742
agd,10,connected_components,connectivity,false,31,70,0.0025992393493652344
agd,10,modularity,connectivity,false,37,97,0.010904073715209961
agd,10,connected_components,connectivity,true,66,134,0.004878044128417969
agd,10,modularity,connectivity,true,70,140,0.011803150177001953
agd,11,connected_components,connectivity,false,39,90,0.0034308433532714844
agd,11,modularity,connectivity,false,44,108,0.01175999641418457
agd,11,connected_components,connectivity,true,69,137,0.0074481964111328125
agd,11,modularity,connectivity,true,73,143,0.01122283935546875
agd,12,connected_components,connectivity,false,33,64,0.005063772201538086
agd,12,modularity,connectivity,false,38,91,0.014001846313476562
agd,12,connected_components,connectivity,true,70,141,0.005630016326904297
agd,12,modularity,connectivity,true,73,145,0.01117086410522461
agd,13,connected_components,connectivity,false,43,86,0.003074169158935547
agd,13,modularity,connectivity,false,49,106,0.010519981384277344
agd,13,connected_components,connectivity,true,74,146,0.004565000534057617
agd,13,modularity,connectivity,true,77,150,0.010365962982177734
agd,14,connected_components,connectivity,false,51,104,0.0034208297729492188
agd,14,modularity,connectivity,false,55,119,0.012651920318603516
agd,14,connected_components,connectivity,true,75,147,0.005998134613037109
agd,14,modularity,connectivity,true,78,151,0.009226083755493164
agd,15,connected_components,connectivity,false,45,96,0.003348112106323242
agd,15,modularity,connectivity,false,50,112,0.010338068008422852
agd,15,connected_components,connectivity,true,77,149,0.004022836685180664
agd,15,modularity,connectivity,true,80,153,0.009842395782470703
agd,16,connected_components,connectivity,false,50,112,0.0033562183380126953
agd,16,modularity,connectivity,false,53,125,0.008406639099121094
agd,16,connected_components,connectivity,true,78,150,0.004208087921142578
agd,16,modularity,connectivity,true,81,154,0.007339000701904297
agd,17,connected_components,connectivity,false,59,126,0.003824949264526367
agd,17,modularity,connectivity,false,61,130,0.009673833847045898
agd,17,connected_components,connectivity,true,79,151,0.0036191940307617188
agd,17,modularity,connectivity,true,82,155,0.006532907485961914
agd,18,connected_components,connectivity,false,55,118,0.0041539669036865234
agd,18,modularity,connectivity,false,59,127,0.008043766021728516
agd,18,connected_components,connectivity,true,79,152,0.004438161849975586
agd,18,modularity,connectivity,true,80,153,0.010708808898925781
agd,19,connected_components,connectivity,false,64,134,0.00397181510925293
agd,19,modularity,connectivity,false,66,138,0.007842063903808594
agd,19,connected_components,connectivity,true,78,151,0.004348039627075195
agd,19,modularity,connectivity,true,79,152,0.008707046508789062
ecc,2,connected_components,connectivity,false,2,1,0.002460956573486328
ecc,2,modularity,connectivity,false,19,119,0.02809906005859375
ecc,2,connected_components,connectivity,true,2,1,0.0014979839324951172
ecc,2,modularity,connectivity,true,17,70,0.010658025741577148
ecc,3,connected_components,connectivity,false,7,6,0.0015091896057128906
ecc,3,modularity,connectivity,false,14,45,0.013520240783691406
ecc,3,connected_components,connectivity,true,5,6,0.001687765121459961
ecc,3,modularity,connectivity,true,19,76,0.01253199577331543
ecc,4,connected_components,connectivity,false,8,13,0.002783060073852539
ecc,4,modularity,connectivity,false,22,140,0.022964954376220703
ecc,4,connected_components,connectivity,true,6,10,0.0015978813171386719
ecc,4,modularity,connectivity,true,21,78,0.009839057922363281
ecc,5,connected_components,connectivity,false,7,6,0.001567840576171875
ecc,5,modularity,connectivity,false,14,45,0.01085805892944336
ecc,5,connected_components,connectivity,true,7,15,0.0017080307006835938
ecc,5,modularity,connectivity,true,26,91,0.011731863021850586
ecc,6,connected_components,connectivity,false,8,13,0.002702951431274414
ecc,6,modularity,connectivity,false,22,140,0.022809743881225586
ecc,6,connected_components,connectivity,true,10,24,0.0018279552459716797
ecc,6,modularity,connectivity,true,30,96,0.012112140655517578
ecc,7,connected_components,connectivity,false,7,6,0.0020918846130371094
ecc,7,modularity,connectivity,false,14,45,0.012083768844604492
ecc,7,connected_components,connectivity,true,15,43,0.0022399425506591797
ecc,7,modularity,connectivity,true,31,99,0.009709835052490234
ecc,8,connected_components,connectivity,false,8,13,0.0050411224365234375
ecc,8,modularity,connectivity,false,22,140,0.024971961975097656
ecc,8,connected_components,connectivity,true,15,45,0.0020558834075927734
ecc,8,modularity,connectivity,true,33,101,0.01081395149230957
ecc,9,connected_components,connectivity,false,7,6,0.0018041133880615234
ecc,9,modularity,connectivity,false,14,45,0.011782169342041016
ecc,9,connected_components,connectivity,true,18,55,0.0024139881134033203
ecc,9,modularity,connectivity,true,33,103,0.009643077850341797
ecc,10,connected_components,connectivity,false,8,13,0.003106832504272461
ecc,10,modularity,connectivity,false,22,140,0.02686905860900879
