filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,12,11,0.002093791961669922
agd,2,modularity,connectivity,false,20,49,0.02737569808959961
agd,2,connected_components,connectivity,true,10,9,0.002655029296875
agd,2,modularity,connectivity,true,20,56,0.021535873413085938
agd,3,connected_components,connectivity,false,17,21,0.002747774124145508
agd,3,modularity,connectivity,false,27,64,0.014227151870727539
agd,3,connected_components,connectivity,true,24,42,0.0030488967895507812
agd,3,modularity,connectivity,true,32,79,0.012818098068237305
agd,4,connected_components,connectivity,false,28,49,0.0031728744506835938
agd,4,modularity,connectivity,false,36,85,0.012438058853149414
agd,4,connected_components,connectivity,true,38,76,0.0037910938262939453
agd,4,modularity,connectivity,true,43,102,0.011750936508178711
agd,5,connected_components,connectivity,false,32,66,0.0034999847412109375
agd,5,modularity,connectivity,false,39,97,0.012053966522216797
agd,5,connected_components,connectivity,true,46,91,0.003946065902709961
agd,5,modularity,connectivity,true,52,116,0.01130223274230957
agd,6,connected_components,connectivity,false,44,89,0.004082918167114258
agd,6,modularity,connectivity,false,51,112,0.012191057205200195
agd,6,connected_components,connectivity,true,60,124,0.00472712516784668
agd,6,modularity,connectivity,true,63,134,0.010765790939331055
agd,7,connected_components,connectivity,false,53,114,0.0043981075286865234
agd,7,modularity,connectivity,false,57,125,0.011358976364135742
agd,7,connected_components,connectivity,true,64,135,0.0047149658203125
agd,7,modularity,connectivity,true,66,142,0.011259078979492188
agd,8,connected_components,connectivity,false,61,133,0.004908084869384766
agd,8,modularity,connectivity,false,65,140,0.011198997497558594
agd,8,connected_components,connectivity,true,70,148,0.004982948303222656
agd,8,modularity,connectivity,true,73,153,0.011234045028686523
agd,9,connected_components,connectivity,false,60,128,0.004757881164550781
agd,9,modularity,connectivity,false,65,137,0.011022090911865234
agd,9,connected_components,connectivity,true,80,179,0.005604743957519531
agd,9,modularity,connectivity,true,82,183,0.011818647384643555
agd,10,connected_components,connectivity,false,66,141,0.004594087600708008
agd,10,modularity,connectivity,false,69,145,0.0108642578125
agd,10,connected_components,connectivity,true,75,160,0.005362272262573242
agd,10,modularity,connectivity,true,78,163,0.012579917907714844
agd,11,connected_components,connectivity,false,73,152,0.005240917205810547
agd,11,modularity,connectivity,false,75,156,0.010854959487915039
agd,11,connected_components,connectivity,true,80,183,0.005697727203369141
agd,11,modularity,connectivity,true,85,190,0.01190495491027832
agd,12,connected_components,connectivity,false,76,161,0.00539398193359375
agd,12,modularity,connectivity,false,77,162,0.011383056640625
agd,12,connected_components,connectivity,true,83,176,0.005610942840576172
agd,12,modularity,connectivity,true,85,179,0.011126995086669922
agd,13,connected_components,connectivity,false,80,165,0.005543231964111328
agd,13,modularity,connectivity,false,81,167,0.011024951934814453
agd,13,connected_components,connectivity,true,80,168,0.005585908889770508
agd,13,modularity,connectivity,true,82,171,0.010853052139282227
agd,14,connected_components,connectivity,false,79,165,0.005917072296142578
agd,14,modularity,connectivity,false,80,166,0.018107891082763672
agd,14,connected_components,connectivity,true,86,179,0.005997896194458008
agd,14,modularity,connectivity,true,88,182,0.008513927459716797
agd,15,connected_components,connectivity,false,85,173,0.0059850215911865234
agd,15,modularity,connectivity,false,85,173,0.010482072830200195
agd,15,connected_components,connectivity,true,82,175,0.005774974822998047
agd,15,modularity,connectivity,true,84,178,0.010344982147216797
agd,16,connected_components,connectivity,false,79,168,0.0056798458099365234
agd,16,modularity,connectivity,false,80,169,0.01086115837097168
agd,16,connected_components,connectivity,true,81,174,0.005745887756347656
agd,16,modularity,connectivity,true,83,177,0.010241985321044922
agd,17,connected_components,connectivity,false,82,172,0.005774259567260742
agd,17,modularity,connectivity,false,83,174,0.011192798614501953
agd,17,connected_components,connectivity,true,80,164,0.005741119384765625
agd,17,modularity,connectivity,true,81,166,0.010982275009155273
agd,18,connected_components,connectivity,false,81,166,0.005727052688598633
agd,18,modularity,connectivity,false,81,166,0.013314962387084961
