filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.0011200904846191406
agd,2,modularity,connectivity,false,4,4,0.003507852554321289
agd,2,connected_components,connectivity,true,11,10,0.002421855926513672
agd,2,modularity,connectivity,true,12,21,0.004072904586791992
agd,3,connected_components,connectivity,false,12,21,0.0012950897216796875
agd,3,modularity,connectivity,false,13,31,0.002557992935180664
agd,3,connected_components,connectivity,true,9,14,0.0009791851043701172
agd,3,modularity,connectivity,true,10,17,0.003158092498779297
agd,4,connected_components,connectivity,false,10,22,0.0009479522705078125
agd,4,modularity,connectivity,false,11,26,0.002359151840209961
agd,4,connected_components,connectivity,true,12,21,0.0011188983917236328
agd,4,modularity,connectivity,true,13,29,0.002931833267211914
agd,5,connected_components,connectivity,false,13,31,0.0015709400177001953
agd,5,modularity,connectivity,false,14,39,0.0020380020141601562
agd,5,connected_components,connectivity,true,12,28,0.0013208389282226562
agd,5,modularity,connectivity,true,12,28,0.002900838851928711
agd,6,connected_components,connectivity,false,15,45,0.0015997886657714844
agd,6,modularity,connectivity,false,15,45,0.0024099349975585938
agd,6,connected_components,connectivity,true,14,35,0.0012772083282470703
agd,6,modularity,connectivity,true,14,35,0.002254009246826172
agd,7,connected_components,connectivity,false,16,62,0.001302957534790039
agd,7,modularity,connectivity,false,17,71,0.0030710697174072266
agd,7,connected_components,connectivity,true,14,37,0.0013172626495361328
agd,7,modularity,connectivity,true,14,37,0.0020318031311035156
agd,8,connected_components,connectivity,false,16,59,0.0012688636779785156
agd,8,modularity,connectivity,false,16,59,0.002173185348510742
agd,8,connected_components,connectivity,true,15,45,0.0016379356384277344
agd,8,modularity,connectivity,true,15,45,0.0026459693908691406
agd,9,connected_components,connectivity,false,17,65,0.001293182373046875
agd,9,modularity,connectivity,false,17,65,0.0018029212951660156
agd,9,connected_components,connectivity,true,15,45,0.0014579296112060547
agd,9,modularity,connectivity,true,15,45,0.0021800994873046875
agd,10,connected_components,connectivity,false,17,71,0.0016009807586669922
agd,10,modularity,connectivity,false,17,71,0.0022749900817871094
agd,10,connected_components,connectivity,true,16,60,0.0015327930450439453
agd,10,modularity,connectivity,true,16,60,0.002063274383544922
agd,11,connected_components,connectivity,false,17,64,0.0013031959533691406
agd,11,modularity,connectivity,false,17,64,0.0023801326751708984
agd,11,connected_components,connectivity,true,16,59,0.0018413066864013672
agd,11,modularity,connectivity,true,16,59,0.002222776412963867
agd,12,connected_components,connectivity,false,17,71,0.0013928413391113281
agd,12,modularity,connectivity,false,17,71,0.00215911865234375
agd,12,connected_components,connectivity,true,17,64,0.002245187759399414
agd,12,modularity,connectivity,true,17,64,0.0023050308227539062
agd,13,connected_components,connectivity,false,18,76,0.0016169548034667969
agd,13,modularity,connectivity,false,18,76,0.0018901824951171875
agd,13,connected_components,connectivity,true,17,67,0.0014600753784179688
agd,13,modularity,connectivity,true,17,67,0.0023381710052490234
agd,14,connected_components,connectivity,false,22,117,0.0019822120666503906
agd,14,modularity,connectivity,false,22,117,0.0029969215393066406
agd,14,connected_components,connectivity,true,17,67,0.0014629364013671875
agd,14,modularity,connectivity,true,17,67,0.0022759437561035156
agd,15,connected_components,connectivity,false,18,76,0.0017237663269042969
agd,15,modularity,connectivity,false,18,76,0.0020112991333007812
agd,15,connected_components,connectivity,true,18,76,0.0015380382537841797
agd,15,modularity,connectivity,true,18,76,0.0020232200622558594
agd,16,connected_components,connectivity,false,19,86,0.0025453567504882812
agd,16,modularity,connectivity,false,19,86,0.0022079944610595703
agd,16,connected_components,connectivity,true,18,76,0.0016150474548339844
agd,16,modularity,connectivity,true,18,76,0.002074003219604492
agd,17,connected_components,connectivity,false,18,76,0.0015349388122558594
agd,17,modularity,connectivity,false,18,76,0.001909017562866211
agd,17,connected_components,connectivity,true,19,83,0.0019910335540771484
agd,17,modularity,connectivity,true,19,83,0.0018460750579833984
agd,18,connected_components,connectivity,false,19,86,0.001961946487426758
agd,18,modularity,connectivity,false,19,86,0.003286123275756836
agd,18,connected_components,connectivity,true,19,83,0.0019381046295166016
agd,18,modularity,connectivity,true,19,83,0.0018928050994873047
agd,19,connected_components,connectivity,false,18,76,0.0016207695007324219
agd,19,modularity,connectivity,false,18,76,0.0022280216217041016
agd,19,connected_components,connectivity,true,28,189,0.0030279159545898438
agd,19,modularity,connectivity,true,28,189,0.004401206970214844
ecc,2,connected_components,connectivity,false,2,1,0.0011603832244873047
ecc,2,modularity,connectivity,false,4,6,0.01081085205078125
ecc,2,connected_components,connectivity,true,11,10,0.0009410381317138672
ecc,2,modularity,connectivity,true,12,21,0.002942800521850586
ecc,3,connected_components,connectivity,false,3,3,0.0020432472229003906
ecc,3,modularity,connectivity,false,6,15,0.014531135559082031
ecc,3,connected_components,connectivity,true,9,15,0.0011000633239746094
ecc,3,modularity,connectivity,true,10,23,0.002646923065185547
ecc,4,connected_components,connectivity,false,4,6,0.0024690628051757812
ecc,4,modularity,connectivity,false,8,28,0.019397974014282227
ecc,4,connected_components,connectivity,true,12,21,0.0011489391326904297
ecc,4,modularity,connectivity,true,13,29,0.002544879913330078
ecc,5,connected_components,connectivity,false,5,10,0.0033800601959228516
ecc,5,modularity,connectivity,false,10,45,0.023539066314697266
ecc,5,connected_components,connectivity,true,11,26,0.0013089179992675781
ecc,5,modularity,connectivity,true,12,33,0.0025701522827148438
ecc,6,connected_components,connectivity,false,6,15,0.00417780876159668
ecc,6,modularity,connectivity,false,12,66,0.02988123893737793
ecc,6,connected_components,connectivity,true,13,31,0.001065969467163086
ecc,6,modularity,connectivity,true,14,39,0.0020270347595214844
ecc,7,connected_components,connectivity,false,7,21,0.0063800811767578125
ecc,7,modularity,connectivity,false,14,91,0.034542083740234375
ecc,7,connected_components,connectivity,true,14,46,0.001168966293334961
ecc,7,modularity,connectivity,true,14,46,0.0021491050720214844
ecc,8,connected_components,connectivity,false,8,28,0.007935047149658203
ecc,8,modularity,connectivity,false,16,120,0.039865970611572266
ecc,8,connected_components,connectivity,true,15,46,0.0017337799072265625
ecc,8,modularity,connectivity,true,15,46,0.0027179718017578125
ecc,9,connected_components,connectivity,false,9,36,0.007637977600097656
ecc,9,modularity,connectivity,false,18,153,0.04634594917297363
ecc,9,connected_components,connectivity,true,15,57,0.0012888908386230469
ecc,9,modularity,connectivity,true,15,57,0.0025348663330078125
ecc,10,connected_components,connectivity,false,10,45,0.00889897346496582
ecc,10,modularity,connectivity,false,20,190,0.0536801815032959
ecc,10,connected_components,connectivity,true,16,60,0.0015676021575927734
ecc,10,modularity,connectivity,true,16,60,0.002172231674194336
ecc,11,connected_components,connectivity,false,11,55,0.011208772659301758
ecc,11,modularity,connectivity,false,22,231,0.06064891815185547
ecc,11,connected_components,connectivity,true,16,68,0.0014410018920898438
ecc,11,modularity,connectivity,true,16,68,0.0021996498107910156
ecc,12,connected_components,connectivity,false,12,66,0.011532783508300781
ecc,12,modularity,connectivity,false,24,276,0.062261104583740234
ecc,12,connected_components,connectivity,true,17,67,0.0014810562133789062
ecc,12,modularity,connectivity,true,17,67,0.0019860267639160156
ecc,13,connected_components,connectivity,false,13,78,0.014758825302124023
ecc,13,modularity,connectivity,false,26,325,0.06937098503112793
ecc,13,connected_components,connectivity,true,17,76,0.0015571117401123047
ecc,13,modularity,connectivity,true,17,76,0.0021839141845703125
ecc,14,connected_components,connectivity,false,14,91,0.015496969223022461
ecc,14,modularity,connectivity,false,28,378,0.07601404190063477
ecc,14,connected_components,connectivity,true,18,76,0.002019166946411133
ecc,14,modularity,connectivity,true,18,76,0.002459287643432617
ecc,15,connected_components,connectivity,false,15,105,0.017150163650512695
ecc,15,modularity,connectivity,false,30,435,0.08142995834350586
ecc,15,connected_components,connectivity,true,18,88,0.001589059829711914
ecc,15,modularity,connectivity,true,18,88,0.0021157264709472656
ecc,16,connected_components,connectivity,false,16,120,0.019412994384765625
ecc,16,modularity,connectivity,false,32,496,0.08478784561157227
ecc,16,connected_components,connectivity,true,19,89,0.0016131401062011719
ecc,16,modularity,connectivity,true,19,89,0.0017862319946289062
ecc,17,connected_components,connectivity,false,17,136,0.022674083709716797
ecc,17,modularity,connectivity,false,34,561,0.09124112129211426
ecc,17,connected_components,connectivity,true,19,96,0.0016918182373046875
ecc,17,modularity,connectivity,true,19,96,0.002257108688354492
ecc,18,connected_components,connectivity,false,18,153,0.022570133209228516
ecc,18,modularity,connectivity,false,36,630,0.09859681129455566
ecc,18,connected_components,connectivity,true,20,100,0.0017931461334228516
ecc,18,modularity,connectivity,true,20,100,0.0017650127410888672
ecc,19,connected_components,connectivity,false,19,171,0.024441003799438477
ecc,19,modularity,connectivity,false,38,703,0.10377025604248047
ecc,19,connected_components,connectivity,true,29,201,0.002646923065185547
ecc,19,modularity,connectivity,true,29,201,0.004336118698120117
pr_0_85,2,connected_components,connectivity,false,3,2,0.000682830810546875
pr_0_85,2,modularity,connectivity,false,4,4,0.0028641223907470703
pr_0_85,2,connected_components,connectivity,true,11,10,0.0008640289306640625
pr_0_85,2,modularity,connectivity,true,12,21,0.0032749176025390625
pr_0_85,3,connected_components,connectivity,false,12,21,0.0014150142669677734
pr_0_85,3,modularity,connectivity,false,13,31,0.002290010452270508
pr_0_85,3,connected_components,connectivity,true,9,14,0.000827789306640625
pr_0_85,3,modularity,connectivity,true,10,17,0.002988100051879883
pr_0_85,4,connected_components,connectivity,false,10,22,0.0012679100036621094
pr_0_85,4,modularity,connectivity,false,11,26,0.0026807785034179688
pr_0_85,4,connected_components,connectivity,true,12,21,0.0010528564453125
pr_0_85,4,modularity,connectivity,true,13,29,0.0030171871185302734
pr_0_85,5,connected_components,connectivity,false,13,31,0.0011472702026367188
pr_0_85,5,modularity,connectivity,false,14,39,0.0022382736206054688
pr_0_85,5,connected_components,connectivity,true,12,28,0.001007080078125
pr_0_85,5,modularity,connectivity,true,12,28,0.002476930618286133
pr_0_85,6,connected_components,connectivity,false,15,45,0.0012378692626953125
pr_0_85,6,modularity,connectivity,false,15,45,0.0023679733276367188
pr_0_85,6,connected_components,connectivity,true,14,35,0.001112222671508789
pr_0_85,6,modularity,connectivity,true,14,35,0.0027658939361572266
pr_0_85,7,connected_components,connectivity,false,15,51,0.0013318061828613281
pr_0_85,7,modularity,connectivity,false,15,51,0.0021708011627197266
pr_0_85,7,connected_components,connectivity,true,14,39,0.00115203857421875
pr_0_85,7,modularity,connectivity,true,14,39,0.002189159393310547
pr_0_85,8,connected_components,connectivity,false,16,58,0.0013630390167236328
pr_0_85,8,modularity,connectivity,false,16,58,0.002492189407348633
pr_0_85,8,connected_components,connectivity,true,15,45,0.00119781494140625
pr_0_85,8,modularity,connectivity,true,15,45,0.0027608871459960938
pr_0_85,9,connected_components,connectivity,false,17,69,0.0014219284057617188
pr_0_85,9,modularity,connectivity,false,17,69,0.0019588470458984375
pr_0_85,9,connected_components,connectivity,true,16,52,0.0020160675048828125
pr_0_85,9,modularity,connectivity,true,16,52,0.0026450157165527344
pr_0_85,10,connected_components,connectivity,false,16,57,0.0016047954559326172
pr_0_85,10,modularity,connectivity,false,16,57,0.00208282470703125
pr_0_85,10,connected_components,connectivity,true,16,60,0.0012958049774169922
pr_0_85,10,modularity,connectivity,true,16,60,0.0027799606323242188
pr_0_85,11,connected_components,connectivity,false,17,65,0.0015087127685546875
pr_0_85,11,modularity,connectivity,false,17,65,0.0021660327911376953
pr_0_85,11,connected_components,connectivity,true,17,67,0.0014171600341796875
pr_0_85,11,modularity,connectivity,true,17,67,0.002343893051147461
pr_0_85,12,connected_components,connectivity,false,17,69,0.0017731189727783203
pr_0_85,12,modularity,connectivity,false,17,69,0.0020673274993896484
pr_0_85,12,connected_components,connectivity,true,17,64,0.0014688968658447266
pr_0_85,12,modularity,connectivity,true,17,64,0.002160310745239258
pr_0_85,13,connected_components,connectivity,false,18,76,0.0015399456024169922
pr_0_85,13,modularity,connectivity,false,18,76,0.0022041797637939453
pr_0_85,13,connected_components,connectivity,true,17,67,0.0014531612396240234
pr_0_85,13,modularity,connectivity,true,17,67,0.0026540756225585938
pr_0_85,14,connected_components,connectivity,false,18,76,0.001542806625366211
pr_0_85,14,modularity,connectivity,false,18,76,0.0019099712371826172
pr_0_85,14,connected_components,connectivity,true,18,74,0.00152587890625
pr_0_85,14,modularity,connectivity,true,18,74,0.0025892257690429688
pr_0_85,15,connected_components,connectivity,false,18,76,0.0017616748809814453
pr_0_85,15,modularity,connectivity,false,18,76,0.002151966094970703
pr_0_85,15,connected_components,connectivity,true,18,76,0.0015130043029785156
pr_0_85,15,modularity,connectivity,true,18,76,0.002900838851928711
pr_0_85,16,connected_components,connectivity,false,19,83,0.001653909683227539
pr_0_85,16,modularity,connectivity,false,19,83,0.001924276351928711
pr_0_85,16,connected_components,connectivity,true,18,76,0.0017020702362060547
pr_0_85,16,modularity,connectivity,true,18,76,0.002282857894897461
pr_0_85,17,connected_components,connectivity,false,18,76,0.001967906951904297
pr_0_85,17,modularity,connectivity,false,18,76,0.002069234848022461
pr_0_85,17,connected_components,connectivity,true,19,83,0.0017342567443847656
pr_0_85,17,modularity,connectivity,true,19,83,0.0022792816162109375
pr_0_85,18,connected_components,connectivity,false,18,76,0.0015759468078613281
pr_0_85,18,modularity,connectivity,false,18,76,0.0023360252380371094
pr_0_85,18,connected_components,connectivity,true,19,83,0.0016260147094726562
pr_0_85,18,modularity,connectivity,true,19,83,0.0023920536041259766
pr_0_85,19,connected_components,connectivity,false,19,83,0.0016813278198242188
pr_0_85,19,modularity,connectivity,false,19,83,0.0018477439880371094
pr_0_85,19,connected_components,connectivity,true,31,207,0.0032958984375
pr_0_85,19,modularity,connectivity,true,31,207,0.003928184509277344
fv,2,connected_components,connectivity,false,2,1,0.0007901191711425781
fv,2,modularity,connectivity,false,3,3,0.005928993225097656
fv,2,connected_components,connectivity,true,2,1,0.0006480216979980469
fv,2,modularity,connectivity,true,4,6,0.0037941932678222656
fv,3,connected_components,connectivity,false,2,1,0.0007376670837402344
fv,3,modularity,connectivity,false,3,3,0.004695892333984375
fv,3,connected_components,connectivity,true,3,3,0.000865936279296875
fv,3,modularity,connectivity,true,4,6,0.0031180381774902344
fv,4,connected_components,connectivity,false,3,3,0.0007503032684326172
fv,4,modularity,connectivity,false,4,6,0.0046918392181396484
fv,4,connected_components,connectivity,true,4,6,0.000762939453125
fv,4,modularity,connectivity,true,6,15,0.002911090850830078
fv,5,connected_components,connectivity,false,3,3,0.0009548664093017578
fv,5,modularity,connectivity,false,4,6,0.004867076873779297
fv,5,connected_components,connectivity,true,7,16,0.0008959770202636719
fv,5,modularity,connectivity,true,8,22,0.002695798873901367
