filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,3,2,0.010770082473754883
agd,2,modularity,connectivity,false,9,8,0.12165713310241699
agd,2,connected_components,connectivity,true,3,2,0.010545015335083008
agd,2,modularity,connectivity,true,6,5,0.09389281272888184
agd,3,connected_components,connectivity,false,5,4,0.010973930358886719
agd,3,modularity,connectivity,false,12,11,0.1209409236907959
agd,3,connected_components,connectivity,true,5,4,0.01095890998840332
agd,3,modularity,connectivity,true,11,10,0.10596299171447754
agd,4,connected_components,connectivity,false,7,6,0.011172056198120117
agd,4,modularity,connectivity,false,12,11,0.12148094177246094
agd,4,connected_components,connectivity,true,6,6,0.010539054870605469
agd,4,modularity,connectivity,true,13,14,0.07175517082214355
agd,5,connected_components,connectivity,false,9,8,0.011121749877929688
agd,5,modularity,connectivity,false,14,13,0.12221908569335938
agd,5,connected_components,connectivity,true,7,8,0.010414838790893555
agd,5,modularity,connectivity,true,13,14,0.06446695327758789
agd,6,connected_components,connectivity,false,11,10,0.011358022689819336
agd,6,modularity,connectivity,false,15,14,0.1197500228881836
agd,6,connected_components,connectivity,true,9,10,0.01060795783996582
agd,6,modularity,connectivity,true,16,17,0.06384897232055664
agd,7,connected_components,connectivity,false,13,12,0.011432886123657227
agd,7,modularity,connectivity,false,17,16,0.11971092224121094
agd,7,connected_components,connectivity,true,10,13,0.010637044906616211
agd,7,modularity,connectivity,true,18,23,0.054489850997924805
agd,8,connected_components,connectivity,false,15,14,0.011553764343261719
agd,8,modularity,connectivity,false,19,18,0.11707806587219238
agd,8,connected_components,connectivity,true,11,16,0.010602951049804688
agd,8,modularity,connectivity,true,17,22,0.0516970157623291
agd,9,connected_components,connectivity,false,17,16,0.011662721633911133
agd,9,modularity,connectivity,false,20,19,0.11619424819946289
agd,9,connected_components,connectivity,true,13,18,0.010735034942626953
agd,9,modularity,connectivity,true,20,25,0.051362037658691406
agd,10,connected_components,connectivity,false,19,18,0.01162409782409668
agd,10,modularity,connectivity,false,22,21,0.11659693717956543
agd,10,connected_components,connectivity,true,14,22,0.010846853256225586
agd,10,modularity,connectivity,true,22,33,0.047196149826049805
agd,11,connected_components,connectivity,false,21,20,0.011796951293945312
agd,11,modularity,connectivity,false,24,23,0.11575102806091309
agd,11,connected_components,connectivity,true,15,26,0.010904073715209961
agd,11,modularity,connectivity,true,22,33,0.045394182205200195
agd,12,connected_components,connectivity,false,23,22,0.012097835540771484
agd,12,modularity,connectivity,false,26,25,0.11596012115478516
agd,12,connected_components,connectivity,true,17,28,0.010990142822265625
agd,12,modularity,connectivity,true,25,36,0.04790687561035156
agd,13,connected_components,connectivity,false,25,24,0.012708902359008789
agd,13,modularity,connectivity,false,28,27,0.11656022071838379
agd,13,connected_components,connectivity,true,18,33,0.011076927185058594
agd,13,modularity,connectivity,true,25,44,0.04340314865112305
agd,14,connected_components,connectivity,false,27,26,0.012261152267456055
agd,14,modularity,connectivity,false,30,29,0.11537575721740723
agd,14,connected_components,connectivity,true,19,38,0.011281013488769531
agd,14,modularity,connectivity,true,24,43,0.04198908805847168
agd,15,connected_components,connectivity,false,29,28,0.01238393783569336
agd,15,modularity,connectivity,false,32,31,0.11582493782043457
agd,15,connected_components,connectivity,true,21,40,0.011430978775024414
agd,15,modularity,connectivity,true,23,42,0.04169297218322754
agd,16,connected_components,connectivity,false,29,28,0.012289047241210938
agd,16,modularity,connectivity,false,32,31,0.11583590507507324
agd,16,connected_components,connectivity,true,22,46,0.011445999145507812
agd,16,modularity,connectivity,true,27,51,0.0407109260559082
agd,17,connected_components,connectivity,false,31,30,0.01253199577331543
agd,17,modularity,connectivity,false,34,33,0.13898324966430664
agd,17,connected_components,connectivity,true,23,52,0.01166391372680664
agd,17,modularity,connectivity,true,29,58,0.0399479866027832
agd,18,connected_components,connectivity,false,33,32,0.012656927108764648
agd,18,modularity,connectivity,false,35,34,0.11536502838134766
agd,18,connected_components,connectivity,true,25,54,0.011396169662475586
agd,18,modularity,connectivity,true,28,57,0.03829383850097656
agd,19,connected_components,connectivity,false,33,32,0.012471914291381836
agd,19,modularity,connectivity,false,35,34,0.11146783828735352
agd,19,connected_components,connectivity,true,26,61,0.011544227600097656
agd,19,modularity,connectivity,true,28,63,0.037589073181152344
ecc,2,connected_components,connectivity,false,3,2,0.010226011276245117
ecc,2,modularity,connectivity,false,8,7,0.11768007278442383
ecc,2,connected_components,connectivity,true,3,2,0.010247945785522461
ecc,2,modularity,connectivity,true,6,5,0.09079670906066895
ecc,3,connected_components,connectivity,false,5,4,0.010545730590820312
ecc,3,modularity,connectivity,false,10,9,0.11762309074401855
ecc,3,connected_components,connectivity,true,5,4,0.010623931884765625
ecc,3,modularity,connectivity,true,11,10,0.10156393051147461
ecc,4,connected_components,connectivity,false,7,6,0.010869979858398438
ecc,4,modularity,connectivity,false,14,13,0.11759090423583984
ecc,4,connected_components,connectivity,true,6,6,0.010041952133178711
ecc,4,modularity,connectivity,true,13,14,0.06923770904541016
ecc,5,connected_components,connectivity,false,9,8,0.010866880416870117
ecc,5,modularity,connectivity,false,11,10,0.11840415000915527
ecc,5,connected_components,connectivity,true,7,8,0.010005950927734375
ecc,5,modularity,connectivity,true,13,14,0.06151700019836426
ecc,6,connected_components,connectivity,false,11,10,0.01099395751953125
ecc,6,modularity,connectivity,false,13,12,0.1169729232788086
ecc,6,connected_components,connectivity,true,9,10,0.010190010070800781
ecc,6,modularity,connectivity,true,16,17,0.06194806098937988
ecc,7,connected_components,connectivity,false,13,12,0.011197090148925781
ecc,7,modularity,connectivity,false,15,14,0.11776208877563477
ecc,7,connected_components,connectivity,true,10,13,0.010145902633666992
ecc,7,modularity,connectivity,true,18,23,0.05299091339111328
ecc,8,connected_components,connectivity,false,15,14,0.011403083801269531
ecc,8,modularity,connectivity,false,17,16,0.11752700805664062
ecc,8,connected_components,connectivity,true,11,16,0.010185956954956055
ecc,8,modularity,connectivity,true,17,22,0.05043816566467285
ecc,9,connected_components,connectivity,false,17,16,0.01706385612487793
ecc,9,modularity,connectivity,false,19,18,0.11759591102600098
ecc,9,connected_components,connectivity,true,13,18,0.010492801666259766
ecc,9,modularity,connectivity,true,20,25,0.04978013038635254
ecc,10,connected_components,connectivity,false,19,18,0.011626005172729492
ecc,10,modularity,connectivity,false,21,20,0.11804819107055664
ecc,10,connected_components,connectivity,true,14,22,0.010366201400756836
ecc,10,modularity,connectivity,true,22,33,0.04562211036682129
ecc,11,connected_components,connectivity,false,21,20,0.01164698600769043
ecc,11,modularity,connectivity,false,23,22,0.11718988418579102
ecc,11,connected_components,connectivity,true,15,26,0.010603904724121094
ecc,11,modularity,connectivity,true,22,33,0.04400515556335449
ecc,12,connected_components,connectivity,false,23,22,0.011837005615234375
ecc,12,modularity,connectivity,false,25,24,0.11748886108398438
ecc,12,connected_components,connectivity,true,17,28,0.010514020919799805
ecc,12,modularity,connectivity,true,25,36,0.0436558723449707
ecc,13,connected_components,connectivity,false,25,24,0.01223301887512207
ecc,13,modularity,connectivity,false,27,26,0.11975407600402832
ecc,13,connected_components,connectivity,true,18,33,0.010656118392944336
ecc,13,modularity,connectivity,true,25,44,0.04192996025085449
ecc,14,connected_components,connectivity,false,27,26,0.012048959732055664
ecc,14,modularity,connectivity,false,28,27,0.11650705337524414
ecc,14,connected_components,connectivity,true,19,38,0.010695219039916992
ecc,14,modularity,connectivity,true,24,43,0.04041790962219238
ecc,15,connected_components,connectivity,false,29,28,0.012162923812866211
ecc,15,modularity,connectivity,false,30,29,0.11619997024536133
ecc,15,connected_components,connectivity,true,21,40,0.010898351669311523
ecc,15,modularity,connectivity,true,23,42,0.04066896438598633
ecc,16,connected_components,connectivity,false,31,30,0.012337923049926758
ecc,16,modularity,connectivity,false,32,31,0.11657905578613281
ecc,16,connected_components,connectivity,true,22,46,0.010896921157836914
ecc,16,modularity,connectivity,true,27,51,0.03928709030151367
ecc,17,connected_components,connectivity,false,33,32,0.012354850769042969
ecc,17,modularity,connectivity,false,34,33,0.11596417427062988
ecc,17,connected_components,connectivity,true,23,52,0.011091947555541992
ecc,17,modularity,connectivity,true,29,58,0.03862190246582031
ecc,18,connected_components,connectivity,false,35,34,0.012498855590820312
ecc,18,modularity,connectivity,false,36,35,0.11627578735351562
ecc,18,connected_components,connectivity,true,25,54,0.01145315170288086
ecc,18,modularity,connectivity,true,28,57,0.03826594352722168
ecc,19,connected_components,connectivity,false,37,36,0.013119935989379883
ecc,19,modularity,connectivity,false,38,37,0.11585521697998047
ecc,19,connected_components,connectivity,true,26,61,0.011246919631958008
ecc,19,modularity,connectivity,true,28,63,0.03731274604797363
pr_0_85,2,connected_components,connectivity,false,5,4,0.010267019271850586
pr_0_85,2,modularity,connectivity,false,5,4,0.11550211906433105
pr_0_85,2,connected_components,connectivity,true,5,4,0.010119915008544922
pr_0_85,2,modularity,connectivity,true,7,6,0.08292627334594727
pr_0_85,3,connected_components,connectivity,false,7,6,0.010554075241088867
pr_0_85,3,modularity,connectivity,false,7,6,0.11567878723144531
pr_0_85,3,connected_components,connectivity,true,5,4,0.009852886199951172
pr_0_85,3,modularity,connectivity,true,11,10,0.06539535522460938
pr_0_85,4,connected_components,connectivity,false,9,8,0.010729789733886719
pr_0_85,4,modularity,connectivity,false,9,8,0.11251711845397949
pr_0_85,4,connected_components,connectivity,true,9,10,0.009883880615234375
pr_0_85,4,modularity,connectivity,true,14,15,0.055030107498168945
pr_0_85,5,connected_components,connectivity,false,11,10,0.010811805725097656
pr_0_85,5,modularity,connectivity,false,11,10,0.11258888244628906
pr_0_85,5,connected_components,connectivity,true,10,13,0.009991884231567383
pr_0_85,5,modularity,connectivity,true,15,18,0.055589914321899414
pr_0_85,6,connected_components,connectivity,false,13,12,0.010888814926147461
pr_0_85,6,modularity,connectivity,false,13,12,0.1125037670135498
pr_0_85,6,connected_components,connectivity,true,11,16,0.010043859481811523
pr_0_85,6,modularity,connectivity,true,18,23,0.05050802230834961
pr_0_85,7,connected_components,connectivity,false,11,10,0.010931015014648438
pr_0_85,7,modularity,connectivity,false,16,15,0.11181807518005371
pr_0_85,7,connected_components,connectivity,true,14,22,0.010170936584472656
pr_0_85,7,modularity,connectivity,true,19,27,0.04883980751037598
pr_0_85,8,connected_components,connectivity,false,13,12,0.011073827743530273
pr_0_85,8,modularity,connectivity,false,13,12,0.11216592788696289
pr_0_85,8,connected_components,connectivity,true,16,31,0.010294198989868164
pr_0_85,8,modularity,connectivity,true,22,37,0.04315805435180664
pr_0_85,9,connected_components,connectivity,false,13,12,0.011174678802490234
pr_0_85,9,modularity,connectivity,false,13,12,0.11227011680603027
pr_0_85,9,connected_components,connectivity,true,15,26,0.010406017303466797
pr_0_85,9,modularity,connectivity,true,22,33,0.04564499855041504
pr_0_85,10,connected_components,connectivity,false,15,14,0.011208057403564453
pr_0_85,10,modularity,connectivity,false,15,14,0.1120750904083252
pr_0_85,10,connected_components,connectivity,true,19,39,0.010529041290283203
pr_0_85,10,modularity,connectivity,true,25,45,0.04163312911987305
pr_0_85,11,connected_components,connectivity,false,13,12,0.01133108139038086
pr_0_85,11,modularity,connectivity,false,18,17,0.11257219314575195
pr_0_85,11,connected_components,connectivity,true,19,38,0.0112152099609375
pr_0_85,11,modularity,connectivity,true,25,44,0.04266715049743652
pr_0_85,12,connected_components,connectivity,false,13,12,0.011280059814453125
pr_0_85,12,modularity,connectivity,false,13,12,0.1125497817993164
pr_0_85,12,connected_components,connectivity,true,21,50,0.010819196701049805
pr_0_85,12,modularity,connectivity,true,26,55,0.04022097587585449
pr_0_85,13,connected_components,connectivity,false,15,14,0.011430025100708008
pr_0_85,13,modularity,connectivity,false,15,14,0.11249804496765137
pr_0_85,13,connected_components,connectivity,true,23,52,0.011185169219970703
pr_0_85,13,modularity,connectivity,true,30,59,0.039247751235961914
pr_0_85,14,connected_components,connectivity,false,13,12,0.011538028717041016
pr_0_85,14,modularity,connectivity,false,18,17,0.11262392997741699
pr_0_85,14,connected_components,connectivity,true,25,67,0.011034965515136719
pr_0_85,14,modularity,connectivity,true,30,72,0.03801703453063965
