filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,9,8,0.0028388500213623047
agd,2,modularity,connectivity,false,16,22,0.03716397285461426
agd,2,connected_components,connectivity,true,5,4,0.0032110214233398438
agd,2,modularity,connectivity,true,13,22,0.017746925354003906
agd,3,connected_components,connectivity,false,14,16,0.0028421878814697266
agd,3,modularity,connectivity,false,20,32,0.017415761947631836
agd,3,connected_components,connectivity,true,16,23,0.002919912338256836
agd,3,modularity,connectivity,true,24,39,0.015035152435302734
agd,4,connected_components,connectivity,false,18,20,0.0029821395874023438
agd,4,modularity,connectivity,false,24,35,0.01652812957763672
agd,4,connected_components,connectivity,true,19,30,0.003139972686767578
agd,4,modularity,connectivity,true,27,43,0.015292167663574219
agd,5,connected_components,connectivity,false,24,33,0.0032608509063720703
agd,5,modularity,connectivity,false,29,42,0.015738964080810547
agd,5,connected_components,connectivity,true,28,48,0.0034999847412109375
agd,5,modularity,connectivity,true,36,63,0.01479792594909668
agd,6,connected_components,connectivity,false,25,37,0.0033538341522216797
agd,6,modularity,connectivity,false,33,55,0.023840904235839844
agd,6,connected_components,connectivity,true,29,44,0.0037932395935058594
agd,6,modularity,connectivity,true,37,61,0.0143890380859375
agd,7,connected_components,connectivity,false,29,42,0.0035729408264160156
agd,7,modularity,connectivity,false,36,55,0.015254735946655273
agd,7,connected_components,connectivity,true,36,57,0.003998994827270508
agd,7,modularity,connectivity,true,39,62,0.014255046844482422
agd,8,connected_components,connectivity,false,32,47,0.003705739974975586
agd,8,modularity,connectivity,false,37,56,0.015121221542358398
agd,8,connected_components,connectivity,true,37,57,0.003951072692871094
agd,8,modularity,connectivity,true,40,62,0.013956308364868164
agd,9,connected_components,connectivity,false,33,52,0.003813028335571289
agd,9,modularity,connectivity,false,39,65,0.015167951583862305
agd,9,connected_components,connectivity,true,39,56,0.0040590763092041016
agd,9,modularity,connectivity,true,44,68,0.013590097427368164
agd,10,connected_components,connectivity,false,32,45,0.00379180908203125
agd,10,modularity,connectivity,false,40,58,0.023923158645629883
agd,10,connected_components,connectivity,true,43,70,0.004500150680541992
agd,10,modularity,connectivity,true,46,75,0.013792991638183594
agd,11,connected_components,connectivity,false,34,51,0.003912925720214844
agd,11,modularity,connectivity,false,42,68,0.014783859252929688
agd,11,connected_components,connectivity,true,43,64,0.004277944564819336
agd,11,modularity,connectivity,true,48,72,0.014117240905761719
agd,12,connected_components,connectivity,false,40,61,0.00415802001953125
agd,12,modularity,connectivity,false,45,70,0.014507770538330078
agd,12,connected_components,connectivity,true,46,72,0.004415035247802734
agd,12,modularity,connectivity,true,53,86,0.013592958450317383
agd,13,connected_components,connectivity,false,39,63,0.004174232482910156
agd,13,modularity,connectivity,false,44,72,0.015079021453857422
agd,13,connected_components,connectivity,true,51,86,0.004723072052001953
agd,13,modularity,connectivity,true,55,96,0.013545036315917969
agd,14,connected_components,connectivity,false,37,55,0.004144906997680664
agd,14,modularity,connectivity,false,45,70,0.016604900360107422
agd,14,connected_components,connectivity,true,51,81,0.005070209503173828
agd,14,modularity,connectivity,true,53,85,0.013605833053588867
agd,15,connected_components,connectivity,false,40,65,0.0043468475341796875
agd,15,modularity,connectivity,false,47,78,0.015260934829711914
agd,15,connected_components,connectivity,true,51,85,0.004840850830078125
agd,15,modularity,connectivity,true,57,99,0.013720035552978516
agd,16,connected_components,connectivity,false,43,66,0.00444793701171875
agd,16,modularity,connectivity,false,49,79,0.01497197151184082
agd,16,connected_components,connectivity,true,55,90,0.004979848861694336
agd,16,modularity,connectivity,true,57,95,0.013723134994506836
agd,17,connected_components,connectivity,false,43,66,0.004446983337402344
agd,17,modularity,connectivity,false,50,80,0.014728069305419922
agd,17,connected_components,connectivity,true,56,95,0.005072116851806641
agd,17,modularity,connectivity,true,59,102,0.013703107833862305
agd,18,connected_components,connectivity,false,45,69,0.0046291351318359375
agd,18,modularity,connectivity,false,48,74,0.014666080474853516
agd,18,connected_components,connectivity,true,56,96,0.005147695541381836
agd,18,modularity,connectivity,true,62,109,0.013934850692749023
agd,19,connected_components,connectivity,false,46,71,0.004746913909912109
agd,19,modularity,connectivity,false,48,74,0.014796733856201172
agd,19,connected_components,connectivity,true,56,94,0.005224943161010742
agd,19,modularity,connectivity,true,59,102,0.014146089553833008
ecc,2,connected_components,connectivity,false,4,3,0.003204822540283203
ecc,2,modularity,connectivity,false,13,24,0.023308992385864258
ecc,2,connected_components,connectivity,true,4,4,0.0028269290924072266
ecc,2,modularity,connectivity,true,11,19,0.017386198043823242
ecc,3,connected_components,connectivity,false,13,16,0.0026960372924804688
ecc,3,modularity,connectivity,false,18,28,0.016906023025512695
ecc,3,connected_components,connectivity,true,12,19,0.0028650760650634766
ecc,3,modularity,connectivity,true,18,30,0.015340089797973633
ecc,4,connected_components,connectivity,false,10,18,0.004087924957275391
ecc,4,modularity,connectivity,false,22,63,0.02849102020263672
ecc,4,connected_components,connectivity,true,20,31,0.0031850337982177734
ecc,4,modularity,connectivity,true,25,40,0.014280319213867188
ecc,5,connected_components,connectivity,false,25,34,0.0030930042266845703
ecc,5,modularity,connectivity,false,27,38,0.013939857482910156
ecc,5,connected_components,connectivity,true,27,42,0.0034942626953125
ecc,5,modularity,connectivity,true,31,48,0.014049053192138672
ecc,6,connected_components,connectivity,false,32,60,0.0037376880645751953
