filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,5,4,0.003448009490966797
agd,2,modularity,connectivity,false,16,27,0.023053646087646484
agd,2,connected_components,connectivity,true,4,3,0.0030679702758789062
agd,2,modularity,connectivity,true,17,30,0.021893739700317383
agd,3,connected_components,connectivity,false,5,5,0.0031871795654296875
agd,3,modularity,connectivity,false,19,31,0.02215099334716797
agd,3,connected_components,connectivity,true,7,9,0.003177165985107422
agd,3,modularity,connectivity,true,23,39,0.020345211029052734
agd,4,connected_components,connectivity,false,14,18,0.0036017894744873047
agd,4,modularity,connectivity,false,25,40,0.020987749099731445
agd,4,connected_components,connectivity,true,16,21,0.0036590099334716797
agd,4,modularity,connectivity,true,29,47,0.018825292587280273
agd,5,connected_components,connectivity,false,16,20,0.003695964813232422
agd,5,modularity,connectivity,false,30,46,0.01952981948852539
agd,5,connected_components,connectivity,true,17,23,0.003736734390258789
agd,5,modularity,connectivity,true,31,52,0.019158124923706055
agd,6,connected_components,connectivity,false,18,26,0.003847837448120117
agd,6,modularity,connectivity,false,30,48,0.01940178871154785
agd,6,connected_components,connectivity,true,20,29,0.003968000411987305
agd,6,modularity,connectivity,true,34,56,0.01822495460510254
agd,7,connected_components,connectivity,false,20,30,0.003864765167236328
agd,7,modularity,connectivity,false,36,59,0.01837635040283203
agd,7,connected_components,connectivity,true,26,39,0.0041162967681884766
agd,7,modularity,connectivity,true,38,63,0.016975879669189453
agd,8,connected_components,connectivity,false,26,41,0.0041370391845703125
agd,8,modularity,connectivity,false,41,73,0.0182802677154541
agd,8,connected_components,connectivity,true,30,42,0.004334211349487305
agd,8,modularity,connectivity,true,40,62,0.01669788360595703
agd,9,connected_components,connectivity,false,29,45,0.0043599605560302734
agd,9,modularity,connectivity,false,41,67,0.017988204956054688
agd,9,connected_components,connectivity,true,32,52,0.0045549869537353516
agd,9,modularity,connectivity,true,43,72,0.016788005828857422
agd,10,connected_components,connectivity,false,33,52,0.0045621395111083984
agd,10,modularity,connectivity,false,44,75,0.017918109893798828
agd,10,connected_components,connectivity,true,36,56,0.00472712516784668
agd,10,modularity,connectivity,true,51,83,0.016601085662841797
agd,11,connected_components,connectivity,false,32,49,0.004563808441162109
agd,11,modularity,connectivity,false,46,80,0.01803112030029297
agd,11,connected_components,connectivity,true,40,65,0.004904031753540039
agd,11,modularity,connectivity,true,53,89,0.0160977840423584
agd,12,connected_components,connectivity,false,31,49,0.0045871734619140625
agd,12,modularity,connectivity,false,46,79,0.019089937210083008
agd,12,connected_components,connectivity,true,42,67,0.0050830841064453125
agd,12,modularity,connectivity,true,50,86,0.03789997100830078
agd,13,connected_components,connectivity,false,34,53,0.004831075668334961
agd,13,modularity,connectivity,false,47,77,0.018722057342529297
agd,13,connected_components,connectivity,true,47,78,0.005335092544555664
agd,13,modularity,connectivity,true,57,97,0.016310930252075195
agd,14,connected_components,connectivity,false,36,56,0.004867076873779297
agd,14,modularity,connectivity,false,54,89,0.018066883087158203
agd,14,connected_components,connectivity,true,47,77,0.005375862121582031
agd,14,modularity,connectivity,true,57,101,0.016428709030151367
agd,15,connected_components,connectivity,false,40,62,0.0050928592681884766
agd,15,modularity,connectivity,false,56,98,0.017885208129882812
agd,15,connected_components,connectivity,true,49,85,0.005610942840576172
agd,15,modularity,connectivity,true,62,116,0.016494274139404297
agd,16,connected_components,connectivity,false,40,65,0.005116939544677734
agd,16,modularity,connectivity,false,56,107,0.017973899841308594
agd,16,connected_components,connectivity,true,46,71,0.0054149627685546875
agd,16,modularity,connectivity,true,59,99,0.016838788986206055
agd,17,connected_components,connectivity,false,44,69,0.005841970443725586
agd,17,modularity,connectivity,false,58,104,0.018402814865112305
agd,17,connected_components,connectivity,true,55,91,0.006006002426147461
agd,17,modularity,connectivity,true,66,117,0.016437053680419922
agd,18,connected_components,connectivity,false,46,82,0.00557708740234375
agd,18,modularity,connectivity,false,60,117,0.020627975463867188
agd,18,connected_components,connectivity,true,51,93,0.005775928497314453
agd,18,modularity,connectivity,true,66,129,0.01692795753479004
agd,19,connected_components,connectivity,false,45,75,0.005536079406738281
agd,19,modularity,connectivity,false,62,113,0.017886877059936523
agd,19,connected_components,connectivity,true,54,85,0.005967855453491211
agd,19,modularity,connectivity,true,67,111,0.016451120376586914
ecc,2,connected_components,connectivity,false,4,3,0.003339052200317383
ecc,2,modularity,connectivity,false,18,36,0.026039838790893555
ecc,2,connected_components,connectivity,true,4,4,0.0029981136322021484
ecc,2,modularity,connectivity,true,16,28,0.020376920700073242
ecc,3,connected_components,connectivity,false,13,16,0.0031919479370117188
ecc,3,modularity,connectivity,false,22,35,0.019757747650146484
ecc,3,connected_components,connectivity,true,12,19,0.003371000289916992
ecc,3,modularity,connectivity,true,22,35,0.018074989318847656
ecc,4,connected_components,connectivity,false,10,18,0.004897117614746094
ecc,4,modularity,connectivity,false,30,90,0.033128976821899414
ecc,4,connected_components,connectivity,true,20,31,0.003731966018676758
ecc,4,modularity,connectivity,true,28,44,0.016897201538085938
ecc,5,connected_components,connectivity,false,25,34,0.0036160945892333984
ecc,5,modularity,connectivity,false,31,43,0.016582965850830078
ecc,5,connected_components,connectivity,true,27,42,0.004146099090576172
ecc,5,modularity,connectivity,true,36,59,0.01692676544189453
ecc,6,connected_components,connectivity,false,32,62,0.0044519901275634766
ecc,6,modularity,connectivity,false,39,76,0.01891493797302246
ecc,6,connected_components,connectivity,true,27,41,0.004127979278564453
ecc,6,modularity,connectivity,true,36,55,0.01678299903869629
ecc,7,connected_components,connectivity,false,25,34,0.003735780715942383
ecc,7,modularity,connectivity,false,31,43,0.01667189598083496
ecc,7,connected_components,connectivity,true,29,44,0.004281044006347656
ecc,7,modularity,connectivity,true,41,64,0.017086029052734375
ecc,8,connected_components,connectivity,false,42,127,0.006412029266357422
ecc,8,modularity,connectivity,false,52,157,0.02729177474975586
ecc,8,connected_components,connectivity,true,36,54,0.004755973815917969
ecc,8,modularity,connectivity,true,43,66,0.01635885238647461
ecc,9,connected_components,connectivity,false,25,34,0.0038509368896484375
ecc,9,modularity,connectivity,false,31,43,0.016850948333740234
ecc,9,connected_components,connectivity,true,34,50,0.004721164703369141
ecc,9,modularity,connectivity,true,42,61,0.016409635543823242
ecc,10,connected_components,connectivity,false,32,62,0.004667997360229492
ecc,10,modularity,connectivity,false,39,76,0.01923680305480957
