filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0033049583435058594
agd,2,modularity,connectivity,false,2,1,0.02468085289001465
agd,2,connected_components,connectivity,true,2,1,0.0027098655700683594
agd,2,modularity,connectivity,true,2,1,0.01955699920654297
agd,3,connected_components,connectivity,false,3,3,0.0026869773864746094
agd,3,modularity,connectivity,false,3,3,0.019437074661254883
agd,3,connected_components,connectivity,true,3,3,0.002710103988647461
agd,3,modularity,connectivity,true,3,3,0.015327930450439453
agd,4,connected_components,connectivity,false,4,6,0.0027680397033691406
agd,4,modularity,connectivity,false,4,6,0.01672196388244629
agd,4,connected_components,connectivity,true,4,6,0.002961874008178711
agd,4,modularity,connectivity,true,4,6,0.012798070907592773
agd,5,connected_components,connectivity,false,4,6,0.0031359195709228516
agd,5,modularity,connectivity,false,4,6,0.014111995697021484
agd,5,connected_components,connectivity,true,5,10,0.0026619434356689453
agd,5,modularity,connectivity,true,5,10,0.01196599006652832
agd,6,connected_components,connectivity,false,5,10,0.0027740001678466797
agd,6,modularity,connectivity,false,5,10,0.013854026794433594
agd,6,connected_components,connectivity,true,6,15,0.002959728240966797
agd,6,modularity,connectivity,true,6,15,0.012373924255371094
agd,7,connected_components,connectivity,false,5,10,0.002737283706665039
agd,7,modularity,connectivity,false,5,10,0.012513875961303711
agd,7,connected_components,connectivity,true,7,21,0.0030138492584228516
agd,7,modularity,connectivity,true,7,21,0.012004852294921875
agd,8,connected_components,connectivity,false,6,15,0.0028030872344970703
agd,8,modularity,connectivity,false,6,15,0.012067794799804688
agd,8,connected_components,connectivity,true,8,28,0.002950906753540039
agd,8,modularity,connectivity,true,8,28,0.010516881942749023
agd,9,connected_components,connectivity,false,7,21,0.0028018951416015625
agd,9,modularity,connectivity,false,7,21,0.011711835861206055
agd,9,connected_components,connectivity,true,9,36,0.003061056137084961
agd,9,modularity,connectivity,true,9,36,0.010569095611572266
agd,10,connected_components,connectivity,false,7,21,0.0028617382049560547
agd,10,modularity,connectivity,false,7,21,0.011331796646118164
agd,10,connected_components,connectivity,true,10,45,0.003245830535888672
agd,10,modularity,connectivity,true,10,45,0.01011037826538086
agd,11,connected_components,connectivity,false,8,28,0.003515958786010742
agd,11,modularity,connectivity,false,8,28,0.010638952255249023
agd,11,connected_components,connectivity,true,11,55,0.003076791763305664
agd,11,modularity,connectivity,true,11,55,0.010207414627075195
agd,12,connected_components,connectivity,false,8,28,0.0029609203338623047
agd,12,modularity,connectivity,false,8,28,0.011413097381591797
agd,12,connected_components,connectivity,true,12,66,0.0036699771881103516
agd,12,modularity,connectivity,true,12,66,0.011049032211303711
agd,13,connected_components,connectivity,false,9,36,0.0030679702758789062
agd,13,modularity,connectivity,false,9,36,0.01098489761352539
agd,13,connected_components,connectivity,true,13,78,0.0032100677490234375
agd,13,modularity,connectivity,true,13,78,0.010225772857666016
agd,14,connected_components,connectivity,false,9,36,0.003081798553466797
agd,14,modularity,connectivity,false,9,36,0.010979175567626953
agd,14,connected_components,connectivity,true,14,91,0.004163980484008789
agd,14,modularity,connectivity,true,14,91,0.011278867721557617
agd,15,connected_components,connectivity,false,10,45,0.003108978271484375
