# Gene	Protein
ENSG00000198888	ENSP00000354687
ENSG00000198763	ENSP00000355046
ENSG00000198804	ENSP00000354499
ENSG00000198712	ENSP00000354876
ENSG00000228253	ENSP00000355265
ENSG00000198899	ENSP00000354632
ENSG00000198938	ENSP00000354982
ENSG00000198840	ENSP00000355206
ENSG00000212907	ENSP00000354728
ENSG00000198886	ENSP00000354961
ENSG00000198786	ENSP00000354813
ENSG00000198695	ENSP00000354665
ENSG00000198727	ENSP00000354554
ENSG00000186132	ENSP00000386302
ENSG00000186132	ENSP00000335041
ENSG00000186132	ENSP00000387234
ENSG00000186132	ENSP00000386714
ENSG00000186132	ENSP00000388482
ENSG00000182584	ENSP00000329647
ENSG00000174799	ENSP00000412799
ENSG00000174799	ENSP00000257287
ENSG00000116691	ENSP00000235332
ENSG00000149609	ENSP00000364370
ENSG00000110104	ENSP00000227520
ENSG00000110104	ENSP00000442111
ENSG00000110104	ENSP00000440906
ENSG00000268163	ENSP00000470969
ENSG00000121236	ENSP00000278302
ENSG00000121236	ENSP00000414108
ENSG00000121236	ENSP00000427704
ENSG00000121236	ENSP00000369450
ENSG00000121236	ENSP00000369440
ENSG00000121236	ENSP00000399215
ENSG00000121236	ENSP00000421802
ENSG00000121236	ENSP00000421079
ENSG00000121236	ENSP00000484009
ENSG00000121236	ENSP00000480315
ENSG00000140807	ENSP00000268459
ENSG00000163938	ENSP00000419734
ENSG00000163938	ENSP00000395772
ENSG00000163938	ENSP00000378278
ENSG00000163938	ENSP00000420345
ENSG00000163938	ENSP00000419895
ENSG00000163645	ENSP00000295910
ENSG00000163645	ENSP00000419366
ENSG00000163645	ENSP00000419304
ENSG00000163645	ENSP00000417780
ENSG00000100926	ENSP00000261789
ENSG00000100926	ENSP00000432997
ENSG00000100926	ENSP00000431747
ENSG00000100926	ENSP00000434387
ENSG00000100926	ENSP00000436486
ENSG00000100926	ENSP00000380063
ENSG00000100926	ENSP00000431447
ENSG00000100926	ENSP00000437127
ENSG00000100926	ENSP00000435857
ENSG00000100926	ENSP00000432435
ENSG00000100926	ENSP00000433792
ENSG00000114107	ENSP00000264982
ENSG00000114107	ENSP00000417821
ENSG00000114107	ENSP00000419231
ENSG00000114107	ENSP00000419833
ENSG00000114107	ENSP00000418552
ENSG00000114107	ENSP00000417465
ENSG00000114107	ENSP00000418131
ENSG00000114107	ENSP00000417819
ENSG00000114107	ENSP00000419743
ENSG00000114107	ENSP00000419817
ENSG00000114107	ENSP00000418878
ENSG00000256294	ENSP00000466853
ENSG00000256294	ENSP00000262894
ENSG00000256294	ENSP00000468414
ENSG00000256294	ENSP00000466889
ENSG00000256294	ENSP00000468686
ENSG00000144908	ENSP00000273450
ENSG00000144908	ENSP00000420293
ENSG00000144908	ENSP00000395881
ENSG00000144908	ENSP00000377083
ENSG00000144908	ENSP00000419448
ENSG00000144908	ENSP00000418905
ENSG00000144908	ENSP00000418711
ENSG00000144908	ENSP00000419826
ENSG00000144908	ENSP00000419955
ENSG00000144908	ENSP00000426594
ENSG00000144908	ENSP00000426713
ENSG00000144908	ENSP00000377081
ENSG00000144908	ENSP00000414126
ENSG00000168917	ENSP00000400839
ENSG00000168917	ENSP00000376794
ENSG00000103404	ENSP00000219689
ENSG00000103404	ENSP00000461621
ENSG00000103404	ENSP00000481339
ENSG00000258941	ENSP00000452252
ENSG00000107779	ENSP00000361107
ENSG00000107779	ENSP00000483569
ENSG00000254206	ENSP00000430853
ENSG00000254206	ENSP00000479201
ENSG00000102265	ENSP00000218388
ENSG00000102265	ENSP00000406671
ENSG00000102265	ENSP00000366216
