filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,2,1,0.0005781650543212891
agd,2,modularity,connectivity,false,6,15,0.0027618408203125
agd,2,connected_components,connectivity,true,2,1,0.0003120899200439453
agd,2,modularity,connectivity,true,4,4,0.0011990070343017578
agd,3,connected_components,connectivity,false,3,3,0.0011250972747802734
agd,3,modularity,connectivity,false,9,36,0.004335880279541016
agd,3,connected_components,connectivity,true,4,5,0.00043487548828125
agd,3,modularity,connectivity,true,6,11,0.0012898445129394531
agd,4,connected_components,connectivity,false,4,6,0.0011332035064697266
agd,4,modularity,connectivity,false,12,66,0.005284786224365234
agd,4,connected_components,connectivity,true,4,5,0.00045609474182128906
agd,4,modularity,connectivity,true,4,5,0.0011920928955078125
agd,5,connected_components,connectivity,false,5,10,0.001728057861328125
agd,5,modularity,connectivity,false,15,105,0.007861137390136719
agd,5,connected_components,connectivity,true,6,11,0.0007371902465820312
agd,5,modularity,connectivity,true,6,11,0.0012249946594238281
agd,6,connected_components,connectivity,false,6,15,0.0013499259948730469
agd,6,modularity,connectivity,false,18,153,0.008544206619262695
agd,6,connected_components,connectivity,true,6,11,0.0007760524749755859
agd,6,modularity,connectivity,true,6,11,0.0017518997192382812
agd,7,connected_components,connectivity,false,7,21,0.0015859603881835938
agd,7,modularity,connectivity,false,21,210,0.01041102409362793
agd,7,connected_components,connectivity,true,8,13,0.0007188320159912109
agd,7,modularity,connectivity,true,8,13,0.0010268688201904297
agd,8,connected_components,connectivity,false,8,28,0.0017328262329101562
agd,8,modularity,connectivity,false,24,276,0.011344194412231445
agd,8,connected_components,connectivity,true,8,13,0.0006041526794433594
agd,8,modularity,connectivity,true,8,13,0.0009000301361083984
agd,9,connected_components,connectivity,false,9,36,0.0020220279693603516
agd,9,modularity,connectivity,false,27,351,0.013506889343261719
agd,9,connected_components,connectivity,true,10,28,0.0008351802825927734
agd,9,modularity,connectivity,true,10,28,0.002301931381225586
agd,10,connected_components,connectivity,false,10,45,0.002521991729736328
agd,10,modularity,connectivity,false,30,435,0.016502857208251953
agd,10,connected_components,connectivity,true,10,15,0.0007166862487792969
agd,10,modularity,connectivity,true,10,15,0.0006737709045410156
agd,11,connected_components,connectivity,false,11,55,0.0026230812072753906
agd,11,modularity,connectivity,false,33,528,0.01606607437133789
agd,11,connected_components,connectivity,true,10,15,0.0007097721099853516
agd,11,modularity,connectivity,true,10,15,0.0006868839263916016
agd,12,connected_components,connectivity,false,12,66,0.0029327869415283203
agd,12,modularity,connectivity,false,36,630,0.017877578735351562
agd,12,connected_components,connectivity,true,12,21,0.0008690357208251953
agd,12,modularity,connectivity,true,12,21,0.0008230209350585938
agd,13,connected_components,connectivity,false,13,78,0.0032160282135009766
agd,13,modularity,connectivity,false,39,741,0.019541025161743164
agd,13,connected_components,connectivity,true,10,15,0.00078582763671875
agd,13,modularity,connectivity,true,10,15,0.0007407665252685547
agd,14,connected_components,connectivity,false,14,91,0.0035409927368164062
agd,14,modularity,connectivity,false,42,861,0.021335840225219727
agd,14,connected_components,connectivity,true,10,15,0.0008199214935302734
agd,14,modularity,connectivity,true,10,15,0.0009357929229736328
agd,15,connected_components,connectivity,false,15,105,0.004142045974731445
agd,15,modularity,connectivity,false,45,990,0.023467063903808594
agd,15,connected_components,connectivity,true,12,21,0.0010251998901367188
agd,15,modularity,connectivity,true,12,21,0.0009043216705322266
agd,16,connected_components,connectivity,false,16,120,0.005792140960693359
agd,16,modularity,connectivity,false,48,1128,0.024873971939086914
agd,16,connected_components,connectivity,true,10,15,0.0009410381317138672
agd,16,modularity,connectivity,true,10,15,0.001443624496459961
agd,17,connected_components,connectivity,false,17,136,0.005156278610229492
agd,17,modularity,connectivity,false,51,1275,0.026708126068115234
agd,17,connected_components,connectivity,true,10,15,0.0008561611175537109
agd,17,modularity,connectivity,true,10,15,0.0008077621459960938
agd,18,connected_components,connectivity,false,18,153,0.006214141845703125
agd,18,modularity,connectivity,false,54,1431,0.02839803695678711
agd,18,connected_components,connectivity,true,17,42,0.0012259483337402344
agd,18,modularity,connectivity,true,17,42,0.0011470317840576172
agd,19,connected_components,connectivity,false,19,171,0.006766080856323242
agd,19,modularity,connectivity,false,57,1596,0.029649734497070312
agd,19,connected_components,connectivity,true,10,15,0.0010213851928710938
agd,19,modularity,connectivity,true,10,15,0.0008401870727539062
ecc,2,connected_components,connectivity,false,2,1,0.0004069805145263672
ecc,2,modularity,connectivity,false,6,15,0.0035250186920166016
ecc,2,connected_components,connectivity,true,2,1,0.00037670135498046875
ecc,2,modularity,connectivity,true,4,4,0.0012128353118896484
ecc,3,connected_components,connectivity,false,3,3,0.0005981922149658203
ecc,3,modularity,connectivity,false,9,36,0.0035371780395507812
ecc,3,connected_components,connectivity,true,4,5,0.00044417381286621094
ecc,3,modularity,connectivity,true,6,11,0.001583099365234375
ecc,4,connected_components,connectivity,false,4,6,0.0011839866638183594
ecc,4,modularity,connectivity,false,12,66,0.00539708137512207
ecc,4,connected_components,connectivity,true,4,5,0.00043082237243652344
ecc,4,modularity,connectivity,true,4,5,0.0014929771423339844
ecc,5,connected_components,connectivity,false,5,10,0.0012462139129638672
ecc,5,modularity,connectivity,false,15,105,0.006318092346191406
ecc,5,connected_components,connectivity,true,6,11,0.0005109310150146484
ecc,5,modularity,connectivity,true,6,11,0.0014369487762451172
ecc,6,connected_components,connectivity,false,6,15,0.0013689994812011719
ecc,6,modularity,connectivity,false,18,153,0.00852203369140625
ecc,6,connected_components,connectivity,true,6,11,0.0007221698760986328
ecc,6,modularity,connectivity,true,6,11,0.0014889240264892578
ecc,7,connected_components,connectivity,false,7,21,0.00152587890625
ecc,7,modularity,connectivity,false,21,210,0.009923696517944336
ecc,7,connected_components,connectivity,true,8,13,0.00061798095703125
ecc,7,modularity,connectivity,true,8,13,0.0008907318115234375
ecc,8,connected_components,connectivity,false,8,28,0.001756906509399414
ecc,8,modularity,connectivity,false,24,276,0.01128387451171875
ecc,8,connected_components,connectivity,true,8,13,0.0006310939788818359
ecc,8,modularity,connectivity,true,8,13,0.0009081363677978516
ecc,9,connected_components,connectivity,false,9,36,0.00202178955078125
ecc,9,modularity,connectivity,false,27,351,0.013498067855834961
ecc,9,connected_components,connectivity,true,10,28,0.0008380413055419922
ecc,9,modularity,connectivity,true,10,28,0.002146005630493164
ecc,10,connected_components,connectivity,false,10,45,0.002328157424926758
ecc,10,modularity,connectivity,false,30,435,0.014269113540649414
ecc,10,connected_components,connectivity,true,10,15,0.0006799697875976562
ecc,10,modularity,connectivity,true,10,15,0.0006620883941650391
ecc,11,connected_components,connectivity,false,11,55,0.002543210983276367
ecc,11,modularity,connectivity,false,33,528,0.01576709747314453
ecc,11,connected_components,connectivity,true,10,15,0.000762939453125
ecc,11,modularity,connectivity,true,10,15,0.000720977783203125
ecc,12,connected_components,connectivity,false,12,66,0.0031180381774902344
ecc,12,modularity,connectivity,false,36,630,0.017260074615478516
ecc,12,connected_components,connectivity,true,12,21,0.0008289813995361328
ecc,12,modularity,connectivity,true,12,21,0.0008037090301513672
ecc,13,connected_components,connectivity,false,13,78,0.0032720565795898438
ecc,13,modularity,connectivity,false,39,741,0.01897120475769043
ecc,13,connected_components,connectivity,true,10,15,0.0007679462432861328
ecc,13,modularity,connectivity,true,10,15,0.0007238388061523438
ecc,14,connected_components,connectivity,false,14,91,0.0035490989685058594
ecc,14,modularity,connectivity,false,42,861,0.020496129989624023
ecc,14,connected_components,connectivity,true,10,15,0.0007939338684082031
ecc,14,modularity,connectivity,true,10,15,0.0007548332214355469
ecc,15,connected_components,connectivity,false,15,105,0.004467010498046875
ecc,15,modularity,connectivity,false,45,990,0.02261495590209961
ecc,15,connected_components,connectivity,true,12,21,0.0009410381317138672
ecc,15,modularity,connectivity,true,12,21,0.0010480880737304688
ecc,16,connected_components,connectivity,false,16,120,0.004689216613769531
ecc,16,modularity,connectivity,false,48,1128,0.02451610565185547
ecc,16,connected_components,connectivity,true,10,15,0.0008771419525146484
ecc,16,modularity,connectivity,true,10,15,0.0007927417755126953
ecc,17,connected_components,connectivity,false,17,136,0.005333900451660156
ecc,17,modularity,connectivity,false,51,1275,0.026455163955688477
ecc,17,connected_components,connectivity,true,10,15,0.0009109973907470703
ecc,17,modularity,connectivity,true,10,15,0.000843048095703125
ecc,18,connected_components,connectivity,false,18,153,0.005782127380371094
ecc,18,modularity,connectivity,false,54,1431,0.02795696258544922
ecc,18,connected_components,connectivity,true,17,42,0.0012481212615966797
ecc,18,modularity,connectivity,true,17,42,0.0011641979217529297
ecc,19,connected_components,connectivity,false,19,171,0.006443023681640625
ecc,19,modularity,connectivity,false,57,1596,0.029675960540771484
ecc,19,connected_components,connectivity,true,10,15,0.0009059906005859375
ecc,19,modularity,connectivity,true,10,15,0.0008418560028076172
pr_0_85,2,connected_components,connectivity,false,2,1,0.00040411949157714844
pr_0_85,2,modularity,connectivity,false,6,15,0.0030946731567382812
pr_0_85,2,connected_components,connectivity,true,2,1,0.0003757476806640625
pr_0_85,2,modularity,connectivity,true,4,4,0.0012049674987792969
pr_0_85,3,connected_components,connectivity,false,3,3,0.0006191730499267578
pr_0_85,3,modularity,connectivity,false,9,36,0.0035479068756103516
pr_0_85,3,connected_components,connectivity,true,4,5,0.0004432201385498047
pr_0_85,3,modularity,connectivity,true,6,11,0.001280069351196289
pr_0_85,4,connected_components,connectivity,false,4,6,0.0015130043029785156
pr_0_85,4,modularity,connectivity,false,12,66,0.005016803741455078
pr_0_85,4,connected_components,connectivity,true,4,5,0.0004241466522216797
pr_0_85,4,modularity,connectivity,true,4,5,0.0011568069458007812
pr_0_85,5,connected_components,connectivity,false,5,10,0.0010221004486083984
pr_0_85,5,modularity,connectivity,false,15,105,0.006939888000488281
pr_0_85,5,connected_components,connectivity,true,6,11,0.0005011558532714844
pr_0_85,5,modularity,connectivity,true,6,11,0.0011401176452636719
pr_0_85,6,connected_components,connectivity,false,6,15,0.0012519359588623047
pr_0_85,6,modularity,connectivity,false,18,153,0.00852203369140625
pr_0_85,6,connected_components,connectivity,true,6,11,0.0005698204040527344
pr_0_85,6,modularity,connectivity,true,6,11,0.0014472007751464844
pr_0_85,7,connected_components,connectivity,false,7,21,0.0014901161193847656
pr_0_85,7,modularity,connectivity,false,21,210,0.009608030319213867
pr_0_85,7,connected_components,connectivity,true,8,13,0.0006010532379150391
pr_0_85,7,modularity,connectivity,true,8,13,0.0009839534759521484
pr_0_85,8,connected_components,connectivity,false,8,28,0.0018529891967773438
pr_0_85,8,modularity,connectivity,false,24,276,0.011256933212280273
pr_0_85,8,connected_components,connectivity,true,8,13,0.0006029605865478516
pr_0_85,8,modularity,connectivity,true,8,13,0.0009038448333740234
pr_0_85,9,connected_components,connectivity,false,9,36,0.0020270347595214844
pr_0_85,9,modularity,connectivity,false,27,351,0.012380123138427734
pr_0_85,9,connected_components,connectivity,true,10,28,0.0009200572967529297
pr_0_85,9,modularity,connectivity,true,10,28,0.002156972885131836
pr_0_85,10,connected_components,connectivity,false,10,45,0.0022809505462646484
pr_0_85,10,modularity,connectivity,false,30,435,0.014007091522216797
pr_0_85,10,connected_components,connectivity,true,10,15,0.000698089599609375
pr_0_85,10,modularity,connectivity,true,10,15,0.0006680488586425781
pr_0_85,11,connected_components,connectivity,false,11,55,0.0026569366455078125
pr_0_85,11,modularity,connectivity,false,33,528,0.016041040420532227
pr_0_85,11,connected_components,connectivity,true,10,15,0.0008189678192138672
pr_0_85,11,modularity,connectivity,true,10,15,0.0006968975067138672
pr_0_85,12,connected_components,connectivity,false,12,66,0.0029320716857910156
pr_0_85,12,modularity,connectivity,false,36,630,0.01781463623046875
pr_0_85,12,connected_components,connectivity,true,12,21,0.0008530616760253906
