filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
agd,2,connected_components,connectivity,false,5,4,0.0007729530334472656
agd,2,modularity,connectivity,false,8,8,0.003428936004638672
agd,2,connected_components,connectivity,true,5,4,0.00060272216796875
agd,2,modularity,connectivity,true,7,7,0.002129793167114258
agd,3,connected_components,connectivity,false,9,12,0.0006380081176757812
agd,3,modularity,connectivity,false,11,16,0.002507925033569336
agd,3,connected_components,connectivity,true,9,12,0.0007119178771972656
agd,3,modularity,connectivity,true,11,18,0.0019550323486328125
agd,4,connected_components,connectivity,false,13,24,0.0008952617645263672
agd,4,modularity,connectivity,false,15,29,0.002445220947265625
agd,4,connected_components,connectivity,true,10,14,0.0007600784301757812
agd,4,modularity,connectivity,true,11,17,0.0029449462890625
agd,5,connected_components,connectivity,false,9,12,0.0007009506225585938
agd,5,modularity,connectivity,false,11,16,0.0017979145050048828
agd,5,connected_components,connectivity,true,10,13,0.0007696151733398438
agd,5,modularity,connectivity,true,12,16,0.0032761096954345703
agd,6,connected_components,connectivity,false,13,24,0.0009720325469970703
agd,6,modularity,connectivity,false,15,29,0.002496004104614258
agd,6,connected_components,connectivity,true,12,19,0.0009691715240478516
agd,6,modularity,connectivity,true,13,20,0.0019769668579101562
agd,7,connected_components,connectivity,false,9,12,0.0010797977447509766
agd,7,modularity,connectivity,false,11,16,0.0018961429595947266
agd,7,connected_components,connectivity,true,13,23,0.0009143352508544922
agd,7,modularity,connectivity,true,13,23,0.0019888877868652344
agd,8,connected_components,connectivity,false,13,24,0.0009779930114746094
agd,8,modularity,connectivity,false,15,29,0.0032961368560791016
agd,8,connected_components,connectivity,true,12,20,0.0009629726409912109
agd,8,modularity,connectivity,true,12,20,0.002125978469848633
agd,9,connected_components,connectivity,false,9,12,0.0007801055908203125
agd,9,modularity,connectivity,false,11,16,0.002201080322265625
agd,9,connected_components,connectivity,true,16,34,0.0014519691467285156
agd,9,modularity,connectivity,true,16,34,0.0016601085662841797
agd,10,connected_components,connectivity,false,13,24,0.0010268688201904297
agd,10,modularity,connectivity,false,15,29,0.0025348663330078125
agd,10,connected_components,connectivity,true,12,16,0.0009818077087402344
agd,10,modularity,connectivity,true,12,16,0.0030651092529296875
agd,11,connected_components,connectivity,false,9,12,0.0008080005645751953
agd,11,modularity,connectivity,false,11,16,0.002283811569213867
agd,11,connected_components,connectivity,true,16,27,0.0014040470123291016
agd,11,modularity,connectivity,true,16,27,0.0020012855529785156
agd,12,connected_components,connectivity,false,13,24,0.0013132095336914062
agd,12,modularity,connectivity,false,15,29,0.0027570724487304688
agd,12,connected_components,connectivity,true,15,27,0.0011219978332519531
agd,12,modularity,connectivity,true,15,27,0.0020689964294433594
agd,13,connected_components,connectivity,false,9,12,0.0012028217315673828
agd,13,modularity,connectivity,false,11,16,0.002087116241455078
agd,13,connected_components,connectivity,true,16,29,0.0011713504791259766
agd,13,modularity,connectivity,true,16,29,0.0018868446350097656
agd,14,connected_components,connectivity,false,13,24,0.0016262531280517578
agd,14,modularity,connectivity,false,15,29,0.002791881561279297
agd,14,connected_components,connectivity,true,18,36,0.0012478828430175781
agd,14,modularity,connectivity,true,18,36,0.001672983169555664
agd,15,connected_components,connectivity,false,9,12,0.0009319782257080078
agd,15,modularity,connectivity,false,11,16,0.0023941993713378906
agd,15,connected_components,connectivity,true,17,30,0.001373291015625
agd,15,modularity,connectivity,true,17,30,0.0018410682678222656
agd,16,connected_components,connectivity,false,13,24,0.001100778579711914
agd,16,modularity,connectivity,false,15,29,0.0026340484619140625
agd,16,connected_components,connectivity,true,17,30,0.0017328262329101562
agd,16,modularity,connectivity,true,17,30,0.0017268657684326172
agd,17,connected_components,connectivity,false,9,12,0.0009009838104248047
agd,17,modularity,connectivity,false,11,16,0.0024251937866210938
agd,17,connected_components,connectivity,true,19,37,0.0013608932495117188
agd,17,modularity,connectivity,true,19,37,0.002012014389038086
agd,18,connected_components,connectivity,false,13,24,0.0013699531555175781
agd,18,modularity,connectivity,false,15,29,0.0027420520782470703
agd,18,connected_components,connectivity,true,19,37,0.0016210079193115234
agd,18,modularity,connectivity,true,19,37,0.0015299320220947266
agd,19,connected_components,connectivity,false,9,12,0.0011739730834960938
agd,19,modularity,connectivity,false,11,16,0.004415035247802734
agd,19,connected_components,connectivity,true,26,89,0.00238800048828125
agd,19,modularity,connectivity,true,26,89,0.003609180450439453
ecc,2,connected_components,connectivity,false,5,4,0.0007259845733642578
ecc,2,modularity,connectivity,false,8,12,0.0034041404724121094
ecc,2,connected_components,connectivity,true,6,6,0.0007648468017578125
ecc,2,modularity,connectivity,true,7,7,0.0024111270904541016
ecc,3,connected_components,connectivity,false,12,12,0.0007071495056152344
ecc,3,modularity,connectivity,false,12,12,0.0014879703521728516
ecc,3,connected_components,connectivity,true,9,9,0.0006971359252929688
ecc,3,modularity,connectivity,true,10,11,0.0029277801513671875
ecc,4,connected_components,connectivity,false,16,28,0.0010528564453125
ecc,4,modularity,connectivity,false,16,28,0.0030601024627685547
ecc,4,connected_components,connectivity,true,12,14,0.0008339881896972656
ecc,4,modularity,connectivity,true,12,14,0.0019440650939941406
ecc,5,connected_components,connectivity,false,12,12,0.0010941028594970703
ecc,5,modularity,connectivity,false,12,12,0.001569986343383789
ecc,5,connected_components,connectivity,true,14,18,0.0008609294891357422
ecc,5,modularity,connectivity,true,14,18,0.0017170906066894531
ecc,6,connected_components,connectivity,false,16,28,0.0010831356048583984
ecc,6,modularity,connectivity,false,16,28,0.0035140514373779297
ecc,6,connected_components,connectivity,true,12,12,0.0008580684661865234
ecc,6,modularity,connectivity,true,12,12,0.0018191337585449219
ecc,7,connected_components,connectivity,false,12,12,0.0008289813995361328
ecc,7,modularity,connectivity,false,12,12,0.001603841781616211
ecc,7,connected_components,connectivity,true,16,24,0.0009801387786865234
ecc,7,modularity,connectivity,true,16,24,0.002549886703491211
ecc,8,connected_components,connectivity,false,16,28,0.0011680126190185547
ecc,8,modularity,connectivity,false,16,28,0.0027141571044921875
ecc,8,connected_components,connectivity,true,16,24,0.0009927749633789062
ecc,8,modularity,connectivity,true,16,24,0.0016829967498779297
ecc,9,connected_components,connectivity,false,12,12,0.001081705093383789
ecc,9,modularity,connectivity,false,12,12,0.0016617774963378906
ecc,9,connected_components,connectivity,true,16,24,0.0010530948638916016
ecc,9,modularity,connectivity,true,16,24,0.0019288063049316406
ecc,10,connected_components,connectivity,false,16,28,0.0013582706451416016
ecc,10,modularity,connectivity,false,16,28,0.0033559799194335938
ecc,10,connected_components,connectivity,true,16,24,0.001035928726196289
ecc,10,modularity,connectivity,true,16,24,0.0016698837280273438
ecc,11,connected_components,connectivity,false,12,12,0.0008530616760253906
ecc,11,modularity,connectivity,false,12,12,0.0016472339630126953
ecc,11,connected_components,connectivity,true,16,24,0.001064300537109375
ecc,11,modularity,connectivity,true,16,24,0.002323150634765625
ecc,12,connected_components,connectivity,false,16,28,0.0012359619140625
ecc,12,modularity,connectivity,false,16,28,0.0032203197479248047
ecc,12,connected_components,connectivity,true,16,24,0.0010650157928466797
ecc,12,modularity,connectivity,true,16,24,0.001708984375
ecc,13,connected_components,connectivity,false,12,12,0.001245260238647461
ecc,13,modularity,connectivity,false,12,12,0.0016858577728271484
ecc,13,connected_components,connectivity,true,20,40,0.0012302398681640625
ecc,13,modularity,connectivity,true,20,40,0.0012240409851074219
ecc,14,connected_components,connectivity,false,16,28,0.0015499591827392578
ecc,14,modularity,connectivity,false,16,28,0.002786874771118164
ecc,14,connected_components,connectivity,true,18,32,0.001155853271484375
ecc,14,modularity,connectivity,true,18,32,0.0015158653259277344
ecc,15,connected_components,connectivity,false,12,12,0.0009291172027587891
ecc,15,modularity,connectivity,false,12,12,0.0022530555725097656
ecc,15,connected_components,connectivity,true,18,32,0.0012001991271972656
ecc,15,modularity,connectivity,true,18,32,0.0015308856964111328
ecc,16,connected_components,connectivity,false,16,28,0.0012650489807128906
ecc,16,modularity,connectivity,false,16,28,0.002850055694580078
ecc,16,connected_components,connectivity,true,20,40,0.0015249252319335938
ecc,16,modularity,connectivity,true,20,40,0.0014362335205078125
ecc,17,connected_components,connectivity,false,12,12,0.0009710788726806641
ecc,17,modularity,connectivity,false,12,12,0.0017800331115722656
ecc,17,connected_components,connectivity,true,20,40,0.001984119415283203
ecc,17,modularity,connectivity,true,20,40,0.0013072490692138672
ecc,18,connected_components,connectivity,false,16,28,0.0013079643249511719
ecc,18,modularity,connectivity,false,16,28,0.0030379295349121094
ecc,18,connected_components,connectivity,true,20,40,0.0012979507446289062
ecc,18,modularity,connectivity,true,20,40,0.0017788410186767578
ecc,19,connected_components,connectivity,false,12,12,0.0010178089141845703
ecc,19,modularity,connectivity,false,12,12,0.0018329620361328125
ecc,19,connected_components,connectivity,true,28,84,0.0031270980834960938
ecc,19,modularity,connectivity,true,28,84,0.004873037338256836
